id, brand name, company
MDT, Mister Donut, CRG
KFC, KFC, CRG
ATA, Auntie Anne's, CRG
PPL, Pepper Lunch, CRG
CBT, Chabuton, CRG
CST, Cold Stone, CRG
TER, Terraces-De-Bangkok, CRG
YSN, Yoshinoya, CRG
OTY, Ootoya, CRG
KSY, Katsuya, CRG
SFT, Salad Factory, CRG
ART, Arigato, CRG
STN, SomtamNua, CRG
SKZ, Shinkanzen Sushi, CRG
NLM, Nak-La Mookata, CRG
NKA, Ramen Kagetsu Arashi, CRG
KAN, Kiani, CRG
NAM, NAMA Japanese & Seafood Buffet, CRG
KMT, Katsu Midori Thailand, CRG
OTO, OOTOYA OKI, CRG
LSK, Lucky Suki, CRG
LBQ, Lucky BBQ, CRG
HBQ, Hanam BBQ, CRG
SSU, Sunny Side Up, CRG
