Source,Target,Weight,Floor,Category
141,Central Ayutthaya,1,1F,Lifestyle & Specialty
ADIDAS,Central Ayutthaya,1,GF,Fashion & Apparel
AGLAM,Central Ayutthaya,1,1F,Lifestyle & Specialty
AIS,Central Ayutthaya,1,1F,Technology & Electronics
AIS,Central Ayutthaya,1,1F,Technology & Electronics
AKA,Central Ayutthaya,1,2F,Food & Beverage
AMAXS,Central Ayutthaya,1,1F,Lifestyle & Specialty
APEX,Central Ayutthaya,1,1F,Beauty & Wellness
ARI FOOTBALL,Central Ayutthaya,1,GF,Fashion & Apparel
AROI BY APP,Central Ayutthaya,1,GF,Food & Beverage
ASIA GOLD,Central Ayutthaya,1,GF,Fashion & Apparel
AUNTIE ANNE'S,Central Ayutthaya,1,GF,Food & Beverage
AURORA,Central Ayutthaya,1,GF,Fashion & Apparel
B2S,Central Ayutthaya,1,2F,Lifestyle & Specialty
IT BANANA,Central Ayutthaya,1,1F,Technology & Electronics
IT BANANA,Central Ayutthaya,1,1F,Technology & Electronics
BANANA NAIL,Central Ayutthaya,1,1F,Beauty & Wellness
BANGKOK BANK,Central Ayutthaya,1,2F,Bank & Financial Services
BANGKOK GOLD,Central Ayutthaya,1,GF,Fashion & Apparel
BANK OF AYUDHYA,Central Ayutthaya,1,2F,Bank & Financial Services
BAR-B-Q PLAZA,Central Ayutthaya,1,2F,Food & Beverage
BATA,Central Ayutthaya,1,GF,Fashion & Apparel
BB TOYS,Central Ayutthaya,1,2F,Lifestyle & Specialty
BEAUTRIUM,Central Ayutthaya,1,GF,Beauty & Wellness
BEBE PHONE,Central Ayutthaya,1,1F,Technology & Electronics
BETTER VISION,Central Ayutthaya,1,1F,Fashion & Apparel
BIG CAMERA,Central Ayutthaya,1,1F,Technology & Electronics
BODY GLOVE,Central Ayutthaya,1,GF,Fashion & Apparel
BONCHON,Central Ayutthaya,1,2F,Food & Beverage
BOOTS,Central Ayutthaya,1,1F,Beauty & Wellness
CAFE AMAZON,Central Ayutthaya,1,1F,Food & Beverage
CC-OO,Central Ayutthaya,1,GF,Fashion & Apparel
CHATRAMUE,Central Ayutthaya,1,GF,Food & Beverage
CHESTER'S,Central Ayutthaya,1,2F,Food & Beverage
COCO ICHIBANYA,Central Ayutthaya,1,2F,Food & Beverage
CODING INNOVATION,Central Ayutthaya,1,2F,Services & Education
CPS CHAPS,Central Ayutthaya,1,GF,Fashion & Apparel
CROCS,Central Ayutthaya,1,GF,Fashion & Apparel
CURIOO KIDS,Central Ayutthaya,1,2F,Services & Education
CUTE PRESS,Central Ayutthaya,1,GF,Beauty & Wellness
