Source,Target,Weight,Floor,Category
@ NAIL,Central Bangna,1,3F,Beauty & Wellness
ADIDAS,Central Bangna,1,2F,Fashion
AIS,Central Bangna,1,4F,Technology
ALUMINIUM,Central Bangna,1,B1,Services
ANGLE HOUSE,Central Bangna,1,B2,Beauty & Wellness
ASA SERVICE,Central Bangna,1,2F,Services
ASIA BOOKS,Central Bangna,1,3F,Lifestyle & Specialty
AU BON PAIN,Central Bangna,1,2F,Food & Beverage
AUNTIE ANNE'S,Central Bangna,1,2F,Food & Beverage
AURORA,Central Bangna,1,3F,Fashion
B2S Think Space,Central Bangna,1,5F,Lifestyle & Specialty
BANANA IT,Central Bangna,1,4F,Technology
BANGKOK BANK,Central Bangna,1,4F,Bank & Financial Services
Bangkok Bold,Central Bangna,1,5F,Food & Beverage
BANK OF AYUDHYA,Central Bangna,1,4F,Bank & Financial Services
BAR-B-Q PLAZA,Central Bangna,1,5F,Food & Beverage
BATA,Central Bangna,1,2F,Fashion
BETTER VISION,Central Bangna,1,3F,Fashion
BLACK CANYON COFFEE,Central Bangna,1,5F,Food & Beverage
BLANC EYELASH SALON TOKYO,Central Bangna,1,3F,Beauty & Wellness
BONCHON,Central Bangna,1,5F,Food & Beverage
BOOMERANG,Central Bangna,1,4F,Lifestyle & Specialty
BOOTS,Central Bangna,1,3F,Beauty & Wellness
CAFÉ AMAZON,Central Bangna,1,5F,Food & Beverage
CATH KIDSTON,Central Bangna,1,1F,Fashion
CENTRAL DEPARTMENT STORE,Central Bangna,1,1F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Bangna,1,2F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Bangna,1,3F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Bangna,1,4F,Lifestyle & Specialty
CENTRAL FOOD HALL,Central Bangna,1,B1,Lifestyle & Specialty
CHUAN CHIM,Central Bangna,1,B1,Food & Beverage
CIMB THAI BANK,Central Bangna,1,4F,Bank & Financial Services
CITY CHAIN,Central Bangna,1,1F,Fashion
COCO ICHIBANYA,Central Bangna,1,5F,Food & Beverage
COLD STONE CREAMERY,Central Bangna,1,B1,Food & Beverage
CUTE PRESS,Central Bangna,1,2F,Beauty & Wellness
DAENG KAN PAK,Central Bangna,1,B2,Services
DAIRY QUEEN,Central Bangna,1,B1,Food & Beverage
DAISO,Central Bangna,1,5F,Lifestyle & Specialty
DIAMOND SERVICE,Central Bangna,1,B2,Services
DOMINIC,Central Bangna,1,3F,Fashion
DREAME,Central Bangna,1,4F,Technology
EXPORT SHOP,Central Bangna,1,2F,Fashion
EYE LAB,Central Bangna,1,1F,Fashion
FANTACY SHOP,Central Bangna,1,B1,Lifestyle & Specialty
FIRST TIME SERVICE,Central Bangna,1,B1,Services
FOCUS CITY,Central Bangna,1,3F,Services
FoodPatio,Central Bangna,1,B1,Food & Beverage
FUJI JAPANESE RESTAURANT,Central Bangna,1,5F,Food & Beverage
FUN CITY,Central Bangna,1,5F,Entertainment
GNC,Central Bangna,1,2F,Beauty & Wellness
GOVERNMENT SAVINGS BANK,Central Bangna,1,4F,Bank & Financial Services
H&M,Central Bangna,1,1F,Fashion
H&M,Central Bangna,1,2F,Fashion
HACHIBAN RAMEN,Central Bangna,1,5F,Food & Beverage
HAIR DÉCOR,Central Bangna,1,3F,Beauty & Wellness
HANG THONG TONGSUKDEE,Central Bangna,1,3F,Fashion
HUAWEI,Central Bangna,1,4F,Technology
ISBN,Central Bangna,1,3F,Beauty & Wellness
JAY MART,Central Bangna,1,4F,Technology
JIB,Central Bangna,1,4F,Technology
K.ACCESSORIES,Central Bangna,1,4F,Technology
KASIKORNBANK,Central Bangna,1,4F,Bank & Financial Services
KATSUYA,Central Bangna,1,5F,Food & Beverage
KFC,Central Bangna,1,B1,Food & Beverage
KHIANG,Central Bangna,1,B1,Food & Beverage
KIPLING,Central Bangna,1,2F,Fashion
KOI THE',Central Bangna,1,B1,Food & Beverage
KONGKA FURNITURE,Central Bangna,1,4F,Lifestyle & Specialty
KRISPY KREME,Central Bangna,1,1F,Food & Beverage
KRUNG THAI BANK,Central Bangna,1,4F,Bank & Financial Services
LAEMCHAROEN SEAFOOD,Central Bangna,1,5F,Food & Beverage
LENG..YOKLOR,Central Bangna,1,B1,Food & Beverage
MAE THONGBAI,Central Bangna,1,3F,Fashion
MAJOR CINEPLEX,Central Bangna,1,6F,Entertainment
MALDIVES,Central Bangna,1,B2,Beauty & Wellness
MANGO,Central Bangna,1,1F,Fashion
MARIMEKKO,Central Bangna,1,1F,Fashion
MC DONALD'S,Central Bangna,1,1F,Food & Beverage
MK RESTAURANTS,Central Bangna,1,5F,Food & Beverage
MO-MO-PARADISE,Central Bangna,1,5F,Food & Beverage
MODERN AIR,Central Bangna,1,4F,Technology
MOMO LAND,Central Bangna,1,5F,Entertainment
MOPLAY,Central Bangna,1,5F,Entertainment
MR.BAG FIX,Central Bangna,1,1F,Services
MUSIC COLLECTION,Central Bangna,1,3F,Lifestyle & Specialty
MX CAKES & BAKERY,Central Bangna,1,B1,Food & Beverage
NEO CLINIC,Central Bangna,1,3F,Beauty & Wellness
NITIPON CLINIC,Central Bangna,1,3F,Beauty & Wellness
NOBICHA,Central Bangna,1,B1,Food & Beverage
