Source,Target,Weight,Floor,Category
100 DEGREES,Central Chaengwattana,1,GF,Food & Beverage
2ND STREET,Central Chaengwattana,1,2F,Fashion & Apparel
ADIDAS,Central Chaengwattana,1,2F,Fashion & Apparel
AIS,Central Chaengwattana,1,4F,Technology & Electronics
AKA,Central Chaengwattana,1,5F,Food & Beverage
ALL PHONE,Central Chaengwattana,1,4F,Technology & Electronics
AMOR,Central Chaengwattana,1,5F,Food & Beverage
AONG-SA MOBILE,Central Chaengwattana,1,4F,Technology & Electronics
APEX,Central Chaengwattana,1,3F,Beauty & Wellness
ASIA BOOKS,Central Chaengwattana,1,3F,Lifestyle & Specialty
ATEGGJAEWTORJAN,Central Chaengwattana,1,6F,Food & Beverage
AUNTIE ANNE'S,Central Chaengwattana,1,2F,Food & Beverage
AURORA,Central Chaengwattana,1,1F,Fashion & Apparel
B2S,Central Chaengwattana,1,5F,Lifestyle & Specialty
BAKE A WISH,Central Chaengwattana,1,GF,Food & Beverage
BAN PAI MY PRINTING,Central Chaengwattana,1,5F,Lifestyle & Specialty
IT BANANA,Central Chaengwattana,1,4F,Technology & Electronics
BANANA SOLAR,Central Chaengwattana,1,4F,Technology & Electronics
BANGKOK BANK,Central Chaengwattana,1,4F,Bank & Financial Services
BANGKOK TIME CENTER,Central Chaengwattana,1,3F,Fashion & Apparel
BANK OF AYUDHYA,Central Chaengwattana,1,4F,Bank & Financial Services
BAR-B-Q PLAZA,Central Chaengwattana,1,5F,Food & Beverage
BATA,Central Chaengwattana,1,1F,Fashion & Apparel
BB PHONE,Central Chaengwattana,1,4F,Technology & Electronics
BB SERVICES,Central Chaengwattana,1,4F,Technology & Electronics
BEAUTRIUM,Central Chaengwattana,1,2F,Beauty & Wellness
BETTER VISION,Central Chaengwattana,1,2F,Fashion & Apparel
BIG CAMERA,Central Chaengwattana,1,4F,Technology & Electronics
BIG MAC DIGITAL PRINTING,Central Chaengwattana,1,4F,Lifestyle & Specialty
BLOSSOM NAILS,Central Chaengwattana,1,3F,Beauty & Wellness
BONCHON,Central Chaengwattana,1,6F,Food & Beverage
BOOST JUICE BAR,Central Chaengwattana,1,GF,Food & Beverage
BOOTS,Central Chaengwattana,1,3F,Beauty & Wellness
BOUNCE INC.,Central Chaengwattana,1,7F,Entertainment
BRAIN SCHOOL,Central Chaengwattana,1,7F,Services & Education
CAFE AMAZON,Central Chaengwattana,1,2F,Food & Beverage
CENTRAL DEPARTMENT STORE,Central Chaengwattana,1,2F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Chaengwattana,1,6F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Chaengwattana,1,3F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Chaengwattana,1,4F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Chaengwattana,1,5F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Chaengwattana,1,6F,Lifestyle & Specialty
CHAENG WATTANA THE GOVERNMENT CENTER,Central Chaengwattana,1,3F,Lifestyle & Specialty
CHALEESTEAK,Central Chaengwattana,1,6F,Food & Beverage
CHATRAMUE,Central Chaengwattana,1,GF,Food & Beverage
CHER CLINIC,Central Chaengwattana,1,6F,Beauty & Wellness
CHILLI CHIC,Central Chaengwattana,1,2F,Fashion & Apparel
CHOI'S TAEKWONDO,Central Chaengwattana,1,7F,Services & Education
CLICKROBOT,Central Chaengwattana,1,7F,Services & Education
COLD STONE CREAMERY,Central Chaengwattana,1,1F,Food & Beverage
COMMA &ND,Central Chaengwattana,1,1F,Fashion & Apparel
COWAY,Central Chaengwattana,1,2F,Lifestyle & Specialty
CRAFT CODE ROBOTIC,Central Chaengwattana,1,7F,Services & Education
CROCS,Central Chaengwattana,1,1F,Fashion & Apparel
