Source,Target,Weight,Floor,Category
ADIDAS,Central Chanthaburi,1,GF,Fashion
ADVICE,Central Chanthaburi,1,1F,Technology
AEON,Central Chanthaburi,1,1F,Bank & Financial Services
AIIZ,Central Chanthaburi,1,GF,Fashion
AIS,Central Chanthaburi,1,1F,Technology
AKA,Central Chanthaburi,1,GF,Food & Beverage
ANELLO,Central Chanthaburi,1,GF,Fashion
AUNTIE ANNE'S,Central Chanthaburi,1,GF,Food & Beverage
AURORA,Central Chanthaburi,1,GF,Fashion
AUTO1,Central Chanthaburi,1,GF,Lifestyle & Specialty
B2S,Central Chanthaburi,1,1F,Lifestyle & Specialty
BANANA,Central Chanthaburi,1,1F,Technology
BANANA,Central Chanthaburi,1,1F,Technology
BANGKOK BANK,Central Chanthaburi,1,1F,Bank & Financial Services
BANGKOK GOLD,Central Chanthaburi,1,GF,Fashion
BAR-B-Q PLAZA,Central Chanthaburi,1,1F,Food & Beverage
BEARHOUSE,Central Chanthaburi,1,GF,Food & Beverage
BEAUTRIUM,Central Chanthaburi,1,GF,Beauty & Wellness
BEBE PHONE,Central Chanthaburi,1,1F,Technology
BIG CAMERA,Central Chanthaburi,1,1F,Technology
BODY GLOVE,Central Chanthaburi,1,GF,Fashion
BONAGE,Central Chanthaburi,1,1F,Beauty & Wellness
BONCHON,Central Chanthaburi,1,GF,Food & Beverage
BOOST JUICE BAR,Central Chanthaburi,1,GF,Food & Beverage
BP WORLD,Central Chanthaburi,1,1F,Fashion
BUASUWAN JEWELRY,Central Chanthaburi,1,GF,Fashion
CAFE AMAZON,Central Chanthaburi,1,GF,Food & Beverage
CC DOUBLE O,Central Chanthaburi,1,GF,Fashion
CHANTHABURI CINEPLEX,Central Chanthaburi,1,2F,Entertainment
CHANTHABURI HALL,Central Chanthaburi,1,2F,Entertainment
CHANTHABURI PASSPORT OFFICE,Central Chanthaburi,1,2F,Lifestyle & Specialty
CHATRAMUE,Central Chanthaburi,1,GF,Food & Beverage
COCO ICHIBANYA,Central Chanthaburi,1,GF,Food & Beverage
CONVERSE,Central Chanthaburi,1,GF,Fashion
CPS CHAPS,Central Chanthaburi,1,GF,Fashion
CROCS,Central Chanthaburi,1,GF,Fashion
DAIRY QUEEN,Central Chanthaburi,1,GF,Food & Beverage
DIAMOND FOR YOU,Central Chanthaburi,1,GF,Fashion
DILAVIE,Central Chanthaburi,1,GF,Fashion
DYSON,Central Chanthaburi,1,GF,Lifestyle & Specialty
FITFLOP,Central Chanthaburi,1,GF,Fashion
FOCUS,Central Chanthaburi,1,1F,Technology
FOODPATIO,Central Chanthaburi,1,GF,Food & Beverage
FUJI JAPANESE RESTAURANT,Central Chanthaburi,1,1F,Food & Beverage
G-SHOCK CASIO,Central Chanthaburi,1,GF,Fashion
GAGA,Central Chanthaburi,1,GF,Food & Beverage
GANGNAM CLINIC,Central Chanthaburi,1,1F,Beauty & Wellness
GARMIN,Central Chanthaburi,1,GF,Fashion
GIORDANO,Central Chanthaburi,1,GF,Fashion
GOVERNMENT SERVICE POINT,Central Chanthaburi,1,2F,Lifestyle & Specialty
GUESS ACCESSORIES,Central Chanthaburi,1,GF,Fashion
HACHIBAN RAMEN,Central Chanthaburi,1,GF,Food & Beverage
HAIR D' CRAFT,Central Chanthaburi,1,1F,Beauty & Wellness
HAVAIANAS,Central Chanthaburi,1,GF,Fashion
HEALTH UP,Central Chanthaburi,1,GF,Beauty & Wellness
HUAWEI,Central Chanthaburi,1,1F,Technology
I SHOP,Central Chanthaburi,1,1F,Technology
I STUDIO,Central Chanthaburi,1,GF,Technology
INFINITY MEDICAL CLINIC,Central Chanthaburi,1,1F,Beauty & Wellness
IT CITY,Central Chanthaburi,1,1F,Technology
ITGO,Central Chanthaburi,1,1F,Technology
JASPAL,Central Chanthaburi,1,GF,Fashion
JAYMART,Central Chanthaburi,1,1F,Technology
JETTS 24 HOUR FITNESS,Central Chanthaburi,1,1F,Lifestyle & Specialty
JUBILEE DIAMOND,Central Chanthaburi,1,GF,Fashion
KAMU TEA,Central Chanthaburi,1,GF,Food & Beverage
KANKATSU SUSHI,Central Chanthaburi,1,GF,Food & Beverage
KARAOKE FANTASY,Central Chanthaburi,1,2F,Entertainment
KASIKORN BANK,Central Chanthaburi,1,1F,Bank & Financial Services
KATSUYA,Central Chanthaburi,1,GF,Food & Beverage
KFC,Central Chanthaburi,1,GF,Food & Beverage
KIDDY WORLD,Central Chanthaburi,1,1F,Entertainment
KIMTEE FINE JEWELRY,Central Chanthaburi,1,GF,Fashion
KOI THE,Central Chanthaburi,1,GF,Food & Beverage
KRISPY KREME,Central Chanthaburi,1,GF,Food & Beverage
KRUNGSRI FIRST CHOICE,Central Chanthaburi,1,1F,Bank & Financial Services
KRUNGTHAI BANK,Central Chanthaburi,1,1F,Bank & Financial Services
KT OPTIC,Central Chanthaburi,1,GF,Fashion
LACOSTE,Central Chanthaburi,1,GF,Fashion
LAO YUAN,Central Chanthaburi,1,1F,Food & Beverage
LEE WRANGLER,Central Chanthaburi,1,GF,Fashion
LEVI'S,Central Chanthaburi,1,GF,Fashion
LUCKY SUKI,Central Chanthaburi,1,1F,Food & Beverage
LYN,Central Chanthaburi,1,GF,Fashion
MAKOTO,Central Chanthaburi,1,1F,Technology
MIHIMIHI,Central Chanthaburi,1,1F,Food & Beverage
MISTER DONUT,Central Chanthaburi,1,GF,Food & Beverage
MK RESTAURANTS,Central Chanthaburi,1,1F,Food & Beverage
MOSHI MOSHI,Central Chanthaburi,1,GF,Lifestyle & Specialty
MR. DIY,Central Chanthaburi,1,1F,Lifestyle & Specialty
MUEANG JUNT WELLNESS CLINIC,Central Chanthaburi,1,1F,Beauty & Wellness
NAMPU CLUB,Central Chanthaburi,1,1F,Entertainment
NITIPON CLINIC,Central Chanthaburi,1,1F,Beauty & Wellness
NIYOM JEANS,Central Chanthaburi,1,GF,Fashion
OISHI BIZ TORO,Central Chanthaburi,1,GF,Food & Beverage
OLINO CREPE & TEA,Central Chanthaburi,1,GF,Food & Beverage
OPPO,Central Chanthaburi,1,1F,Technology
ORIENTAL PRINCESS,Central Chanthaburi,1,GF,Beauty & Wellness
ORIGANI,Central Chanthaburi,1,GF,Beauty & Wellness
OWNDAYS,Central Chanthaburi,1,GF,Fashion
P.A. PHONE,Central Chanthaburi,1,1F,Technology
PETCLUB,Central Chanthaburi,1,LG,Lifestyle & Specialty
PHONE CLUB,Central Chanthaburi,1,1F,Technology
PLAYBOY,Central Chanthaburi,1,GF,Fashion
PLOYRADA CLINIC,Central Chanthaburi,1,1F,Beauty & Wellness
POTATO CORNER,Central Chanthaburi,1,GF,Food & Beverage
POWER BUY,Central Chanthaburi,1,1F,Technology
PPK BLOOD STATION ณ จันท์,Central Chanthaburi,1,2F,Lifestyle & Specialty
PRIMA,Central Chanthaburi,1,GF,Fashion
PROCLEAN,Central Chanthaburi,1,LG,Lifestyle & Specialty
PUNTHAI COFFEE,Central Chanthaburi,1,1F,Food & Beverage
S&P,Central Chanthaburi,1,GF,Food & Beverage
SABINA,Central Chanthaburi,1,GF,Fashion
SAJJAPORN,Central Chanthaburi,1,GF,Fashion
SAMSUNG,Central Chanthaburi,1,1F,Technology
SHABUSHI,Central Chanthaburi,1,1F,Food & Beverage
SHU UEMURA,Central Chanthaburi,1,GF,Fashion
SIAM COMMERCIAL BANK,Central Chanthaburi,1,1F,Bank & Financial Services
SIZZLER,Central Chanthaburi,1,1F,Food & Beverage
SKECHERS,Central Chanthaburi,1,GF,Fashion
STARBUCKS COFFEE,Central Chanthaburi,1,GF,Food & Beverage
SUKISHI CHARCOAL GRILL,Central Chanthaburi,1,1F,Food & Beverage
SUPER SPORTS,Central Chanthaburi,1,1F,Fashion
SWENSEN'S,Central Chanthaburi,1,GF,Food & Beverage
TAMNAK THONG 5,Central Chanthaburi,1,GF,Fashion
THE FACE SHOP,Central Chanthaburi,1,GF,Beauty & Wellness
THE KLINIQUE,Central Chanthaburi,1,1F,Beauty & Wellness
THE NEXT,Central Chanthaburi,1,GF,Fashion
THE PIZZA COMPANY,Central Chanthaburi,1,GF,Food & Beverage
TOPS,Central Chanthaburi,1,GF,Lifestyle & Specialty
TRUE,Central Chanthaburi,1,1F,Technology
TTB BANK,Central Chanthaburi,1,1F,Bank & Financial Services
UNIQLO,Central Chanthaburi,1,GF,Fashion
VIVO,Central Chanthaburi,1,1F,Technology
WACOAL,Central Chanthaburi,1,GF,Fashion
WANG TOH KANG YAOWARAT,Central Chanthaburi,1,GF,Fashion
WATSONS,Central Chanthaburi,1,GF,Beauty & Wellness
XIAOMI,Central Chanthaburi,1,1F,Technology
YAMAZAKI,Central Chanthaburi,1,GF,Food & Beverage
YAYOI,Central Chanthaburi,1,GF,Food & Beverage
YOGURUTO,Central Chanthaburi,1,1F,Food & Beverage
ข้าวหน้า,Central Chanthaburi,1,GF,Food & Beverage
