Source,Target,Weight,Floor,Category
.LIFE,Central Chiangmai,1,3F,Technology
ACE,Central Chiangmai,1,3F,Technology
ADIDAS,Central Chiangmai,1,2F,Fashion
ADIDAS ORIGINAL,Central Chiangmai,1,1F,Fashion
ADVICE,Central Chiangmai,1,3F,Technology
AFTER YOU,Central Chiangmai,1,1F,Food & Beverage
AIS,Central Chiangmai,1,3F,Technology
AIS SERENADE,Central Chiangmai,1,3F,Technology
AKA,Central Chiangmai,1,5F,Food & Beverage
ALDO,Central Chiangmai,1,1F,Fashion
ANASTASIA MIARAY,Central Chiangmai,1,4F,Beauty & Wellness
ANELLO,Central Chiangmai,1,2F,Fashion
APEX,Central Chiangmai,1,4F,Beauty & Wellness
ARI FOOTBALL CONCEPT STORE,Central Chiangmai,1,2F,Fashion
ASICS,Central Chiangmai,1,2F,Fashion
AUNTIE ANNE'S,Central Chiangmai,1,2F,Food & Beverage
AURORA,Central Chiangmai,1,2F,Fashion
BABIES GENIUS,Central Chiangmai,1,3F,Education
BANANA,Central Chiangmai,1,3F,Technology
BANGKOK BANK,Central Chiangmai,1,3F,Bank & Financial Services
BANGKOK GOLDS,Central Chiangmai,1,2F,Fashion
BANK OF AYUDHYA,Central Chiangmai,1,3F,Bank & Financial Services
BAR-B-Q PLAZA,Central Chiangmai,1,5F,Food & Beverage
BATA,Central Chiangmai,1,2F,Fashion
BATH&BLOOM,Central Chiangmai,1,1F,Beauty & Wellness
BATH & BODY WORKS,Central Chiangmai,1,1F,Beauty & Wellness
BEARD'S PAPA,Central Chiangmai,1,GF,Food & Beverage
BEBE PHONE,Central Chiangmai,1,3F,Technology
BELLY ROTI,Central Chiangmai,1,4F,Food & Beverage
BETTER VISION,Central Chiangmai,1,3F,Fashion
BIG BASIL TRAY,Central Chiangmai,1,4F,Food & Beverage
BIG CAMERA,Central Chiangmai,1,3F,Technology
BLACK CANYON COFFEE,Central Chiangmai,1,5F,Food & Beverage
BONCHON,Central Chiangmai,1,5F,Food & Beverage
BOOTS,Central Chiangmai,1,4F,Beauty & Wellness
BOOTS,Central Chiangmai,1,GF,Beauty & Wellness
BRAIN SCHOOL,Central Chiangmai,1,3F,Education
BUBBLE BEAR BRAIN STUDIO,Central Chiangmai,1,3F,Education
CAFÉ AMAZON,Central Chiangmai,1,GF,Food & Beverage
CALVIN KLEIN JEANS,Central Chiangmai,1,1F,Fashion
CATH KIDSTONE,Central Chiangmai,1,1F,Fashion
CC-OO,Central Chiangmai,1,2F,Fashion
CENTRAL FOOD HALL,Central Chiangmai,1,GF,Food & Beverage
CHABUTON,Central Chiangmai,1,5F,Food & Beverage
CHAMPION,Central Chiangmai,1,2F,Fashion
CHARLES & KEITH,Central Chiangmai,1,1F,Fashion
CHATRAMUE,Central Chiangmai,1,5F,Food & Beverage
CHESTER'S GRILL,Central Chiangmai,1,4F,Food & Beverage
CHIANGMAI ICE ARENA,Central Chiangmai,1,3F,Entertainment
CHICKEN RICE (HAINAN),Central Chiangmai,1,4F,Food & Beverage
CHICKEN THIP CHANG STEWED NOODLE,Central Chiangmai,1,4F,Food & Beverage
CLARINS,Central Chiangmai,1,1F,Beauty & Wellness
CLAY WORKS,Central Chiangmai,1,3F,Education
COCO ICHIBANYA,Central Chiangmai,1,4F,Food & Beverage
COLD STONE CREAMERY,Central Chiangmai,1,1F,Food & Beverage
COLUMBIA,Central Chiangmai,1,2F,Fashion
CONVERSE,Central Chiangmai,1,2F,Fashion
COS MARCHE,Central Chiangmai,1,2F,Beauty & Wellness
CPS CHAPS,Central Chiangmai,1,1F,Fashion
CROCS,Central Chiangmai,1,2F,Fashion
CSC,Central Chiangmai,1,3F,Technology
CUT & CURL,Central Chiangmai,1,4F,Beauty & Wellness
DAIRY QUEEN,Central Chiangmai,1,5F,Food & Beverage
DAISO,Central Chiangmai,1,4F,Lifestyle & Specialty
DICKIES,Central Chiangmai,1,2F,Fashion
DIGILIFE,Central Chiangmai,1,3F,Technology
DILAVIE,Central Chiangmai,1,1F,Fashion
DJI,Central Chiangmai,1,3F,Technology
DOPPIO,Central Chiangmai,1,3F,Food & Beverage
DR. SMOOTH LIFE,Central Chiangmai,1,GF,Beauty & Wellness
DTAC HALL,Central Chiangmai,1,3F,Technology
DUCATI,Central Chiangmai,1,2F,Fashion
DYSON,Central Chiangmai,1,2F,Lifestyle & Specialty
EAT ME EAT CLEAN,Central Chiangmai,1,GF,Food & Beverage
ECCO,Central Chiangmai,1,2F,Fashion
EYE LAB,Central Chiangmai,1,2F,Fashion
FANCY ICE,Central Chiangmai,1,4F,Food & Beverage
FILA,Central Chiangmai,1,2F,Fashion
FITFLOP,Central Chiangmai,1,2F,Fashion
FOCUS SHOP,Central Chiangmai,1,3F,Technology
FRED PERRY,Central Chiangmai,1,1F,Fashion
FRESH ME,Central Chiangmai,1,4F,Food & Beverage
FUJI JAPANESE RESTAURANT,Central Chiangmai,1,4F,Food & Beverage
FUKU MATCHA,Central Chiangmai,1,5F,Food & Beverage
FUMI JAPANESE CUISINE,Central Chiangmai,1,5F,Food & Beverage
G-SHOCK CASIO,Central Chiangmai,1,2F,Fashion
GANGNAM CLINIC,Central Chiangmai,1,4F,Beauty & Wellness
GIANT EXPLOSION FISH BALL,Central Chiangmai,1,4F,Food & Beverage
GIORDANO,Central Chiangmai,1,2F,Fashion
GNC,Central Chiangmai,1,GF,Beauty & Wellness
GOVERNMENT SAVINGS BANK,Central Chiangmai,1,3F,Bank & Financial Services
GQ,Central Chiangmai,1,2F,Fashion
GRAND DIAMOND,Central Chiangmai,1,1F,Fashion
GRAZIOSA DIAMOND,Central Chiangmai,1,1F,Fashion
GUESS ACCESSORIES,Central Chiangmai,1,1F,Fashion
GYMBOREE,Central Chiangmai,1,3F,Education
HACHIBAN RAMEN,Central Chiangmai,1,5F,Food & Beverage
HAI DI LAO,Central Chiangmai,1,4F,Food & Beverage
HARNN,Central Chiangmai,1,1F,Beauty & Wellness
HOOPS STATION,Central Chiangmai,1,2F,Fashion
HUSH PUPPIES,Central Chiangmai,1,2F,Fashion
I DIN KLIN KROK,Central Chiangmai,1,5F,Food & Beverage
I LOVE FRUIT,Central Chiangmai,1,4F,Food & Beverage
I-GENIUS EDUCATION,Central Chiangmai,1,3F,Education
I-STYLE,Central Chiangmai,1,3F,Fashion
IMAX,Central Chiangmai,1,5F,Entertainment
INNISFREE,Central Chiangmai,1,2F,Beauty & Wellness
IT CITY,Central Chiangmai,1,3F,Technology
