Source,Target,Weight,Floor,Category
ADIDAS,Central Chiangmai Airport,1,3F,Fashion
AEON,Central Chiangmai Airport,1,3F,Bank & Financial Services
ANELLO,Central Chiangmai Airport,1,2F,Fashion
ANYAMANEE,Central Chiangmai Airport,1,2F,Fashion
ASIA BOOKS,Central Chiangmai Airport,1,1F,Lifestyle & Specialty
AUNTIE ANNE'S,Central Chiangmai Airport,1,1F,Food & Beverage
AURORA,Central Chiangmai Airport,1,2F,Fashion
IT BANANA,Central Chiangmai Airport,1,3F,Technology
BANGKOK GOLD,Central Chiangmai Airport,1,2F,Fashion
BANK OF AYUDHYA,Central Chiangmai Airport,1,GF,Bank & Financial Services
BAR-B-Q PLAZA,Central Chiangmai Airport,1,4F,Food & Beverage
BATA,Central Chiangmai Airport,1,GF,Fashion
BE GRAND CLINIC,Central Chiangmai Airport,1,2F,Beauty & Wellness
BEAUTY BUFFET,Central Chiangmai Airport,1,GF,Beauty & Wellness
BETTER VISION,Central Chiangmai Airport,1,GF,Fashion
BLUE CORNER,Central Chiangmai Airport,1,2F,Fashion
BODY GLOVE,Central Chiangmai Airport,1,GF,Fashion
BOOTS,Central Chiangmai Airport,1,2F,Beauty & Wellness
BOOTS,Central Chiangmai Airport,1,GF,Beauty & Wellness
CAFE AMAZON,Central Chiangmai Airport,1,GF,Food & Beverage
CC-OO,Central Chiangmai Airport,1,1F,Fashion
CHARLES & KEITH,Central Chiangmai Airport,1,1F,Fashion
CHATRAMUE,Central Chiangmai Airport,1,1F,Food & Beverage
CHESTER'S,Central Chiangmai Airport,1,4F,Food & Beverage
CITRUS PHARMACY,Central Chiangmai Airport,1,4F,Beauty & Wellness
COFFEE WORLD,Central Chiangmai Airport,1,2F,Food & Beverage
CROCS,Central Chiangmai Airport,1,1F,Fashion
CSC,Central Chiangmai Airport,1,3F,Technology
CUTE PRESS,Central Chiangmai Airport,1,2F,Beauty & Wellness
DAIRY QUEEN,Central Chiangmai Airport,1,GF,Food & Beverage
DTAC,Central Chiangmai Airport,1,3F,Technology
EXPORT SHOP,Central Chiangmai Airport,1,GF,Fashion
EYE CLASS,Central Chiangmai Airport,1,GF,Fashion
EYE DESIGN,Central Chiangmai Airport,1,GF,Fashion
EYE LAB EXCLUSIVE,Central Chiangmai Airport,1,GF,Fashion
FOOD PARK,Central Chiangmai Airport,1,4F,Food & Beverage
FUKU MATCHA,Central Chiangmai Airport,1,4F,Food & Beverage
GIORDANO,Central Chiangmai Airport,1,1F,Fashion
GLOBLEX SECURITIES,Central Chiangmai Airport,1,1F,Bank & Financial Services
GOVERNMENT SAVINGS BANK,Central Chiangmai Airport,1,GF,Bank & Financial Services
HAIR WORLD,Central Chiangmai Airport,1,2F,Beauty & Wellness
HANGTHONG WHANG TOH KANG YAOWARAJ,Central Chiangmai Airport,1,2F,Fashion
HIGH SCHOOL,Central Chiangmai Airport,1,1F,Fashion
HOLLYWOOD,Central Chiangmai Airport,1,1F,Fashion
HUAWEI,Central Chiangmai Airport,1,3F,Technology
INNISFREE,Central Chiangmai Airport,1,1F,Beauty & Wellness
IT CITY,Central Chiangmai Airport,1,3F,Technology
JAYMART,Central Chiangmai Airport,1,3F,Technology
JOYLIDAY PLUS,Central Chiangmai Airport,1,4F,Entertainment
