Source,Target,Weight,Floor,Category
71 EXPORT,Central Chiangrai,1,2F,Fashion & Apparel
ADIDAS,Central Chiangrai,1,1F,Fashion & Apparel
ADVICE,Central Chiangrai,1,GF,Technology & Electronics
AEON,Central Chiangrai,1,2F,Bank & Financial Services
AIIZ,Central Chiangrai,1,1F,Fashion & Apparel
AIS,Central Chiangrai,1,GF,Technology & Electronics
AIS,Central Chiangrai,1,1F,Technology & Electronics
ANELLO,Central Chiangrai,1,1F,Fashion & Apparel
AUNTIE ANNE'S,Central Chiangrai,1,1F,Food & Beverage
AURORA,Central Chiangrai,1,1F,Fashion & Apparel
AUTO1,Central Chiangrai,1,GF,Lifestyle & Specialty
B2S,Central Chiangrai,1,2F,Lifestyle & Specialty
IT BANANA,Central Chiangrai,1,1F,Technology & Electronics
IT BANANA,Central Chiangrai,1,GF,Technology & Electronics
BANGKOK BANK,Central Chiangrai,1,2F,Bank & Financial Services
BANGKOK GOLD,Central Chiangrai,1,1F,Fashion & Apparel
BANGKOK INSURANCE,Central Chiangrai,1,2F,Bank & Financial Services
BANK OF AYUDHYA,Central Chiangrai,1,2F,Bank & Financial Services
BAR-B-Q PLAZA,Central Chiangrai,1,2F,Food & Beverage
BATA,Central Chiangrai,1,2F,Fashion & Apparel
BEBE PHONE,Central Chiangrai,1,1F,Technology & Electronics
BEERPARK,Central Chiangrai,1,2F,Food & Beverage
BETTER VISION,Central Chiangrai,1,1F,Fashion & Apparel
BIG CAMERA,Central Chiangrai,1,GF,Technology & Electronics
BLACK CANYON COFFEE,Central Chiangrai,1,1F,Food & Beverage
BLISS STONE,Central Chiangrai,1,2F,Fashion & Apparel
BONCHON,Central Chiangrai,1,2F,Food & Beverage
BOOTS,Central Chiangrai,1,2F,Beauty & Wellness
CAFE AMAZON,Central Chiangrai,1,2F,Food & Beverage
CAFECHAODOY,Central Chiangrai,1,2F,Food & Beverage
CC-OO,Central Chiangrai,1,1F,Fashion & Apparel
CHARLES & KEITH,Central Chiangrai,1,1F,Fashion & Apparel
CHATRAMUE,Central Chiangrai,1,2F,Food & Beverage
CHOB CHA,Central Chiangrai,1,GF,Food & Beverage
CPS CHAPS,Central Chiangrai,1,1F,Fashion & Apparel
CROCS,Central Chiangrai,1,1F,Fashion & Apparel
CUTE PRESS,Central Chiangrai,1,1F,Beauty & Wellness
DAIDOMON,Central Chiangrai,1,2F,Food & Beverage
DAIRY QUEEN,Central Chiangrai,1,2F,Food & Beverage
DAIRY QUEEN,Central Chiangrai,1,GF,Food & Beverage
DAISO,Central Chiangrai,1,2F,Lifestyle & Specialty
DILAVIE,Central Chiangrai,1,1F,Fashion & Apparel
DTAC,Central Chiangrai,1,1F,Technology & Electronics
EXPORT SHOP,Central Chiangrai,1,2F,Fashion & Apparel
EYE CLASS,Central Chiangrai,1,2F,Fashion & Apparel
EYE LAB EXCLUSIVE,Central Chiangrai,1,1F,Fashion & Apparel
FOOD PARK,Central Chiangrai,1,2F,Food & Beverage
FRESH ME,Central Chiangrai,1,2F,Food & Beverage
FUJI,Central Chiangrai,1,2F,Food & Beverage
FUKU MATCHA,Central Chiangrai,1,GF,Food & Beverage
FUN CITY,Central Chiangrai,1,3F,Entertainment
GIORDANO,Central Chiangrai,1,1F,Fashion & Apparel
GOVERNMENT HOUSING BANK,Central Chiangrai,1,2F,Bank & Financial Services
GOVERNMENT SAVINGS BANK,Central Chiangrai,1,2F,Bank & Financial Services
GRAZIOSA DIAMOND,Central Chiangrai,1,1F,Fashion & Apparel
GUY LAROCHE,Central Chiangrai,1,1F,Fashion & Apparel
HACHIBAN RAMEN,Central Chiangrai,1,1F,Food & Beverage
HIGH SCHOOL,Central Chiangrai,1,GF,Fashion & Apparel
HUANLAMAI NAN SILVER,Central Chiangrai,1,GF,Fashion & Apparel
HUG MOBILE,Central Chiangrai,1,1F,Technology & Electronics
HUG TECH,Central Chiangrai,1,1F,Technology & Electronics
I BEAT,Central Chiangrai,1,1F,Technology & Electronics
I CENTER,Central Chiangrai,1,1F,Technology & Electronics
IM AROI KAPRAO THAD,Central Chiangrai,1,2F,Food & Beverage
