Source,Target,Weight,Floor,Category
ADIDAS,Central Chonburi,1,1F,Fashion & Apparel
AES CLASS CLINIC,Central Chonburi,1,2F,Beauty & Wellness
AFTER YOU,Central Chonburi,1,GF,Food & Beverage
AIIZ,Central Chonburi,1,1F,Fashion & Apparel
AIS,Central Chonburi,1,2F,Technology & Electronics
AIS,Central Chonburi,1,2F,Technology & Electronics
ANATCHA,Central Chonburi,1,GF,Beauty & Wellness
APEX,Central Chonburi,1,2F,Beauty & Wellness
AQUA,Central Chonburi,1,2F,Beauty & Wellness
ASICS,Central Chonburi,1,1F,Fashion & Apparel
AT EGG JAEW TORJAN,Central Chonburi,1,GF,Food & Beverage
AUNTIE ANNE'S,Central Chonburi,1,1F,Food & Beverage
AURORA,Central Chonburi,1,GF,Fashion & Apparel
B2S,Central Chonburi,1,3F,Lifestyle & Specialty
BAAN CAKE BY NUNAN,Central Chonburi,1,2F,Food & Beverage
BAKE A WISH,Central Chonburi,1,GF,Food & Beverage
BANANA,Central Chonburi,1,2F,Technology & Electronics
BANANA,Central Chonburi,1,2F,Technology & Electronics
BANGKOK BANK,Central Chonburi,1,2F,Bank & Financial Services
BANGKOK INSURANCE,Central Chonburi,1,1F,Bank & Financial Services
BANK OF AYUDHYA,Central Chonburi,1,1F,Bank & Financial Services
BAR-B-Q PLAZA,Central Chonburi,1,3F,Food & Beverage
BATA,Central Chonburi,1,GF,Fashion & Apparel
BATH & BODY WORKS,Central Chonburi,1,1F,Beauty & Wellness
BEAR HOUSE,Central Chonburi,1,3F,Food & Beverage
BEAUTRIUM,Central Chonburi,1,GF,Beauty & Wellness
BEAUTY BUFFET,Central Chonburi,1,GF,Beauty & Wellness
BETTER VISION,Central Chonburi,1,1F,Fashion & Apparel
BIG C,Central Chonburi,1,1F,Lifestyle & Specialty
BIG CAMERA,Central Chonburi,1,2F,Technology & Electronics
BKK TELECOM,Central Chonburi,1,2F,Technology & Electronics
BLACK CANYON COFFEE,Central Chonburi,1,3F,Food & Beverage
BLACK PEARL,Central Chonburi,1,2F,Beauty & Wellness
BODY GLOVE,Central Chonburi,1,1F,Fashion & Apparel
BONCHON,Central Chonburi,1,3F,Food & Beverage
BOOST JUICE BAR,Central Chonburi,1,GF,Food & Beverage
BOOTS,Central Chonburi,1,2F,Beauty & Wellness
BUNNY SHAKE,Central Chonburi,1,GF,Food & Beverage
CAFE AMAZON,Central Chonburi,1,GF,Food & Beverage
CC-OO,Central Chonburi,1,1F,Fashion & Apparel
CHACOAL STEAK BY SKYLUCK,Central Chonburi,1,GF,Food & Beverage
CHARLES & KEITH,Central Chonburi,1,1F,Fashion & Apparel
CHATRAMUE,Central Chonburi,1,GF,Food & Beverage
CHEESY FRIED SNACKS,Central Chonburi,1,GF,Food & Beverage
CHESTER'S,Central Chonburi,1,GF,Food & Beverage
COCO ICHIBANYA,Central Chonburi,1,3F,Food & Beverage
