Source,Target,Weight,Floor,Category
21 BY AOOM,Central Eastville,1,1F,Fashion
ABC COOKING STUDIO,Central Eastville,1,2F,Education
ADIDAS,Central Eastville,1,1F,Fashion
AIS,Central Eastville,1,2F,Technology
AIS,Central Eastville,1,2F,Technology
AJC JEWELRY CARE CENTER,Central Eastville,1,GF,Lifestyle & Specialty
AKA,Central Eastville,1,2F,Food & Beverage
AKIYOSHI,Central Eastville,1,2F,Food & Beverage
ALL ABOUT YOU,Central Eastville,1,3F,Beauty & Wellness
ALL COCO,Central Eastville,1,2F,Food & Beverage
ALMOND,Central Eastville,1,1F,Food & Beverage
APEX CLINIC,Central Eastville,1,1F,Beauty & Wellness
ART ART DESIGN,Central Eastville,1,GF,Lifestyle & Specialty
ASA SERVICE,Central Eastville,1,GF,Lifestyle & Specialty
ASAVASOPON,Central Eastville,1,2F,Technology
AT BED AT HOME,Central Eastville,1,2F,Lifestyle & Specialty
AUNTIE ANNE'S,Central Eastville,1,2F,Food & Beverage
B2S,Central Eastville,1,2F,Lifestyle & Specialty
BABIES GENIUS,Central Eastville,1,2F,Education
BAGGU BAG&SHOE SPA,Central Eastville,1,GF,Lifestyle & Specialty
BAIMIANG,Central Eastville,1,1F,Food & Beverage
IT BANANA,Central Eastville,1,2F,Technology
BANGKOK BANK,Central Eastville,1,3F,Bank & Financial Services
BANK OF AYUDHYA,Central Eastville,1,3F,Bank & Financial Services
BAR-B-Q PLAZA,Central Eastville,1,2F,Food & Beverage
BASKIN ROBBINS,Central Eastville,1,3F,Food & Beverage
BEST ELIXIR,Central Eastville,1,2F,Beauty & Wellness
BETTER VISION,Central Eastville,1,3F,Fashion
BIG CAMERA,Central Eastville,1,2F,Technology
BIG MAC DIGITAL PRINTING,Central Eastville,1,2F,Lifestyle & Specialty
BLANC EYELASH SALON TOKYO,Central Eastville,1,3F,Beauty & Wellness
BONCHON,Central Eastville,1,1F,Food & Beverage
BOON TONG KEE,Central Eastville,1,2F,Food & Beverage
BOOTS,Central Eastville,1,2F,Beauty & Wellness
BREADTALK,Central Eastville,1,1F,Food & Beverage
BROWN CAFE,Central Eastville,1,1F,Food & Beverage
CAFE AMAZON,Central Eastville,1,3F,Food & Beverage
CASE DUCK,Central Eastville,1,2F,Technology
CATH KIDSTON,Central Eastville,1,1F,Fashion
CC-OO,Central Eastville,1,1F,Fashion
CENTRAL DEPARTMENT STORE,Central Eastville,1,1F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Eastville,1,2F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Eastville,1,3F,Lifestyle & Specialty
CENTRAL FOOD HALL,Central Eastville,1,1F,Lifestyle & Specialty
CHABA NAILS & BROWS,Central Eastville,1,3F,Beauty & Wellness
CHABUTON,Central Eastville,1,1F,Food & Beverage
CHALACHOL,Central Eastville,1,2F,Beauty & Wellness
CHEEVIT CHEEVA,Central Eastville,1,1F,Food & Beverage
CHEFU TOWN KID'S COOKING SCHOOL,Central Eastville,1,2F,Education
CIMB THAI BANK,Central Eastville,1,3F,Bank & Financial Services
CLAY WORKS,Central Eastville,1,2F,Education
CONVERSE,Central Eastville,1,1F,Fashion
COOL LIVING,Central Eastville,1,2F,Lifestyle & Specialty
COTTON ON,Central Eastville,1,1F,Fashion
CPS COFFEE,Central Eastville,1,1F,Food & Beverage
CROCS,Central Eastville,1,1F,Fashion
CS MOBILE,Central Eastville,1,2F,Technology
CUT & CURL,Central Eastville,1,3F,Beauty & Wellness
DAILY PHONE,Central Eastville,1,2F,Technology
DAIRY QUEEN,Central Eastville,1,2F,Food & Beverage
DAISO,Central Eastville,1,3F,Lifestyle & Specialty
DAKGALBI,Central Eastville,1,2F,Food & Beverage
DRAGCURA,Central Eastville,1,2F,Beauty & Wellness
DRAGON X,Central Eastville,1,1F,Food & Beverage
DTAC,Central Eastville,1,2F,Technology
EARW THAI SUKI BORAN,Central Eastville,1,2F,Food & Beverage
EASTVILLE CINEPLEX,Central Eastville,1,3F,Entertainment
EVERYDAY KARMAKAMET,Central Eastville,1,1F,Beauty & Wellness
EXPERT WATCH,Central Eastville,1,GF,Lifestyle & Specialty
FOODVILLE,Central Eastville,1,1F,Food & Beverage
FOR YOU,Central Eastville,1,2F,Fashion
FOUR SEASONS,Central Eastville,1,1F,Food & Beverage
FRESH ME,Central Eastville,1,1F,Food & Beverage
FUKU MATCHA,Central Eastville,1,2F,Food & Beverage
GAGA,Central Eastville,1,2F,Food & Beverage
GIORDANO,Central Eastville,1,2F,Fashion
GOVERNMENT SAVINGS BANK,Central Eastville,1,3F,Bank & Financial Services
HANG KA THONG YAOWARAJ,Central Eastville,1,2F,Fashion
HARNN,Central Eastville,1,1F,Beauty & Wellness
HATO PET WELLNESS CENTER,Central Eastville,1,1F,Lifestyle & Specialty
HAVAIANAS,Central Eastville,1,1F,Fashion
HONAJI RAMEN,Central Eastville,1,1F,Food & Beverage
HUA SENG HONG,Central Eastville,1,1F,Food & Beverage
HUAWEI,Central Eastville,1,2F,Technology
I ACCESSORIES,Central Eastville,1,2F,Technology
I AM SWEET,Central Eastville,1,1F,Food & Beverage
I CONNECT,Central Eastville,1,2F,Technology
I SERVICE,Central Eastville,1,2F,Technology
I SMART,Central Eastville,1,2F,Technology
I-BRANDNAME,Central Eastville,1,1F,Fashion
I-GENIUS KIDS,Central Eastville,1,2F,Education
ICARE,Central Eastville,1,2F,Technology
INNISFREE,Central Eastville,1,1F,Beauty & Wellness
IPPUDO,Central Eastville,1,1F,Food & Beverage
ITEM BY JAYMART,Central Eastville,1,2F,Technology
JASPAL,Central Eastville,1,1F,Fashion
JAYMART,Central Eastville,1,2F,Technology
JIB,Central Eastville,1,2F,Technology
K. ACCESSORIES,Central Eastville,1,2F,Technology
KAFFEINE BY KANOM,Central Eastville,1,1F,Food & Beverage
KAITHONG,Central Eastville,1,1F,Food & Beverage
KAMAN AMULETS,Central Eastville,1,3F,Lifestyle & Specialty
KARATISE BY KARAT,Central Eastville,1,2F,Fashion
KASIKORN BANK,Central Eastville,1,3F,Bank & Financial Services
KATSUYA,Central Eastville,1,1F,Food & Beverage
KAWAI,Central Eastville,1,2F,Education
KFC,Central Eastville,1,2F,Food & Beverage
KHAW KHA MU HONGTA,Central Eastville,1,1F,Food & Beverage
KHAWKARNG SUWANNAPHUM,Central Eastville,1,1F,Food & Beverage
KHAWMOK SYAM - IN DO,Central Eastville,1,1F,Food & Beverage
KIATNAKIN BANK,Central Eastville,1,3F,Bank & Financial Services
KINDITAMSAN,Central Eastville,1,1F,Food & Beverage
KOI THE,Central Eastville,1,1F,Food & Beverage
KRISPY KREME,Central Eastville,1,1F,Food & Beverage
KRUNG THAI BANK,Central Eastville,1,3F,Bank & Financial Services
KRUNGSRI FIRST CHOICE,Central Eastville,1,3F,Bank & Financial Services
KUAYJUBYUON,Central Eastville,1,1F,Food & Beverage
KUAYTEAWRUERAYONG,Central Eastville,1,1F,Food & Beverage
KUAYTEAWTOMYAMMUCHABU KHIZAB,Central Eastville,1,1F,Food & Beverage
KUB KAO KUB PLA,Central Eastville,1,1F,Food & Beverage
KUMPOON,Central Eastville,1,1F,Food & Beverage
KYO ROLL EN,Central Eastville,1,1F,Food & Beverage
LAEM CHAROEN SEAFOOD,Central Eastville,1,2F,Food & Beverage
LEATHER SOLUTE,Central Eastville,1,GF,Lifestyle & Specialty
LIPDA MOBILE,Central Eastville,1,2F,Technology
LITTLE GLAM,Central Eastville,1,2F,Fashion
LITTLE REDFOX,Central Eastville,1,2F,Beauty & Wellness
LYN,Central Eastville,1,1F,Fashion
MA CHANDELLE,Central Eastville,1,2F,Lifestyle & Specialty
MAC,Central Eastville,1,1F,Beauty & Wellness
MADAME HENG,Central Eastville,1,1F,Beauty & Wellness
MAISEN,Central Eastville,1,1F,Food & Beverage
MAISON BERGER PARIS,Central Eastville,1,1F,Beauty & Wellness
MARIMEKKO,Central Eastville,1,1F,Fashion
MATH TALENT BY DR. YING,Central Eastville,1,2F,Education
MATSUMOTO KIYOSHI,Central Eastville,1,2F,Beauty & Wellness
MISTER SERVICE,Central Eastville,1,GF,Lifestyle & Specialty
MK RESTAURANT,Central Eastville,1,2F,Food & Beverage
MOBILE ONE,Central Eastville,1,2F,Technology
MORE PHONE,Central Eastville,1,2F,Technology
MOS BURGER,Central Eastville,1,2F,Food & Beverage
MUANG THAI LIFE ASSURANCE,Central Eastville,1,3F,Bank & Financial Services
MUJI,Central Eastville,1,1F,Lifestyle & Specialty
MUSIC PLANT,Central Eastville,1,2F,Lifestyle & Specialty
NEW BALANCE,Central Eastville,1,1F,Fashion
NF PHONE,Central Eastville,1,2F,Technology
NICE TWO MEAT U,Central Eastville,1,1F,Food & Beverage
NOKWEED MOBILE,Central Eastville,1,2F,Technology
NOO YOO,Central Eastville,1,2F,Fashion
