Source,Target,Weight,Floor,Category
A MONEY,Central Khonkaen,1,2F,Bank & Financial Services
ADIDAS,Central Khonkaen,1,2F,Fashion & Apparel
AEON,Central Khonkaen,1,2F,Bank & Financial Services
AIIZ,Central Khonkaen,1,1F,Fashion & Apparel
AIS,Central Khonkaen,1,3F,Technology & Electronics
AIS,Central Khonkaen,1,3F,Technology & Electronics
AKA,Central Khonkaen,1,4F,Food & Beverage
AMAXS,Central Khonkaen,1,2F,Lifestyle & Specialty
ANELLO,Central Khonkaen,1,1F,Fashion & Apparel
ARI FOOTBALL,Central Khonkaen,1,2F,Fashion & Apparel
ATM TEA BAR,Central Khonkaen,1,4F,Food & Beverage
AUNTIE ANNE'S,Central Khonkaen,1,2F,Food & Beverage
AURORA,Central Khonkaen,1,2F,Fashion & Apparel
B SA B,Central Khonkaen,1,2F,Beauty & Wellness
B2S,Central Khonkaen,1,GF,Lifestyle & Specialty
BANANA,Central Khonkaen,1,3F,Technology & Electronics
BANGKOK BANK,Central Khonkaen,1,2F,Bank & Financial Services
BANGKOK GOLDS,Central Khonkaen,1,2F,Fashion & Apparel
BANGKOK INSURANCE,Central Khonkaen,1,2F,Bank & Financial Services
BANK OF AYUDHYA,Central Khonkaen,1,3F,Bank & Financial Services
BATA,Central Khonkaen,1,1F,Fashion & Apparel
BEAUTRIUM,Central Khonkaen,1,1F,Beauty & Wellness
BEBE PHONE,Central Khonkaen,1,3F,Technology & Electronics
BETTER VISION,Central Khonkaen,1,2F,Fashion & Apparel
BIG CAMERA,Central Khonkaen,1,3F,Technology & Electronics
BIG MOBILE,Central Khonkaen,1,3F,Technology & Electronics
BLACK CANYON COFFEE,Central Khonkaen,1,4F,Food & Beverage
BLACK PEARL,Central Khonkaen,1,2F,Beauty & Wellness
BODY GLOVE,Central Khonkaen,1,1F,Fashion & Apparel
BONCHON,Central Khonkaen,1,4F,Food & Beverage
BONJOUR,Central Khonkaen,1,4F,Food & Beverage
BOOTS,Central Khonkaen,1,2F,Beauty & Wellness
BOOTS,Central Khonkaen,1,GF,Beauty & Wellness
