Source,Target,Weight,Floor,Category
3BB,Central Korat,1,2F,Technology
88ASHER,Central Korat,1,2F,Fashion
AIA,Central Korat,1,3F,Bank & Financial Services
AIIZ,Central Korat,1,1F,Fashion
AIS,Central Korat,1,2F,Technology
AKA,Central Korat,1,4F,Food & Beverage
AKITA CHA,Central Korat,1,GF,Food & Beverage
APEX,Central Korat,1,3F,Beauty & Wellness
ARI FOOTBALL,Central Korat,1,1F,Fashion
ARSENGYENTAFOYAOWARAJ,Central Korat,1,GF,Food & Beverage
ASUS,Central Korat,1,2F,Technology
AUNTIE ANNE'S,Central Korat,1,2F,Food & Beverage
AURORA,Central Korat,1,GF,Fashion
B2S THINK SPACE,Central Korat,1,4F,Lifestyle & Specialty
BANANA,Central Korat,1,2F,Technology
BANGKOK BANK,Central Korat,1,3F,Bank & Financial Services
BANGKOK GOLDS,Central Korat,1,GF,Fashion
BANK OF AYUDHYA,Central Korat,1,3F,Bank & Financial Services
BAR-B-Q PLAZA,Central Korat,1,4F,Food & Beverage
BATA,Central Korat,1,2F,Fashion
BEAUTRIUM,Central Korat,1,1F,Beauty & Wellness
BEBE PHONE,Central Korat,1,2F,Technology
BETTER VISION,Central Korat,1,3F,Fashion
BEWITCHED EVERYDAY BOARDGAME CAFE,Central Korat,1,4F,Entertainment
BIG CAMERA,Central Korat,1,2F,Technology
BIGTOKYO BY COCOABAR,Central Korat,1,3F,Food & Beverage
BKK DIAMOND,Central Korat,1,1F,Fashion
BLOOD DONATION ROOM MAHARAT NAKHONRATCHASIMA HOSPITAL,Central Korat,1,3F,Services
BLUESTEAKHOUSE,Central Korat,1,GF,Food & Beverage
BODY GLOVE,Central Korat,1,2F,Fashion
BONCHON,Central Korat,1,1F,Food & Beverage
BOOST JUICE BARS,Central Korat,1,GF,Food & Beverage
BOOTS,Central Korat,1,GF,Beauty & Wellness
BREADTALK,Central Korat,1,GF,Food & Beverage
CAFÉ AMAZON,Central Korat,1,GF,Food & Beverage
CC-OO,Central Korat,1,1F,Fashion
CDS,Central Korat,1,1F,Lifestyle & Specialty
CEN SPACE,Central Korat,1,1F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Korat,1,2F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Korat,1,3F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Korat,1,4F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Korat,1,GF,Lifestyle & Specialty
CHAKAFAIR,Central Korat,1,1F,Food & Beverage
CHAODOI,Central Korat,1,3F,Food & Beverage
CHARLES & KEITH,Central Korat,1,1F,Fashion
CHATRAMUE,Central Korat,1,GF,Food & Beverage
CHEEVA SOM RETREAT,Central Korat,1,3F,Beauty & Wellness
CHESTER'S,Central Korat,1,GF,Food & Beverage
CHOM SHOP,Central Korat,1,2F,Fashion
CHUMPOLKAOMUKAI,Central Korat,1,GF,Food & Beverage
CLOUD 9,Central Korat,1,4F,Lifestyle & Specialty
CONVERSE,Central Korat,1,1F,Fashion
COS MARCHE,Central Korat,1,1F,Beauty & Wellness
COWAY,Central Korat,1,3F,Lifestyle & Specialty
CPS CHAPS,Central Korat,1,1F,Fashion
CREPE SAI TAEK BY FON,Central Korat,1,GF,Food & Beverage
CRISPY CREPES X UME'CHA,Central Korat,1,3F,Food & Beverage
CROCS,Central Korat,1,1F,Fashion
CRUZY,Central Korat,1,GF,Fashion
CURIOOKIDS,Central Korat,1,3F,Education
DAENG NAMNUANG,Central Korat,1,1F,Food & Beverage
DAIRY QUEEN,Central Korat,1,GF,Food & Beverage
DAISO,Central Korat,1,3F,Lifestyle & Specialty
DOSH (DESCENDANT OF SUPERHEROES),Central Korat,1,2F,Fashion
EASY MONEY SHOP,Central Korat,1,GF,Bank & Financial Services
FACTORY 1,Central Korat,1,2F,Fashion
FAST LEARN ACADEMY,Central Korat,1,3F,Education
FIN88,Central Korat,1,1F,Fashion
FITNESS LIFESTYLE,Central Korat,1,2F,Lifestyle & Specialty
FOODPARK,Central Korat,1,GF,Food & Beverage
FRENCH KITSCH CAFE' PROJECT,Central Korat,1,1F,Food & Beverage
FUJI JAPANESE RESTAURANT,Central Korat,1,4F,Food & Beverage
FUKU MATCHA,Central Korat,1,GF,Food & Beverage
FUTURE LIVING,Central Korat,1,3F,Lifestyle & Specialty
G-SHOCK CASIO,Central Korat,1,1F,Fashion
GAGA,Central Korat,1,GF,Food & Beverage
GINTELL,Central Korat,1,3F,Lifestyle & Specialty
GIORDANO,Central Korat,1,1F,Fashion
GLO,Central Korat,1,3F,Beauty & Wellness
GOVERNMENT COUNTER SERVICE,Central Korat,1,GF,Services
GOVERNMENT HOUSING BANK,Central Korat,1,3F,Bank & Financial Services
GOVERNMENT SAVING BANK,Central Korat,1,3F,Bank & Financial Services
GROW ON ME,Central Korat,1,3F,Lifestyle & Specialty
GUAYJAPYUAN,Central Korat,1,GF,Food & Beverage
GUESS,Central Korat,1,1F,Fashion
HACHIBAN RAMEN,Central Korat,1,GF,Food & Beverage
HAIR D' CRAFT,Central Korat,1,3F,Beauty & Wellness
HANGTHONG WHANG TOH KANG YAOWARAJ,Central Korat,1,GF,Fashion
HEAVY,Central Korat,1,2F,Fashion
HIGH SCHOOL,Central Korat,1,1F,Fashion
HONOR,Central Korat,1,2F,Technology
HUAWEI,Central Korat,1,2F,Technology
