Source,Target,Weight,Floor,Category
A.CEMI,Central Ladprao,1,GF,Fashion & Apparel
AAPE BY A BATHING APE,Central Ladprao,1,2F,Fashion & Apparel
ACE,Central Ladprao,1,3F,Fashion & Apparel
ACQUA DI PARMA,Central Ladprao,1,1F,Beauty & Wellness
ACSEINE,Central Ladprao,1,1F,Beauty & Wellness
ACTIKA,Central Ladprao,1,2F,Fashion & Apparel
ACTTO,Central Ladprao,1,3F,Technology & Electronics
ADIDAS,Central Ladprao,1,1F,Fashion & Apparel
ADIDAS,Central Ladprao,1,3F,Fashion & Apparel
ADIDAS,Central Ladprao,1,2F,Fashion & Apparel
ADIDAS,Central Ladprao,1,2F,Fashion & Apparel
AFTER YOU,Central Ladprao,1,1F,Food & Beverage
AIIZ,Central Ladprao,1,2F,Fashion & Apparel
AIRWHEEL,Central Ladprao,1,3F,Lifestyle & Specialty
AIS,Central Ladprao,1,2F,Technology & Electronics
AIS,Central Ladprao,1,3F,Technology & Electronics
AKA,Central Ladprao,1,3F,Food & Beverage
ALBA,Central Ladprao,1,1F,Fashion & Apparel
ALBEDO,Central Ladprao,1,3F,Fashion & Apparel
ALDO,Central Ladprao,1,2F,Fashion & Apparel
ALL ABOUT YOU,Central Ladprao,1,GF,Beauty & Wellness
ALUMNUS,Central Ladprao,1,3F,Fashion & Apparel
ALUMNUS WOMEN,Central Ladprao,1,2F,Fashion & Apparel
AMAZFIT,Central Ladprao,1,3F,Technology & Electronics
AMERICAN TOURISTER,Central Ladprao,1,3F,Fashion & Apparel
AMOR,Central Ladprao,1,2F,Food & Beverage
AMOR,Central Ladprao,1,GF,Food & Beverage
ANANTA,Central Ladprao,1,3F,Fashion & Apparel
ANASTASIA MIARAY,Central Ladprao,1,3F,Beauty & Wellness
ANDREW BROWN,Central Ladprao,1,3F,Fashion & Apparel
ANELLO,Central Ladprao,1,2F,Fashion & Apparel
ANGELINO RUFOLO,Central Ladprao,1,3F,Fashion & Apparel
ANNE KLEIN,Central Ladprao,1,1F,Fashion & Apparel
ANOTHER WAY WE SPEAK,Central Ladprao,1,3F,Fashion & Apparel
ARCHIVE,Central Ladprao,1,3F,Fashion & Apparel
ARMANDO CARUSO,Central Ladprao,1,1F,Fashion & Apparel
ARROW,Central Ladprao,1,3F,Fashion & Apparel
ARTIFACT,Central Ladprao,1,3F,Lifestyle & Specialty
ARTY,Central Ladprao,1,1F,Beauty & Wellness
ASA SERIVCES,Central Ladprao,1,1F,Lifestyle & Specialty
ASICS,Central Ladprao,1,3F,Fashion & Apparel
ATM TEA BAR,Central Ladprao,1,GF,Food & Beverage
ATMOS,Central Ladprao,1,2F,Fashion & Apparel
AUDREY,Central Ladprao,1,4F,Food & Beverage
AUGUSTINUS BADER,Central Ladprao,1,1F,Beauty & Wellness
AUNTIE ANNE'S,Central Ladprao,1,2F,Food & Beverage
AUNTIE ANNE'S,Central Ladprao,1,GF,Food & Beverage
AURORA,Central Ladprao,1,3F,Fashion & Apparel
AVEDA,Central Ladprao,1,1F,Beauty & Wellness
AVOCADO,Central Ladprao,1,GF,Fashion & Apparel
