Source,Target,Weight,Floor,Category
AFS STUDIO,Central Lampang,1,3F,Lifestyle & Specialty
AIIZ,Central Lampang,1,1F,Fashion & Apparel
AIS,Central Lampang,1,2F,Technology & Electronics
AUNTIE ANNE'S,Central Lampang,1,1F,Food & Beverage
AURORA,Central Lampang,1,1F,Fashion & Apparel
B2S,Central Lampang,1,2F,Lifestyle & Specialty
BANANA,Central Lampang,1,2F,Technology & Electronics
BANGKOK BANK,Central Lampang,1,2F,Bank & Financial Services
BANK OF AYUDHYA,Central Lampang,1,2F,Bank & Financial Services
BAR-B-Q PLAZA,Central Lampang,1,3F,Food & Beverage
BATA,Central Lampang,1,2F,Fashion & Apparel
BEBE PHONE,Central Lampang,1,2F,Technology & Electronics
BIG CAMERA,Central Lampang,1,2F,Technology & Electronics
BLACK CANYON COFFEE,Central Lampang,1,3F,Food & Beverage
BODY GLOVE,Central Lampang,1,1F,Fashion & Apparel
BOOTS,Central Lampang,1,2F,Beauty & Wellness
CAFE AMAZON,Central Lampang,1,1F,Food & Beverage
CAT TELECOM,Central Lampang,1,2F,Technology & Electronics
CC-OO,Central Lampang,1,1F,Fashion & Apparel
CHATRAMUE,Central Lampang,1,1F,Food & Beverage
CHILL PARK,Central Lampang,1,1F,Food & Beverage
CITI,Central Lampang,1,2F,Bank & Financial Services
CPS CHAPS,Central Lampang,1,1F,Fashion & Apparel
CSC,Central Lampang,1,2F,Technology & Electronics
DAIRY QUEEN,Central Lampang,1,3F,Food & Beverage
DAISO,Central Lampang,1,2F,Lifestyle & Specialty
DIAMOND FOR YOU,Central Lampang,1,1F,Fashion & Apparel
DILAVIE,Central Lampang,1,1F,Fashion & Apparel
DOSH (DESCENDANT OF SUPERHEROES),Central Lampang,1,1F,Fashion & Apparel
EXPORT SHOP,Central Lampang,1,2F,Fashion & Apparel
EYE CLASS,Central Lampang,1,3F,Fashion & Apparel
FIN DAY,Central Lampang,1,3F,Lifestyle & Specialty
FOCUS,Central Lampang,1,2F,Technology & Electronics
FOOD PARK,Central Lampang,1,1F,Food & Beverage
FRESH ME,Central Lampang,1,3F,Food & Beverage
GIORDANO,Central Lampang,1,1F,Fashion & Apparel
GOVERMENT SERVICE CENTER,Central Lampang,1,3F,Lifestyle & Specialty
GOVERNMENT SAVINGS BANK,Central Lampang,1,2F,Bank & Financial Services
HORNOR,Central Lampang,1,2F,Technology & Electronics
HUG AT HOME,Central Lampang,1,1F,Food & Beverage
IT CITY,Central Lampang,1,2F,Technology & Electronics
IYAPANGNOM,Central Lampang,1,1F,Food & Beverage
JAEDAO TAMLAEK,Central Lampang,1,1F,Food & Beverage
JASPAL,Central Lampang,1,1F,Fashion & Apparel
JAYMART,Central Lampang,1,2F,Technology & Electronics
JIB,Central Lampang,1,2F,Technology & Electronics
JUBILEE DIAMOND,Central Lampang,1,1F,Fashion & Apparel
