Source,Target,Weight,Floor,Category
7TH STREET,Central Mahachai,1,1F,Fashion & Apparel
ADVICE,Central Mahachai,1,2F,Technology & Electronics
AIS,Central Mahachai,1,2F,Technology & Electronics
AUNTIE ANNE'S,Central Mahachai,1,1F,Food & Beverage
AURORA,Central Mahachai,1,1F,Fashion & Apparel
AUTO1,Central Mahachai,1,1F,Lifestyle & Specialty
B2S,Central Mahachai,1,2F,Lifestyle & Specialty
BAAN PUYING,Central Mahachai,1,3F,Fashion & Apparel
IT BANANA,Central Mahachai,1,2F,Technology & Electronics
IT BANANA,Central Mahachai,1,2F,Technology & Electronics
BAOJI,Central Mahachai,1,1F,Fashion & Apparel
BATA,Central Mahachai,1,1F,Fashion & Apparel
BEBE PHONE,Central Mahachai,1,2F,Technology & Electronics
BIG CAMERA,Central Mahachai,1,2F,Technology & Electronics
BKK BY BANANA,Central Mahachai,1,2F,Technology & Electronics
BONCHON,Central Mahachai,1,1F,Food & Beverage
BOON TONG KEE,Central Mahachai,1,1F,Food & Beverage
BOOST JUICE BAR,Central Mahachai,1,1F,Food & Beverage
BOOTS,Central Mahachai,1,2F,Beauty & Wellness
BOWCAKE,Central Mahachai,1,1F,Food & Beverage
BREADTALK,Central Mahachai,1,1F,Food & Beverage
BRIDGE&BAY,Central Mahachai,1,2F,Fashion & Apparel
CAFE AMAZON,Central Mahachai,1,2F,Food & Beverage
CAZZY,Central Mahachai,1,1F,Fashion & Apparel
CC-OO,Central Mahachai,1,1F,Fashion & Apparel
CHATRAMUE,Central Mahachai,1,1F,Food & Beverage
CHEEN,Central Mahachai,1,1F,Food & Beverage
CHER CLINIC,Central Mahachai,1,2F,Beauty & Wellness
CHILLING STYLE,Central Mahachai,1,1F,Fashion & Apparel
CLASSIC SHOP,Central Mahachai,1,GF,Lifestyle & Specialty
CONVERSE,Central Mahachai,1,1F,Fashion & Apparel
CPS CHAPS,Central Mahachai,1,1F,Fashion & Apparel
CROCS,Central Mahachai,1,1F,Fashion & Apparel
CRUZY,Central Mahachai,1,1F,Fashion & Apparel
CURLY CUT,Central Mahachai,1,2F,Beauty & Wellness
CUTE PRESS,Central Mahachai,1,1F,Beauty & Wellness
DAIRY QUEEN,Central Mahachai,1,1F,Food & Beverage
DAISO,Central Mahachai,1,2F,Lifestyle & Specialty
DE RALPH CLINIC,Central Mahachai,1,2F,Beauty & Wellness
DOLLAR BOUTIQUE,Central Mahachai,1,1F,Fashion & Apparel
DTAC,Central Mahachai,1,2F,Technology & Electronics
DUANGSEATTE,Central Mahachai,1,GF,Lifestyle & Specialty
E-QUIP,Central Mahachai,1,2F,Technology & Electronics
ENDU FIX,Central Mahachai,1,2F,Lifestyle & Specialty
EUPHORIA,Central Mahachai,1,1F,Beauty & Wellness
EYE CLASS,Central Mahachai,1,2F,Fashion & Apparel
FIN BALLOON & FLOWER,Central Mahachai,1,GF,Lifestyle & Specialty
FONG FAB LAUNDRY & DRYCLEAN,Central Mahachai,1,GF,Lifestyle & Specialty
FOOD PARK,Central Mahachai,1,1F,Food & Beverage
FUJI,Central Mahachai,1,3F,Food & Beverage
FUKU MATCHA,Central Mahachai,1,3F,Food & Beverage
GAGA,Central Mahachai,1,1F,Food & Beverage
GIORDANO,Central Mahachai,1,1F,Fashion & Apparel
I SERVE,Central Mahachai,1,2F,Technology & Electronics
I STUDIO,Central Mahachai,1,2F,Technology & Electronics
IT CITY,Central Mahachai,1,2F,Technology & Electronics
IT GO,Central Mahachai,1,2F,Technology & Electronics
JIB,Central Mahachai,1,2F,Technology & Electronics
JK SHOP,Central Mahachai,1,GF,Lifestyle & Specialty
KAREN,Central Mahachai,1,1F,Fashion & Apparel
KATSUYA,Central Mahachai,1,3F,Food & Beverage
KFC,Central Mahachai,1,1F,Food & Beverage
KIDS UNIVERSE,Central Mahachai,1,3F,Lifestyle & Specialty
KIN JAPANESE BUFFET & RAMEN,Central Mahachai,1,3F,Food & Beverage
KRISPY KREME,Central Mahachai,1,1F,Food & Beverage
LALUNE,Central Mahachai,1,1F,Food & Beverage
LEVI'S,Central Mahachai,1,1F,Fashion & Apparel
