Source,Target,Weight,Floor,Category
2WIN,Central Marina,1,1F,Fashion & Apparel
AIIZ,Central Marina,1,1F,Fashion & Apparel
AIS,Central Marina,1,2F,Technology & Electronics
ANNA FASHION,Central Marina,1,1F,Fashion & Apparel
ARTHITAYA,Central Marina,1,1F,Fashion & Apparel
AUNTIE ANNE'S,Central Marina,1,1F,Food & Beverage
AURORA,Central Marina,1,1F,Fashion & Apparel
BANANA,Central Marina,1,2F,Technology & Electronics
BANGKOK GOLDS,Central Marina,1,1F,Fashion & Apparel
BANGKOK LATEX,Central Marina,1,1F,Lifestyle & Specialty
BAR-B-Q PLAZA,Central Marina,1,1F,Food & Beverage
BATA,Central Marina,1,1F,Fashion & Apparel
BERRER,Central Marina,1,1F,Fashion & Apparel
BIG C,Central Marina,1,1F,Lifestyle & Specialty
BIG C,Central Marina,1,2F,Lifestyle & Specialty
BIG CAMERA,Central Marina,1,2F,Technology & Electronics
BODY GLOVE,Central Marina,1,1F,Fashion & Apparel
BOOTS,Central Marina,1,1F,Beauty & Wellness
BREADTALK,Central Marina,1,1F,Food & Beverage
CAFE AMAZON,Central Marina,1,1F,Food & Beverage
CHAROVA,Central Marina,1,1F,Fashion & Apparel
CHATHONG CREATED,Central Marina,1,1F,Fashion & Apparel
CHEAP AND CHIC,Central Marina,1,1F,Fashion & Apparel
COFFEE TIME,Central Marina,1,2F,Food & Beverage
CONCEPT,Central Marina,1,1F,Fashion & Apparel
D&D,Central Marina,1,1F,Fashion & Apparel
DADIA,Central Marina,1,1F,Fashion & Apparel
DAIRY QUEEN,Central Marina,1,1F,Food & Beverage
DEEGEE,Central Marina,1,1F,Fashion & Apparel
DOLCHANOK,Central Marina,1,1F,Fashion & Apparel
DT BKK,Central Marina,1,1F,Fashion & Apparel
EXPORT SHOP,Central Marina,1,1F,Fashion & Apparel
EYE CLASS,Central Marina,1,1F,Fashion & Apparel
FIRST CLASS,Central Marina,1,2F,Lifestyle & Specialty
FOOD PARK,Central Marina,1,1F,Food & Beverage
GIORDANO,Central Marina,1,1F,Fashion & Apparel
HACHIBAN RAMEN,Central Marina,1,1F,Food & Beverage
JJAMBBONGGA,Central Marina,1,1F,Food & Beverage
JUN HAIR,Central Marina,1,1F,Beauty & Wellness
K-MOBILE PHONE,Central Marina,1,2F,Technology & Electronics
KANGNAM RESTAURANT,Central Marina,1,1F,Food & Beverage
KATE JEWERY,Central Marina,1,1F,Fashion & Apparel
KFC,Central Marina,1,1F,Food & Beverage
KRUNG THAI BANK,Central Marina,1,2F,Bank & Financial Services
KT OPTIC,Central Marina,1,1F,Fashion & Apparel
LINDA,Central Marina,1,1F,Fashion & Apparel
LIVIA,Central Marina,1,1F,Fashion & Apparel
LUXURY,Central Marina,1,1F,Fashion & Apparel
MANTENDO,Central Marina,1,1F,Fashion & Apparel
MC DONALD'S,Central Marina,1,1F,Food & Beverage
MIANG DONG,Central Marina,1,1F,Food & Beverage
MINISO,Central Marina,1,2F,Lifestyle & Specialty
MIRA CLINIC,Central Marina,1,2F,Beauty & Wellness
MISTER DONUT,Central Marina,1,1F,Food & Beverage
MK RESTAURANT,Central Marina,1,1F,Food & Beverage
NAGARA BEACH CLUB,Central Marina,1,1F,Fashion & Apparel
NAIL CARE,Central Marina,1,1F,Beauty & Wellness
NARAYA,Central Marina,1,1F,Fashion & Apparel
NATCHA,Central Marina,1,2F,Fashion & Apparel
NETURA,Central Marina,1,1F,Fashion & Apparel
NIKE FACTORY STORE,Central Marina,1,2F,Fashion & Apparel
NIYOM JEANS,Central Marina,1,1F,Fashion & Apparel
NOBICHA,Central Marina,1,1F,Food & Beverage
NOONA GARDEN,Central Marina,1,1F,Lifestyle & Specialty
OSANACK,Central Marina,1,1F,Food & Beverage
OTTERI,Central Marina,1,1F,Lifestyle & Specialty
OUTDOOR SPORT,Central Marina,1,1F,Fashion & Apparel
P.A. PHONE,Central Marina,1,2F,Technology & Electronics
PIZZA HUT,Central Marina,1,1F,Food & Beverage
POINT HUNDRED TWENTY,Central Marina,1,1F,Fashion & Apparel
PREM,Central Marina,1,1F,Fashion & Apparel
PUSAN COFFEE (กาแฟน่าน),Central Marina,1,1F,Food & Beverage
RICH,Central Marina,1,1F,Fashion & Apparel
SABINA,Central Marina,1,1F,Fashion & Apparel
SF CINEMA,Central Marina,1,3F,Entertainment
SHABUSHI,Central Marina,1,2F,Food & Beverage
SIAM COMMERCIAL BANK,Central Marina,1,2F,Bank & Financial Services
SKECHERS OUTLET,Central Marina,1,2F,Fashion & Apparel
SOUTHERN COFFEE,Central Marina,1,1F,Food & Beverage
SP MOBILE,Central Marina,1,2F,Technology & Electronics
SP PHONE,Central Marina,1,2F,Technology & Electronics
STARBUCKS COFFEE,Central Marina,1,1F,Food & Beverage
SUGAR FAMILY,Central Marina,1,1F,Fashion & Apparel
SUPER SPORTS,Central Marina,1,2F,Fashion & Apparel
THE CLASSIC HAIR SALON,Central Marina,1,1F,Beauty & Wellness
THE LITTLE GYM,Central Marina,1,2F,Services & Education
TONG GARDEN,Central Marina,1,1F,Food & Beverage
TRUE,Central Marina,1,2F,Technology & Electronics
TUMRUBTHAI,Central Marina,1,1F,Beauty & Wellness
V2 WORLD,Central Marina,1,1F,Lifestyle & Specialty
WATSONS,Central Marina,1,1F,Beauty & Wellness
X=ACT,Central Marina,1,1F,Fashion & Apparel
YADA AESTHETIC CLINIC,Central Marina,1,2F,Beauty & Wellness
YAYOI,Central Marina,1,1F,Food & Beverage
