Source,Target,Weight,Floor,Category
ADIDAS,Central Nakhon Sawan,1,GF,Fashion & Apparel
ADVICE,Central Nakhon Sawan,1,1F,Technology & Electronics
AI-CHA,Central Nakhon Sawan,1,1F,Food & Beverage
AIS,Central Nakhon Sawan,1,1F,Technology & Electronics
APEX,Central Nakhon Sawan,1,1F,Beauty & Wellness
ASICS,Central Nakhon Sawan,1,GF,Fashion & Apparel
AUNTIE ANNE'S,Central Nakhon Sawan,1,GF,Food & Beverage
AURORA,Central Nakhon Sawan,1,GF,Fashion & Apparel
B2S,Central Nakhon Sawan,1,2F,Lifestyle & Specialty
BAKE A WISH,Central Nakhon Sawan,1,GF,Food & Beverage
BANANA,Central Nakhon Sawan,1,1F,Technology & Electronics
BANGKOK BANK,Central Nakhon Sawan,1,2F,Bank & Financial Services
BAOJI,Central Nakhon Sawan,1,1F,Fashion & Apparel
BAR-B-Q PLAZA,Central Nakhon Sawan,1,2F,Food & Beverage
BATA,Central Nakhon Sawan,1,1F,Fashion & Apparel
BEAUTRIUM,Central Nakhon Sawan,1,GF,Beauty & Wellness
BEBE PHONE,Central Nakhon Sawan,1,1F,Technology & Electronics
BIG CAMERA,Central Nakhon Sawan,1,1F,Technology & Electronics
BLACK SHARK CLINIC,Central Nakhon Sawan,1,1F,Beauty & Wellness
BODY GLOVE,Central Nakhon Sawan,1,GF,Fashion & Apparel
BONAGE,Central Nakhon Sawan,1,1F,Beauty & Wellness
BONCHON,Central Nakhon Sawan,1,GF,Food & Beverage
BOOST JUICE BAR,Central Nakhon Sawan,1,GF,Food & Beverage
CAFE AMAZON,Central Nakhon Sawan,1,GF,Food & Beverage
CC DOUBLE O,Central Nakhon Sawan,1,GF,Fashion & Apparel
CENTRAL DEPARTMENT STORE,Central Nakhon Sawan,1,1F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Nakhon Sawan,1,2F,Lifestyle & Specialty
