Source,Target,Weight,Floor,Category
ADVICE,Central Nakhon Si,1,2F,Technology
AEON THANA SINSAP,Central Nakhon Si,1,2F,Bank & Financial Services
AIIZ,Central Nakhon Si,1,1F,Fashion
AIS,Central Nakhon Si,1,2F,Technology
AIS BY PARTNER,Central Nakhon Si,1,2F,Technology
AKA,Central Nakhon Si,1,3F,Food & Beverage
AMIDA CHUANCHIM,Central Nakhon Si,1,1F,Food & Beverage
ARKO-KHAOMOODANG,Central Nakhon Si,1,1F,Food & Beverage
AROIDEEKAPHOWTHAD,Central Nakhon Si,1,1F,Food & Beverage
AUNTIE ANNE'S,Central Nakhon Si,1,2F,Food & Beverage
B2S,Central Nakhon Si,1,2F,Lifestyle & Specialty
BANANA IT,Central Nakhon Si,1,2F,Technology
BANGKOK BANK,Central Nakhon Si,1,2F,Bank & Financial Services
BANK OF AYUDHYA,Central Nakhon Si,1,2F,Bank & Financial Services
BAOJI,Central Nakhon Si,1,1F,Fashion
BAR-B-Q PLAZA,Central Nakhon Si,1,3F,Food & Beverage
BARBIE BLINK CLINIC,Central Nakhon Si,1,3F,Beauty & Wellness
BATA,Central Nakhon Si,1,1F,Fashion
BEAUTY BUFFET,Central Nakhon Si,1,1F,Beauty & Wellness
BEBE PHONE,Central Nakhon Si,1,2F,Technology
BETTER VISION,Central Nakhon Si,1,2F,Fashion
BIG CAMERA,Central Nakhon Si,1,2F,Technology
BILLIONAIRE,Central Nakhon Si,1,3F,Fashion
BONCHON,Central Nakhon Si,1,3F,Food & Beverage
BOOTS,Central Nakhon Si,1,2F,Beauty & Wellness
CAFÉ AMAZON,Central Nakhon Si,1,2F,Food & Beverage
CC-OO,Central Nakhon Si,1,1F,Fashion
CENTER OPTIC,Central Nakhon Si,1,3F,Fashion
CENTRAL PLAZA NAKORNSRITHAMMARAT POSTAL COUNTER,Central Nakhon Si,1,GF,Services
CHAAUTTHONG,Central Nakhon Si,1,1F,Food & Beverage
CHARLES & KEITH,Central Nakhon Si,1,1F,Fashion
CHESTER'S,Central Nakhon Si,1,1F,Food & Beverage
CONVERSE,Central Nakhon Si,1,1F,Fashion
COSCEN,Central Nakhon Si,1,2F,Beauty & Wellness
COUNTER AUMPERYIM,Central Nakhon Si,1,3F,Services
CPS CHAPS,Central Nakhon Si,1,1F,Fashion
CROCS,Central Nakhon Si,1,1F,Fashion
CUTE PRESS,Central Nakhon Si,1,1F,Beauty & Wellness
CYBORG KONG,Central Nakhon Si,1,2F,Technology
DAIRY QUEEN,Central Nakhon Si,1,1F,Food & Beverage
DAISO,Central Nakhon Si,1,2F,Lifestyle & Specialty
DILAVIE,Central Nakhon Si,1,1F,Fashion
DTAC HALL,Central Nakhon Si,1,2F,Technology
EXPORT SHOP,Central Nakhon Si,1,1F,Fashion
EYE CLASS,Central Nakhon Si,1,2F,Fashion
FOCUS,Central Nakhon Si,1,2F,Technology
