Source,Target,Weight,Floor,Category
ADIDAS,Central Nakhon Pathom,1,GF,Fashion & Apparel
ADVICE,Central Nakhon Pathom,1,1F,Technology & Electronics
AES CLASS CLINIC,Central Nakhon Pathom,1,2F,Beauty & Wellness
AI-CHA,Central Nakhon Pathom,1,2F,Food & Beverage
AIIZ,Central Nakhon Pathom,1,GF,Fashion & Apparel
AIS,Central Nakhon Pathom,1,1F,Technology & Electronics
ANTA,Central Nakhon Pathom,1,GF,Fashion & Apparel
APEX,Central Nakhon Pathom,1,2F,Beauty & Wellness
ARI FOOTBALL,Central Nakhon Pathom,1,GF,Fashion & Apparel
AUNTIE ANNE'S,Central Nakhon Pathom,1,GF,Food & Beverage
AURORA,Central Nakhon Pathom,1,GF,Fashion & Apparel
AUTO1,Central Nakhon Pathom,1,B2,Lifestyle & Specialty
BABYSMILE GACHAPON,Central Nakhon Pathom,1,1F,Lifestyle & Specialty
BAKE A WISH,Central Nakhon Pathom,1,GF,Food & Beverage
IT BANANA,Central Nakhon Pathom,1,1F,Technology & Electronics
IT BANANA,Central Nakhon Pathom,1,1F,Technology & Electronics
BANGKOK BANK,Central Nakhon Pathom,1,2F,Bank & Financial Services
BAR-B-Q PLAZA,Central Nakhon Pathom,1,2F,Food & Beverage
BARON'S BAR BY THE CHEESE BARON,Central Nakhon Pathom,1,GF,Food & Beverage
BATA,Central Nakhon Pathom,1,GF,Fashion & Apparel
BEAUTRIUM,Central Nakhon Pathom,1,GF,Beauty & Wellness
BETTER VISION,Central Nakhon Pathom,1,1F,Fashion & Apparel
BIG CAMERA,Central Nakhon Pathom,1,1F,Technology & Electronics
BODY GLOVE,Central Nakhon Pathom,1,GF,Fashion & Apparel
BONCHON,Central Nakhon Pathom,1,GF,Food & Beverage
BOON TONG KEE,Central Nakhon Pathom,1,2F,Food & Beverage
BOOST JUICE BAR,Central Nakhon Pathom,1,GF,Food & Beverage
BOOTS,Central Nakhon Pathom,1,1F,Beauty & Wellness
CAFE AMAZON,Central Nakhon Pathom,1,2F,Food & Beverage
CATWALK BY KOH-TUN,Central Nakhon Pathom,1,1F,Fashion & Apparel
CC DOUBLE O,Central Nakhon Pathom,1,GF,Fashion & Apparel
CHATRAMUE,Central Nakhon Pathom,1,GF,Food & Beverage
CLICK ROBOT,Central Nakhon Pathom,1,1F,Services & Education
COWAY,Central Nakhon Pathom,1,2F,Lifestyle & Specialty
CPS CHAPS,Central Nakhon Pathom,1,GF,Fashion & Apparel
CROCS,Central Nakhon Pathom,1,GF,Fashion & Apparel
CUTE PRESS,Central Nakhon Pathom,1,GF,Beauty & Wellness
DAIRY QUEEN,Central Nakhon Pathom,1,GF,Food & Beverage
DIAMOND FOR YOU,Central Nakhon Pathom,1,GF,Fashion & Apparel
FITFLOP,Central Nakhon Pathom,1,GF,Fashion & Apparel
FOCUS,Central Nakhon Pathom,1,1F,Technology & Electronics
FOTOYA,Central Nakhon Pathom,1,2F,Lifestyle & Specialty
FRESH ME,Central Nakhon Pathom,1,2F,Food & Beverage
FUJI,Central Nakhon Pathom,1,2F,Food & Beverage
FUKU MATCHA,Central Nakhon Pathom,1,GF,Food & Beverage
FUN CITY,Central Nakhon Pathom,1,1F,Entertainment
G-SHOCK,Central Nakhon Pathom,1,GF,Fashion & Apparel
GAGA,Central Nakhon Pathom,1,2F,Food & Beverage
GANGNAM CLINIC,Central Nakhon Pathom,1,2F,Beauty & Wellness
GORILLA,Central Nakhon Pathom,1,1F,Technology & Electronics
HACHIBAN RAMEN,Central Nakhon Pathom,1,2F,Food & Beverage
HAVAIANAS,Central Nakhon Pathom,1,GF,Fashion & Apparel
HELLO CASE,Central Nakhon Pathom,1,1F,Technology & Electronics
HIGH SCHOOL,Central Nakhon Pathom,1,GF,Fashion & Apparel
HOBS HOUSEOFBROS,Central Nakhon Pathom,1,GF,Fashion & Apparel
HUAWEI,Central Nakhon Pathom,1,1F,Technology & Electronics
INFINITY,Central Nakhon Pathom,1,2F,Beauty & Wellness
ING TAAN THAIMASSAGE,Central Nakhon Pathom,1,B2,Beauty & Wellness
INLOVE,Central Nakhon Pathom,1,GF,Fashion & Apparel
INTHANIN COFFEE,Central Nakhon Pathom,1,1F,Food & Beverage
ISTUDIO BY COPPERWIRED,Central Nakhon Pathom,1,GF,Technology & Electronics
IT CITY,Central Nakhon Pathom,1,1F,Technology & Electronics
IT CITY,Central Nakhon Pathom,1,1F,Technology & Electronics
IT GO,Central Nakhon Pathom,1,1F,Technology & Electronics
JACK RUSSEL,Central Nakhon Pathom,1,GF,Fashion & Apparel
JASPAL,Central Nakhon Pathom,1,GF,Fashion & Apparel
JAYMART,Central Nakhon Pathom,1,1F,Technology & Electronics
JELLY BUNNY,Central Nakhon Pathom,1,GF,Fashion & Apparel
JIAN CHA TEA,Central Nakhon Pathom,1,GF,Food & Beverage
JIB,Central Nakhon Pathom,1,1F,Technology & Electronics
JOJI SECRET YOUNG,Central Nakhon Pathom,1,GF,Beauty & Wellness
KAE KAE SHOP,Central Nakhon Pathom,1,1F,Lifestyle & Specialty
KAMU TEA,Central Nakhon Pathom,1,GF,Food & Beverage
KASIKORN BANK,Central Nakhon Pathom,1,2F,Bank & Financial Services
KATSUYA,Central Nakhon Pathom,1,2F,Food & Beverage
KFC,Central Nakhon Pathom,1,GF,Food & Beverage
KNUBOX,Central Nakhon Pathom,1,2F,Lifestyle & Specialty
KOI THÉ,Central Nakhon Pathom,1,GF,Food & Beverage
KPLUS ACCESSORIES,Central Nakhon Pathom,1,1F,Technology & Electronics
KPN MUSIC ACADEMY,Central Nakhon Pathom,1,1F,Services & Education
KRISPY KREME,Central Nakhon Pathom,1,GF,Food & Beverage
KRUNGSRI,Central Nakhon Pathom,1,2F,Bank & Financial Services
KRUNGTHAI BANK,Central Nakhon Pathom,1,2F,Bank & Financial Services
KT OPTIC,Central Nakhon Pathom,1,2F,Fashion & Apparel
KWANG THONG SPECIAL,Central Nakhon Pathom,1,2F,Food & Beverage
LAEM CHAROEN SEAFOOD,Central Nakhon Pathom,1,2F,Food & Beverage
LAO YUAN,Central Nakhon Pathom,1,2F,Food & Beverage
LEVI'S,Central Nakhon Pathom,1,GF,Fashion & Apparel
LOOKER,Central Nakhon Pathom,1,1F,Fashion & Apparel
LUXOPTIC,Central Nakhon Pathom,1,2F,Fashion & Apparel
LYN,Central Nakhon Pathom,1,GF,Fashion & Apparel
LYN AROUND,Central Nakhon Pathom,1,GF,Fashion & Apparel
M SALAD CAFE' & FOOD FOR LIFE,Central Nakhon Pathom,1,2F,Food & Beverage
MAITREECHIT,Central Nakhon Pathom,1,1F,Technology & Electronics
MATH TALENT BY DR. YING,Central Nakhon Pathom,1,1F,Services & Education
MC JEANS,Central Nakhon Pathom,1,GF,Fashion & Apparel
MEMO,Central Nakhon Pathom,1,1F,Fashion & Apparel
MERIDA CLINIC,Central Nakhon Pathom,1,2F,Beauty & Wellness
