Source,Target,Weight,Floor,Category
ADIDAS,Central Pattaya,1,2F,Fashion
ADIDAS ORIGINAL,Central Pattaya,1,2F,Fashion
AIS,Central Pattaya,1,3F,Technology
ALA TURCA TURKISH CUISINE,Central Pattaya,1,5F,Food & Beverage
AQUA COSMETIC,Central Pattaya,1,3F,Beauty & Wellness
AUNTIE ANNE'S,Central Pattaya,1,4F,Food & Beverage
BANANA IT,Central Pattaya,1,3F,Technology
BANGKOK BANK,Central Pattaya,1,4F,Bank & Financial Services
BANK OF AYUDHYA,Central Pattaya,1,4F,Bank & Financial Services
BEAUTRIUM,Central Pattaya,1,GF,Beauty & Wellness
BIG CAMERA,Central Pattaya,1,3F,Technology
BONCHON,Central Pattaya,1,6F,Food & Beverage
BOON TONG KEE,Central Pattaya,1,5F,Food & Beverage
BOOTS,Central Pattaya,1,3F,Beauty & Wellness
BOOTS,Central Pattaya,1,GF,Beauty & Wellness
BREADTALK,Central Pattaya,1,GF,Food & Beverage
CENTRAL DEPARTMENT STORE,Central Pattaya,1,1F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Pattaya,1,2F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Pattaya,1,3F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Pattaya,1,4F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Pattaya,1,5F,Lifestyle & Specialty
CENTRAL FOOD HALL,Central Pattaya,1,GF,Lifestyle & Specialty
CHARLES & KEITH,Central Pattaya,1,1F,Fashion
CHATERAISE,Central Pattaya,1,GF,Food & Beverage
CHATIER CLINIC,Central Pattaya,1,4F,Beauty & Wellness
CHATRAMUE,Central Pattaya,1,GF,Food & Beverage
CHIVAROME,Central Pattaya,1,4F,Beauty & Wellness
CITY CHAIN,Central Pattaya,1,3F,Fashion
COLOUR NAIL,Central Pattaya,1,4F,Beauty & Wellness
CPS CHAPS,Central Pattaya,1,1F,Fashion
CROCS,Central Pattaya,1,2F,Fashion
CUT & CURL,Central Pattaya,1,4F,Beauty & Wellness
DAIRY QUEEN,Central Pattaya,1,5F,Food & Beverage
DAISO,Central Pattaya,1,3F,Lifestyle & Specialty
DE BEAUTE PARIS,Central Pattaya,1,4F,Beauty & Wellness
DENTIST @ BEACH,Central Pattaya,1,4F,Beauty & Wellness
DER MOND,Central Pattaya,1,GF,Fashion
DILAVIE,Central Pattaya,1,GF,Fashion
DJI,Central Pattaya,1,3F,Technology
DOCTOR DELIGHT CLINIC,Central Pattaya,1,4F,Beauty & Wellness
DTAC HALL,Central Pattaya,1,3F,Technology
ECCO,Central Pattaya,1,3F,Fashion
ELEMENTS,Central Pattaya,1,2F,Fashion
EYE CLASS,Central Pattaya,1,4F,Fashion
EYE LAB EXCLUSIVE,Central Pattaya,1,2F,Fashion
F1,Central Pattaya,1,6F,Entertainment
FIRE PORK,Central Pattaya,1,5F,Food & Beverage
FITFLOP,Central Pattaya,1,2F,Fashion
FOODPARK,Central Pattaya,1,GF,Food & Beverage
FUJI JAPANESE RESTAURANT,Central Pattaya,1,5F,Food & Beverage
FUN CITY,Central Pattaya,1,6F,Entertainment
GAGA,Central Pattaya,1,5F,Food & Beverage
GIORDANO,Central Pattaya,1,2F,Fashion
GLASSAHOLIC,Central Pattaya,1,3F,Fashion
GOVERNMENT HOUSING BANK,Central Pattaya,1,4F,Bank & Financial Services
GOVERNMENT SAVINGS BANK,Central Pattaya,1,4F,Bank & Financial Services
GRILLICIOUS BY BEIRUT,Central Pattaya,1,GF,Food & Beverage
GUESS,Central Pattaya,1,1F,Fashion
H&M,Central Pattaya,1,1F,Fashion
H&M,Central Pattaya,1,2F,Fashion
HAAGEN-DAZS,Central Pattaya,1,5F,Food & Beverage
