Source,Target,Weight,Floor,Category
125,Central Phitsanulok,1,1F,Fashion
343,Central Phitsanulok,1,3F,Food & Beverage
3BB,Central Phitsanulok,1,2F,Technology
ABSOLUTE MAC,Central Phitsanulok,1,2F,Technology
ADIDAS,Central Phitsanulok,1,1F,Fashion
AFTER YOU,Central Phitsanulok,1,1F,Food & Beverage
AGLAM,Central Phitsanulok,1,2F,Fashion
AI-CHA,Central Phitsanulok,1,2F,Food & Beverage
AIIZ,Central Phitsanulok,1,1F,Fashion
AIS,Central Phitsanulok,1,2F,Technology
AKA,Central Phitsanulok,1,3F,Food & Beverage
AMAXS,Central Phitsanulok,1,2F,Lifestyle & Specialty
ANELLO,Central Phitsanulok,1,1F,Fashion
AOM KA TUNG,Central Phitsanulok,1,3F,Food & Beverage
APHISET MASSAGE,Central Phitsanulok,1,3F,Beauty & Wellness
ARI FOOTBALL,Central Phitsanulok,1,1F,Fashion
AUNTIE ANNE'S,Central Phitsanulok,1,2F,Food & Beverage
AURORA,Central Phitsanulok,1,1F,Fashion
B PLAY,Central Phitsanulok,1,2F,Technology
B2S,Central Phitsanulok,1,3F,Lifestyle & Specialty
BAAN KRONG NAM,Central Phitsanulok,1,2F,Lifestyle & Specialty
IT BANANA,Central Phitsanulok,1,2F,Technology
IT BANANA,Central Phitsanulok,1,2F,Technology
BANGKOK BANK,Central Phitsanulok,1,3F,Bank & Financial Services
BANGKOK GOLD,Central Phitsanulok,1,1F,Fashion
BANGKOK INSURANCE,Central Phitsanulok,1,3F,Bank & Financial Services
BANK OF AYUDHYA,Central Phitsanulok,1,3F,Bank & Financial Services
BAR-B-Q PLAZA,Central Phitsanulok,1,3F,Food & Beverage
BATA,Central Phitsanulok,1,2F,Fashion
BEAUTRIUM,Central Phitsanulok,1,2F,Beauty & Wellness
BEBE PHONE,Central Phitsanulok,1,2F,Technology
BETTER VISION,Central Phitsanulok,1,1F,Fashion
BIG CAMERA,Central Phitsanulok,1,2F,Technology
BLACK PEARL,Central Phitsanulok,1,1F,Beauty & Wellness
BONCHON,Central Phitsanulok,1,3F,Food & Beverage
BONJOUR,Central Phitsanulok,1,1F,Food & Beverage
BOOMBOOM TOY KIDS,Central Phitsanulok,1,3F,Lifestyle & Specialty
BOOTS,Central Phitsanulok,1,2F,Beauty & Wellness
BUN,Central Phitsanulok,1,GF,Food & Beverage
CAFE AMAZON,Central Phitsanulok,1,1F,Food & Beverage
CC-OO,Central Phitsanulok,1,1F,Fashion
CHARLES & KEITH,Central Phitsanulok,1,1F,Fashion
CHESTER'S,Central Phitsanulok,1,3F,Food & Beverage
CONVERSE,Central Phitsanulok,1,1F,Fashion
CPS CHAPS,Central Phitsanulok,1,1F,Fashion
CROCS,Central Phitsanulok,1,1F,Fashion
CRUZY,Central Phitsanulok,1,2F,Fashion
DAIRY QUEEN,Central Phitsanulok,1,3F,Food & Beverage
DAISO,Central Phitsanulok,1,2F,Lifestyle & Specialty
DIAMOND FOR YOU,Central Phitsanulok,1,1F,Fashion
DILAVIE,Central Phitsanulok,1,1F,Fashion
DTAC,Central Phitsanulok,1,2F,Technology
