Source,Target,Weight,Floor,Category
M LIFE,Central Phuket,1,2F,Technology
ADIDAS,Central Phuket,1,2F,Fashion
AEAKALAK KUAY TIEW NEA TUN,Central Phuket,1,3F,Food & Beverage
AEON,Central Phuket,1,4F,Bank & Financial Services
AFTER SHOKZ,Central Phuket,1,3F,Technology
AFTER YOU,Central Phuket,1,1F,Food & Beverage
AGENT PROVOCATEUR,Central Phuket,1,2F,Fashion
AHIRU CREPE & TEA,Central Phuket,1,3F,Food & Beverage
AIAOON,Central Phuket,1,GF,Beauty & Wellness
AIIZ,Central Phuket,1,2F,Fashion
AIS,Central Phuket,1,2F,Technology
AKA,Central Phuket,1,3F,Food & Beverage
AKALIKO,Central Phuket,1,GF,Beauty & Wellness
ALBA,Central Phuket,1,1F,Fashion
ALDO,Central Phuket,1,1F,Fashion
ALEXANDER MCQUEEN,Central Phuket,1,1F,Fashion
ALHUDSUN KRUA MUSLIM,Central Phuket,1,3F,Food & Beverage
ALICE AND OLIVIA,Central Phuket,1,1F,Fashion
ANCHALEE THAI DESSERT,Central Phuket,1,1F,Food & Beverage
ANDAMAN PEARL,Central Phuket,1,2F,Fashion
ANITA,Central Phuket,1,GF,Fashion
ANN&BRA,Central Phuket,1,2F,Fashion
ANNE KLEIN,Central Phuket,1,1F,Fashion
APEX,Central Phuket,1,3F,Beauty & Wellness
APRILPOOLDAY,Central Phuket,1,2F,Fashion
ARAMIS,Central Phuket,1,1F,Beauty & Wellness
ARHARNTAMSANGCHORNTONG,Central Phuket,1,3F,Food & Beverage
ARROW,Central Phuket,1,3F,Fashion
ASIA BOOKS,Central Phuket,1,2F,Lifestyle & Specialty
ASICS,Central Phuket,1,2F,Fashion
AUNTIE ANNE'S,Central Phuket,1,1F,Food & Beverage
AUNWAYENTAFO,Central Phuket,1,1F,Food & Beverage
AURORA,Central Phuket,1,2F,Fashion
AVEDA,Central Phuket,1,1F,Beauty & Wellness
AX ARMANI EXCHANGE,Central Phuket,1,1F,Fashion
B2S,Central Phuket,1,3F,Lifestyle & Specialty
BA&SH,Central Phuket,1,1F,Fashion
BAANMANGSAWIRAT,Central Phuket,1,3F,Food & Beverage
BABIE GENIUS,Central Phuket,1,2F,Education
BAKE A WISH,Central Phuket,1,1F,Food & Beverage
BALENCIAGA,Central Phuket,1,1F,Fashion
IT BANANA,Central Phuket,1,2F,Technology
BANDAI,Central Phuket,1,GF,Lifestyle & Specialty
BANGKOK BANK,Central Phuket,1,4F,Bank & Financial Services
BANGKOK BOOTERY,Central Phuket,1,3F,Fashion
BANGKOK GOLDS,Central Phuket,1,2F,Fashion
BANGKOK INSURANCE,Central Phuket,1,4F,Bank & Financial Services
BANGKOK TALES,Central Phuket,1,GF,Fashion
BAR-B-Q PLAZA,Central Phuket,1,3F,Food & Beverage
BATA,Central Phuket,1,2F,Fashion
BATH & BODY WORKS,Central Phuket,1,1F,Beauty & Wellness
BATH&BLOOM,Central Phuket,1,GF,Beauty & Wellness
BEAUTY UNIQUE,Central Phuket,1,2F,Beauty & Wellness
BETTER VISION,Central Phuket,1,2F,Fashion
BEVERLY HILLS POLO CLUB,Central Phuket,1,2F,Fashion
BIG CAMERA,Central Phuket,1,2F,Technology
BILLIONAILS,Central Phuket,1,4F,Beauty & Wellness
BIOTHERM,Central Phuket,1,1F,Beauty & Wellness
BIRKENSTOCK,Central Phuket,1,1F,Fashion
BLACKBARRETT,Central Phuket,1,1F,Fashion
BOBBI BROWN,Central Phuket,1,1F,Beauty & Wellness
BOON TONG KEE,Central Phuket,1,GF,Food & Beverage
BOOTS,Central Phuket,1,GF,Beauty & Wellness
HUGO BOSS,Central Phuket,1,1F,Fashion
BOSSINI,Central Phuket,1,2F,Fashion
BOTTEGA VENETA,Central Phuket,1,1F,Fashion
BP WORLD,Central Phuket,1,3F,Fashion
BREADTALK,Central Phuket,1,1F,Food & Beverage
BREITLING,Central Phuket,1,1F,Fashion
BRITISH INDIA,Central Phuket,1,2F,Fashion
BSC,Central Phuket,1,GF,Fashion
BSC,Central Phuket,1,1F,Beauty & Wellness
C&D,Central Phuket,1,2F,Fashion
CAFE AMAZON,Central Phuket,1,4F,Food & Beverage
CAGGIONI,Central Phuket,1,3F,Fashion
CALVIN KLEIN,Central Phuket,1,2F,Fashion
CAPTHAI,Central Phuket,1,2F,Fashion
CAROLINA HERRERA,Central Phuket,1,1F,Fashion
CASIO,Central Phuket,1,1F,Fashion
CATH KIDSTON,Central Phuket,1,2F,Fashion
CC-OO,Central Phuket,1,2F,Fashion
CENTRAL FOOD HALL,Central Phuket,1,1F,Food & Beverage
CHAMPION,Central Phuket,1,GF,Fashion
CHANEL,Central Phuket,1,1F,Beauty & Wellness
CHARLES & KEITH,Central Phuket,1,1F,Fashion
CHATRAMUE,Central Phuket,1,GF,Food & Beverage
