Source,Target,Weight,Floor,Category
M LIFE,Central Pinklao,1,3F,Technology
ADIDAS,Central Pinklao,1,1F,Fashion
ADORE,Central Pinklao,1,4F,Beauty & Wellness
AEON,Central Pinklao,1,4F,Bank & Financial Services
AES CLASS CLINIC,Central Pinklao,1,4F,Beauty & Wellness
AIIZ,Central Pinklao,1,2F,Fashion
AIS,Central Pinklao,1,3F,Technology
AIS,Central Pinklao,1,3F,Technology
AITIM PHAT,Central Pinklao,1,5F,Food & Beverage
AKA,Central Pinklao,1,5F,Food & Beverage
AKASHI,Central Pinklao,1,2F,Food & Beverage
AMAXS,Central Pinklao,1,4F,Beauty & Wellness
ANASTASIA MIARAY,Central Pinklao,1,3F,Beauty & Wellness
APEX,Central Pinklao,1,3F,Beauty & Wellness
AQUA COSMETICS,Central Pinklao,1,2F,Beauty & Wellness
ARI FOOTBALL,Central Pinklao,1,2F,Fashion
AROI DI,Central Pinklao,1,GF,Food & Beverage
ASICS,Central Pinklao,1,2F,Fashion
AU BON PAIN,Central Pinklao,1,2F,Food & Beverage
AUNTIE ANNE'S,Central Pinklao,1,3F,Food & Beverage
AURORA,Central Pinklao,1,GF,Fashion
B.S.GEMS,Central Pinklao,1,2F,Fashion
B2S,Central Pinklao,1,5F,Lifestyle & Specialty
BAKE A WISH,Central Pinklao,1,GF,Food & Beverage
IT BANANA,Central Pinklao,1,3F,Technology
BANGKOK BANK,Central Pinklao,1,4F,Bank & Financial Services
BANGKOK INSURANCE,Central Pinklao,1,4F,Bank & Financial Services
BANGKOK TIME CENTER,Central Pinklao,1,2F,Fashion
BANK OF AYUDHYA,Central Pinklao,1,4F,Bank & Financial Services
BAR-B-Q PLAZA,Central Pinklao,1,GF,Food & Beverage
BATA,Central Pinklao,1,2F,Fashion
BATH & BODY WORKS,Central Pinklao,1,1F,Beauty & Wellness
BEAUTRIUM,Central Pinklao,1,2F,Beauty & Wellness
BEAUTY BUFFET,Central Pinklao,1,2F,Beauty & Wellness
BENJAWAN GEMS,Central Pinklao,1,2F,Fashion
BETTER VISION,Central Pinklao,1,3F,Fashion
BGRILL SATEK KRATHA RON,Central Pinklao,1,5F,Food & Beverage
BIG CAMERA,Central Pinklao,1,3F,Technology
BINGSU BAN BAN,Central Pinklao,1,5F,Food & Beverage
BIRKENSTOCK,Central Pinklao,1,1F,Fashion
BLACK CANYON COFFEE,Central Pinklao,1,GF,Food & Beverage
BODY GLOVE,Central Pinklao,1,2F,Fashion
BONCHON,Central Pinklao,1,5F,Food & Beverage
BONJOUR,Central Pinklao,1,1F,Food & Beverage
BOON TONG KEE,Central Pinklao,1,GF,Food & Beverage
BOOST JUICE BAR,Central Pinklao,1,GF,Food & Beverage
BOOTS,Central Pinklao,1,4F,Beauty & Wellness
BOSE,Central Pinklao,1,3F,Technology
BYD,Central Pinklao,1,2F,Lifestyle & Specialty
CAFE AMAZON,Central Pinklao,1,4F,Food & Beverage
CATH KIDSTON,Central Pinklao,1,1F,Fashion
CC-OO,Central Pinklao,1,2F,Fashion
CENTRAL DEPARTMENT STORE,Central Pinklao,1,1F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Pinklao,1,2F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Pinklao,1,3F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Pinklao,1,4F,Lifestyle & Specialty
CHABA NAILS & BROWS,Central Pinklao,1,4F,Beauty & Wellness
CHARLES & KEITH,Central Pinklao,1,1F,Fashion
CHATRAMUE,Central Pinklao,1,3F,Food & Beverage
CHESTER'S,Central Pinklao,1,5F,Food & Beverage
CHOK TOM LUEATMU,Central Pinklao,1,GF,Food & Beverage
CHUCKY FRESH,Central Pinklao,1,5F,Food & Beverage
CIMB THAI BANK,Central Pinklao,1,4F,Bank & Financial Services
CLARINS,Central Pinklao,1,1F,Beauty & Wellness
COCO ICHIBANYA,Central Pinklao,1,5F,Food & Beverage
COFFEE WORLD,Central Pinklao,1,3F,Food & Beverage
COLD STONE CREAMERY,Central Pinklao,1,2F,Food & Beverage
CONVERSE,Central Pinklao,1,2F,Fashion
CPS CHAPS,Central Pinklao,1,1F,Fashion
CROCS,Central Pinklao,1,2F,Fashion
CURLY CUT,Central Pinklao,1,4F,Beauty & Wellness
D'FINE,Central Pinklao,1,3F,Technology
DAIRY QUEEN,Central Pinklao,1,GF,Food & Beverage
DAISO,Central Pinklao,1,5F,Lifestyle & Specialty
DAVIE JONES,Central Pinklao,1,2F,Fashion
DERMCARE CLINIC,Central Pinklao,1,3F,Beauty & Wellness
DOCTOR LIFE,Central Pinklao,1,4F,Beauty & Wellness
DOLLAR BOUTIQUE,Central Pinklao,1,GF,Fashion
DOUBLE GOOSE,Central Pinklao,1,2F,Fashion
DTAC,Central Pinklao,1,3F,Technology
E-QUIP,Central Pinklao,1,3F,Technology
EARW THAI SUKI BORAN,Central Pinklao,1,5F,Food & Beverage
EGG KHAICHIAO TO CHAN,Central Pinklao,1,5F,Food & Beverage
ELEMENT 72,Central Pinklao,1,1F,Fashion
ELVIRA,Central Pinklao,1,4F,Lifestyle & Specialty
ERIC KAYSER,Central Pinklao,1,GF,Food & Beverage
EXPORT SHOP,Central Pinklao,1,2F,Fashion
FITFLOP,Central Pinklao,1,1F,Fashion
FITNESS FIRST,Central Pinklao,1,6F,Lifestyle & Specialty
FOCUS,Central Pinklao,1,3F,Technology
FOOD PARK,Central Pinklao,1,GF,Food & Beverage
FOOD PARK,Central Pinklao,1,5F,Food & Beverage
FOREVER FLAWLESS,Central Pinklao,1,2F,Beauty & Wellness
FRENCH FRICES MY FRICED,Central Pinklao,1,5F,Food & Beverage
FUJI,Central Pinklao,1,GF,Food & Beverage
FUKU MATCHA,Central Pinklao,1,GF,Food & Beverage
FUKU MATCHA,Central Pinklao,1,5F,Food & Beverage
FUN CITY,Central Pinklao,1,5F,Entertainment
FUTURE LIVING,Central Pinklao,1,4F,Lifestyle & Specialty
G-SHOCK CASIO,Central Pinklao,1,2F,Fashion
GANGNAM CLINIC,Central Pinklao,1,3F,Beauty & Wellness
GATEAUX HOUSE,Central Pinklao,1,3F,Food & Beverage
GELATONI,Central Pinklao,1,3F,Food & Beverage
GENTLEWOMAN,Central Pinklao,1,1F,Fashion
GINTELL,Central Pinklao,1,3F,Lifestyle & Specialty
GIORDANO,Central Pinklao,1,1F,Fashion
GLOD ELEMENT,Central Pinklao,1,3F,Beauty & Wellness
