Source,Target,Weight,Floor,Category
178,Central Rama 2,1,1F,Food & Beverage
7TH STREET,Central Rama 2,1,1F,Fashion
A Ramen,Central Rama 2,1,4F,Food & Beverage
A'MAZE,Central Rama 2,1,1F,Fashion
ADIDAS,Central Rama 2,1,1F,Fashion
ADORE,Central Rama 2,1,2F,Beauty & Wellness
AFTER YOU,Central Rama 2,1,1F,Food & Beverage
AIIZ,Central Rama 2,1,1F,Fashion
AIS,Central Rama 2,1,2F,Technology
ALDO,Central Rama 2,1,1F,Fashion
AMOR,Central Rama 2,1,4F,Food & Beverage
ANELLO,Central Rama 2,1,1F,Fashion
ANNA CLINIC,Central Rama 2,1,3F,Beauty & Wellness
ANNE CLOTHING,Central Rama 2,1,GF,Fashion
ANTA,Central Rama 2,1,1F,Fashion
APEX,Central Rama 2,1,2F,Beauty & Wellness
ASICS,Central Rama 2,1,1F,Fashion
AT Medical Clinic,Central Rama 2,1,2F,Beauty & Wellness
AUNTIE ANNE'S,Central Rama 2,1,1F,Food & Beverage
AUNTIE ANNE'S,Central Rama 2,1,3F,Food & Beverage
AURORA,Central Rama 2,1,GF,Fashion
AUTO1,Central Rama 2,1,GF,Services
BAIMIANG,Central Rama 2,1,4F,Food & Beverage
BAKE A WISH,Central Rama 2,1,GF,Food & Beverage
BAN PAI MY PRINTING,Central Rama 2,1,GF,Services
BANANA IT,Central Rama 2,1,3F,Technology
BANDAI,Central Rama 2,1,2F,Lifestyle & Specialty
BANGKOK BANK,Central Rama 2,1,GF,Bank & Financial Services
BANGKOK GOLDS,Central Rama 2,1,GF,Fashion
BANGKOK INSURANCE,Central Rama 2,1,GF,Bank & Financial Services
BANN SABAI,Central Rama 2,1,GF,Beauty & Wellness
BANTAI CRYSTAL CERAMIC,Central Rama 2,1,4F,Lifestyle & Specialty
BATA,Central Rama 2,1,2F,Fashion
BATH&BODY WORK,Central Rama 2,1,1F,Beauty & Wellness
Bearhouse,Central Rama 2,1,4F,Food & Beverage
BEAUTRIUM,Central Rama 2,1,1F,Beauty & Wellness
Ben's Cookies,Central Rama 2,1,1F,Food & Beverage
BETTER VISION,Central Rama 2,1,2F,Fashion
BIG CAMERA,Central Rama 2,1,2F,Technology
BKK DIAMOND,Central Rama 2,1,GF,Fashion
BLACK CANYON COFFEE,Central Rama 2,1,4F,Food & Beverage
BLOOMING CAFÉ,Central Rama 2,1,GF,Lifestyle & Specialty
BLT,Central Rama 2,1,2F,Fashion
BMA EXPRESS SERVICE,Central Rama 2,1,GF,Services
BODY GLOVE,Central Rama 2,1,1F,Fashion
Bonage,Central Rama 2,1,2F,Beauty & Wellness
BONCHON,Central Rama 2,1,1F,Food & Beverage
BONJOUR,Central Rama 2,1,4F,Food & Beverage
BOOMERANG,Central Rama 2,1,2F,Lifestyle & Specialty
BOON TONG KEE,Central Rama 2,1,GF,Food & Beverage
BOOTS,Central Rama 2,1,1F,Beauty & Wellness
BOTANIFIQUE,Central Rama 2,1,1F,Beauty & Wellness
BREADTALK,Central Rama 2,1,GF,Food & Beverage
CAFÉ AMAZON,Central Rama 2,1,GF,Food & Beverage
Carlaberotti,Central Rama 2,1,1F,Fashion
CATH KIDSTON,Central Rama 2,1,1F,Fashion
CC-OO,Central Rama 2,1,1F,Fashion
CHARACTERS STUDIO,Central Rama 2,1,GF,Fashion
CHARLES & KEITH,Central Rama 2,1,1F,Fashion
CHARLOTTE'S GEMS,Central Rama 2,1,2F,Fashion
CHEBBERS,Central Rama 2,1,1F,Fashion
CHER CLINIC,Central Rama 2,1,2F,Beauty & Wellness
CHILLICHIC,Central Rama 2,1,GF,Fashion
CHILLING STYLE,Central Rama 2,1,GF,Fashion
CIMB THAI BANK,Central Rama 2,1,GF,Bank & Financial Services
CITY CHAIN,Central Rama 2,1,1F,Fashion
COCO ICHIBANYA,Central Rama 2,1,3F,Food & Beverage
COLD STONE CREAMERY,Central Rama 2,1,1F,Food & Beverage
CONVERSE,Central Rama 2,1,1F,Fashion
COWAY,Central Rama 2,1,2F,Lifestyle & Specialty
CPS CHAPS,Central Rama 2,1,1F,Fashion
CROCS,Central Rama 2,1,1F,Fashion
CUT & CURL,Central Rama 2,1,2F,Beauty & Wellness
D-VERSHOES,Central Rama 2,1,GF,Fashion
DAIRY QUEEN,Central Rama 2,1,2F,Food & Beverage
DAIRY QUEEN,Central Rama 2,1,4F,Food & Beverage
DAISO,Central Rama 2,1,GF,Lifestyle & Specialty
DAISO,Central Rama 2,1,2F,Lifestyle & Specialty
DAKASI MILKTEA,Central Rama 2,1,4F,Food & Beverage
DAVIE JONES,Central Rama 2,1,1F,Fashion
DEKKAR,Central Rama 2,1,GF,Fashion
DELA PREETI CLINIC,Central Rama 2,1,3F,Beauty & Wellness
DESTINY CLINIC,Central Rama 2,1,2F,Beauty & Wellness
DILAVIE,Central Rama 2,1,2F,Fashion
DLUX OPTIC,Central Rama 2,1,GF,Fashion
DOLCE GELATINO,Central Rama 2,1,3F,Food & Beverage
DR.KONG,Central Rama 2,1,GF,Fashion
DREAME,Central Rama 2,1,3F,Technology
DTAC HALL,Central Rama 2,1,2F,Technology
DTAC SHOP,Central Rama 2,1,2F,Technology
DYSON,Central Rama 2,1,1F,Lifestyle & Specialty
EARDOTS,Central Rama 2,1,GF,Fashion
EASY LAUNDRY,Central Rama 2,1,GF,Services
ECC AND TUTOR HOUSE,Central Rama 2,1,3F,Education
ERGO,Central Rama 2,1,GF,Bank & Financial Services
ERGOTREND,Central Rama 2,1,3F,Lifestyle & Specialty
EXPORT SHOP,Central Rama 2,1,2F,Fashion
EYE CLASS,Central Rama 2,1,GF,Fashion
EYELAB EXCLUSIVE,Central Rama 2,1,2F,Fashion
FIFTH YORK,Central Rama 2,1,1F,Fashion
FILA,Central Rama 2,1,1F,Fashion
FIXI FOOT,Central Rama 2,1,1F,Fashion
FLASH NAIL,Central Rama 2,1,GF,Beauty & Wellness
FOCUS,Central Rama 2,1,2F,Technology
FOOD PARK,Central Rama 2,1,4F,Food & Beverage
FOURSEASONS,Central Rama 2,1,GF,Food & Beverage
FUJI JAPANESE RESTAURANT,Central Rama 2,1,4F,Food & Beverage
FUTURE LIVING,Central Rama 2,1,3F,Lifestyle & Specialty
GAGA,Central Rama 2,1,1F,Food & Beverage
GANGNAM CLINIC,Central Rama 2,1,3F,Beauty & Wellness
GATEAUX HOUSE,Central Rama 2,1,3F,Food & Beverage
GENTLEWOMEN,Central Rama 2,1,1F,Fashion
GIORDANO,Central Rama 2,1,1F,Fashion
GLO,Central Rama 2,1,2F,Beauty & Wellness
GOGIDA,Central Rama 2,1,3F,Food & Beverage
GOVERNMENT SAVINGS BANK,Central Rama 2,1,3F,Bank & Financial Services
GQ,Central Rama 2,1,1F,Fashion
GRANEDA,Central Rama 2,1,3F,Beauty & Wellness
HACHIBAN RAMEN,Central Rama 2,1,4F,Food & Beverage
HADARA,Central Rama 2,1,GF,Fashion
HAPPY JUICING,Central Rama 2,1,GF,Food & Beverage
HAVAIANAS,Central Rama 2,1,1F,Fashion
HOLLYWOOD HAIR STUDIO,Central Rama 2,1,3F,Beauty & Wellness
HOME BOY,Central Rama 2,1,GF,Fashion
HONAJI RAMEN,Central Rama 2,1,GF,Food & Beverage
HONOR,Central Rama 2,1,2F,Technology
HOSHI JAPANESE RESTAURANT,Central Rama 2,1,4F,Food & Beverage
HUA SENG HONG,Central Rama 2,1,4F,Food & Beverage
HUSH PUPPIES,Central Rama 2,1,1F,Fashion
ICARE,Central Rama 2,1,GF,Technology
IDEAL,Central Rama 2,1,GF,Fashion
INNISFREE,Central Rama 2,1,1F,Beauty & Wellness
IPPUDO,Central Rama 2,1,1F,Food & Beverage
IT CITY,Central Rama 2,1,3F,Technology
JACK RUSSLE,Central Rama 2,1,1F,Fashion
JAYMART,Central Rama 2,1,2F,Technology
JELLY BUNNY,Central Rama 2,1,1F,Fashion
JFOURT,Central Rama 2,1,1F,Fashion
JIENG LOOK CHIN PLA,Central Rama 2,1,4F,Food & Beverage
JINLONG HOUSE,Central Rama 2,1,4F,Food & Beverage
JUBILEE,Central Rama 2,1,1F,Fashion
KAMU TEA,Central Rama 2,1,GF,Food & Beverage
KAREN,Central Rama 2,1,GF,Fashion
KARMART,Central Rama 2,1,3F,Beauty & Wellness
KASIKORN BANK,Central Rama 2,1,GF,Bank & Financial Services
KATSUYA,Central Rama 2,1,4F,Food & Beverage
KEY & SHOES SERVICE,Central Rama 2,1,GF,Services
KFC,Central Rama 2,1,GF,Food & Beverage
KHANOM JEEN BANGKOK,Central Rama 2,1,4F,Food & Beverage
KHUNPOOM,Central Rama 2,1,GF,Fashion
KLANG KRUNG BOAT NOODLES,Central Rama 2,1,GF,Food & Beverage
KMD,Central Rama 2,1,GF,Fashion
KOBE STEAK,Central Rama 2,1,1F,Food & Beverage
KODAK PHOTO,Central Rama 2,1,2F,Technology
KOFUKU,Central Rama 2,1,4F,Food & Beverage
KRISPY KREME,Central Rama 2,1,2F,Food & Beverage
KRUNG THAI BANK,Central Rama 2,1,GF,Bank & Financial Services
KRUNGSRI LOBBY,Central Rama 2,1,1F,Bank & Financial Services
KT OPTIC,Central Rama 2,1,2F,Fashion
KYO ROLL EN,Central Rama 2,1,4F,Food & Beverage
L.A.B. X,Central Rama 2,1,2F,Beauty & Wellness
LACOSTE,Central Rama 2,1,1F,Fashion
LAGRACE CLINIC,Central Rama 2,1,3F,Beauty & Wellness
LAOS YUAN,Central Rama 2,1,4F,Food & Beverage
LEE,Central Rama 2,1,1F,Fashion
LEPANA,Central Rama 2,1,2F,Beauty & Wellness
Ler Rich Wellness Clinic,Central Rama 2,1,3F,Beauty & Wellness
LEVI'S,Central Rama 2,1,1F,Fashion
LITTLE REDFOX,Central Rama 2,1,GF,Beauty & Wellness
LIVIA,Central Rama 2,1,GF,Fashion
LIVIA,Central Rama 2,1,1F,Fashion
LOOKER,Central Rama 2,1,GF,Fashion
LUXEQUEEN,Central Rama 2,1,GF,Fashion
LYN,Central Rama 2,1,1F,Fashion
LYN AROUND,Central Rama 2,1,1F,Fashion
MA CHANDELLE,Central Rama 2,1,1F,Lifestyle & Specialty
MADAME HENG,Central Rama 2,1,GF,Beauty & Wellness
MAGNANO,Central Rama 2,1,3F,Beauty & Wellness
MAJOR CINEPLEX,Central Rama 2,1,4F,Entertainment
MANGO SIX CLOTHING,Central Rama 2,1,GF,Fashion
Massage Chair NXN,Central Rama 2,1,2F,Lifestyle & Specialty
MATH HOUSE LEARNING CENTER,Central Rama 2,1,3F,Education
MATSUMOTO KIYOSHI,Central Rama 2,1,2F,Beauty & Wellness
MC JEANS,Central Rama 2,1,1F,Fashion
MERREZ'CA,Central Rama 2,1,1F,Beauty & Wellness
MIKI MIKI,Central Rama 2,1,4F,Fashion
MILLE,Central Rama 2,1,GF,Beauty & Wellness
MINE,Central Rama 2,1,3F,Technology
MINIMELT,Central Rama 2,1,4F,Food & Beverage
MINISO,Central Rama 2,1,3F,Lifestyle & Specialty
MISTER DONUT,Central Rama 2,1,2F,Food & Beverage
MISTY MYNX,Central Rama 2,1,1F,Fashion
MLB,Central Rama 2,1,1F,Fashion
MMC CLINIC,Central Rama 2,1,2F,Beauty & Wellness
Molto,Central Rama 2,1,GF,Food & Beverage
MOMO PARADISE,Central Rama 2,1,1F,Food & Beverage
MON LADY,Central Rama 2,1,GF,Fashion
MONOWHEEL,Central Rama 2,1,3F,Technology
MOS BURGER,Central Rama 2,1,GF,Food & Beverage
MOSHI MOSHI,Central Rama 2,1,3F,Lifestyle & Specialty
MOTTA,Central Rama 2,1,GF,Fashion
MUANG THAI LIFE ASSURANCE,Central Rama 2,1,3F,Bank & Financial Services
NAIL CLUB,Central Rama 2,1,GF,Beauty & Wellness
NANA NAIL,Central Rama 2,1,GF,Beauty & Wellness
NARAI PIZZERIA,Central Rama 2,1,4F,Food & Beverage
NC SHOP,Central Rama 2,1,GF,Lifestyle & Specialty
NEW BALANCE,Central Rama 2,1,1F,Fashion
NEW ERA,Central Rama 2,1,1F,Fashion
NGG,Central Rama 2,1,GF,Fashion
NGG JEWELLERY,Central Rama 2,1,1F,Fashion
NINETIES DESIGN,Central Rama 2,1,GF,Fashion
NITIPON CLINIC,Central Rama 2,1,2F,Beauty & Wellness
Notero Myband,Central Rama 2,1,4F,Lifestyle & Specialty
NUR TAIR,Central Rama 2,1,1F,Food & Beverage
NUT MUSIC,Central Rama 2,1,GF,Lifestyle & Specialty
OKII KATSU,Central Rama 2,1,GF,Food & Beverage
OLINO CREPE & TEA,Central Rama 2,1,GF,Food & Beverage
ON THE TABLE,Central Rama 2,1,4F,Food & Beverage
ONE OPTIC,Central Rama 2,1,2F,Fashion
OOTOYA,Central Rama 2,1,3F,Food & Beverage
OPTIC SQUARE,Central Rama 2,1,2F,Fashion
OPTICAL 88,Central Rama 2,1,2F,Fashion
ORANGINAL,Central Rama 2,1,GF,Food & Beverage
ORIENTAL PRINCESS,Central Rama 2,1,1F,Beauty & Wellness
OSAKA SEAFOOD,Central Rama 2,1,3F,Food & Beverage
P&F,Central Rama 2,1,GF,Beauty & Wellness
P&F,Central Rama 2,1,2F,Beauty & Wellness
P-4-VIVA,Central Rama 2,1,3F,Beauty & Wellness
PAN CLINIC,Central Rama 2,1,3F,Beauty & Wellness
PAN KHAM HOM,Central Rama 2,1,GF,Food & Beverage
PANDA 18,Central Rama 2,1,4F,Food & Beverage
PANDA KING,Central Rama 2,1,3F,Food & Beverage
PANDORA,Central Rama 2,1,1F,Fashion
PANG CHA,Central Rama 2,1,1F,Food & Beverage
PANG SIAM,Central Rama 2,1,GF,Food & Beverage
PAOPA,Central Rama 2,1,GF,Fashion
PEPPER LUNCH,Central Rama 2,1,4F,Food & Beverage
PERA GEMS,Central Rama 2,1,2F,Fashion
PHATARA DIAMOND,Central Rama 2,1,2F,Fashion
PHATARA GEMS,Central Rama 2,1,2F,Fashion
PHATARAMANEE,Central Rama 2,1,2F,Fashion
PLAIN PLAIN BY NOI,Central Rama 2,1,GF,Fashion
PLAYBOY,Central Rama 2,1,1F,Fashion
POLI-CHEM,Central Rama 2,1,GF,Services
POPCORN MAJOR,Central Rama 2,1,GF,Food & Beverage
PORNKASEM CLINIC,Central Rama 2,1,3F,Beauty & Wellness
POTATO CORNER,Central Rama 2,1,4F,Food & Beverage
PRAAO,Central Rama 2,1,GF,Fashion
PRADAP,Central Rama 2,1,2F,Fashion
PREMIUM DIAMOND,Central Rama 2,1,2F,Fashion
PRIMA GOLD,Central Rama 2,1,1F,Fashion
PRO CLEAN,Central Rama 2,1,GF,Services
QUINN,Central Rama 2,1,1F,Fashion
R.O.X,Central Rama 2,1,1F,Fashion
RAVIPA,Central Rama 2,1,1F,Fashion
RED SUN,Central Rama 2,1,4F,Food & Beverage
REGENT DIAMOND,Central Rama 2,1,2F,Fashion
REMAX,Central Rama 2,1,3F,Technology
REUNROM,Central Rama 2,1,GF,Beauty & Wellness
ROMRAWIN CLINIC,Central Rama 2,1,2F,Beauty & Wellness
ROOL,Central Rama 2,1,GF,Fashion
RUBBER SOUL,Central Rama 2,1,GF,Fashion
S&P,Central Rama 2,1,4F,Food & Beverage
SABINA,Central Rama 2,1,1F,Fashion
SAINT CROISSANT,Central Rama 2,1,GF,Food & Beverage
SAINT ETOILE BY YAMAZAKI,Central Rama 2,1,GF,Food & Beverage
SATANG POON,Central Rama 2,1,GF,Fashion
SECRET NO.9,Central Rama 2,1,GF,Fashion
SECRET RECIPE,Central Rama 2,1,4F,Food & Beverage
SEOULCHON,Central Rama 2,1,3F,Food & Beverage
SHU,Central Rama 2,1,1F,Fashion
SIAM COMMERCIAL BANK,Central Rama 2,1,GF,Bank & Financial Services
SIAM LASER CLINIC,Central Rama 2,1,2F,Beauty & Wellness
SIL,Central Rama 2,1,GF,Fashion
SKECHERS CITY STORE,Central Rama 2,1,1F,Fashion
SLIM CONCEPT,Central Rama 2,1,2F,Beauty & Wellness
SLIM UP CENTER,Central Rama 2,1,2F,Beauty & Wellness
SPARSHA SLIMMING CENTER,Central Rama 2,1,2F,Beauty & Wellness
SPEED GAMING,Central Rama 2,1,3F,Technology
SSAMTHING TOGETHER,Central Rama 2,1,1F,Food & Beverage
STARBUCKS COFFEE,Central Rama 2,1,1F,Food & Beverage
STRACK YUM,Central Rama 2,1,GF,Food & Beverage
STYLE BALA SHOP,Central Rama 2,1,GF,Fashion
SUNSHINE,Central Rama 2,1,GF,Fashion
SUPER RICH THAILAND,Central Rama 2,1,GF,Bank & Financial Services
SUPERSPORTS,Central Rama 2,1,3F,Fashion
SUSHI HIRO,Central Rama 2,1,3F,Food & Beverage
