จัดให้ตามคำขอครับ! นี่คือข้อมูลร้านค้าและบริการของสาขา **Central Rama 9** (เซ็นทรัล พระราม 9) ที่ผมได้ทำการสกัดข้อมูล คัดกรองข้อมูลที่ซ้ำซ้อนออก พร้อมทั้งจัดเรียงตามลำดับตัวอักษร (A-Z และตามด้วยภาษาไทย) และปรับหมวดหมู่ (Category) ให้เป็นมาตรฐานเดียวกันในรูปแบบ CSV เรียบร้อยแล้วครับ































```csv















Source,Target,Weight,Floor,Category
M LIFE,Central Rama 9,1,4F,Technology & Electronics52 TOYS,Central Rama 9,1,3F,Lifestyle & Specialty
A'MAZE,Central Rama 9,1,3F,Fashion & ApparelADIDAS,Central Rama 9,1,1F,Fashion & ApparelADIDAS,Central Rama 9,1,4F,Fashion & ApparelADIDAS,Central Rama 9,1,GF,Fashion & ApparelADIDAS,Central Rama 9,1,BF,Fashion & ApparelADIDAS,Central Rama 9,1,BF,Fashion & ApparelADORE COSMETICS,Central Rama 9,1,2F,Beauty & Wellness
AIS,Central Rama 9,1,4F,Technology & ElectronicsAIS,Central Rama 9,1,BF,Technology & ElectronicsAIS,Central Rama 9,1,4F,Technology & ElectronicsAKA,Central Rama 9,1,6F,Food & Beverage
AKALIKO,Central Rama 9,1,5F,Beauty & Wellness
ALTO COFFEE ROASTERS,Central Rama 9,1,BF,Food & Beverage
AMOR,Central Rama 9,1,6F,Food & Beverage
ANANTA,Central Rama 9,1,2F,Fashion & ApparelANELLO,Central Rama 9,1,BF,Fashion & ApparelANELLO,Central Rama 9,1,GF,Fashion & ApparelAPEX,Central Rama 9,1,5F,Beauty & Wellness
APPLE PHONE,Central Rama 9,1,4F,Technology & ElectronicsAQUA COSMETICS,Central Rama 9,1,2F,Beauty & Wellness
ARAMO AROMA,Central Rama 9,1,1F,Beauty & Wellness
ARENA,Central Rama 9,1,3F,Fashion & ApparelASIA BOOKS,Central Rama 9,1,5F,Lifestyle & Specialty
ASICS,Central Rama 9,1,GF,Fashion & ApparelAUNTIE ANNE'S,Central Rama 9,1,2F,Food & Beverage
AURA BANGKOK CLINIC,Central Rama 9,1,8F,Beauty & Wellness
AURORA,Central Rama 9,1,2F,Fashion & ApparelAVOCADO,Central Rama 9,1,BF,Fashion & ApparelB2S,Central Rama 9,1,BF,Lifestyle & Specialty
BAAN YING CAFE & MEAL,Central Rama 9,1,7F,Food & Beverage
BAKE A WISH,Central Rama 9,1,GF,Food & Beverage
IT BANANA,Central Rama 9,1,4F,Technology & ElectronicsBANDAI KIDZ&KITZ,Central Rama 9,1,4F,Lifestyle & Specialty
BANGKOK BANK,Central Rama 9,1,5F,Bank & Financial Services
BANGKOK INSURANCE,Central Rama 9,1,5F,Bank & Financial Services
BANGKOK MUSIC INSTITUTE CENTRAL PLAZA GRAND RAMA 9,Central Rama 9,1,11F,Services & EducationBAOJI,Central Rama 9,1,BF,Fashion & ApparelBAR-B-Q PLAZA,Central Rama 9,1,6F,Food & Beverage
BATA,Central Rama 9,1,3F,Fashion & ApparelBATH & BODY WORKS,Central Rama 9,1,1F,Beauty & Wellness
BEARD PAPA'S,Central Rama 9,1,6F,Food & Beverage
BEARHOUSE,Central Rama 9,1,3F,Food & Beverage
BEAUTRIUM,Central Rama 9,1,2F,Beauty & Wellness
BEAUTY BUFFET,Central Rama 9,1,3F,Beauty & Wellness
BETTER VISION,Central Rama 9,1,3F,Fashion & ApparelBIG CAMERA,Central Rama 9,1,4F,Technology & ElectronicsBKK TIME SERVICE,Central Rama 9,1,BF,Lifestyle & Specialty
BLACK CANYON COFFEE,Central Rama 9,1,6F,Food & Beverage
BLANC EYELASH SALON,Central Rama 9,1,5F,Beauty & Wellness
BONCHON,Central Rama 9,1,7F,Food & Beverage
BOON TONG KEE,Central Rama 9,1,BF,Food & Beverage
BOOST JUICE BAR,Central Rama 9,1,BF,Food & Beverage
BOOTS,Central Rama 9,1,3F,Beauty & Wellness
BOY LONDON,Central Rama 9,1,1F,Fashion & ApparelBREADTALK,Central Rama 9,1,BF,Food & Beverage
BROWN CAFE,Central Rama 9,1,6F,Food & Beverage
BSAB,Central Rama 9,1,1F,Beauty & Wellness
BUTTER SCOTCH,Central Rama 9,1,BF,Fashion & ApparelBUTTERFLY THAI PERFUME,Central Rama 9,1,BF,Beauty & Wellness
CATH KIDSTON,Central Rama 9,1,2F,Fashion & ApparelCC-OO,Central Rama 9,1,2F,Fashion & ApparelCHARLES & KEITH,Central Rama 9,1,2F,Fashion & ApparelCHATRAMUE,Central Rama 9,1,1F,Food & Beverage
CHESTER'S,Central Rama 9,1,BF,Food & Beverage
CHONGDEE TEAHOUSE,Central Rama 9,1,BF,Food & Beverage
CIMB THAI BANK,Central Rama 9,1,5F,Bank & Financial Services
COACH,Central Rama 9,1,1F,Fashion & ApparelCOCO FRESH TEA & JUICE,Central Rama 9,1,3F,Food & Beverage
COCO ICHIBANYA,Central Rama 9,1,BF,Food & Beverage
COLD STONE CREAMERY,Central Rama 9,1,6F,Food & Beverage
COLUMBIA,Central Rama 9,1,3F,Fashion & ApparelCONVERSE,Central Rama 9,1,BF,Fashion & ApparelCONVERSE,Central Rama 9,1,GF,Fashion & ApparelCOWAY,Central Rama 9,1,7F,Lifestyle & Specialty
CPS CHAPS,Central Rama 9,1,1F,Fashion & ApparelCROCS,Central Rama 9,1,4F,Fashion & ApparelCROCS,Central Rama 9,1,BF,Fashion & ApparelCROCS,Central Rama 9,1,GF,Fashion & ApparelCUT & CURL,Central Rama 9,1,5F,Beauty & Wellness
CUTE PRESS,Central Rama 9,1,3F,Beauty & Wellness
CW CURRYWURST,Central Rama 9,1,7F,Food & Beverage
DAIRY QUEEN,Central Rama 9,1,BF,Food & Beverage
DAISO,Central Rama 9,1,BF,Lifestyle & Specialty
DAKASHI,Central Rama 9,1,6F,Food & Beverage
DANIEL WELLINGTON,Central Rama 9,1,1F,Fashion & ApparelDE RICH GRAND CLINIC,Central Rama 9,1,8F,Beauty & Wellness
DJI,Central Rama 9,1,4F,Technology & ElectronicsDOCTOR LIFE,Central Rama 9,1,8F,Beauty & Wellness
DOLLAR BOUTIQUE,Central Rama 9,1,BF,Fashion & ApparelDOUBLE GOOSE,Central Rama 9,1,3F,Fashion & ApparelDOUBLE GOOSE,Central Rama 9,1,4F,Fashion & ApparelDTAC,Central Rama 9,1,4F,Technology & ElectronicsDUCATI,Central Rama 9,1,GF,Fashion & ApparelEASY BUDDY,Central Rama 9,1,BF,Food & Beverage
EDU FIRST,Central Rama 9,1,12F,Services & EducationERIC KAYSER,Central Rama 9,1,BF,Food & Beverage
EYE CLASS,Central Rama 9,1,3F,Fashion & ApparelFITFLOP,Central Rama 9,1,2F,Fashion & ApparelFITFLOP,Central Rama 9,1,3F,Fashion & ApparelFOCUS,Central Rama 9,1,4F,Technology & ElectronicsFOOD REPUBLIC,Central Rama 9,1,6F,Food & Beverage
FOUR SEASONS,Central Rama 9,1,BF,Food & Beverage
FUJI,Central Rama 9,1,6F,Food & Beverage
FUKU MATCHA,Central Rama 9,1,6F,Food & Beverage
GANGNAM CLINIC,Central Rama 9,1,9F,Beauty & Wellness
GENTLEWOMAN,Central Rama 9,1,2F,Fashion & ApparelGIORDANO,Central Rama 9,1,3F,Fashion & ApparelGOVERNMENT HOUSING BANK,Central Rama 9,1,5F,Bank & Financial Services
GOVERNMENT SAVINGS BANK,Central Rama 9,1,5F,Bank & Financial Services
H&M,Central Rama 9,1,2F,Fashion & ApparelH.MILLION CLINIC,Central Rama 9,1,5F,Beauty & Wellness
