Source,Target,Weight,Floor,Category
A LOT OF BOOK,Central Rattanathibet,1,2F,Lifestyle & Specialty
AC PHONE,Central Rattanathibet,1,2F,Technology
ADORE,Central Rattanathibet,1,2F,Lifestyle & Specialty
AIS,Central Rattanathibet,1,2F,Technology
AM PHONE,Central Rattanathibet,1,2F,Technology
AMAXS,Central Rattanathibet,1,2F,Lifestyle & Specialty
AN MOBILE,Central Rattanathibet,1,2F,Technology
ARCOVA,Central Rattanathibet,1,3F,Lifestyle & Specialty
ASAI KHRIM KATHI SOT MATHACHAI,Central Rattanathibet,1,3F,Food & Beverage
AT BED,Central Rattanathibet,1,2F,Lifestyle & Specialty
AUNTIE ANNE'S,Central Rattanathibet,1,1F,Food & Beverage
BAAN&BEYOND,Central Rattanathibet,1,2F,Lifestyle & Specialty
BAKE A WISH,Central Rattanathibet,1,1F,Food & Beverage
BANANA VISION,Central Rattanathibet,1,2F,Fashion
BANGKOK BANK,Central Rattanathibet,1,2F,Bank & Financial Services
BANGKOK DANCE ACADEMY,Central Rattanathibet,1,3F,Education
BANGKOK GOLDS,Central Rattanathibet,1,1F,Fashion
BANK OF AYUDHYA,Central Rattanathibet,1,2F,Bank & Financial Services
BAR-B-Q PLAZA,Central Rattanathibet,1,3F,Food & Beverage
BEAR BEAR BEAR,Central Rattanathibet,1,3F,Food & Beverage
BEAUTY FARM,Central Rattanathibet,1,2F,Beauty & Wellness
BETTER VISION,Central Rattanathibet,1,1F,Fashion
BIGBEAR ART STUDIO,Central Rattanathibet,1,3F,Lifestyle & Specialty
BLACK BERRY,Central Rattanathibet,1,2F,Technology
BLACK CANYON COFFEE,Central Rattanathibet,1,3F,Food & Beverage
BOOK FRIEND,Central Rattanathibet,1,2F,Lifestyle & Specialty
BOOTS,Central Rattanathibet,1,2F,Beauty & Wellness
BREADTALK,Central Rattanathibet,1,1F,Food & Beverage
BUN,Central Rattanathibet,1,3F,Food & Beverage
BUTA GAME,Central Rattanathibet,1,3F,Lifestyle & Specialty
CAFE AMAZON,Central Rattanathibet,1,1F,Food & Beverage
CESAR MOBILE,Central Rattanathibet,1,2F,Technology
CHAKAI,Central Rattanathibet,1,2F,Food & Beverage
CHALAENG MASSAGE,Central Rattanathibet,1,2F,Beauty & Wellness
CHARIOT,Central Rattanathibet,1,3F,Lifestyle & Specialty
