Source,Target,Weight,Floor,Category
3BB,Central Rayong,1,2F,Technology & Electronics
ADIDAS,Central Rayong,1,1F,Fashion & Apparel
AIS,Central Rayong,1,2F,Technology & Electronics
ARI FOOTBALL,Central Rayong,1,1F,Fashion & Apparel
ASUS,Central Rayong,1,2F,Technology & Electronics
ATOM PHONE,Central Rayong,1,2F,Technology & Electronics
AUNTIE ANNE'S,Central Rayong,1,2F,Food & Beverage
AURORA,Central Rayong,1,1F,Fashion & Apparel
B2S,Central Rayong,1,2F,Lifestyle & Specialty
BA MEE FAN CHUAN,Central Rayong,1,1F,Food & Beverage
BAKE A WISH,Central Rayong,1,1F,Food & Beverage
IT BANANA,Central Rayong,1,2F,Technology & Electronics
IT BANANA,Central Rayong,1,2F,Technology & Electronics
BANGKOK BANK,Central Rayong,1,2F,Bank & Financial Services
BANK OF AYUDHYA,Central Rayong,1,2F,Bank & Financial Services
BAR-B-Q PLAZA,Central Rayong,1,3F,Food & Beverage
BATA,Central Rayong,1,1F,Fashion & Apparel
BEAUTRIUM,Central Rayong,1,1F,Beauty & Wellness
BEBE PHONE,Central Rayong,1,2F,Technology & Electronics
BETTER VISION,Central Rayong,1,2F,Fashion & Apparel
BF MOBILE,Central Rayong,1,2F,Technology & Electronics
BIG CAMERA,Central Rayong,1,2F,Technology & Electronics
BLACK CANYON COFFEE,Central Rayong,1,3F,Food & Beverage
BODY GLOVE,Central Rayong,1,1F,Fashion & Apparel
BONITA EXCLUSIVE,Central Rayong,1,2F,Beauty & Wellness
BOOST JUICE BAR,Central Rayong,1,1F,Food & Beverage
BOOTS,Central Rayong,1,2F,Beauty & Wellness
CAFE AMAZON,Central Rayong,1,2F,Food & Beverage
CC-OO,Central Rayong,1,1F,Fashion & Apparel
CHESTER'S,Central Rayong,1,1F,Food & Beverage
COFFEE WORLD,Central Rayong,1,2F,Food & Beverage
COLOUR NAIL,Central Rayong,1,2F,Beauty & Wellness
CONVERSE,Central Rayong,1,1F,Fashion & Apparel
CPS CHAPS,Central Rayong,1,1F,Fashion & Apparel
CROCS,Central Rayong,1,1F,Fashion & Apparel
CUTE PRESS,Central Rayong,1,1F,Beauty & Wellness
D'ARTE,Central Rayong,1,1F,Fashion & Apparel
DAIRY QUEEN,Central Rayong,1,3F,Food & Beverage
DAISO,Central Rayong,1,2F,Lifestyle & Specialty
DENTAL FACTORY,Central Rayong,1,2F,Beauty & Wellness
DILAVIE,Central Rayong,1,1F,Fashion & Apparel
DR. PONG,Central Rayong,1,1F,Beauty & Wellness
DTAC,Central Rayong,1,2F,Technology & Electronics
