Source,Target,Weight,Floor,Category
ABOUT SOCK BY JONY,Central Salaya,1,2F,Fashion & Apparel
AFTER YOU,Central Salaya,1,1F,Food & Beverage
AIIZ,Central Salaya,1,1F,Fashion & Apparel
AIS,Central Salaya,1,2F,Technology & Electronics
AKA,Central Salaya,1,1F,Food & Beverage
ANELLO,Central Salaya,1,1F,Fashion & Apparel
ARINASOMPAN,Central Salaya,1,1F,Food & Beverage
AUNTIE ANNE'S,Central Salaya,1,1F,Food & Beverage
AURORA,Central Salaya,1,1F,Fashion & Apparel
B2S,Central Salaya,1,3F,Lifestyle & Specialty
BAKE A WISH,Central Salaya,1,1F,Food & Beverage
BANANA,Central Salaya,1,2F,Technology & Electronics
BANGKOK BANK,Central Salaya,1,3F,Bank & Financial Services
BANGKOK GOLDS,Central Salaya,1,1F,Fashion & Apparel
BANK OF AYUDHYA,Central Salaya,1,3F,Bank & Financial Services
BAR-B-Q PLAZA,Central Salaya,1,3F,Food & Beverage
BATA,Central Salaya,1,2F,Fashion & Apparel
BETTER VISION,Central Salaya,1,3F,Fashion & Apparel
BEYOND FITNESS,Central Salaya,1,1F,Lifestyle & Specialty
BIG CAMERA,Central Salaya,1,2F,Technology & Electronics
BONCHON,Central Salaya,1,1F,Food & Beverage
BOOTS,Central Salaya,1,3F,Beauty & Wellness
BOWCAKE,Central Salaya,1,1F,Food & Beverage
BREADTALK,Central Salaya,1,1F,Food & Beverage
CAFE AMAZON,Central Salaya,1,2F,Food & Beverage
CC-OO,Central Salaya,1,1F,Fashion & Apparel
CENTRAL DEPARTMENT STORE,Central Salaya,1,1F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Salaya,1,2F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Salaya,1,3F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Salaya,1,4F,Lifestyle & Specialty
CHAI SI CHUT CHUT . KUAITIAO PAK MO PHANOM,Central Salaya,1,1F,Food & Beverage
CHAPAYOM,Central Salaya,1,GF,Food & Beverage
CHEN CHUAN CHIM LANG HOITHIANLAO,Central Salaya,1,1F,Food & Beverage
CHILLING STLYE,Central Salaya,1,1F,Fashion & Apparel
CHINESE CERAMIC,Central Salaya,1,GF,Lifestyle & Specialty
CHINESE CERAMIC,Central Salaya,1,GF,Lifestyle & Specialty
CHUTHA THIP,Central Salaya,1,1F,Food & Beverage
CLICKROBOT,Central Salaya,1,GF,Services & Education
CPS CHAPS,Central Salaya,1,1F,Fashion & Apparel
CROCS,Central Salaya,1,2F,Fashion & Apparel
CSC,Central Salaya,1,2F,Technology & Electronics
CUTE PRESS,Central Salaya,1,1F,Beauty & Wellness
DAIRY QUEEN,Central Salaya,1,3F,Food & Beverage
DAISO,Central Salaya,1,3F,Lifestyle & Specialty
DARLING DOGS,Central Salaya,1,GF,Lifestyle & Specialty
DIAMOND FOR YOU,Central Salaya,1,1F,Fashion & Apparel
DILAVIE,Central Salaya,1,1F,Fashion & Apparel
DTAC,Central Salaya,1,2F,Technology & Electronics
ECC LANGUAGE INSTITUTE,Central Salaya,1,GF,Services & Education
EXPORT SHOP,Central Salaya,1,2F,Fashion & Apparel
EYE CLASS,Central Salaya,1,3F,Fashion & Apparel
FASHION TV COSMETICS,Central Salaya,1,2F,Beauty & Wellness
FITFLOP,Central Salaya,1,1F,Fashion & Apparel
FOOD PARK,Central Salaya,1,1F,Food & Beverage
FUJI,Central Salaya,1,1F,Food & Beverage
FUKU MATCHA,Central Salaya,1,3F,Food & Beverage
FUN CITY,Central Salaya,1,3F,Entertainment
G-SHOCK,Central Salaya,1,1F,Fashion & Apparel
GIORDANO,Central Salaya,1,1F,Fashion & Apparel
GOVERNMENT CENTER,Central Salaya,1,2F,Lifestyle & Specialty
GOVERNMENT HOUSING BANK,Central Salaya,1,3F,Bank & Financial Services
GOVERNMENT SAVINGS BANK,Central Salaya,1,3F,Bank & Financial Services
HACHIBAN RAMEN,Central Salaya,1,3F,Food & Beverage
