Source,Target,Weight,Floor,Category
225,Central Samui,1,2F,Food & Beverage
31 ST,Central Samui,1,1F,Fashion & Apparel
ADIDAS,Central Samui,1,1F,Fashion & Apparel
AIS,Central Samui,1,2F,Technology & Electronics
AMERICAN EAGLE OUTFITTERS,Central Samui,1,1F,Fashion & Apparel
AURORA,Central Samui,1,2F,Fashion & Apparel
B2S,Central Samui,1,1F,Lifestyle & Specialty
BANGKOK BANK,Central Samui,1,2F,Bank & Financial Services
BANK OF AYUDHYA,Central Samui,1,2F,Bank & Financial Services
BATA,Central Samui,1,2F,Fashion & Apparel
BEACH EATS,Central Samui,1,1F,Food & Beverage
BEAUTRIUM,Central Samui,1,1F,Beauty & Wellness
BIG CAMERA,Central Samui,1,2F,Technology & Electronics
BOOTS,Central Samui,1,1F,Beauty & Wellness
BOOTS,Central Samui,1,2F,Beauty & Wellness
BOUTIQUE ASIA BY MAPLE,Central Samui,1,2F,Fashion & Apparel
CAFE AMAZON,Central Samui,1,1F,Food & Beverage
CC-OO,Central Samui,1,1F,Fashion & Apparel
CENTRAL DEPARTMENT STORE,Central Samui,1,1F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Samui,1,2F,Lifestyle & Specialty
CENTRAL FOOD HALL,Central Samui,1,1F,Lifestyle & Specialty
CHATRAMUE,Central Samui,1,1F,Food & Beverage
COLD STONE CREAMERY,Central Samui,1,1F,Food & Beverage
COPA CABANA,Central Samui,1,1F,Food & Beverage
CROCS,Central Samui,1,2F,Fashion & Apparel
DAIRY QUEEN,Central Samui,1,1F,Food & Beverage
DTAC,Central Samui,1,2F,Technology & Electronics
EL GAUCHO ARGENTINIAN STEAKHOUSE,Central Samui,1,1F,Food & Beverage
ENJOY EXCHANGE,Central Samui,1,1F,Bank & Financial Services
EYE LAB EXCLUSIVE,Central Samui,1,2F,Fashion & Apparel
GAGA,Central Samui,1,1F,Food & Beverage
GIORDANO,Central Samui,1,1F,Fashion & Apparel
GOKHAI CANDY LAND,Central Samui,1,2F,Lifestyle & Specialty
GOVERNMENT SAVINGS BANK,Central Samui,1,2F,Bank & Financial Services
JASPAL,Central Samui,1,1F,Fashion & Apparel
JAYMART,Central Samui,1,2F,Technology & Electronics
JELLY BUNNY,Central Samui,1,1F,Fashion & Apparel
JIB COMPUTER,Central Samui,1,2F,Technology & Electronics
JIM THOMPSON,Central Samui,1,1F,Fashion & Apparel
KAPI SATOR,Central Samui,1,1F,Food & Beverage
KASIKORN BANK,Central Samui,1,2F,Bank & Financial Services
KFC,Central Samui,1,1F,Food & Beverage
KRUNG THAI BANK,Central Samui,1,2F,Bank & Financial Services
LUKFOOK JEWELLERY,Central Samui,1,2F,Fashion & Apparel
LUXOPTIC,Central Samui,1,2F,Fashion & Apparel
MAJOR CINEPLEX,Central Samui,1,2F,Entertainment
MK RESTAURANT,Central Samui,1,2F,Food & Beverage
MONKEY HOUSE TAPROOM & RESTAURANT,Central Samui,1,1F,Food & Beverage
MORA,Central Samui,1,1F,Fashion & Apparel
NEXT GEN BARBER CLUB,Central Samui,1,1F,Beauty & Wellness
OCEAN HEROES,Central Samui,1,2F,Fashion & Apparel
OWNDAYS,Central Samui,1,1F,Fashion & Apparel
PARMA BY MOZZA,Central Samui,1,1F,Food & Beverage
PAY BY P.A.PHONE,Central Samui,1,2F,Technology & Electronics
PEUNGNOIZ HYPE STREET,Central Samui,1,2F,Fashion & Apparel
POLI-CHEM,Central Samui,1,GF,Lifestyle & Specialty
POWER BUY,Central Samui,1,1F,Technology & Electronics
QUJAMI,Central Samui,1,1F,Fashion & Apparel
RIP CURL,Central Samui,1,1F,Fashion & Apparel
ROYAL SPA,Central Samui,1,2F,Beauty & Wellness
SAMUI HAWAII,Central Samui,1,1F,Fashion & Apparel
SANTA FE' STEAK,Central Samui,1,2F,Food & Beverage
SHABUSHI BUFFER BY OISHI,Central Samui,1,2F,Food & Beverage
SIAM COMMERCIAL BANK,Central Samui,1,2F,Bank & Financial Services
SIZZLER,Central Samui,1,1F,Food & Beverage
SKECHERS,Central Samui,1,1F,Fashion & Apparel
STARBUCKS COFFEE,Central Samui,1,1F,Food & Beverage
STUDIO 7,Central Samui,1,2F,Technology & Electronics
SUBWAY,Central Samui,1,1F,Food & Beverage
SUNRISE TACOS,Central Samui,1,1F,Food & Beverage
SUPER SPORTS,Central Samui,1,2F,Fashion & Apparel
SWENSEN'S,Central Samui,1,2F,Food & Beverage
TAYWIN ORIGINAL STYLE,Central Samui,1,2F,Fashion & Apparel
TG FONE,Central Samui,1,2F,Technology & Electronics
THE COFFEE CLUB,Central Samui,1,1F,Food & Beverage
THE KITCHEN,Central Samui,1,1F,Food & Beverage
THE PROPERTY SHOP,Central Samui,1,2F,Lifestyle & Specialty
TPARTNER,Central Samui,1,2F,Fashion & Apparel
TRUE,Central Samui,1,2F,Technology & Electronics
TUM MOUR,Central Samui,1,1F,Food & Beverage
UNIQLO,Central Samui,1,1F,Fashion & Apparel
VR CLUB ANOTHER WORLD,Central Samui,1,2F,Entertainment
WATSONS,Central Samui,1,1F,Beauty & Wellness
WATSONS,Central Samui,1,2F,Beauty & Wellness
YAOWARAT KRUNGTHEP,Central Samui,1,2F,Fashion & Apparel
YUEDPAO,Central Samui,1,2F,Fashion & Apparel
YVES ROCHER,Central Samui,1,1F,Beauty & Wellness
ZEN JAPANESE RESTAURANT,Central Samui,1,1F,Food & Beverage
ร้านไปรษณีย์ไทย,Central Samui,1,1F,Lifestyle & Specialty
