Source,Target,Weight,Floor,Category
ADIDAS,Central Siracha,1,1F,Fashion
AEON THANA SINSAP,Central Siracha,1,2F,Bank & Financial Services
AES CLASS CLINIC,Central Siracha,1,2F,Beauty & Wellness
AIS,Central Siracha,1,2F,Technology
AIS SERENADE,Central Siracha,1,2F,Technology
AKA,Central Siracha,1,3F,Food & Beverage
AKIMITSU TENDON,Central Siracha,1,1F,Food & Beverage
ALBEDO,Central Siracha,1,1F,Fashion
ANELLO,Central Siracha,1,GF,Fashion
ARROW,Central Siracha,1,1F,Fashion
AUGUST TOYS,Central Siracha,1,1F,Lifestyle & Specialty
AUNTIE ANNE'S,Central Siracha,1,GF,Food & Beverage
AURORA,Central Siracha,1,GF,Fashion
AUTO1,Central Siracha,1,LG,Lifestyle & Specialty
B.BURNT,Central Siracha,1,1F,Food & Beverage
B2S,Central Siracha,1,3F,Lifestyle & Specialty
BAAN CAKE BY NUNAN,Central Siracha,1,GF,Food & Beverage
BANANA,Central Siracha,1,2F,Technology
BANANA,Central Siracha,1,2F,Technology
BANGKOK BANK,Central Siracha,1,2F,Bank & Financial Services
BANGKOK GOLDS,Central Siracha,1,GF,Fashion
BAOJI,Central Siracha,1,1F,Fashion
BAR-B-Q PLAZA,Central Siracha,1,3F,Food & Beverage
BATA,Central Siracha,1,GF,Fashion
BEAUTRIUM,Central Siracha,1,GF,Beauty & Wellness
BEBE PHONE,Central Siracha,1,2F,Technology
BETTER VISION,Central Siracha,1,1F,Fashion
BIG CAMERA,Central Siracha,1,2F,Technology
BKK DIAMOND,Central Siracha,1,GF,Fashion
BLOOMING HOUSE,Central Siracha,1,3F,Fashion
BLUE GOLD ROASTER SPECIALTY,Central Siracha,1,1F,Food & Beverage
BODY GLOVE,Central Siracha,1,GF,Fashion
BONCHON,Central Siracha,1,3F,Food & Beverage
BOOST JUICE BAR,Central Siracha,1,GF,Food & Beverage
BOSS TIME,Central Siracha,1,GF,Fashion
BUNNY SHAKE,Central Siracha,1,GF,Food & Beverage
CAFE AMAZON,Central Siracha,1,GF,Food & Beverage
CATH KIDSTON,Central Siracha,1,GF,Fashion
CC DOUBLE O,Central Siracha,1,GF,Fashion
CHATRAMUE,Central Siracha,1,GF,Food & Beverage
CHIN GOLD&JEWELRY,Central Siracha,1,GF,Fashion
CHIVAROME,Central Siracha,1,2F,Beauty & Wellness
CIMB THAI BANK,Central Siracha,1,2F,Bank & Financial Services
CLAUDIA & DAVIS,Central Siracha,1,GF,Beauty & Wellness
COCO ICHIBANYA,Central Siracha,1,1F,Food & Beverage
CONVERSE,Central Siracha,1,1F,Fashion
CROCS,Central Siracha,1,1F,Fashion
CRUZY,Central Siracha,1,GF,Fashion
D STUDIO,Central Siracha,1,2F,Technology
D'ARTE,Central Siracha,1,1F,Fashion
DAIRY QUEEN,Central Siracha,1,GF,Food & Beverage
DIAMOND FOR YOU,Central Siracha,1,GF,Fashion
DILAVIE,Central Siracha,1,GF,Fashion
DOTLIFE,Central Siracha,1,2F,Technology
ECLAIRE,Central Siracha,1,1F,Beauty & Wellness
EYE CLASS,Central Siracha,1,1F,Fashion
FITFLOP,Central Siracha,1,GF,Fashion
FOOD PARK,Central Siracha,1,GF,Food & Beverage
FRUZBERRY,Central Siracha,1,3F,Food & Beverage
FUJI JAPANESE RESTAURANT,Central Siracha,1,3F,Food & Beverage
FUKU MATCHA,Central Siracha,1,3F,Food & Beverage
FUN CITY,Central Siracha,1,1F,Entertainment
FUN STATION,Central Siracha,1,3F,Entertainment
FUTURE LIVING,Central Siracha,1,2F,Lifestyle & Specialty
G-SHOCK CASIO,Central Siracha,1,1F,Fashion
GIORDANO,Central Siracha,1,GF,Fashion
GLAMOR,Central Siracha,1,GF,Fashion
GO WOW!,Central Siracha,1,1F,Lifestyle & Specialty
GUESS ACCESSORIES,Central Siracha,1,GF,Fashion
HACHIBAN RAMEN,Central Siracha,1,3F,Food & Beverage
HAIR'S PLACE,Central Siracha,1,1F,Beauty & Wellness
HAVAIANAS,Central Siracha,1,1F,Fashion
