Source,Target,Weight,Floor,Category
ADIDAS,Central Suratthani,1,1F,Fashion
ADVICE DISTRIBUTIONS,Central Suratthani,1,2F,Technology
AEON THANA SINSAP,Central Suratthani,1,3F,Bank & Financial Services
AFFANFOODHALAL,Central Suratthani,1,3F,Food & Beverage
AIIZ,Central Suratthani,1,1F,Fashion
AIS,Central Suratthani,1,2F,Technology
AMPHOR YIM,Central Suratthani,1,2F,Services
ANELLO,Central Suratthani,1,1F,Fashion
APPLE HOUSE,Central Suratthani,1,2F,Technology
ARGO,Central Suratthani,1,3F,Food & Beverage
ARIKHAOMOKKAI,Central Suratthani,1,3F,Food & Beverage
AT STORY,Central Suratthani,1,2F,Fashion
AUNTIE ANNE'S,Central Suratthani,1,1F,Food & Beverage
AURORA,Central Suratthani,1,1F,Fashion
B2S,Central Suratthani,1,2F,Lifestyle & Specialty
BABIES GENIUS,Central Suratthani,1,2F,Education
BAKE A WISH,Central Suratthani,1,1F,Food & Beverage
BANANA IT,Central Suratthani,1,2F,Technology
BANANA MOBILE,Central Suratthani,1,2F,Technology
BANG NUN TEA,Central Suratthani,1,3F,Food & Beverage
BANSUAN CHAISAKARIN,Central Suratthani,1,2F,Lifestyle & Specialty
BATA,Central Suratthani,1,2F,Fashion
BB WAX AND SPA,Central Suratthani,1,GF,Beauty & Wellness
BEAUTRIUM,Central Suratthani,1,1F,Beauty & Wellness
BEAUTY BUFFET,Central Suratthani,1,1F,Beauty & Wellness
BETTER VISION,Central Suratthani,1,2F,Fashion
BIG CAMERA,Central Suratthani,1,2F,Technology
BILLIONAIRE,Central Suratthani,1,2F,Fashion
BODY GLOVE,Central Suratthani,1,1F,Fashion
BOOTS,Central Suratthani,1,2F,Beauty & Wellness
BOSSTIME,Central Suratthani,1,2F,Fashion
BUA SHOP,Central Suratthani,1,2F,Fashion
CAFE AMAZON,Central Suratthani,1,1F,Food & Beverage
CC-OO,Central Suratthani,1,1F,Fashion
CHAEMCHEUNNAMKAENGSAI,Central Suratthani,1,3F,Food & Beverage
CHANON TIME SERVICE,Central Suratthani,1,GF,Services
CHAPAYOM,Central Suratthani,1,3F,Food & Beverage
CHARLES & KEITH,Central Suratthani,1,1F,Fashion
CHAZEN,Central Suratthani,1,1F,Food & Beverage
CHEESY FRIED SNACK,Central Suratthani,1,3F,Food & Beverage
CHOKDEE LOTTERY,Central Suratthani,1,GF,Services
CPS CHAPS,Central Suratthani,1,1F,Fashion
CROCS,Central Suratthani,1,1F,Fashion
CROISSAINT TAIYAKI BY SNOW CLOUDY,Central Suratthani,1,3F,Food & Beverage
CSC,Central Suratthani,1,2F,Technology
CUTE PRESS,Central Suratthani,1,1F,Beauty & Wellness
DAISO,Central Suratthani,1,2F,Lifestyle & Specialty
DAVIE JONES,Central Suratthani,1,2F,Fashion
DE NAIL,Central Suratthani,1,GF,Beauty & Wellness
DELAVIE,Central Suratthani,1,1F,Fashion
DIAMOND MOBILE,Central Suratthani,1,2F,Technology
DTAC,Central Suratthani,1,2F,Technology
EDO SOFT,Central Suratthani,1,3F,Food & Beverage
ESCENT VILLE,Central Suratthani,1,2F,Lifestyle & Specialty
FARMEENROTICHACCHUK,Central Suratthani,1,3F,Food & Beverage
FAST ACCOUNTING HUB,Central Suratthani,1,2F,Bank & Financial Services
FIRST DATE,Central Suratthani,1,2F,Fashion
FLOURISHZ,Central Suratthani,1,2F,Beauty & Wellness
FOODPARK,Central Suratthani,1,3F,Food & Beverage
FOTO BOOTH,Central Suratthani,1,4F,Entertainment
FRESHY CREPE,Central Suratthani,1,3F,Food & Beverage
GIORDANO,Central Suratthani,1,1F,Fashion
GOVERNMENT SAVINGS BANK,Central Suratthani,1,3F,Bank & Financial Services
GT KLOSET,Central Suratthani,1,2F,Fashion
HAVAIANAS,Central Suratthani,1,1F,Fashion
HOUSE OF SHOES BY HEAVY SHOES,Central Suratthani,1,1F,Fashion
HUAWEI,Central Suratthani,1,2F,Technology
I CARE,Central Suratthani,1,2F,Technology
IT BY IT CITY,Central Suratthani,1,2F,Technology
IT CITY,Central Suratthani,1,2F,Technology
ITEM SHOP,Central Suratthani,1,2F,Beauty & Wellness
JAN PHONE,Central Suratthani,1,2F,Technology
JASPAL,Central Suratthani,1,1F,Fashion
JAY MART,Central Suratthani,1,2F,Technology
JEFFER STEAK,Central Suratthani,1,3F,Food & Beverage
JIB,Central Suratthani,1,2F,Technology
JING JAI MARKET,Central Suratthani,1,1F,Lifestyle & Specialty
JUBILEE,Central Suratthani,1,1F,Fashion
KAMOOJAKAPAK,Central Suratthani,1,3F,Food & Beverage
KAMU TEA,Central Suratthani,1,3F,Food & Beverage
KASARA SHUSHI,Central Suratthani,1,3F,Food & Beverage
KASIKORN BANK,Central Suratthani,1,3F,Bank & Financial Services
KEDMA,Central Suratthani,1,1F,Beauty & Wellness
KFC,Central Suratthani,1,1F,Food & Beverage
KHAIJEAWPANLAN,Central Suratthani,1,3F,Food & Beverage
KHAOMONKAIRUNGSAD,Central Suratthani,1,3F,Food & Beverage
KHAORONKAENGROI,Central Suratthani,1,3F,Food & Beverage
KHROK THONG,Central Suratthani,1,3F,Food & Beverage
KHUNLUANG MASS,Central Suratthani,1,1F,Beauty & Wellness
KHUNTA THAI MASSAGE,Central Suratthani,1,GF,Beauty & Wellness
KHUYTEIWPEDLERDROD,Central Suratthani,1,3F,Food & Beverage
KIKI BABY,Central Suratthani,1,2F,Fashion
KING KONG,Central Suratthani,1,2F,Fashion
KOKHAIMUN,Central Suratthani,1,4F,Entertainment
