Source,Target,Weight,Floor,Category
A'MAZE,Central Ubon,1,2F,Fashion & Apparel
ADIDAS,Central Ubon,1,1F,Fashion & Apparel
AIIZ,Central Ubon,1,1F,Fashion & Apparel
AIS,Central Ubon,1,2F,Technology & Electronics
AKA,Central Ubon,1,3F,Food & Beverage
ALIPANTIPUBON,Central Ubon,1,2F,Technology & Electronics
AMAXS,Central Ubon,1,GF,Lifestyle & Specialty
ANELLO,Central Ubon,1,1F,Fashion & Apparel
ARI FOOTBALL,Central Ubon,1,1F,Fashion & Apparel
ASICS,Central Ubon,1,1F,Fashion & Apparel
AUNTIE ANNE'S,Central Ubon,1,1F,Food & Beverage
AURORA,Central Ubon,1,1F,Fashion & Apparel
B2S,Central Ubon,1,2F,Lifestyle & Specialty
BAKE A WISH,Central Ubon,1,1F,Food & Beverage
BANANA,Central Ubon,1,2F,Technology & Electronics
BANGKOK BANK,Central Ubon,1,3F,Bank & Financial Services
BANGKOK GOLDS,Central Ubon,1,1F,Fashion & Apparel
BANGKOK INSURANCE,Central Ubon,1,3F,Bank & Financial Services
BANK OF AYUDHYA,Central Ubon,1,3F,Bank & Financial Services
BAR-B-Q PLAZA,Central Ubon,1,3F,Food & Beverage
BATA,Central Ubon,1,2F,Fashion & Apparel
BATH & BODY WORKS,Central Ubon,1,1F,Beauty & Wellness
BEBE PHONE,Central Ubon,1,2F,Technology & Electronics
BETTER VISION,Central Ubon,1,3F,Fashion & Apparel
BIG CAMERA,Central Ubon,1,2F,Technology & Electronics
BLACK CANYON COFFEE,Central Ubon,1,3F,Food & Beverage
BODY GLOVE,Central Ubon,1,1F,Fashion & Apparel
BONCHON,Central Ubon,1,3F,Food & Beverage
BOOST JUICE BAR,Central Ubon,1,1F,Food & Beverage
BOOTS,Central Ubon,1,2F,Beauty & Wellness
CAFE AMAZON,Central Ubon,1,2F,Food & Beverage
CC-OO,Central Ubon,1,1F,Fashion & Apparel
CHANA,Central Ubon,1,2F,Fashion & Apparel
CHARLES & KEITH,Central Ubon,1,1F,Fashion & Apparel
CHATRAMUE,Central Ubon,1,3F,Food & Beverage
CONVERSE,Central Ubon,1,1F,Fashion & Apparel
CPS CHAPS,Central Ubon,1,1F,Fashion & Apparel
CROCS,Central Ubon,1,1F,Fashion & Apparel
CRYSTAL,Central Ubon,1,2F,Fashion & Apparel
CUTE PRESS,Central Ubon,1,1F,Beauty & Wellness
DAIRY QUEEN,Central Ubon,1,3F,Food & Beverage
DAISO,Central Ubon,1,2F,Lifestyle & Specialty
DAVIE JONES,Central Ubon,1,1F,Fashion & Apparel
DILAVIE,Central Ubon,1,1F,Fashion & Apparel
DOLLAR BOUTIQUE,Central Ubon,1,2F,Fashion & Apparel
DR. SMOOTH LIFE,Central Ubon,1,1F,Beauty & Wellness
DTAC,Central Ubon,1,2F,Technology & Electronics
EMPEROR DIAMOND,Central Ubon,1,1F,Fashion & Apparel
ESCENT CONDO,Central Ubon,1,3F,Lifestyle & Specialty
ESP FRENCHIE,Central Ubon,1,1F,Fashion & Apparel
EYE CLASS,Central Ubon,1,2F,Fashion & Apparel
FITFLOP,Central Ubon,1,1F,Fashion & Apparel
FLASH EXPRESS,Central Ubon,1,GF,Lifestyle & Specialty
FOCUS,Central Ubon,1,2F,Technology & Electronics
FUJI,Central Ubon,1,3F,Food & Beverage
FUKU MATCHA,Central Ubon,1,3F,Food & Beverage
GAGA,Central Ubon,1,3F,Food & Beverage
GANGNAM CLINIC,Central Ubon,1,2F,Beauty & Wellness
GIORDANO,Central Ubon,1,1F,Fashion & Apparel
GOSSIP,Central Ubon,1,2F,Fashion & Apparel
GOVERNMENT HOUSING BANK,Central Ubon,1,3F,Bank & Financial Services
GOVERNMENT SAVINGS BANK,Central Ubon,1,3F,Bank & Financial Services
GQ,Central Ubon,1,1F,Fashion & Apparel
HACHIBAN RAMEN,Central Ubon,1,3F,Food & Beverage
HER,Central Ubon,1,2F,Fashion & Apparel
HI PHONE,Central Ubon,1,2F,Technology & Electronics
HIGH SCHOOL,Central Ubon,1,1F,Fashion & Apparel
I STUDIO,Central Ubon,1,2F,Technology & Electronics
INTHANIN COFFEE,Central Ubon,1,3F,Food & Beverage
IT CITY,Central Ubon,1,2F,Technology & Electronics
IT CITY,Central Ubon,1,2F,Technology & Electronics
JASPAL,Central Ubon,1,1F,Fashion & Apparel
JAYMART,Central Ubon,1,2F,Technology & Electronics
JELLY BUNNY,Central Ubon,1,1F,Fashion & Apparel
JIB,Central Ubon,1,2F,Technology & Electronics
JING JAI MARKET,Central Ubon,1,1F,Lifestyle & Specialty
JUBILEE DIAMOND,Central Ubon,1,1F,Fashion & Apparel
KANSEI SUSHI,Central Ubon,1,3F,Food & Beverage
KASIKORN BANK,Central Ubon,1,3F,Bank & Financial Services
KFC,Central Ubon,1,1F,Food & Beverage
KFC,Central Ubon,1,2F,Food & Beverage
KHUNPOOM,Central Ubon,1,2F,Fashion & Apparel
KOI THE,Central Ubon,1,1F,Food & Beverage
KOJI CHA,Central Ubon,1,3F,Food & Beverage
KRUNG THAI BANK,Central Ubon,1,3F,Bank & Financial Services
KRUNGSRI FIRST CHOICE,Central Ubon,1,3F,Bank & Financial Services
