Source,Target,Weight,Floor,Category
M LIFE,Central Udon,1,2F,Technology & Electronics
1976,Central Udon,1,3F,Fashion & Apparel
@MEDICAL CLINIC BY หมอไก่,Central Udon,1,3F,Beauty & Wellness
A1,Central Udon,1,3F,Beauty & Wellness
ACE,Central Udon,1,2F,Technology & Electronics
ADIDAS,Central Udon,1,1F,Fashion & Apparel
AEON,Central Udon,1,3F,Bank & Financial Services
AFTER YOU,Central Udon,1,1F,Food & Beverage
AIIZ,Central Udon,1,1F,Fashion & Apparel
AIS,Central Udon,1,2F,Technology & Electronics
AIS,Central Udon,1,2F,Technology & Electronics
AKA,Central Udon,1,4F,Food & Beverage
ANELLO,Central Udon,1,1F,Fashion & Apparel
ANGLE ZONE COLOR,Central Udon,1,4F,Fashion & Apparel
APEX,Central Udon,1,3F,Beauty & Wellness
ARI FOOTBALL,Central Udon,1,1F,Fashion & Apparel
ASIA BOOKS,Central Udon,1,GF,Lifestyle & Specialty
AUNTIE ANNE'S,Central Udon,1,1F,Food & Beverage
AURORA,Central Udon,1,3F,Fashion & Apparel
B2S,Central Udon,1,4F,Lifestyle & Specialty
BABYLOFT,Central Udon,1,3F,Fashion & Apparel
IT BANANA,Central Udon,1,2F,Technology & Electronics
IT BANANA,Central Udon,1,2F,Technology & Electronics
BANGKOK BANK,Central Udon,1,3F,Bank & Financial Services
BANGKOK GOLDS,Central Udon,1,3F,Fashion & Apparel
BANGKOK INSURANCE,Central Udon,1,3F,Bank & Financial Services
BANK OF AYUDHYA,Central Udon,1,3F,Bank & Financial Services
BAR-B-Q PLAZA,Central Udon,1,4F,Food & Beverage
BATA,Central Udon,1,1F,Fashion & Apparel
BATH&BODY WORKS / VICTORIA SECRET BEAUTY,Central Udon,1,1F,Beauty & Wellness
BEAUTRIUM,Central Udon,1,2F,Beauty & Wellness
BEAUTY BUFFET,Central Udon,1,1F,Beauty & Wellness
BETTER VISION,Central Udon,1,2F,Fashion & Apparel
BIG CAMERA,Central Udon,1,2F,Technology & Electronics
BIRKENSTOCK,Central Udon,1,1F,Fashion & Apparel
BKK DIAMOND,Central Udon,1,3F,Fashion & Apparel
BLOSSOM,Central Udon,1,4F,Services & Education
BONCHON,Central Udon,1,4F,Food & Beverage
BONJOUR,Central Udon,1,3F,Food & Beverage
BOONTAWEE,Central Udon,1,3F,Fashion & Apparel
BOOST JUICE BAR,Central Udon,1,GF,Food & Beverage
BOOTS,Central Udon,1,GF,Beauty & Wellness
BREAD TALK,Central Udon,1,GF,Food & Beverage
BUJEONG CLINIC,Central Udon,1,3F,Beauty & Wellness
BUMBLEBEE CAFE,Central Udon,1,GF,Food & Beverage
BUNGU,Central Udon,1,4F,Lifestyle & Specialty
BY MIN,Central Udon,1,2F,Fashion & Apparel
CAFE AMAZON,Central Udon,1,1F,Food & Beverage
CANTEEN,Central Udon,1,5F,Food & Beverage
CATH KIDSTON,Central Udon,1,1F,Fashion & Apparel
CC-OO,Central Udon,1,1F,Fashion & Apparel
CENTRAL DEPARTMENT STORE,Central Udon,1,1F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Udon,1,2F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Udon,1,3F,Lifestyle & Specialty
CHANEL,Central Udon,1,1F,Beauty & Wellness
CHARLES & KEITH,Central Udon,1,1F,Fashion & Apparel
CHATRAMUE,Central Udon,1,GF,Food & Beverage
CHERILON,Central Udon,1,1F,Fashion & Apparel
DIOR,Central Udon,1,1F,Beauty & Wellness
CLICKROBOT,Central Udon,1,4F,Services & Education
COACH,Central Udon,1,1F,Fashion & Apparel
CPS CHAPS,Central Udon,1,1F,Fashion & Apparel
CROCS,Central Udon,1,1F,Fashion & Apparel
CSC,Central Udon,1,2F,Technology & Electronics
CURIOO KIDS,Central Udon,1,4F,Services & Education
CUTE PRESS,Central Udon,1,1F,Beauty & Wellness
