Source,Target,Weight,Floor,Category
ADIDAS,Central Village,1,GF,Fashion & Apparel
ALDO,Central Village,1,GF,Fashion & Apparel
ANELLO,Central Village,1,GF,Fashion & Apparel
ANTA,Central Village,1,GF,Fashion & Apparel
ARMANI,Central Village,1,GF,Fashion & Apparel
ASICS,Central Village,1,GF,Fashion & Apparel
BABYBOTTE,Central Village,1,GF,Fashion & Apparel
BAGGAGE LUGGAGE,Central Village,1,GF,Lifestyle & Specialty
BANANA,Central Village,1,GF,Technology & Electronics
BANGKOK SOUVENIR,Central Village,1,GF,Lifestyle & Specialty
BAR-B-Q PLAZA,Central Village,1,GF,Food & Beverage
BATA,Central Village,1,GF,Fashion & Apparel
BATH & BODY WORKS,Central Village,1,GF,Beauty & Wellness
BEAUTRIUM,Central Village,1,GF,Beauty & Wellness
BONCHON,Central Village,1,GF,Food & Beverage
BOOTS,Central Village,1,GF,Beauty & Wellness
BOSSINI,Central Village,1,GF,Fashion & Apparel
BP WORLD,Central Village,1,GF,Lifestyle & Specialty
BRANDNAME.COM,Central Village,1,GF,Fashion & Apparel
BRANDS OUTLET,Central Village,1,GF,Fashion & Apparel
C.T.GALLARY,Central Village,1,GF,Lifestyle & Specialty
CAFE AMAZON,Central Village,1,GF,Food & Beverage
CALVIN KLEIN,Central Village,1,GF,Fashion & Apparel
CATH KIDSTON,Central Village,1,GF,Fashion & Apparel
CHAMPION,Central Village,1,GF,Fashion & Apparel
CHARLES & KEITH,Central Village,1,GF,Fashion & Apparel
CHATRAMUE,Central Village,1,GF,Food & Beverage
CHESTER'S,Central Village,1,GF,Food & Beverage
CHIM SE DESSERT,Central Village,1,GF,Food & Beverage
COACH,Central Village,1,GF,Fashion & Apparel
COCCINELLE,Central Village,1,GF,Fashion & Apparel
CONVERSE,Central Village,1,GF,Fashion & Apparel
COS MARCHE,Central Village,1,GF,Beauty & Wellness
CROCS,Central Village,1,GF,Fashion & Apparel
DAKS,Central Village,1,GF,Fashion & Apparel
DOSH (DESCENDANT OF SUPERHEROES),Central Village,1,GF,Fashion & Apparel
DUCATI,Central Village,1,GF,Fashion & Apparel
DUTY BRAND,Central Village,1,GF,Fashion & Apparel
ECCO,Central Village,1,GF,Fashion & Apparel
ELEMENT 72,Central Village,1,GF,Fashion & Apparel
ELEPH,Central Village,1,GF,Lifestyle & Specialty
ERGOTREND,Central Village,1,GF,Lifestyle & Specialty
EYE CLASS,Central Village,1,GF,Fashion & Apparel
FERRAGAMO,Central Village,1,GF,Fashion & Apparel
FILA,Central Village,1,GF,Fashion & Apparel
FITFLOP,Central Village,1,GF,Fashion & Apparel
FPO,Central Village,1,GF,Fashion & Apparel
FUJI,Central Village,1,GF,Food & Beverage
G-SHOCK,Central Village,1,GF,Fashion & Apparel
G2000,Central Village,1,GF,Fashion & Apparel
GIORDANO,Central Village,1,GF,Fashion & Apparel
GLASSAHOLIC,Central Village,1,GF,Fashion & Apparel
GOLF CHALENGE,Central Village,1,GF,Lifestyle & Specialty
GUESS,Central Village,1,GF,Fashion & Apparel
HAVAIANAS,Central Village,1,GF,Fashion & Apparel
HECHTER,Central Village,1,GF,Fashion & Apparel
HOME&LIVING,Central Village,1,GF,Lifestyle & Specialty
HOUR PASSION,Central Village,1,GF,Fashion & Apparel
HUGO,Central Village,1,GF,Fashion & Apparel
IM AROI KUAI TIAO KAI,Central Village,1,GF,Food & Beverage
JACKY FITNESS,Central Village,1,GF,Lifestyle & Specialty
JELLY BUNNY,Central Village,1,GF,Fashion & Apparel
JIM THOMPSON FACTORY STORE,Central Village,1,GF,Fashion & Apparel
JOHN LANGFORD,Central Village,1,GF,Fashion & Apparel
KATE SPADE,Central Village,1,GF,Fashion & Apparel
KEDS,Central Village,1,GF,Fashion & Apparel
KENNETH COLE,Central Village,1,GF,Fashion & Apparel
KENZO,Central Village,1,GF,Fashion & Apparel
KHA MU MENG CHAI,Central Village,1,GF,Food & Beverage
KIANG,Central Village,1,GF,Food & Beverage
KIPLING,Central Village,1,GF,Fashion & Apparel
KOI THE,Central Village,1,GF,Food & Beverage
KRISPY KREAM,Central Village,1,GF,Food & Beverage
LACOSTE,Central Village,1,GF,Fashion & Apparel
LAEM CHAROEN SEAFOOD,Central Village,1,GF,Food & Beverage
LAOS YUAN,Central Village,1,GF,Food & Beverage
LE COQ SPORTIF,Central Village,1,GF,Fashion & Apparel
LE CREUSET,Central Village,1,GF,Lifestyle & Specialty
LEE WRANGLER,Central Village,1,GF,Fashion & Apparel
LESPORTSAC,Central Village,1,GF,Fashion & Apparel
LEVI'S,Central Village,1,GF,Fashion & Apparel
LUXE GALERIE,Central Village,1,GF,Fashion & Apparel
LYN,Central Village,1,GF,Fashion & Apparel
LYN AROUND,Central Village,1,GF,Fashion & Apparel
MANCHESTER,Central Village,1,GF,Fashion & Apparel
MANGO,Central Village,1,GF,Fashion & Apparel
MANTENDO,Central Village,1,GF,Lifestyle & Specialty
MARIMEKKO,Central Village,1,GF,Fashion & Apparel
MAX & CO.,Central Village,1,GF,Fashion & Apparel
MELISSA CLUBE,Central Village,1,GF,Fashion & Apparel
MICHAEL KORS,Central Village,1,GF,Fashion & Apparel
MINI SCOOTER,Central Village,1,GF,Lifestyle & Specialty
MK RESTAURANT,Central Village,1,GF,Food & Beverage
MLK,Central Village,1,GF,Lifestyle & Specialty
MLK CONNECT,Central Village,1,GF,Lifestyle & Specialty
MONOWHEEL,Central Village,1,GF,Entertainment
NEW BALANCE,Central Village,1,GF,Fashion & Apparel
NICHIWORLD,Central Village,1,GF,Lifestyle & Specialty
NY.LA,Central Village,1,GF,Fashion & Apparel
OLINO CREPE & TEA,Central Village,1,GF,Food & Beverage
ONITSUKA TIGER,Central Village,1,GF,Fashion & Apparel
OUTLET BY CLUB 21,Central Village,1,GF,Fashion & Apparel
OUTLET24,Central Village,1,GF,Fashion & Apparel
OWNDAYS,Central Village,1,GF,Fashion & Apparel
PANDORA,Central Village,1,GF,Fashion & Apparel
PASAYA,Central Village,1,GF,Lifestyle & Specialty
PHAD THAI HOY TOD SIAM AUMPHAWA,Central Village,1,GF,Food & Beverage
PIERRE CARDIN,Central Village,1,GF,Fashion & Apparel
PLAYBOY,Central Village,1,GF,Fashion & Apparel
POLO RALPH LAUREN,Central Village,1,GF,Fashion & Apparel
PRONTO,Central Village,1,GF,Fashion & Apparel
PUMA,Central Village,1,GF,Fashion & Apparel
QUIKSILVER ROXY DC,Central Village,1,GF,Fashion & Apparel
REV RUNNR,Central Village,1,GF,Fashion & Apparel
RIP CURL,Central Village,1,GF,Fashion & Apparel
SABINA,Central Village,1,GF,Fashion & Apparel
SAMSONITE,Central Village,1,GF,Lifestyle & Specialty
SANRIO,Central Village,1,GF,Lifestyle & Specialty
SF BRAND NAME,Central Village,1,GF,Fashion & Apparel
SIWILAI,Central Village,1,GF,Fashion & Apparel
SKECHERS OUTLET STORE,Central Village,1,GF,Fashion & Apparel
STARBUCKS COFFEE,Central Village,1,GF,Food & Beverage
SUNGLASS HUT,Central Village,1,GF,Fashion & Apparel
SUPER SPORTS,Central Village,1,GF,Fashion & Apparel
SUPERDRY,Central Village,1,GF,Fashion & Apparel
SUSHI HIRO,Central Village,1,GF,Food & Beverage
SWAROVSKI,Central Village,1,GF,Fashion & Apparel
SWENSEN'S,Central Village,1,GF,Food & Beverage
THE ALLEY,Central Village,1,GF,Food & Beverage
THE BARREL,Central Village,1,GF,Lifestyle & Specialty
THE BEAUTY BOUTIQUE,Central Village,1,GF,Beauty & Wellness
THE COSMETIC COMPANY,Central Village,1,GF,Beauty & Wellness
THE NORTH FACE,Central Village,1,GF,Fashion & Apparel
THE TRAVEL STORE,Central Village,1,GF,Lifestyle & Specialty
TIMBERLAND,Central Village,1,GF,Fashion & Apparel
TOMMY HILFIGER,Central Village,1,GF,Fashion & Apparel
TOPS DAILY,Central Village,1,GF,Lifestyle & Specialty
TUMI,Central Village,1,GF,Fashion & Apparel
UNDER ARMOUR,Central Village,1,GF,Fashion & Apparel
UNGARO,Central Village,1,GF,Fashion & Apparel
VICTORIA'S SECRET,Central Village,1,GF,Beauty & Wellness
VINTEL,Central Village,1,GF,Fashion & Apparel
WACOAL,Central Village,1,GF,Fashion & Apparel
ZEGNA,Central Village,1,GF,Fashion & Apparel
