Source,Target,Weight,Floor,Category
266/1,Central Westgate,1,2F,Food & Beverage
52 TOYS,Central Westgate,1,2F,Lifestyle & Specialty
9.9 CAFE,Central Westgate,1,1F,Food & Beverage
A MONEY,Central Westgate,1,3F,Bank & Financial Services
IROHA RAMEN,Central Westgate,1,GF,Food & Beverage
A'MAZE,Central Westgate,1,1F,Fashion
ABC DESIGN,Central Westgate,1,4F,Lifestyle & Specialty
ABSORBA,Central Westgate,1,4F,Fashion
ACTIKA,Central Westgate,1,1F,Fashion
ADIDAS,Central Westgate,1,1F,Fashion
ADIDAS,Central Westgate,1,2F,Fashion
ADIDAS,Central Westgate,1,4F,Fashion
ADIDAS KIDS,Central Westgate,1,4F,Fashion
ADIDAS NEO CREDIT,Central Westgate,1,2F,Fashion
ADVICE,Central Westgate,1,2F,Technology
AEON THANA SINSAP,Central Westgate,1,3F,Bank & Financial Services
AEROSOFT,Central Westgate,1,1F,Fashion
AFTER YOU,Central Westgate,1,1F,Food & Beverage
AIAOON,Central Westgate,1,4F,Lifestyle & Specialty
AIIZ,Central Westgate,1,1F,Fashion
AILEBEBE,Central Westgate,1,4F,Lifestyle & Specialty
AIMER AIME,Central Westgate,1,4F,Lifestyle & Specialty
AIS,Central Westgate,1,2F,Technology
AISEN,Central Westgate,1,GF,Lifestyle & Specialty
AKA,Central Westgate,1,3F,Food & Beverage
AKEMI,Central Westgate,1,GF,Lifestyle & Specialty
AKITO,Central Westgate,1,4F,Fashion
ALAIN DELON,Central Westgate,1,3F,Fashion
ALASHI,Central Westgate,1,3F,Food & Beverage
ALBA,Central Westgate,1,1F,Fashion
ALBEDO,Central Westgate,1,3F,Fashion
ALDO,Central Westgate,1,1F,Fashion
ALESSI,Central Westgate,1,GF,Lifestyle & Specialty
ALEXA RAE,Central Westgate,1,2F,Fashion
ALL ABOUT YOU,Central Westgate,1,2F,Beauty & Wellness
ALMIND,Central Westgate,1,4F,Beauty & Wellness
ALPREMIO,Central Westgate,1,4F,Lifestyle & Specialty
ALUMNUS,Central Westgate,1,3F,Fashion
ALUMNUS WOMEN,Central Westgate,1,2F,Fashion
AMERICAN TOURISTER,Central Westgate,1,3F,Fashion
AMILA,Central Westgate,1,2F,Fashion
AMOR,Central Westgate,1,1F,Food & Beverage
ANDREW BROWN,Central Westgate,1,3F,Fashion
ANEEPARK,Central Westgate,1,2F,Fashion
ANELLO,Central Westgate,1,1F,Fashion
ANGE,Central Westgate,1,4F,Lifestyle & Specialty
ANGEL BABY,Central Westgate,1,4F,Fashion
ANGEL KIDS,Central Westgate,1,4F,Fashion
ANNA SUI,Central Westgate,1,1F,Beauty & Wellness
ANNE KLEIN,Central Westgate,1,1F,Fashion
ANNIE,Central Westgate,1,1F,Fashion
ANOLON,Central Westgate,1,GF,Lifestyle & Specialty
ANTA,Central Westgate,1,1F,Fashion
APEX,Central Westgate,1,2F,Beauty & Wellness
APPLE HOUSE,Central Westgate,1,2F,Lifestyle & Specialty
APPLE MONKEY,Central Westgate,1,4F,Food & Beverage
AQUABABY,Central Westgate,1,4F,Fashion
ARCOROC,Central Westgate,1,GF,Lifestyle & Specialty
ARENA,Central Westgate,1,4F,Fashion
ARI FOOTBALL CONCEPT STORE,Central Westgate,1,2F,Fashion
ARIES,Central Westgate,1,1F,Fashion
ARIETE,Central Westgate,1,GF,Lifestyle & Specialty
ARROW,Central Westgate,1,3F,Fashion
ARTESA,Central Westgate,1,GF,Lifestyle & Specialty
ARTICLE,Central Westgate,1,2F,Lifestyle & Specialty
ARTICLE,Central Westgate,1,GF,Lifestyle & Specialty
ARTY,Central Westgate,1,1F,Beauty & Wellness
ASIANA,Central Westgate,1,1F,Fashion
ASICS,Central Westgate,1,1F,Fashion
ASPEN,Central Westgate,1,4F,Lifestyle & Specialty
ATQ,Central Westgate,1,GF,Lifestyle & Specialty
ATTITUDE MOM,Central Westgate,1,4F,Lifestyle & Specialty
AUKA,Central Westgate,1,4F,Fashion
AUNTIE ANNE'S,Central Westgate,1,2F,Food & Beverage
AURORA,Central Westgate,1,1F,Fashion
AURORA DIAMOND,Central Westgate,1,1F,Fashion
AUTO1,Central Westgate,1,GF,Lifestyle & Specialty
AUTORE,Central Westgate,1,1F,Fashion
AVENT,Central Westgate,1,4F,Lifestyle & Specialty
AVIA,Central Westgate,1,GF,Fashion
AVIKA,Central Westgate,1,1F,Fashion
AWA,Central Westgate,1,GF,Lifestyle & Specialty
AZZARO,Central Westgate,1,1F,Fashion
B2S,Central Westgate,1,3F,Lifestyle & Specialty
BAA BAA SHEEPZ,Central Westgate,1,4F,Fashion
BAANVICHAKORN SCHOOL,Central Westgate,1,3F,Education
BABI MILD,Central Westgate,1,4F,Beauty & Wellness
BABY ALIVE,Central Westgate,1,4F,Lifestyle & Specialty
BABY BANANA,Central Westgate,1,4F,Lifestyle & Specialty
BABY BITES,Central Westgate,1,4F,Food & Beverage
BABY BRIGHT,Central Westgate,1,4F,Beauty & Wellness
BABY MOBY,Central Westgate,1,4F,Lifestyle & Specialty
BABY NATURA,Central Westgate,1,4F,Food & Beverage
BABY STONE,Central Westgate,1,4F,Lifestyle & Specialty
