Source,Target,Weight,Floor,Category
@THREE,centralwOrld,1,4F,Technology
24 KILATES,centralwOrld,1,2F,Fashion
425 DEGREE,centralwOrld,1,4F,Technology
722 SEVEN TWENTY TWO,centralwOrld,1,7F,Food & Beverage
ABC COOKING STUDIO,centralwOrld,1,3F,Education
ABOVE THE NAIL,centralwOrld,1,4F,Beauty & Wellness
ADIDAS,centralwOrld,1,3F,Fashion
ADVICE,centralwOrld,1,4F,Technology
AEON THANA SINSAP,centralwOrld,1,4F,Bank & Financial Services
AESOP,centralwOrld,1,1F,Beauty & Wellness
AFTER YOU,centralwOrld,1,7F,Food & Beverage
AIS,centralwOrld,1,4F,Technology
AKA,centralwOrld,1,7F,Food & Beverage
AKALIKO,centralwOrld,1,1F,Beauty & Wellness
AKIMITSU TENDON,centralwOrld,1,3F,Food & Beverage
ALDO,centralwOrld,1,2F,Fashion
ALL ABOUT YOU,centralwOrld,1,2F,Beauty & Wellness
AMERICAN EAGLE OUTFITTERS,centralwOrld,1,3F,Fashion
AMPERSAND,centralwOrld,1,7F,Food & Beverage
ANANTA,centralwOrld,1,1F,Fashion
ANASTASIA,centralwOrld,1,3F,Beauty & Wellness
ANELLO,centralwOrld,1,2F,Fashion
ANRI BAKERY,centralwOrld,1,5F,Food & Beverage
ANRI BAKERY,centralwOrld,1,6F,Food & Beverage
ANTA,centralwOrld,1,3F,Fashion
ANTIDOTES,centralwOrld,1,2F,Beauty & Wellness
ARIGYUGRILL,centralwOrld,1,3F,Food & Beverage
ARI RUNNING CONCEPT STORE,centralwOrld,1,3F,Fashion
ARTANI,centralwOrld,1,5F,Lifestyle & Specialty
ASA SERVICE,centralwOrld,1,B1,Services
ASIA BOOKS,centralwOrld,1,6F,Lifestyle & Specialty
ASICS,centralwOrld,1,3F,Fashion
ASUS,centralwOrld,1,4F,Technology
ATMOS,centralwOrld,1,2F,Fashion
AUNTIE ANNE'S,centralwOrld,1,3F,Food & Beverage
AZABU SABO,centralwOrld,1,3F,Food & Beverage
B SA B,centralwOrld,1,2F,Beauty & Wellness
B-SMART,centralwOrld,1,2F,Fashion
BAAN YING,centralwOrld,1,3F,Food & Beverage
BAANBENJARONG PAI,centralwOrld,1,1F,Food & Beverage
BABY BASKET,centralwOrld,1,2F,Lifestyle & Specialty
BABY GIFT,centralwOrld,1,2F,Lifestyle & Specialty
BABY HILLS,centralwOrld,1,2F,Lifestyle & Specialty
BABYBOTTE,centralwOrld,1,2F,Fashion
BAKE WORKS,centralwOrld,1,6F,Food & Beverage
BAKE A WISH,centralwOrld,1,7F,Food & Beverage
BANANA,centralwOrld,1,4F,Technology
BANGKOK BANK,centralwOrld,1,1F,Bank & Financial Services
BANGKOK INSURANCE,centralwOrld,1,4F,Bank & Financial Services
BANILA CO.,centralwOrld,1,2F,Beauty & Wellness
BANK OF AYUDHYA,centralwOrld,1,4F,Bank & Financial Services
BATH&BLOOM,centralwOrld,1,2F,Beauty & Wellness
BATH & BODY WORKS,centralwOrld,1,2F,Beauty & Wellness
BEAUTY LOK,centralwOrld,1,2F,Beauty & Wellness
BERSHKA,centralwOrld,1,2F,Fashion
BETTER VISION,centralwOrld,1,1F,Fashion
BEYOND THE VINES,centralwOrld,1,2F,Fashion
BIG CAMERA,centralwOrld,1,4F,Technology
BIRKENSTOCK,centralwOrld,1,1F,Fashion
BLOODY BUNNY,centralwOrld,1,6F,Lifestyle & Specialty
BONCHON,centralwOrld,1,6F,Food & Beverage
BOOMERANG,centralwOrld,1,5F,Lifestyle & Specialty
BOON TONG KEE,centralwOrld,1,7F,Food & Beverage
BOOTS,centralwOrld,1,4F,Beauty & Wellness
BOOST JUICE BARS,centralwOrld,1,7F,Food & Beverage
BOQUET DECOR,centralwOrld,1,3F,Lifestyle & Specialty
BOUQUET,centralwOrld,1,2F,Lifestyle & Specialty
BRANGUS,centralwOrld,1,1F,Food & Beverage
BRATPACK,centralwOrld,1,2F,Fashion
BUBBLE FAMILY,centralwOrld,1,2F,Lifestyle & Specialty
BUDDHI BELLY,centralwOrld,1,4F,Food & Beverage
BUTTERFLY THAI PERFUME,centralwOrld,1,1F,Beauty & Wellness
BUTTERFLY THAI PERFUME,centralwOrld,1,5F,Beauty & Wellness
B&W,centralwOrld,1,5F,Lifestyle & Specialty
CAFÉ AMAZON,centralwOrld,1,4F,Food & Beverage
CAFÉ BAGA SPECIALTY COFFEE & LIFESTYLE CAFÉ,centralwOrld,1,3F,Food & Beverage
CALVIN KLEIN,centralwOrld,1,1F,Fashion
CAMIN CUISINE & CAFE,centralwOrld,1,6F,Food & Beverage
CAMPER,centralwOrld,1,1F,Fashion
CANTON PARADISE,centralwOrld,1,7F,Food & Beverage
CARNIVAL,centralwOrld,1,3F,Fashion
CAROLINA LEMKE,centralwOrld,1,2F,Fashion
CATH KIDSTON,centralwOrld,1,1F,Fashion
CC-OO,centralwOrld,1,2F,Fashion
CELI,centralwOrld,1,1F,Fashion
CENTRAL @ CENTRALWORLD,centralwOrld,1,3F,Lifestyle & Specialty
CENTRAL FOOD HALL,centralwOrld,1,7F,Food & Beverage
CHABATREE,centralwOrld,1,5F,Lifestyle & Specialty
CHABUTON,centralwOrld,1,6F,Food & Beverage
CHAMPION,centralwOrld,1,3F,Fashion
CHARLES & KEITH,centralwOrld,1,2F,Fashion
CHARNA,centralwOrld,1,6F,Food & Beverage
CHATERAISE,centralwOrld,1,3F,Food & Beverage
