Source,Target,Weight,Floor,Category
ADIDAS,Mega Bangna,1,2F,Fashion
ADIDAS,Mega Bangna,1,2F,Fashion
ARI FOOTBALL,Mega Bangna,1,2F,Fashion
B2S,Mega Bangna,1,2F,Lifestyle & Specialty
BAIMIANG HEALTHY SHOP,Mega Bangna,1,1F,Food & Beverage
BANGKOK BANK,Mega Bangna,1,1F,Bank & Financial Services
BAR-B-Q PLAZA,Mega Bangna,1,2F,Food & Beverage
BB BEYOND D-BOX,Mega Bangna,1,2F,Technology
CENTRAL DEPARTMENT STORE,Mega Bangna,1,1F,Lifestyle & Specialty
DAISO,Mega Bangna,1,2F,Lifestyle & Specialty
DHL EXPRESS,Mega Bangna,1,1F,Lifestyle & Specialty
DIOR,Mega Bangna,1,1F,Fashion
ELEMENT 72,Mega Bangna,1,1F,Fashion
EVEANDBOY,Mega Bangna,1,1F,Beauty & Wellness
FIRE TIGER BY SEOULCIAL CLUB,Mega Bangna,1,2F,Food & Beverage
FITNESS FIRST,Mega Bangna,1,1F,Lifestyle & Specialty
GENTLEWOMAN,Mega Bangna,1,1F,Fashion
GREYHOUND CAFE,Mega Bangna,1,1F,Food & Beverage
HOMEPRO,Mega Bangna,1,1F,Lifestyle & Specialty
JAS SOFA GALLERY,Mega Bangna,1,1F,Lifestyle & Specialty
JD SPORTS,Mega Bangna,1,1F,Fashion
JIB,Mega Bangna,1,2F,Technology
JO MALONE LONDON,Mega Bangna,1,1F,Beauty & Wellness
KEX EXPRESS,Mega Bangna,1,GF,Lifestyle & Specialty
KRUNGSRI BANK (BAY),Mega Bangna,1,1F,Bank & Financial Services
KTB,Mega Bangna,1,1F,Bank & Financial Services
LAMY,Mega Bangna,1,1F,Lifestyle & Specialty
LEGO CERTIFIED STORE,Mega Bangna,1,1F,Lifestyle & Specialty
LEMON FARM,Mega Bangna,1,GF,Food & Beverage
LITTLE REDFOX,Mega Bangna,1,2F,Fashion
M.A.C,Mega Bangna,1,1F,Beauty & Wellness
MAGURO,Mega Bangna,1,1F,Food & Beverage
MATSUKIYO,Mega Bangna,1,1F,Beauty & Wellness
MEGA CINEPLEX,Mega Bangna,1,2F,Entertainment
MEGA HARBORLAND,Mega Bangna,1,1F,Entertainment
METICULOUS,Mega Bangna,1,1F,Fashion
MO-MO-PARADISE,Mega Bangna,1,2F,Food & Beverage
MUJI,Mega Bangna,1,1F,Lifestyle & Specialty
NICE TWO MEAT U,Mega Bangna,1,2F,Food & Beverage
OH! RICH,Mega Bangna,1,1F,Bank & Financial Services
OISHI GRAND,Mega Bangna,1,2F,Food & Beverage
POMELO,Mega Bangna,1,1F,Fashion
POWER BUY,Mega Bangna,1,2F,Technology
SALAD FACTORY,Mega Bangna,1,1F,Food & Beverage
SEPHORA,Mega Bangna,1,1F,Beauty & Wellness
SIZZLER,Mega Bangna,1,2F,Food & Beverage
STARBUCKS COFFEE,Mega Bangna,1,1F,Food & Beverage
STUDIO 7,Mega Bangna,1,2F,Technology
THAILAND POST,Mega Bangna,1,GF,Lifestyle & Specialty
M LIFE,Mega Bangna,1,2F,Technology
425 DEGREE,Mega Bangna,1,2F,Technology
7-ELEVEN,Mega Bangna,1,1F,Lifestyle & Specialty
7TH STREET BAR&BISTRO,Mega Bangna,1,1F,Food & Beverage
"TOYS ""R"" US",Mega Bangna,1,2F,Lifestyle & Specialty
TUMMOUR EXPRESS,Mega Bangna,1,1F,Food & Beverage
UNDER ARMOUR,Mega Bangna,1,2F,Fashion
UOB,Mega Bangna,1,1F,Bank & Financial Services
VICTORIA'S SECRET,Mega Bangna,1,1F,Fashion
ZWILLING,Mega Bangna,1,2F,Lifestyle & Specialty
ABC THE BABY,Mega Bangna,1,2F,Entertainment
ACAI STORY,Mega Bangna,1,2F,Food & Beverage
ACE,Mega Bangna,1,2F,Technology
ACME DE LA VIE,Mega Bangna,1,1F,Fashion
ADVICE,Mega Bangna,1,2F,Technology
AFTER YOU,Mega Bangna,1,1F,Food & Beverage
AIS,Mega Bangna,1,2F,Technology
AKA YAKINIKU,Mega Bangna,1,2F,Food & Beverage
ALTO COFFEE ROASTERS,Mega Bangna,1,2F,Food & Beverage
AMERICAN EAGLE OUTFITTERS,Mega Bangna,1,1F,Fashion
ANASTASIA MIARAY,Mega Bangna,1,1F,Beauty & Wellness
ANELLO,Mega Bangna,1,1F,Fashion
ANTA,Mega Bangna,1,2F,Fashion
APEX MEDICAL CENTER,Mega Bangna,1,1F,Beauty & Wellness
APPLE SHEEP,Mega Bangna,1,2F,Technology
APRIL'S BAKERY,Mega Bangna,1,1F,Food & Beverage
AQUAFLASK,Mega Bangna,1,2F,Lifestyle & Specialty
ARISTOTLE BAG,Mega Bangna,1,1F,Fashion
ASIA BOOK,Mega Bangna,1,2F,Lifestyle & Specialty
ASICS,Mega Bangna,1,2F,Fashion
AT FIRST,Mega Bangna,1,2F,Lifestyle & Specialty
AU BON PAIN,Mega Bangna,1,1F,Food & Beverage
AUNTIE ANNE'S,Mega Bangna,1,1F,Food & Beverage
AURA BANGKOK CLINIC,Mega Bangna,1,1F,Beauty & Wellness
AVOCADO,Mega Bangna,1,GF,Food & Beverage
B-QUIK,Mega Bangna,1,1F,Lifestyle & Specialty
BAAN ICE,Mega Bangna,1,1F,Food & Beverage
BAAN YING CAFE & MEAL,Mega Bangna,1,1F,Food & Beverage
BABY BASKET,Mega Bangna,1,2F,Entertainment
BABY GIFT,Mega Bangna,1,2F,Entertainment
BABY HILLS,Mega Bangna,1,2F,Entertainment
BAGGAGE AND LUGGAGE,Mega Bangna,1,2F,Lifestyle & Specialty
BAGNIFIQUE,Mega Bangna,1,GF,Fashion
BAKE A WISH,Mega Bangna,1,1F,Food & Beverage
IT BANANA,Mega Bangna,1,2F,Technology
BANANA RUN,Mega Bangna,1,2F,Fashion
BANGKOK DANCE ACADEMY,Mega Bangna,1,2F,Education
BANGKOK INSURANCE,Mega Bangna,1,1F,Bank & Financial Services
BANK OF CHINA,Mega Bangna,1,1F,Bank & Financial Services
BATA,Mega Bangna,1,1F,Fashion
BATH & BODY WORKS,Mega Bangna,1,1F,Beauty & Wellness
BB MOVE,Mega Bangna,1,2F,Lifestyle & Specialty
BEANS COFFEE ROASTER,Mega Bangna,1,2F,Food & Beverage
BEARD PAPA'S,Mega Bangna,1,2F,Food & Beverage
BEARHOUSE,Mega Bangna,1,2F,Food & Beverage
BEAUTRIUM,Mega Bangna,1,1F,Beauty & Wellness
BEN'S COOKIES,Mega Bangna,1,2F,Food & Beverage
BENLAI,Mega Bangna,1,1F,Fashion
BEYOND THE VINES,Mega Bangna,1,1F,Fashion
BFF,Mega Bangna,1,1F,Beauty & Wellness
BHC CHICKEN,Mega Bangna,1,1F,Food & Beverage
BIG C,Mega Bangna,1,1F,Supermarket
BIG CAMERA,Mega Bangna,1,2F,Technology
BINCHO,Mega Bangna,1,1F,Food & Beverage
BIRKENSTOCK,Mega Bangna,1,1F,Fashion
BLOCKLAND,Mega Bangna,1,1F,Entertainment
BLU-O RHYTHM & BOWL,Mega Bangna,1,2F,Entertainment
BONCHON,Mega Bangna,1,1F,Food & Beverage
BONJOUR,Mega Bangna,1,1F,Food & Beverage
BONUS SUKI,Mega Bangna,1,1F,Food & Beverage
BOOST JUICE BAR,Mega Bangna,1,2F,Food & Beverage
BOOTS,Mega Bangna,1,1F,Beauty & Wellness
BOWCAKE HOMEMADE,Mega Bangna,1,1F,Food & Beverage
BRATPACK,Mega Bangna,1,2F,Fashion
BREO,Mega Bangna,1,2F,Lifestyle & Specialty
BRICKS 4 KIDZ,Mega Bangna,1,2F,Entertainment
BUBBLE TIME,Mega Bangna,1,1F,Food & Beverage
BURBERRY,Mega Bangna,1,1F,Fashion
CAFE AMAZON,Mega Bangna,1,1F,Food & Beverage
CALVIN KLEIN,Mega Bangna,1,1F,Fashion
CAMPER,Mega Bangna,1,1F,Fashion
CARLYN,Mega Bangna,1,1F,Fashion
CARNIVAL,Mega Bangna,1,1F,Fashion
CASA LAPIN SPECIALTY COFFEE,Mega Bangna,1,1F,Food & Beverage
CASETIFY,Mega Bangna,1,1F,Technology
CATH KIDSTON,Mega Bangna,1,1F,Fashion
CC DOUBLE O,Mega Bangna,1,1F,Fashion
CHAMPION,Mega Bangna,1,1F,Fashion
CHANEL FRAGRANCE & BEAUTY,Mega Bangna,1,1F,Beauty & Wellness
CHARLES & KEITH,Mega Bangna,1,1F,Fashion
CHARLOTTE TILBURY,Mega Bangna,1,1F,Beauty & Wellness
CHATRAMUE,Mega Bangna,1,1F,Food & Beverage
CHEFU TOWN,Mega Bangna,1,1F,Food & Beverage
CHESTER'S,Mega Bangna,1,1F,Food & Beverage
CHICCO,Mega Bangna,1,2F,Entertainment
CHICHA SAN CHEN,Mega Bangna,1,2F,Food & Beverage
CHLOE,Mega Bangna,1,1F,Fashion
CHONGDEE TEAHOUSE,Mega Bangna,1,2F,Food & Beverage
CHONGJAROEN,Mega Bangna,1,1F,Food & Beverage
CHUNN,Mega Bangna,1,1F,Food & Beverage
CIMB,Mega Bangna,1,1F,Bank & Financial Services
CLAY WORKS,Mega Bangna,1,2F,Education
CLIO,Mega Bangna,1,1F,Beauty & Wellness
COCO ICHIBANYA,Mega Bangna,1,2F,Food & Beverage
COLOR NAIL ART,Mega Bangna,1,1F,Beauty & Wellness
CONVERSE,Mega Bangna,1,2F,Fashion
COOLLABO,Mega Bangna,1,2F,Lifestyle & Specialty
COPEL,Mega Bangna,1,2F,Education
COVERNAT,Mega Bangna,1,1F,Fashion
CPS CHAPS,Mega Bangna,1,1F,Fashion
CREED,Mega Bangna,1,1F,Beauty & Wellness
CROCS,Mega Bangna,1,1F,Fashion
CUTE PRESS,Mega Bangna,1,1F,Beauty & Wellness
DAIRY QUEEN,Mega Bangna,1,2F,Food & Beverage
DAIRY QUEEN,Mega Bangna,1,1F,Food & Beverage
DANCE SPACE & THE KICK SCHOOL BY ANT,Mega Bangna,1,1F,Education
DICKIES,Mega Bangna,1,1F,Fashion
DINOS DRUM,Mega Bangna,1,2F,Education
DISCO BEST BEEF,Mega Bangna,1,1F,Food & Beverage
DJI,Mega Bangna,1,2F,Technology
DOLCE&GABBANA,Mega Bangna,1,1F,Fashion
DON'T TELL MAMA,Mega Bangna,1,GF,Fashion
DR. PONG,Mega Bangna,1,2F,Beauty & Wellness
DR.TALLSTERS,Mega Bangna,1,1F,Beauty & Wellness
DR.TATTOF CLINIC,Mega Bangna,1,1F,Beauty & Wellness
DRAGCURA,Mega Bangna,1,2F,Beauty & Wellness
DTAC,Mega Bangna,1,2F,Technology
DYSON,Mega Bangna,1,1F,Technology
EAT AM ARE,Mega Bangna,1,1F,Food & Beverage
ECCO,Mega Bangna,1,1F,Fashion
ELEMIS,Mega Bangna,1,1F,Beauty & Wellness
EMILY'S,Mega Bangna,1,1F,Food & Beverage
ENT,Mega Bangna,1,1F,Beauty & Wellness
EPIPHANY JEWELRY,Mega Bangna,1,2F,Fashion
ERGO TREND,Mega Bangna,1,1F,Lifestyle & Specialty
ERIC KAYSER,Mega Bangna,1,1F,Food & Beverage
ETUDE,Mega Bangna,1,1F,Beauty & Wellness
EVERYTHINGHOUND BY GREYHOUND,Mega Bangna,1,1F,Fashion
FAIRTEX,Mega Bangna,1,2F,Fashion
FAM TIME,Mega Bangna,1,1F,Food & Beverage
FANTUAN,Mega Bangna,1,1F,Food & Beverage
FITFLOP,Mega Bangna,1,1F,Fashion
FIXI FOOT,Mega Bangna,1,2F,Lifestyle & Specialty
FLASH EXPRESS,Mega Bangna,1,GF,Lifestyle & Specialty
FLOG,Mega Bangna,1,2F,Lifestyle & Specialty
FOCUS,Mega Bangna,1,2F,Technology
FOOD PATIO,Mega Bangna,1,2F,Food & Beverage
FRAMES N LENSES,Mega Bangna,1,GF,Fashion
FREDERIC HAIR DESIGN,Mega Bangna,1,1F,Beauty & Wellness
FUJI,Mega Bangna,1,2F,Food & Beverage
FUKU MATCHA,Mega Bangna,1,2F,Food & Beverage
FUNDAO,Mega Bangna,1,1F,Fashion
G H BANK,Mega Bangna,1,1F,Bank & Financial Services
G-SHOCK,Mega Bangna,1,1F,Fashion
G2000,Mega Bangna,1,1F,Fashion
GAGA,Mega Bangna,1,2F,Food & Beverage
GANGNAM CLINIC,Mega Bangna,1,1F,Beauty & Wellness
GARRETT POPCORN SHOPS,Mega Bangna,1,1F,Food & Beverage
GASHAPON BANDAI,Mega Bangna,1,2F,Lifestyle & Specialty
GATEAUX HOUSE,Mega Bangna,1,1F,Food & Beverage
GENTLEWOMAN,Mega Bangna,1,1F,Fashion
GIORGIO ARMANI,Mega Bangna,1,1F,Fashion
GIVENCHY,Mega Bangna,1,1F,Fashion
GLASSAHOLIC,Mega Bangna,1,1F,Fashion
GLOBAL ART,Mega Bangna,1,2F,Education
GODFATHER,Mega Bangna,1,GF,Fashion
GOOD HAND THAI MASSAGE & SPA,Mega Bangna,1,1F,Beauty & Wellness
GOODR,Mega Bangna,1,2F,Fashion
GOVERNMENT SAVINGS BANK,Mega Bangna,1,1F,Bank & Financial Services
