name,type,categories,floors,external_id,location_id
YAMAZAKI,store,Food & Beverage,,ac6b7fd3-5eaa-5d98-8d6e-5bd546863ef8,el_69542a72f1b9080001360e85
LYN AROUND,store,Fashion & Accessories,,15e3adbc-b4f0-52f3-b041-74ac16f1f587,el_69542a72f1b9080001360e86
MOSHI MOSHI,store,Home & Décor,,ec9491ea-c726-5137-88d2-c62ed162917f,el_69542a72f1b9080001360e87
FOCUS,store,Technology,,75069562-01c8-576c-876e-49edf99bdd73,el_69542a72f1b9080001360e8a
BOOTS,store,Health & Beauty,,9b7a4d87-dbde-59f8-a94b-c429132ebcfc,el_69542a72f1b9080001360e8b
SANTAFE' STEAK,store,Food & Beverage,,4abc9467-b4d3-5a49-ac15-b0a745b64eed,el_69542a72f1b9080001360e8c
SF CINEMA,store,Entertainment,,083af775-b1e3-5098-9279-4274cc973d21,el_69542a72f1b9080001360e8d
DR. PONG,store,Health & Beauty,,c6756a20-1713-5ee9-b9c5-437ab5ee5808,el_69542a72f1b9080001360e8f
HAOLE CHINESE LANGUAGE SCHOOL,store,Edutainment,,77cf6d12-92dd-57da-9ea7-71e79669147f,el_69542a72f1b9080001360e98
JOOM ZAP HUT/BAR B Q,store,Food & Beverage,,b0e21d25-a992-5016-b263-3020e7ebdb24,el_69542a72f1b9080001360e9a
BETTER VISION,store,General Service,,362b4bd0-0c9f-5aeb-8342-cff96edd6ab8,el_69542a72f1b9080001360e9e
OISHI BIZTORO/โออิชิ บิซโทโระ,store,Food & Beverage,,1a42c188-d655-5d49-b9ba-ad9b3f5de81d,el_69542a72f1b9080001360ea1
WATSONS,store,Health & Beauty,,53b88dbc-e54f-5995-a175-921eeb3cad98,el_69542a72f1b9080001360ea2
RATCHANON,store,Technology,,ffbd17ee-e9a2-58dd-9812-8178b10e22fa,el_69542a72f1b9080001360ea6
POWER BUY,store,Technology,,c8a32bc0-ead5-533c-83be-a2cc67b708a4,el_69542a72f1b9080001360ea8
LIBERTY CLINIC,store,Health & Beauty,,95c86fcf-9153-5972-88ba-09e657589fbf,el_69542a72f1b9080001360eac
COCO ICHIBANYA,store,Food & Beverage,,bbfbcc82-33c5-5419-8baa-9b95b977a621,el_69542a72f1b9080001360ead
AIS SERENADE,store,Technology,,789674c1-63c1-5927-9687-09372ac93e81,el_69542a72f1b9080001360eae
BIG CAMERA,store,Technology,,5b873001-1c77-5c09-9ae2-56f819dd0347,el_69542a72f1b9080001360eb3
OUTDOOR BOTANICA BY ELEMENT 72,store,Home & Décor,,52ce11eb-da55-5710-a8ab-90e7f9e13715,el_69542a72f1b9080001360eb4
THE NEXT,store,Fashion & Accessories,,ffa34ca4-9266-5437-a411-48b4ce0677ab,el_69542a72f1b9080001360eb5
ศูนย์ราชการสะดวก(GOVERNMENT EASY CONTACT CENTER ),store,Others,,eeae32ca-a705-593f-a285-c1b696a69a9e,el_69542a72f1b9080001360eb6
ห้างทองหวังโต๊ะกังเยาวราช,store,Fashion & Accessories,,ca9bfc94-5e26-5561-9a1e-9e9e2b7a7462,el_69542a72f1b9080001360eb8
TOPS,store,Food & Beverage,,e8b21ae7-3cbd-59c6-962d-ed75a89f0bc8,el_69542a72f1b9080001360eb9
YAYOI,store,Food & Beverage,,a72ec622-78a6-5142-84a8-39fbbf698097,el_69542a72f1b9080001360ebd
MR.D.I.Y.,store,Home & Décor,,e7949dec-0bdd-5934-ad6b-3064fb023db8,el_69542a72f1b9080001360ebe
ก๋วยเตี๋ยวเรือพระนคร,store,Food & Beverage,,5d716007-8148-51c2-9263-fac5876c557f,el_69542a72f1b9080001360ebf
THE KLINIQUE,store,Health & Beauty,,3e891e93-0f64-51dd-8388-77e7bf4aa6a9,el_69542a72f1b9080001360ec0
AURORA,store,Fashion & Accessories,,85f965e4-8a5f-526f-b3db-036a6fe28d78,el_69542a72f1b9080001360ec1
MISTER DONUT,store,Food & Beverage,,45266948-19f8-5bbc-a08f-7277377c6445,el_69542a72f1b9080001360ec2
FUKU MATCHA,store,Food & Beverage,,4193ff6c-b863-5e8b-af70-cbbb3f5acfff,el_69542a72f1b9080001360ec4
JETTS 24 HOUR FITNESS,store,Entertainment,,3492c481-cc3e-5490-8b42-04f328d0254d,el_69542a72f1b9080001360ec5
KIDZOOONA,store,Entertainment,,6af16801-15f0-5212-9d09-047ef8150ebf,el_69542a72f1b9080001360ec6
KT OPTIC,store,General Service,,dfcb47f2-7cd3-5fcf-a4db-dce13c9c2f98,el_69542a72f1b9080001360ec7
CHESTER'S,store,Food & Beverage,,a388557d-df36-5454-bc0a-68b407e10383,el_69542a72f1b9080001360ec8
ธนาคารกรุงศรีอยุธยา,store,Bank & ATM,,d35e8a90-bf12-56eb-825a-1ae1ad1169a9,el_69542a72f1b9080001360ec9
สถาบันสอนภาษาและคอมพิวเตอร์ อีซีซี,store,Edutainment,,8c0fbf0f-389c-5dd5-9d9d-35061fe53b2d,el_69542a72f1b9080001360ecb
JIB,store,Technology,,9e0dfecf-0d20-5e03-81c3-3be91e477de4,el_69542a72f1b9080001360ecd
CC-OO,store,Fashion & Accessories,,217db299-82ea-52e0-9443-335fa8a9cba7,el_69542a72f1b9080001360ecf
KRISPY KREME,store,Food & Beverage,,da4a52d9-527c-5105-a74e-00742fcca428,el_69542a72f1b9080001360ed0
AIS INTERNET,store,Technology,,b1d3ac79-0389-563b-8316-7a2d212cb7d0,el_69542a72f1b9080001360ed3
OWNDAYS,store,General Service,,4ca93d43-b990-5c50-81b7-929ad30dbca4,el_69542a72f1b9080001360ed5
STARBUCKS COFFEE,store,Food & Beverage,,4672914c-b0b2-5f9e-9a52-ce30a107ebb6,el_69542a72f1b9080001360ed6
BEAUTRIUM,store,Health & Beauty,,7c4b452b-30cf-5264-b38d-b123a6a9855e,el_69542a72f1b9080001360ed7
SAMSUNG,store,Technology,,07408e70-eca7-5e49-bf6d-45b907ef70ae,el_69542a72f1b9080001360ed8
EYE CLASS,store,General Service,,42a575c3-0772-5642-871f-e23ee09cfb7a,el_69542a72f1b9080001360eda
SUKISHI CHARCOAL GRILL,store,Food & Beverage,,f72cfe44-2c29-55d5-a034-70114de74000,el_69542a72f1b9080001360edd
LEMONY,store,Home & Décor,,c1ab548e-1c5e-5591-834c-4118b5cf873e,el_69542a72f1b9080001360ede
MK RESTAURANTS,store,Food & Beverage,,7cc2be21-3738-526c-a6c3-9f5bcf82ae7c,el_69542a72f1b9080001360ee0
PORNKASEM CLINIC,store,Health & Beauty,,9bff8a94-6ed2-5359-bbaa-4ab402c6cae9,el_69542a72f1b9080001360ee1
BANANA MOBILE,store,Technology,,fcf9a13a-86c2-5bbd-a6c9-2e7ea79ec13e,el_69542a72f1b9080001360ee2
CROCS,store,Fashion & Accessories,,c42601e1-b5f5-5875-846a-f3ea19702d59,el_69542a72f1b9080001360ee3
ATM KRUNG THAI BANK,store,Bank & ATM,,052b4313-df72-5677-9854-f9e87711f5a7,el_69542a72f1b9080001360ee5
SKECHERS,store,Fashion & Accessories,,c8a0a7c6-06b3-563b-b667-6f87943f0fc4,el_69542a72f1b9080001360ee6
KFC,store,Food & Beverage,,7cb2bdf5-1a7b-5f62-a730-927b4fe308f4,el_69542a72f1b9080001360ee7
ROBINSON,store,Home & Décor,,13a5af0b-bed1-5086-96ac-aafeb9ee3390,el_69542a72f1b9080001360ee8
TRUE,store,Technology,,90388967-c707-5d43-a06f-d55cbc3fc192,el_69542a72f1b9080001360eee
แหลมเจริญูซีฟู้ด,store,Food & Beverage,,95e798aa-df97-5e9c-a78b-1ad5876926eb,el_69542a72f1b9080001360ef4
BONCHON,store,Food & Beverage,,bc565bfb-5df0-5648-8cba-664477d62f26,el_69542a72f1b9080001360ef5
AIS,store,Technology,,33cb89e1-5911-5b0f-9bae-c8da4404fef3,el_69542a72f1b9080001360efd
DAIRY QUEEN,store,Food & Beverage,,dea4f388-a122-5815-a6ee-649d44a0cf31,el_69542a72f1b9080001360eff
CODING INNOVATION,store,Edutainment,,488ebacb-43f0-5934-9256-3c80108e79f7,el_69542a72f1b9080001360f01
ครัวอิ่มสุข,store,Food & Beverage,,1e3eb730-7286-5d14-9478-f3d20fcf67d5,el_69542a72f1b9080001360f02
ROBINSON,store,Home & Décor,,017411dd-7df5-5beb-947a-bcaecf54fc47,el_69542a72f1b9080001360f03
SWENSEN'S,store,Food & Beverage,,e6777e66-e78a-57d7-9f91-573826d53ca3,el_69542a72f1b9080001360f04
ASIA GOLD,store,Fashion & Accessories,,9b5c5478-9f60-5106-8433-0a66d66d7af4,el_69542a72f1b9080001360f05
