name,type,categories,floors,external_id,location_id
HEADMAN STUDIO,store,Fashion & Accessories,,5a066eda-067a-5ebc-a190-9b8ed6e8e41a,el_68f65793709dc300018b948a
LAMOBI,store,Fashion & Accessories,,168ed289-04b5-5448-89ba-f26a904b48ae,el_68f65793709dc300018b948b
SISTER,store,Fashion & Accessories,,c6c63ff7-480a-5444-9295-c3b06ea76453,el_68f65793709dc300018b948c
MONTBLANC | Robinson Department Store,store,Robinson Department Store,,bed66cc7-4a58-582e-96e8-81662c03ce5d,el_68f65793709dc300018b948d
EAZY CLEAN | Robinson Department Store,store,Robinson Department Store,,b50caea4-d045-527f-b631-14e36016b3be,el_68f65793709dc300018b948e
COCO SUI.BKK,store,Others,,08c7c554-ed8e-52b2-a4f3-cbc5cbf17f4d,el_68f65793709dc300018b948f
SAMSUNG MOBILE,store,Technology,,f389e83a-6099-5bcc-a3fd-6e66ee4d52e4,el_68f65793709dc300018b9490
NUAN BAKERY,store,Food & Beverage,,e775f55b-d0ce-5ac6-857c-1b20ba9a8ad8,el_68f65793709dc300018b9491
ANELLO | Robinson Department Store,store,Robinson Department Store,,6688baa9-24c0-5c3a-b82e-4516dbe77b6c,el_68f65793709dc300018b9492
NORTH DEGREE COFFEE ROASTERY,store,Food & Beverage,,bba2aaad-2d1d-5398-8562-b3dfd8f8e85f,el_68f65793709dc300018b9493
MANWOOD | Robinson Department Store,store,Robinson Department Store,,94f72acb-0aa6-52a5-bf7e-728f4a20f939,el_68f65793709dc300018b9494
LEGO | Robinson Department Store,store,Robinson Department Store,,446125c2-38bf-5ba7-8a8a-8c017d945a4d,el_68f65793709dc300018b9495
LAZBOY | Robinson Department Store,store,Robinson Department Store,,c461be8b-4952-5e5c-b912-d0c04bfded42,el_68f65793709dc300018b9496
SIAM COMMERCIAL BANK,store,Bank & ATM,,f8d836b4-1346-525f-94e8-f463d7e42040,el_68f65793709dc300018b9497
LOTUS | Robinson Department Store,store,Robinson Department Store,,4eebf683-26eb-500f-a818-f088fc547c18,el_68f65793709dc300018b9498
CHAN,store,Fashion & Accessories,,c713afb5-512d-5ae9-87dc-159e1dd14008,el_68f65793709dc300018b9499
TIAN TIAN TEA,store,Food & Beverage,,7bfffc54-4828-5b71-a141-d9a7733f6a02,el_68f65793709dc300018b949a
MIX SELF | Robinson Department Store,store,Robinson Department Store,,5df6bda0-1714-595b-b9ed-b62ac8e3072a,el_68f65793709dc300018b949b
SLUMBERLAND | Robinson Department Store,store,Robinson Department Store,,5ee8f85e-b25d-5917-ae4f-cd7dd5e1b4c7,el_68f65793709dc300018b949c
LOOKER,store,Fashion & Accessories,,cc9e87f0-8a2c-52d1-9aef-c15754bc24d6,el_68f65793709dc300018b949d
WRANGLER | Robinson Department Store,store,Robinson Department Store,,97b5bc3d-8d81-5e50-b295-9be9ec1e735e,el_68f65793709dc300018b949e
STUDIO7,store,Technology,,12b63d7e-a0a8-53c1-98a7-54d680637ed5,el_68f65793709dc300018b949f
MUJI,store,Home & Décor,,a4b65d12-712a-5d42-a9ae-8d166472da4f,el_68f65793709dc300018b94a0
