name,type,categories,floors,external_id,location_id
DICKIE TOYS | Central Department Store,store,Central Department Store,,f8918e1b-73e1-5bfe-8f7b-26494c531738,el_68767c48a6e0d20001f65446
PHILIPS | Central Department Store,store,Central Department Store,,fbe2fe92-2604-5c8c-9ff1-ded76f9f334f,el_68767c48a6e0d20001f65447
GUY LAROCHE | Central Department Store,store,Central Department Store,,2eba2ee8-a5d6-5794-bd32-376fc94b8855,el_68767c48a6e0d20001f65448
PIERRE CARDIN | Central Department Store,store,Central Department Store,,e426e1e0-3bb7-57b2-a901-8b562ae949fb,el_68767c48a6e0d20001f65449
FUJI | Central Department Store,store,Central Department Store,,35bb4526-367d-5d9b-86f2-0ca09e4f6cc9,el_68767c48a6e0d20001f6544a
LESASHA | Central Department Store,store,Central Department Store,,6b6642cc-e6d0-56e3-b325-bb3397d00f6d,el_68767c48a6e0d20001f6544b
ELLE | Central Department Store,store,Central Department Store,,14da2a75-2447-560c-a881-84e05b71ed82,el_68767c48a6e0d20001f6544c
HAVEN | Central Department Store,store,Central Department Store,,a86fa9e8-703a-526f-af9c-be65fbd33047,el_68767c48a6e0d20001f6544d
TIGER | Central Department Store,store,Central Department Store,,1fcf2ec7-753b-50a4-b178-fac0ee048f2f,el_68767c48a6e0d20001f6544e
LEGO | Central Department Store,store,Central Department Store,,cb54d1e5-46ac-513a-aeee-a7161983709e,el_68767c48a6e0d20001f6544f
COACH | Central Department Store,store,Central Department Store,,c5297d94-243b-51cf-906e-33206a050559,el_68767c48a6e0d20001f65450
GRISON | Central Department Store,store,Central Department Store,,db5dedb8-1ada-5b5c-a6dd-2bb24692b95e,el_68767c48a6e0d20001f65451
LEE | Central Department Store,store,Central Department Store,,cc7145e9-1e95-5c26-becf-cce69a37452b,el_68767c48a6e0d20001f65452
BY NATURE | Central Department Store,store,Central Department Store,,3d75d25d-f405-5f1e-b712-efa841019b4d,el_68767c48a6e0d20001f65453
G2000 | Central Department Store,store,Central Department Store,,02ad5aaf-08d8-5335-b516-5ddbcc0f5c3a,el_68767c48a6e0d20001f65454
STJAMES | Central Department Store,store,Central Department Store,,d003f3fb-d1af-5a71-bf45-36785c1d95c9,el_68767c48a6e0d20001f65455
VIDAL SASSOON | Central Department Store,store,Central Department Store,,376ef0e3-3ded-5029-9f71-69a8da187485,el_68767c48a6e0d20001f65456
CENTRAL HOME LOCAL | Central Department Store,store,Central Department Store,,0a1c7158-bfd3-5a1e-9521-dd07b7b15a51,el_68767c48a6e0d20001f65457
CENTRAL HOME | Central Department Store,store,Central Department Store,,c982e832-6783-51fb-bf63-5088eb2cc2a5,el_68767c48a6e0d20001f65458
EVISU GENES | Central Department Store,store,Central Department Store,,b61773b2-2d49-5a52-bbfa-6116067c45f0,el_68767c48a6e0d20001f65459
INFINITER | Central Department Store,store,Central Department Store,,7ea899fa-eca2-56ce-86f9-2b11f9526889,el_68767c48a6e0d20001f6545a
SCK | Central Department Store,store,Central Department Store,,6b07021c-d999-542b-9168-bb01c5344965,el_68767c48a6e0d20001f6545b
VILLAINS SF | Central Department Store,store,Central Department Store,,d0b7e129-d701-5f9a-9d53-b1794d4938f6,el_68767c48a6e0d20001f6545c
BODY GLOVE | Central Department Store,store,Central Department Store,,25c83da9-6298-59bb-bb12-024ea0393a63,el_68767c48a6e0d20001f6545d
CHERILON | Central Department Store,store,Central Department Store,,dd8235a4-288e-5a5f-8b2c-7283ff3f9300,el_68767c48a6e0d20001f6545e
ALUMNUS WOMEN | Central Department Store,store,Central Department Store,,359fceaa-1825-5b42-a403-1e2120835989,el_68767c48a6e0d20001f6545f
BEVERLY HILLS POLO CLUB | Central Department Store,store,Central Department Store,,bef95920-793d-5f3f-8aad-152212d5dd35,el_68767c48a6e0d20001f65460
REEBOK | Central Department Store,store,Central Department Store,,fe3000ea-100d-54e1-b197-bb154d8cb773,el_68767c48a6e0d20001f65461
DORTMUEND | Central Department Store,store,Central Department Store,,9273ae26-92aa-550c-9ede-3f3977724c84,el_68767c48a6e0d20001f65462
CLOVER | Central Department Store,store,Central Department Store,,e437fc89-2f53-5fa2-abab-b86815cd1a85,el_68767c48a6e0d20001f65463
OCEAN | Central Department Store,store,Central Department Store,,9206e1cb-481d-5268-9105-68a093be5b17,el_68767c48a6e0d20001f65464
MINI MONO | Central Department Store,store,Central Department Store,,837a5906-b590-541c-ab5c-5434d2404319,el_68767c48a6e0d20001f65465
PHILIPS | Central Department Store,store,Central Department Store,,43330401-eefa-515d-b10f-9b4ece7da15c,el_68767c48a6e0d20001f65466
ELECTROLUX | Central Department Store,store,Central Department Store,,4cc07f2b-789e-517e-890d-d7b7e8ae7617,el_68767c48a6e0d20001f65467
NEW ERA | Central Department Store,store,Central Department Store,,1bbac885-6779-5d59-94a6-b0044b3f7186,el_68767c48a6e0d20001f65468
LADY PLUS | Central Department Store,store,Central Department Store,,fef5abba-c375-5dc1-8212-cee864955ede,el_68767c48a6e0d20001f65469
DEBLU HEALTHY WALK | Central Department Store,store,Central Department Store,,eba99543-23df-52a3-bd9e-ec20dab1b549,el_68767c48a6e0d20001f6546a
OOFOS | Central Department Store,store,Central Department Store,,f78a499f-fc5c-5ac2-883f-24401118aedc,el_68767c48a6e0d20001f6546b
EASY PIECES | Central Department Store,store,Central Department Store,,f21b5bee-15f9-52a7-ab2d-5d57791467a2,el_68767c48a6e0d20001f6546c
YOUNG TOYS | Central Department Store,store,Central Department Store,,99d713d5-62f6-55e4-bc8c-13de51a2cc53,el_68767c48a6e0d20001f6546d
FROLINA | Central Department Store,store,Central Department Store,,77471c06-6823-5f16-b51b-067eaa3c0d48,el_68767c48a6e0d20001f6546e
METICULOUS | Central Department Store,store,Central Department Store,,5c92c714-a975-5de3-9aa4-689a8cb17bcd,el_68767c48a6e0d20001f6546f
USPOLO ASSN | Central Department Store,store,Central Department Store,,0f59566e-e742-50d6-a112-c8f9930ec397,el_68767c48a6e0d20001f65470
MAC | Central Department Store,store,Central Department Store,,4965a9f9-afcb-5662-922f-3ae171dae095,el_68767c48a6e0d20001f65471
SIRENA | Central Department Store,store,Central Department Store,,513f82ea-d1a1-5756-a70a-fcbe7675c2ae,el_68767c48a6e0d20001f65472
MASARU | Central Department Store,store,Central Department Store,,1afec7ac-5ebc-586c-94ea-89e0aa506724,el_68767c48a6e0d20001f65473
DANIEL WELLINGTON | Central Department Store,store,Central Department Store,,b39fffdc-9562-5a9a-822c-ebc1988cf4e7,el_68767c48a6e0d20001f65474
ARROW | Central Department Store,store,Central Department Store,,7a234696-9353-5b66-bfb3-1d9d24ad170f,el_68767c48a6e0d20001f65475
EMPORIO ARMANI | Central Department Store,store,Central Department Store,,1ada56c9-6bc5-5a4c-8b91-281780265e5d,el_68767c48a6e0d20001f65476
POLO CLUB | Central Department Store,store,Central Department Store,,3f9377aa-aa82-53c0-bd55-a01bae98aeff,el_68767c48a6e0d20001f65477
DAPPER | Central Department Store,store,Central Department Store,,8e81fa4e-d18f-57bc-8b14-932761e26bcb,el_68767c48a6e0d20001f65478
THREE | Central Department Store,store,Central Department Store,,07548676-7c77-5cfe-a712-8af23cbe6a9e,el_68767c48a6e0d20001f65479
BARBIE | Central Department Store,store,Central Department Store,,010c7750-93b6-5c22-94d9-f781b84b528f,el_68767c48a6e0d20001f6547a
IBILI | Central Department Store,store,Central Department Store,,aa0a7153-00c5-5eaf-a3dc-df51ff9e2855,el_68767c48a6e0d20001f6547b
DREAME | Central Department Store,store,Central Department Store,,abef4f68-93ae-55b4-ad30-5adc2f8e360f,el_68767c48a6e0d20001f6547c
COBIAN | Central Department Store,store,Central Department Store,,922defb7-64f9-5925-8f2b-3ec84622eee7,el_68767c48a6e0d20001f6547d
SFERA | Central Department Store,store,Central Department Store,,ae3a13eb-c929-522f-828d-7e09c57d5007,el_68767c48a6e0d20001f6547e
OXO | Central Department Store,store,Central Department Store,,5cf5a9d0-7c1b-5941-8c02-f9fcd826f88b,el_68767c48a6e0d20001f6547f
NIKE | Central Department Store,store,Central Department Store,,00a6f950-ad4c-5cd0-817e-a6847a2200a2,el_68767c48a6e0d20001f65480
MIX SELF | Central Department Store,store,Central Department Store,,52663c9d-fa4c-5330-a50b-9ad54393442a,el_68767c48a6e0d20001f65481
NUM NOMS | Central Department Store,store,Central Department Store,,39459d2d-9523-53a6-b973-97c3ba378654,el_68767c48a6e0d20001f65482
TOSHIBA | Central Department Store,store,Central Department Store,,a870ee6c-0e40-5b2e-adac-4c2f06708343,el_68767c48a6e0d20001f65483
MARVEL VISION | Central Department Store,store,Central Department Store,,ad080b27-b635-555b-bea3-d6b55884e9b8,el_68767c48a6e0d20001f65484
BABY EINSTEIN | Central Department Store,store,Central Department Store,,6ced600a-d192-55dc-9abc-f139637857b1,el_68767c48a6e0d20001f65485
SEALY | Central Department Store,store,Central Department Store,,1f927895-c2bc-5cc0-8fd7-0365262681fb,el_68767c48a6e0d20001f65486
NESPRESSO | Central Department Store,store,Central Department Store,,e0d139bc-da18-50ee-a69b-94a07ddfc58a,el_68767c48a6e0d20001f65487
CHARLOTTE TILBURY | Central Department Store,store,Central Department Store,,11b6c9d6-3b05-53dc-ba10-f21881fc45eb,el_68767c48a6e0d20001f65488
LEAP FROG | Central Department Store,store,Central Department Store,,3e1a9a96-a2ee-5c96-9306-10811b41291a,el_68767c48a6e0d20001f6548a
TOM FORD BEAUTY | Central Department Store,store,Central Department Store,,975eaf66-f6a5-5813-be3f-f3d2b0727a3c,el_68767c48a6e0d20001f6548b
SKECHERS | Central Department Store,store,Central Department Store,,fbfe4e66-2eb0-5129-89f3-8e18b9d63327,el_68767c48a6e0d20001f6548c
SO SMOOCHIE | Central Department Store,store,Central Department Store,,faf3ecfa-14b0-50d4-821e-c3589281aee8,el_68767c48a6e0d20001f6548d
MATTEL | Central Department Store,store,Central Department Store,,8002bdde-23dc-5c52-a2a6-95d7b4b5fb8d,el_68767c48a6e0d20001f6548e
TOMICA | Central Department Store,store,Central Department Store,,665dec41-1adb-5609-9bc7-6fa95ef1f014,el_68767c48a6e0d20001f6548f
