name,type,categories,floors,external_id,location_id
SCHOLL | Robinson Department Store,store,Robinson Department Store,,3615ce65-8656-51b7-820d-f973db14d2e6,el_688ce5c6fac7ed00011fb788
OVO | Robinson Department Store,store,Robinson Department Store,,ea0c43ea-acde-5f40-baf7-7e7484abf22b,el_688ce5c6fac7ed00011fb78a
BABY STONE | Robinson Department Store,store,Robinson Department Store,,4c48e829-afec-55f6-ac29-0d300bbe5686,el_688ce5c6fac7ed00011fb78b
DAPPER | Robinson Department Store,store,Robinson Department Store,,4b2270d6-6407-5e3c-8649-70340384a63e,el_688ce5c6fac7ed00011fb78c
BVLGARI | Robinson Department Store,store,Robinson Department Store,,07ce1567-bc1c-5320-bb70-9be780a12bf7,el_688ce5c6fac7ed00011fb78d
MELLOW PLANET | Robinson Department Store,store,Robinson Department Store,,e6f40a8a-6222-5e8b-ac58-3db9cd63537b,el_688ce5c6fac7ed00011fb78f
LIVING SOLUTIONS | Robinson Department Store,store,Robinson Department Store,,08f7ab23-7b3a-5e85-8331-7d72b521d23b,el_688ce5c6fac7ed00011fb791
G2000 | Robinson Department Store,store,Robinson Department Store,,748e0479-fe97-5acd-91f4-11c35fd7438d,el_688ce5c6fac7ed00011fb794
CARE BEARS | Robinson Department Store,store,Robinson Department Store,,1ce6984b-f65b-5aeb-ac5b-2d372f5fc338,el_688ce5c6fac7ed00011fb795
MAMYPOKO | Robinson Department Store,store,Robinson Department Store,,6e64bc5a-9c70-57e7-b46b-5d11e4feb33a,el_688ce5c6fac7ed00011fb798
STEVENS | Robinson Department Store,store,Robinson Department Store,,bb7002fe-6497-5fd5-aa32-84ad7b0e2ae9,el_688ce5c6fac7ed00011fb799
MA SWIMSUIT | Robinson Department Store,store,Robinson Department Store,,c7f3f2e5-493d-5e7d-ad9b-c671a74b3baf,el_688ce5c6fac7ed00011fb79a
AUKA | Robinson Department Store,store,Robinson Department Store,,feeea62c-36e0-5e8c-819d-b74e91c67174,el_688ce5c6fac7ed00011fb79c
NIKE | Robinson Department Store,store,Robinson Department Store,,3827cefb-062f-5fd0-b29e-5cd6b527e5ef,el_688ce5c6fac7ed00011fb79e
LAFEE | Robinson Department Store,store,Robinson Department Store,,075bbf68-889f-571f-a2b6-cf595b264143,el_688ce5c6fac7ed00011fb79f
SANTAS | Robinson Department Store,store,Robinson Department Store,,48dec9d0-bb7d-57e1-9368-a49a8fcbeae6,el_688ce5c6fac7ed00011fb7a0
