name,type,categories,floors,external_id,location_id
PPK BLOOD STATION ณ จันท์,store,Government Services Point,,0ec8ba3f-17e3-5863-a42e-e49816662626,el_69727aa2d69cf40001ccff3a
AEON THANA SINSAP,store,Bank & ATM,,2621af48-e719-5ae8-9609-78f1ac673f0f,el_69727aa2d69cf40001ccff3b
BIG CAMERA,store,Technology,,b613cd4d-13b6-5f6b-a37e-0929b6fb17fe,el_69727aa2d69cf40001ccff3c
SHABUSHI / ชาบูชิ,store,Food & Beverage,,f0f1fa38-c36a-5471-a230-6bc781824300,el_69727aa2d69cf40001ccff3e
STARBUCKS COFFEE,store,Food & Beverage,,0fcafc34-5a94-564a-8380-bb9ce008ba66,el_69727aa2d69cf40001ccff3f
KT OPTIC,store,General Service,,358f21c9-f89c-5f27-9f6d-ba4faaf8a545,el_69727aa2d69cf40001ccff44
KIMTEE FINE JEWELRY,store,Fashion & Accessories,,93b40a96-5439-5eb5-afec-fa4f18e5347f,el_69727aa2d69cf40001ccff45
KARAOKE FANTASY,store,Entertainment,,2c90d068-20cf-5c8f-84c1-c0863b431f57,el_69727aa2d69cf40001ccff46
JAY MART,store,Technology,,7c006af4-fa50-572b-99a9-198bfa717a55,el_69727aa2d69cf40001ccff47
KFC,store,Food & Beverage,,f7566e7c-3821-5c35-a2f5-5400c5b90e57,el_69727aa2d69cf40001ccff4a
ชาตรามือ,store,Food & Beverage,,49b8ec1d-ba1f-5440-8603-cfed0c937909,el_69727aa2d69cf40001ccff4b
OPPO,store,Technology,,f5c258ab-56e0-599e-8455-35d95cb9ad55,el_69727aa2d69cf40001ccff4d
LYN,store,Fashion & Accessories,,ec90b893-b9ed-5daa-80c3-46169845f099,el_69727aa2d69cf40001ccff52
I STUDIO,store,Technology,,0bfc210a-431a-50da-9ca1-50fb2c1a20a6,el_69727aa2d69cf40001ccff57
JASPAL,store,Fashion & Accessories,,12abf3a0-d55a-5c50-8c7a-93b498e0297b,el_69727aa2d69cf40001ccff59
PETClub,store,Pet Service,,e83da9d7-5645-502a-aefd-e03c088aa15c,el_69727aa2d69cf40001ccff5c
