name,type,categories,floors,external_id,location_id
VINTEL | Central Department Store,store,Central Department Store,,3ddf9deb-66b1-5063-aa85-4941ec8a310c,el_6877cdcf52551000018a5e90
KENNETH COLE | Central Department Store,store,Central Department Store,,28082411-0da3-533b-844c-15ad7efb75e3,el_6877cdcf52551000018a5e91
VATANIKA BEAUTY | Central Department Store,store,Central Department Store,,42c30cd6-79d7-5475-bee9-ce33e1e5d90e,el_6877cdcf52551000018a5e92
ZEBRA | Central Department Store,store,Central Department Store,,7e6c649b-9095-5841-aff3-4fa37d6562db,el_6877cdcf52551000018a5e93
WET BRUSH | Central Department Store,store,Central Department Store,,8c10c2af-a039-5e9b-b802-d4b5ed3cb54a,el_6877cdcf52551000018a5e94
THE CAT | Central Department Store,store,Central Department Store,,d16d43f5-daff-5533-9933-92db2c4a007d,el_6877cdcf52551000018a5e95
ADIDAS | Central Department Store,store,Central Department Store,,7999bd94-dd27-5a1c-b266-62805f3f72b9,el_6877cdcf52551000018a5e96
ESQUIRE | Central Department Store,store,Central Department Store,,4d4c65e6-0bb8-5b9b-873d-7ba98bf33720,el_6877cdcf52551000018a5e97
DONNA CHANG | Central Department Store,store,Central Department Store,,2daebfb3-5764-52e7-a124-ac4c9ceb790f,el_6877cdcf52551000018a5e98
NINTENDO | Central Department Store,store,Central Department Store,,2a7999a1-1738-508b-a55e-35f4d1a60a94,el_6877cdcf52551000018a5e99
KHAL | Central Department Store,store,Central Department Store,,59775fcb-e785-53c4-ab9e-db7787c550e1,el_6877cdcf52551000018a5e9a
GLINTZ | Central Department Store,store,Central Department Store,,61cac610-93de-5201-a592-645017dbc9fb,el_6877cdcf52551000018a5e9b
TALON | Central Department Store,store,Central Department Store,,f6d8c7f3-ad75-59e6-9bb8-ba2c13ba408e,el_6877cdcf52551000018a5e9c
PETYE | Central Department Store,store,Central Department Store,,5bd5731d-361d-5726-a8cb-f1dfa1fa2799,el_6877cdcf52551000018a5e9d
SOFT | Central Department Store,store,Central Department Store,,1162d920-dcd9-577f-b9c4-d3da222ce823,el_6877cdcf52551000018a5e9e
FERRAGAMO | Central Department Store,store,Central Department Store,,3ab175e9-4d0b-55b2-a215-338c3dec5bf0,el_6877cdcf52551000018a5e9f
EXOTICA | Central Department Store,store,Central Department Store,,a259ea76-7f27-5cc5-af04-650844808937,el_6877cdcf52551000018a5ea0
BLING20 | Central Department Store,store,Central Department Store,,f4059a4a-9154-551b-a2bf-6e44fb2f2605,el_6877cdcf52551000018a5ea1
VTECH | Central Department Store,store,Central Department Store,,ef138337-ea99-57d8-8528-03ed6b24145e,el_6877cdcf52551000018a5ea2
BRAUN | Central Department Store,store,Central Department Store,,944d02bf-8213-5c5e-aa30-c9e31b490357,el_6877cdcf52551000018a5ea3
ARCHIVE026 | Central Department Store,store,Central Department Store,,7e47d855-104e-57e5-aebf-68d703a1fd33,el_6877cdcf52551000018a5ea4
MARDI MERCREDI | Central Department Store,store,Central Department Store,,fd9ce534-fb2a-55d1-9ff3-1be0dcabafae,el_6877cdcf52551000018a5ea5
DISNEY TOYS | Central Department Store,store,Central Department Store,,b67ea5e6-0fda-5566-83ce-44b7577b564f,el_6877cdcf52551000018a5ea6
PUREEN | Central Department Store,store,Central Department Store,,6bc3c808-d270-5eb7-aa9d-7c828865a8d6,el_6877cdcf52551000018a5ea7
CLASSIE LEATHER | Central Department Store,store,Central Department Store,,621edaa8-eae0-581d-b331-89645a426429,el_6877cdcf52551000018a5ea8
DAPPER | Central Department Store,store,Central Department Store,,72010156-c488-5886-9067-0f008407476c,el_6877cdcf52551000018a5ea9
CALVIN KLEIN | Central Department Store,store,Central Department Store,,38c46278-00da-580b-a769-02cd9cddff8e,el_6877cdcf52551000018a5eaa
ASABOVE | Central Department Store,store,Central Department Store,,aeb030b8-a3c2-5af3-9c06-0e20a449c12d,el_6877cdcf52551000018a5eab
SKII | Central Department Store,store,Central Department Store,,5304f650-eeda-5f07-a662-49f12bac70c9,el_6877cdcf52551000018a5eac
FARMSTAY | Central Department Store,store,Central Department Store,,f47503c2-89bf-50c5-b191-8bc9a6ae1be9,el_6877cdcf52551000018a5ead
GOODBABY | Central Department Store,store,Central Department Store,,6201930d-53c8-58fa-9dc0-424cf877df76,el_6877cdcf52551000018a5eae
BRATPACK | Central Department Store,store,Central Department Store,,f997539e-dcb6-5684-9991-91ffe939cf27,el_6877cdcf52551000018a5eaf
MICHEL ANGELO | Central Department Store,store,Central Department Store,,83f7da65-3960-5ab7-87ec-a6d5b193aef9,el_6877cdcf52551000018a5eb0
SPODE | Central Department Store,store,Central Department Store,,475e29e0-74a5-52b5-ab6b-b5819debef97,el_6877cdcf52551000018a5eb1
IMOO | Central Department Store,store,Central Department Store,,46ce3e8b-db7d-554f-951a-3068ea8a3272,el_6877cdcf52551000018a5eb2
TACHA | Central Department Store,store,Central Department Store,,f9e00e6d-c3a2-5a31-a125-25f5bee49323,el_6877cdcf52551000018a5eb3
PASAYA | Central Department Store,store,Central Department Store,,171de052-2d10-569d-9cd8-f4aca7391b41,el_6877cdcf52551000018a5eb4
TOM FORD BEAUTY | Central Department Store,store,Central Department Store,,207f48de-2ebf-5c5d-a575-5ef59e3d78a6,el_6877cdcf52551000018a5eb5
PHILIPS | Central Department Store,store,Central Department Store,,724fc4ce-5263-509f-ab3b-790a6383d3b7,el_6877cdcf52551000018a5eb6
LEMON ME | Central Department Store,store,Central Department Store,,ba7a8eed-dde8-5899-bec6-ef07596603fa,el_6877cdcf52551000018a5eb7
AUGUSTINUS BADER | Central Department Store,store,Central Department Store,,35d1b0cc-069e-565d-9779-58c2c80aea1c,el_6877cdcf52551000018a5eb8
GQ | Central Department Store,store,Central Department Store,,4bef5a48-1aec-5e2a-81f2-2c547c77da77,el_6877cdcf52551000018a5eb9
FRESH | Central Department Store,store,Central Department Store,,31efa759-1bb2-5d28-be00-800ac6c35f3f,el_6877cdcf52551000018a5eba
MELISSA | Central Department Store,store,Central Department Store,,12456a60-1ac7-56f9-91df-792ab79743e7,el_6877cdcf52551000018a5ebb
TREE HUT | Central Department Store,store,Central Department Store,,03d8ad71-f00a-5f65-b2b0-830d6a216afa,el_6877cdcf52551000018a5ebc
MARKS & SPENCER | Central Department Store,store,Central Department Store,,4eb631be-a78f-597f-95fd-41794424582d,el_6877cdcf52551000018a5ebd
AN AWL | Central Department Store,store,Central Department Store,,2906bafb-e37d-5fb6-ac2d-e14df19b5148,el_6877cdcf52551000018a5ebe
MARCO POLO | Central Department Store,store,Central Department Store,,19a41293-ddc4-5463-a11a-39aef4eb462d,el_6877cdcf52551000018a5ebf
ASV ASAVA | Central Department Store,store,Central Department Store,,afdcc21b-89cb-5590-9e9a-c6dcf53ff640,el_6877cdcf52551000018a5ec0
TOMMY UNDERWEAR | Central Department Store,store,Central Department Store,,745fc459-a95e-53fc-a504-c0d8fb15137c,el_6877cdcf52551000018a5ec1
HEAVY | Central Department Store,store,Central Department Store,,ba4d8d50-72c6-5beb-9896-cd7690d3a671,el_6877cdcf52551000018a5ec2
UP&UNDER | Central Department Store,store,Central Department Store,,0e3a1107-c7d5-53db-a5d4-c9485afaf8c6,el_6877cdcf52551000018a5ec3
BAA BAA SHEEPZ | Central Department Store,store,Central Department Store,,0bc623b5-5a7a-5a09-b6cd-9eeaeaf93e8e,el_6877cdcf52551000018a5ec4
OXO | Central Department Store,store,Central Department Store,,0a4d41bc-dbc2-5684-a1b1-545047d32de8,el_6877cdcf52551000018a5ec5
LA GLACE | Central Department Store,store,Central Department Store,,bfae9890-d3da-5bac-b866-0e252895c1ab,el_6877cdcf52551000018a5ec6
DISNEY TAKETOYS | Central Department Store,store,Central Department Store,,c94bb632-ed66-538a-83bf-16352bfbb239,el_6877cdcf52551000018a5ec7
LE CREUSET | Central Department Store,store,Central Department Store,,500f7fd2-dfa9-5130-a24b-c8dae6782c0a,el_6877cdcf52551000018a5ec8
EMPORIO ARMANI | Central Department Store,store,Central Department Store,,38525425-ea06-53fa-9c28-cdaca310e02c,el_6877cdcf52551000018a5ec9
GQ SOCKS | Central Department Store,store,Central Department Store,,df529bdc-2cf7-5ef3-84b7-64ed32492922,el_6877cdcf52551000018a5eca
