name,type,categories,floors,external_id,location_id
NERF HASBRO KIDDO | Central Department Store,store,Central Department Store,,f4e80840-7c49-5cc6-9320-0b505bd588cc,el_6877cdcc8d02ba0001511265
BRAUN | Central Department Store,store,Central Department Store,,74012553-45bf-536c-b902-f8c1b87584c0,el_6877cdcc8d02ba0001511266
PAPA | Central Department Store,store,Central Department Store,,6b3074d4-48c5-53e2-a431-173b7c09dabc,el_6877cdcc8d02ba0001511267
EXOTICA | Central Department Store,store,Central Department Store,,6a7543f4-4db8-5224-afa9-5c48c868daa7,el_6877cdcc8d02ba0001511268
G2000 | Central Department Store,store,Central Department Store,,6997f900-e279-5bff-a726-e2318d053554,el_6877cdcc8d02ba0001511269
KEEP | Central Department Store,store,Central Department Store,,5378eeb0-7e08-5dd0-b591-246b94d4d745,el_6877cdcc8d02ba000151126a
SISLEY | Central Department Store,store,Central Department Store,,3c47aa04-01b9-5a11-9c61-443d93e39335,el_6877cdcc8d02ba000151126b
POLO WORLD | Central Department Store,store,Central Department Store,,9cfeb263-e6b4-5b15-a453-78341aa82cc9,el_6877cdcc8d02ba000151126c
BSC | Central Department Store,store,Central Department Store,,9411e27d-1585-54d6-96a3-dcd3c10aee71,el_6877cdcc8d02ba000151126d
LOTUS | Central Department Store,store,Central Department Store,,248746fa-569d-5c5e-a4b4-defd6e42b5c5,el_6877cdcc8d02ba000151126e
ARROW | Central Department Store,store,Central Department Store,,d2774893-9ba4-5332-a0f0-ec8a22a85011,el_6877cdcc8d02ba000151126f
ADIDAS NEO CREDIT | Central Department Store,store,Central Department Store,,bc9dbbd6-cb3c-5aff-94cc-0d3615392920,el_6877cdcc8d02ba0001511270
TREND | Central Department Store,store,Central Department Store,,a5cfbfba-3f7f-5812-a592-4dc7df5fd884,el_6877cdcc8d02ba0001511271
LIYA | Central Department Store,store,Central Department Store,,0756afdb-ede2-59e2-be1e-6acc225ea1d6,el_6877cdcc8d02ba0001511272
HOLSTER | Central Department Store,store,Central Department Store,,d2f3aab9-5e66-5c18-8fd3-cf4a415caffc,el_6877cdcc8d02ba0001511273
PIERRE CARDIN | Central Department Store,store,Central Department Store,,fe72fb55-5e5e-5cee-aee6-b9235b8a1088,el_6877cdcc8d02ba0001511274
LOUIS FONTAINE | Central Department Store,store,Central Department Store,,c9754f19-5672-5a58-978c-bfe7072eccc2,el_6877cdcc8d02ba0001511275
SARAMANDA | Central Department Store,store,Central Department Store,,206172d3-3b85-5136-bd65-8c99c33cee7d,el_6877cdcc8d02ba0001511276
SAMSONITE RED | Central Department Store,store,Central Department Store,,8e785760-eb88-546b-9da7-87ad4c6c7531,el_6877cdcc8d02ba0001511277
CHOLE | Central Department Store,store,Central Department Store,,d193ccbb-2cd3-52f4-80c7-a23f94037375,el_6877cdcc8d02ba0001511278
COACH | Central Department Store,store,Central Department Store,,15d79133-d0fb-5070-ac9e-2f9c458c4cbf,el_6877cdcc8d02ba0001511279
THOMAS WD | Central Department Store,store,Central Department Store,,5af0982d-0538-5273-80cb-e5c6bf73b011,el_6877cdcc8d02ba000151127a
PLAYBOY | Central Department Store,store,Central Department Store,,ca81dd92-8ed5-5d08-bfc3-48d4d178b30d,el_6877cdcc8d02ba000151127b
FITFLOP | Central Department Store,store,Central Department Store,,2909a6b0-1c99-5087-9d01-882fcbb1d8f2,el_6877cdcc8d02ba000151127c
RALPH LAUREN | Central Department Store,store,Central Department Store,,1640b4ff-7460-55b8-89f5-c1192ccbb3d8,el_6877cdcc8d02ba000151127d
PROFESSIONAL WATCH SERVICE | Central Department Store,store,Central Department Store,,60f26135-8df0-57ed-9e94-b3ad07f032c5,el_6877cdcc8d02ba000151127e
AMERICAN TOURISTER | Central Department Store,store,Central Department Store,,ea3b6d14-5170-5760-b074-4401c5d7e7cf,el_6877cdcc8d02ba000151127f
SO SMOOCHIE | Central Department Store,store,Central Department Store,,5039941d-a772-5d0d-8e0a-a732067f175a,el_6877cdcc8d02ba0001511280
LUMINOX | Central Department Store,store,Central Department Store,,d048f29b-e3b6-5997-9610-a7b48e6d25c2,el_6877cdcc8d02ba0001511281
DEBLU HEALTHY WALK | Central Department Store,store,Central Department Store,,becd05ef-038c-5042-94fc-6522fb664c5a,el_6877cdcc8d02ba0001511282
MONOBO | Central Department Store,store,Central Department Store,,dd0ba3de-8e16-5e0b-9ebd-4ca08fe2058b,el_6877cdcc8d02ba0001511283
ISSEY MIYAKE | Central Department Store,store,Central Department Store,,770ad0f5-1c74-5c3e-b8a0-acc3d31e7cb7,el_6877cdcc8d02ba0001511284
LOFFICIEL | Central Department Store,store,Central Department Store,,ac99ef57-108a-57d6-9abe-c459281d6a92,el_6877cdcc8d02ba0001511285
SIMPLICITY | Central Department Store,store,Central Department Store,,d5dac319-3123-5afd-95fc-3339f021ba98,el_6877cdcc8d02ba0001511286
PORTLAND | Central Department Store,store,Central Department Store,,c975542d-0c42-5c21-89f5-2c4af71680f8,el_6877cdcc8d02ba0001511287
KIEHLS | Central Department Store,store,Central Department Store,,401d4875-416f-5434-b9da-b508ab74a2c4,el_6877cdcc8d02ba0001511288
REMINGTON | Central Department Store,store,Central Department Store,,f55fd20a-1938-5123-ba20-769ad70b8b2a,el_6877cdcc8d02ba0001511289
LADY PLUS | Central Department Store,store,Central Department Store,,ba2552e0-764a-5246-8453-506709d49ff6,el_6877cdcc8d02ba000151128a
DISNEY PRINCESS | Central Department Store,store,Central Department Store,,342a1951-35b7-5671-93e7-d2baf1c27a8f,el_6877cdcc8d02ba000151128b
GQ | Central Department Store,store,Central Department Store,,ca731102-fa5e-5577-8ca8-77b38e9fb347,el_6877cdcc8d02ba000151128c
LUIGINA | Central Department Store,store,Central Department Store,,755e29fe-3d4b-5024-ba97-6e36799563e8,el_6877cdcc8d02ba000151128d
SCHOLL | Central Department Store,store,Central Department Store,,98895eac-cbf3-51e0-a3f3-86358270ce15,el_6877cdcc8d02ba000151128e
BURBERRY | Central Department Store,store,Central Department Store,,5b496d19-92e7-53b0-bd22-15ec85ef0c62,el_6877cdcc8d02ba000151128f
PASAYA | Central Department Store,store,Central Department Store,,a4d235a4-c324-5970-99a3-f96ba2e19414,el_6877cdcc8d02ba0001511290
MARKS & SPENCER | Central Department Store,store,Central Department Store,,9935d67e-4e6b-5a15-8873-7fdad7e41cfd,el_6877cdcc8d02ba0001511291
LACOSTE | Central Department Store,store,Central Department Store,,ca2057c8-6da1-5bea-b958-25fbf313e588,el_6877cdcc8d02ba0001511292
LACOSTE | Central Department Store,store,Central Department Store,,adff3357-ce0f-59cc-8810-b93360d783a3,el_6877cdcc8d02ba0001511293
MIX ME | Central Department Store,store,Central Department Store,,a95528e0-2a64-5013-9bcf-d75081baf1ad,el_6877cdcc8d02ba0001511294
DEFRY 01 | Central Department Store,store,Central Department Store,,d19a1f6a-e741-5e94-a254-e468af3446de,el_6877cdcc8d02ba0001511295
LITTLE LIVE PETS PACIFIC | Central Department Store,store,Central Department Store,,37c84c0b-8a87-5051-8d95-7daf16cd2fa8,el_6877cdcc8d02ba0001511296
GODMAMI | Central Department Store,store,Central Department Store,,57a3803c-55f1-5875-96c9-be69e2e58f8b,el_6877cdcc8d02ba0001511297
PANASONIC | Central Department Store,store,Central Department Store,,4ef86b5a-c528-5b03-9153-f60f41650334,el_6877cdcc8d02ba0001511298
CITIZEN | Central Department Store,store,Central Department Store,,084f2aa1-f7ea-563d-a9db-1c69a7c34e80,el_6877cdcc8d02ba0001511299
SUNGLASS HUT | Central Department Store,store,Central Department Store,,993fd3e8-497f-531c-b0fc-f98540aa8aa4,el_6877cdcc8d02ba000151129a
CORDIAL | Central Department Store,store,Central Department Store,,80e419ff-4122-5405-a22b-e7879082bd06,el_6877cdcc8d02ba000151129b
CIERA | Central Department Store,store,Central Department Store,,dd30b362-6609-56ea-8733-e6b261fe4b0b,el_6877cdcc8d02ba000151129c
TORY BURCH | Central Department Store,store,Central Department Store,,d03de2db-b3e8-500c-ae34-93c26df37787,el_6877cdcc8d02ba000151129d
EXPRESSIONS | Central Department Store,store,Central Department Store,,c7146370-1d33-59ed-bdbb-53c2dee7acc7,el_6877cdcc8d02ba000151129e
ESPADA | Central Department Store,store,Central Department Store,,11e71d5a-0ab6-5618-95bc-f98b23f62f2b,el_6877cdcc8d02ba000151129f
JOHN HENRY | Central Department Store,store,Central Department Store,,a74272df-0178-5709-b41a-8359bc6c60bf,el_6877cdcc8d02ba00015112a0
GAZE | Central Department Store,store,Central Department Store,,f3094186-0821-5b65-a21b-cacc5f994caf,el_6877cdcc8d02ba00015112a1
GQ UNDERWEAR | Central Department Store,store,Central Department Store,,2404c6e7-be68-5a2f-a8ad-430678211537,el_6877cdcc8d02ba00015112a2
ALAIN DELON | Central Department Store,store,Central Department Store,,e46d9a4e-ce6d-5b5c-9b0d-e931796b179b,el_6877cdcc8d02ba00015112a3
SEALY | Central Department Store,store,Central Department Store,,1d1552f1-822a-5846-b1c7-159d2cf9a2df,el_6877cdcc8d02ba00015112a4
CRUISE BY CHRISTIANA | Central Department Store,store,Central Department Store,,f71f488c-00bd-5360-94ec-87d928e4b653,el_6877cdcc8d02ba00015112a5
PEPPA PIG | Central Department Store,store,Central Department Store,,23db398c-618e-5a82-b933-ebdbd3f27402,el_6877cdcc8d02ba00015112a6
CLOVER | Central Department Store,store,Central Department Store,,0931995f-e340-574a-991d-55957594cc6a,el_6877cdcc8d02ba00015112a7
EAZY CLEAN LOCAL | Central Department Store,store,Central Department Store,,3fa8bc3c-8be0-5960-9a2a-0752f7ec60bc,el_6877cdcc8d02ba00015112a8
NUNA | Central Department Store,store,Central Department Store,,696b5e00-f795-579c-8e17-130ccb670714,el_6877cdcc8d02ba00015112a9
KAMIMURA | Central Department Store,store,Central Department Store,,c5e9fd96-b2be-5629-b5d6-6e69949d257e,el_6877cdcc8d02ba00015112aa
MATTEL | Central Department Store,store,Central Department Store,,b5870788-f7b2-54ff-8775-4b9a20ed774a,el_6877cdcc8d02ba00015112ab
VTECH | Central Department Store,store,Central Department Store,,c973ed3f-807e-54d0-8206-57900e548a00,el_6877cdcc8d02ba00015112ac
BRAUN SMALL | Central Department Store,store,Central Department Store,,f2a8ef2e-2eef-5f9c-ac19-5bfedf9e6c11,el_6877cdcc8d02ba00015112ad
FRN | Central Department Store,store,Central Department Store,,8d540a08-d7be-5104-8934-0c4c4a695c7b,el_6877cdcc8d02ba00015112ae
ABSORBA | Central Department Store,store,Central Department Store,,87acf97e-a556-5cdc-8ec5-1533801a7053,el_6877cdcc8d02ba00015112af
POLO CLUB | Central Department Store,store,Central Department Store,,3bce6738-dbf6-5e8a-b43a-4d2fff7ea3c8,el_6877cdcc8d02ba00015112b0
HUSH PUPPIES | Central Department Store,store,Central Department Store,,cf74a76c-a9cb-50ec-a648-7e2f7f32d6d6,el_6877cdcc8d02ba00015112b1
