name,type,categories,floors,external_id,location_id
SERVICE PHONE,store,Technology,,15b04bcd-5a68-52ae-9e65-c10640d7ec83,el_6954294a070e5900017b6fd6
NELLY PET SHOP,store,Pet Service,,97a20185-6126-59de-b9be-536293405adb,el_6954294a070e5900017b6fd7
OPPO,store,Technology,,94332fb8-1862-58c4-8b6f-d6871a843427,el_6954294a070e5900017b6fdd
THE BEST,store,Technology,,ed2e99ea-50ee-54fc-aaa5-a0e3a4cf81c3,el_6954294a070e5900017b6fde
คำพูน,store,Food & Beverage,,7b255977-d860-5e6c-bfe7-0a7ac5c3a77f,el_6954294a070e5900017b6fdf
ROMRAWIN CLINIC,store,Health & Beauty,,608c2bb6-a802-5533-998a-32d6cfcfcd21,el_6954294a070e5900017b6fe1
V SQUARE CLINIC,store,Health & Beauty,,fc793684-30fd-5173-99d7-1bdb33dd15bc,el_6954294a070e5900017b6fe6
BB PHONE,store,Technology,,7d206f9a-27a6-519f-b4e6-5bbd6d0b84a0,el_6954294a070e5900017b6fe8
WATSONS,store,Health & Beauty,,fba7dad3-1f12-5504-bd63-4c03bed54665,el_6954294a070e5900017b6fed
AUNTIE ANNE'S,store,Food & Beverage,,bb959a3a-b0be-541f-9e12-06c17cfc1c27,el_6954294a070e5900017b6ff2
LUCKY,store,Fashion & Accessories,,04510016-2170-5841-b48d-912fc5d5304f,el_6954294a070e5900017b6ff7
CRAFT CODE ROBOTIC,store,Edutainment,,dfb9549e-63e4-50c5-8bd5-b3b91e768bd8,el_6954294a070e5900017b6ff9
PEPPER LUNCH,store,Food & Beverage,,ec4a4394-bb22-5b01-a1be-b37d77c67327,el_6954294a070e5900017b6ffa
NITIPON CLINIC,store,Health & Beauty,,068016e8-d7d0-5910-b455-5b65e3580ba7,el_6954294a070e5900017b6ffb
ORIENTAL PRINCESS,store,Health & Beauty,,0e0605f3-195c-54d0-890d-77a13a2840f2,el_6954294a070e5900017b7000
JOYLIDAY PLUS,store,Entertainment,,dccb59c4-07d1-5e0d-8bf5-924810fe1bf0,el_6954294a070e5900017b7001
ธนาคารยูโอบีจำกัด (มหาชน),store,Bank & ATM,,66d5cad7-aac1-53a4-b3a0-2ea13be8456f,el_6954294a070e5900017b7002
QQ HEALTHY DESSERT,store,Food & Beverage,,b1f1b7a0-7283-5a27-95ce-f2f7464d6827,el_6954294a070e5900017b7003
UMAY PLUS,store,Bank & ATM,,04f6d0f4-0362-5063-a75e-d3119195a7f6,el_6954294a070e5900017b7006
KIPLING,store,Fashion & Accessories,,a86aba64-084a-55af-8015-16f692344583,el_6954294a070e5900017b700a
SERVICE PHONE,store,Technology,,534e3e46-9bdd-5866-82d8-48b2f0c3709a,el_6954294a070e5900017b700b
ONGSA MOBILE,store,Technology,,237e1cba-4653-520d-a5b4-b38d5292ced0,el_6954294a070e5900017b700d
Vocalize Singing Academy,store,Edutainment,,71671060-4c7d-5565-b4e1-5d62bd02f45c,el_6954294a070e5900017b700f
DAISO,store,Home & Décor,,e993cddd-ec88-5f37-b3db-64de13a649b6,el_6954294a070e5900017b701f
MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED,store,Bank & ATM,,1888073c-d39a-57de-a7e5-4b7b8f77ea7b,el_6954294a070e5900017b7021
FUKU MATCHA,store,Food & Beverage,,85155b6d-e876-5010-ab06-4e6380790eef,el_6954294a070e5900017b7022
EAT AM ARE,store,Food & Beverage,,b48576fc-66df-5faa-8fcd-a3229b53ca7e,el_6954294a070e5900017b7024
PASTA AMA,store,Food & Beverage,,b29d8c59-678f-5b5b-a8ce-3bbf812157a5,el_6954294a070e5900017b7025
SLC CLINIC,store,Health & Beauty,,42d6db8f-c61f-5e8c-bae2-35fa9ddcf2e6,el_6954294a070e5900017b7029
BONCHON,store,Food & Beverage,,41109ad7-fa39-5147-941e-6472d1c8a7e8,el_6954294a070e5900017b702b
เซ่งเฮง,store,Fashion & Accessories,,15581f50-6420-5372-b115-0fab3ea69f1b,el_6954294a070e5900017b702f
FOOD PARK,store,Food & Beverage,,c09143f5-02b1-5151-9265-be44e7944265,el_6954294a070e5900017b7032
PORNKASEM CLINIC,store,Health & Beauty,,944a49c0-aa39-58aa-bc4e-e5362559be2a,el_6954294a070e5900017b7035
MAMA SERVICE,store,Technology,,a119f348-16df-57d6-9fdf-8ab56a2d935b,el_6954294a070e5900017b7036
MAMA ACCESSORIES,store,Technology,,5405b8a6-f411-53f2-b771-b8ca48a2c296,el_6954294a070e5900017b7037
TISCO BANK,store,Bank & ATM,,c55a2fe8-342e-5cf1-9103-9f6863c4cabc,el_6954294a070e5900017b7038
CENTRAL DEPARTMENT STORE,store,Central Department Store,,ee606c31-82af-51c5-a4c3-311194591dac,el_6954294a070e5900017b703a
FULL FILM,store,Technology,,706bd3fb-e012-58c2-8d9b-718ae0ae11bf,el_6954294a070e5900017b703b
NEO SUKI,store,Food & Beverage,,58af85f3-3335-5dc5-8b9c-3cad77dfaa1c,el_6954294a070e5900017b703e
Happy Pig,store,Food & Beverage,,d8a67a11-2485-5206-a25a-501e728c912f,el_6954294a070e5900017b703f
SUKIYA,store,Food & Beverage,,6e962d2b-17a3-561b-b8d3-05934904f060,el_6954294a070e5900017b7042
AURORA,store,Fashion & Accessories,,ac9d0709-81e3-52e2-b3dc-d8fee82b542e,el_6954294a070e5900017b7044
I STUDIO,store,Technology,,642f91b9-ef2c-50e1-9035-1c9de351c96c,el_6954294a070e5900017b7046
LAGRACE CLINIC,store,Health & Beauty,,c6ca4fe9-362a-5588-9d16-9f07b8c52448,el_6954294a070e5900017b704a
I CONNECT,store,Technology,,96a81567-a6d9-5efa-abe1-e741e5e71a77,el_6954294a070e5900017b704e
BIG CAMERA,store,Technology,,e2249258-5509-57e4-b87f-7f0e49af49c9,el_6954294a070e5900017b7057
BEAUTRIUM,store,Health & Beauty,,0e877711-8bb0-55ef-ba73-bd125ddd2652,el_6954294a070e5900017b7058
VIORA,store,Health & Beauty,,72b06dbb-9854-5700-8eb5-383b9e2f3d33,el_6954294a070e5900017b705a
NANA PHONE,store,Technology,,73a148f2-2114-5b6b-bec8-8fb4a14d86a0,el_6954294a070e5900017b705b
JIB,store,Technology,,3cd8cd8e-92e9-50d9-bb49-606e347146c3,el_6954294a070e5900017b705c
BB SERVICES,store,Technology,,0d961184-e633-55c0-b50e-b2d35ad146e5,el_6954294a070e5900017b705e
MY WAY,store,Technology,,91046a11-b31f-53ea-b383-0954e99c4c25,el_6954294a070e5900017b705f
BOOST JUICE BAR,store,Food & Beverage,,dd37bd57-5807-5901-adfd-08adf97c3ba5,el_6954294a070e5900017b7066
ธนาคารกสิกรไทย,store,Bank & ATM,,c1ff8819-8e9e-563b-b6a4-f8e9576c7e70,el_6954294a070e5900017b7068
ธนาคารทหารไทยธนชาต,store,Bank & ATM,,96338966-a344-5705-b2e1-8f679227f086,el_6954294a070e5900017b706e
CLICKROBOT,store,Edutainment,,6aec68ea-90de-5454-894f-f0e00fc68d3a,el_6954294a070e5900017b7070
FUJI JAPANESE RESTAURANT,store,Food & Beverage,,dd4949fa-350e-5485-a501-ab55a9251cef,el_6954294a070e5900017b7073
PAINT N PLAY,store,Edutainment,,b0062337-9173-5435-bd32-b25751a338ef,el_6954294a070e5900017b7074
YING MOBILE,store,Technology,,f280275d-d9be-5fff-99ce-cc29e177e46c,el_6954294a070e5900017b7075
KRISPY KREME,store,Food & Beverage,,50a5bad0-4c37-58c2-877b-b8dfac8e0480,el_6954294a070e5900017b7076
K.J.MOBILE,store,Technology,,6cf04d0b-3fac-59d3-a439-adb707f9009a,el_6954294a070e5900017b707a
XIAOMI,store,Technology,,b1eb6b4e-1d11-547b-9f2a-3d577d71e7b3,el_6954294a070e5900017b707c
ห้างทองเยาวราชกรุงเทพ,store,Fashion & Accessories,,e0f4b028-b6a2-5a2a-92f3-68547ff6695e,el_6954294a070e5900017b707d
FITNESS FIRST,store,Entertainment,,d371147f-8ec2-5963-979d-fb356ebeb803,el_6954294a070e5900017b707e
I SMART,store,Technology,,b8026321-ae33-50c6-b7ad-f84539c36ae6,el_6954294a070e5900017b707f
ธนาคารออมสิน,store,Bank & ATM,,a3e6ee5f-b407-5ad8-9a9b-0b6a977f8baa,el_6954294a070e5900017b7082
KUMO CREATIVE STUDIO BY CLAYWORKS,store,Edutainment,,b3b1ed7e-7bc8-57cf-abf5-cb3f5b1e867e,el_6954294a070e5900017b7084
HUA SENG HONG,store,Food & Beverage,,cc5c6dba-3cfb-5165-b86d-40e401fbbea2,el_6954294a070e5900017b7085
CAT TELECOM,store,Technology,,489283d2-5559-5463-85f3-5dc08ebbd1f7,el_6954294a070e5900017b7086
FRESH MOBILE,store,Technology,,78ce7e73-57c5-5544-8b23-ff5ba8290a24,el_6954294a070e5900017b7088
