name,type,categories,floors,external_id,location_id
BLUE-O RHYTHM & BOWL,store,Entertainment,,9b8d0b33-d2bf-584c-b452-e0eb6ee64f2f,el_69727c195bd4aa00011ccb31
THE VANISH,store,Health & Beauty,,2ec082c9-9c23-5cc6-8438-0e4e32c19b99,el_69727c195bd4aa00011ccb37
MK Premium  Buffet,store,Food & Beverage,,1377a048-aa33-5ce7-bd1c-5070bf8437be,el_69727c195bd4aa00011ccb38
SAINT ETOILE BY YAMAZAKI,store,Food & Beverage,,0f00c159-3391-58c1-ac6e-34ad8e08dc64,el_69727c195bd4aa00011ccb39
INLINGUA,store,Edutainment,,2353a8d6-f4ad-513a-b9c7-1cd24500c347,el_69727c195bd4aa00011ccb3b
MO-MO-PARADISE,store,Food & Beverage,,4aba243a-923a-5074-9eeb-478844e5ce01,el_69727c195bd4aa00011ccb3c
BOOTS,store,Health & Beauty,,145bfad4-c09a-55fe-8600-6f0dd42711f8,el_69727c195bd4aa00011ccb3e
GRACIE DESIGN,store,Health & Beauty,,4fc5ccbf-186d-5a36-bcb7-c928a7dadd9f,el_69727c195bd4aa00011ccb40
Mobi By SPVI,store,Technology,,3673283d-b3d8-5cb4-9ab8-b1b775f71672,el_69727c195bd4aa00011ccb41
CAFE' KALDI,store,Food & Beverage,,aa54e83f-c215-55b5-8d95-c46564d48039,el_69727c195bd4aa00011ccb43
MAJOR CINEPLEX,store,Entertainment,,4455b6a7-bac3-548d-9940-136c9973ff4a,el_69727c195bd4aa00011ccb44
ATM KASIKORN BANK,store,Bank & ATM,,89bf8401-094e-5060-8786-2cb16508253b,el_69727c195bd4aa00011ccb45
ธนาคารออมสิน,store,Bank & ATM,,c9736a43-ae69-532a-8349-23c34703258c,el_69727c195bd4aa00011ccb46
SHABUSHI / ชาบูชิ,store,Food & Beverage,,30e0989d-b7bd-5c7c-bcc1-c9d58c95c839,el_69727c195bd4aa00011ccb47
MARY&TOFFY,store,Fashion & Accessories,,5eb940bd-47be-5a84-a18d-b26fecab5e14,el_69727c195bd4aa00011ccb48
ZAAB ELI,store,Food & Beverage,,a3f8cac4-669c-5396-bc97-07cec962d714,el_69727c195bd4aa00011ccb49
SUSHI EXPRESS,store,Food & Beverage,,1cf6cc55-c103-536b-b508-78086c52f2c9,el_69727c195bd4aa00011ccb4a
MUSIC COLLECTION,store,Entertainment,,6adeb036-c9ec-53c0-89a1-36490a9ab0c8,el_69727c195bd4aa00011ccb4b
CAFE AMAZON,store,Food & Beverage,,8d009ce8-9854-523c-bc1d-8d80289c7e8b,el_69727c195bd4aa00011ccb4e
