name,type,categories,floors,external_id,location_id
Gummy Candy,store,Food & Beverage,,01dee860-eeef-55ad-b4e4-655358174c2d,el_699dfaa49981260001765fc4
KT OPTIC,store,General Service,,a6fb751e-d855-552d-8011-0c976dd69d5e,el_699dfaa49981260001765fc5
น้ำผลไม้ปั่นเพื่อสุขภาพ,store,Food & Beverage,,00ed697f-78de-5227-ae80-cf32c2f45c84,el_699dfaa49981260001765fc6
MILALA HANDMADE,store,Fashion & Accessories,,14ad72bd-5a44-5523-bd32-a3846af2affc,el_699dfaa49981260001765fc7
Pizza TT,store,Food & Beverage,,68679a74-e0b2-5cb0-bd5b-96403cea0520,el_699dfaa49981260001765fc8
ทะเลดอง55,store,Food & Beverage,,96f9261c-30eb-5e8c-82a2-7597e54ce03e,el_699dfaa49981260001765fc9
HAKAN,store,Fashion & Accessories,,af4ecc16-ae12-552b-8f79-6c9fa53e7673,el_699dfaa49981260001765fca
THE FACE SHOP,store,Health & Beauty,,18eff959-411b-55c9-9eb3-bc53a976a387,el_699dfaa49981260001765fcb
LG,store,Technology,,c6bb6c68-39e3-56fd-bbc8-fe7f984660a2,el_699dfaa49981260001765fcc
itgo,store,Technology,,2a161d0b-2b7d-51ba-b557-7dbcb1205703,el_699dfaa49981260001765fcd
MISTER DONUT,store,Food & Beverage,,acf7c74c-b2c8-54fd-85c1-c23fbc8a9f7c,el_699dfaa49981260001765fce
ASICS,store,Fashion & Accessories,,28b38e83-1071-525e-87dd-80c193efe11c,el_699dfaa49981260001765fcf
JAY MART,store,Technology,,7efbef67-399d-521c-9981-37857eb41953,el_699dfaa49981260001765fd0
GETHA,store,Home & Décor,,6f9ce1fe-4313-5baf-b422-ab369258bc99,el_699dfaa49981260001765fd1
OUTDOOR BOTANICA BY ELEMENT 72,store,Home & Décor,,6584b08e-6d1d-59fd-b890-9d0687b89c9c,el_699dfaa49981260001765fd2
น้องอ๊อดปลาทูแม่กลอง,store,Food & Beverage,,cd130ca6-037b-57da-846b-2130af6ce1dc,el_699dfaa49981260001765fd3
KANOM SONG-SAN,store,Food & Beverage,,e45b4532-206b-5831-8437-fce354322df7,el_699dfaa49981260001765fd4
YUEDPAO,store,Fashion & Accessories,,d93318e8-2eac-5f5f-abe3-2963db915c3e,el_699dfaa49981260001765fd5
ธนาคารกรุงศรีอยุธยา,store,Bank & ATM,,43d6c2ff-489d-5e49-af44-59c6f1564d24,el_699dfaa49981260001765fd6
BAR-B-Q PLAZA,store,Food & Beverage,,cfa26140-d12b-5681-9985-133b63d06258,el_699dfaa49981260001765fd7
ก๋วยเตี๋ยวเรือหลานตาเพียร,store,Food & Beverage,,e3edf9e9-b017-56d2-ae7c-74200141e689,el_699dfaa49981260001765fd8
TROPICANA,store,Health & Beauty,,cdd49766-5a19-5b26-88ff-55c170e7c5d4,el_699dfaa49981260001765fd9
Ahmad Musk Shop,store,Health & Beauty,,1025d8d0-1f2b-5dd2-82d8-3d153a3bde8f,el_699dfaa49981260001765fda
THE VIVE FITNESS,store,Entertainment,,fca9efdb-1fad-5766-8469-ba5c086de74a,el_699dfaa49981260001765fdb
MC JEANS,store,Fashion & Accessories,,d1c838c2-8ef5-5d41-86ec-7b2d3ea9db7b,el_699dfaa49981260001765fdc
NATURE,store,Fashion & Accessories,,62687b0e-08f6-51b7-a520-af39034936c1,el_699dfaa49981260001765fdd
PAY BY P.A.PHONE,store,Technology,,222b76a8-5757-5745-a95b-61af8bedbdae,el_699dfaa49981260001765fde
ไจแอ้นปาระเบิด,store,Food & Beverage,,d263f4a1-482b-5ecc-8c0e-53f281eaacf4,el_699dfaa49981260001765fdf
