name,type,categories,floors,external_id,location_id
SHABUSHI / ชาบูชิ,store,Food & Beverage,,31007f5e-5878-50f8-aade-8b5c61c39fc9,el_68eeac3ec68f110001597689
MUCH & MELLOW CAFE,store,Food & Beverage,,9eb3b784-ef1a-59fb-982d-eda7633fa48f,el_68eeac3ec68f11000159768c
BIG CAMERA,store,Technology,,40217787-93a8-50ba-8152-ecffe0bcaffc,el_68eeac3ec68f11000159768e
TRUE,store,Technology,,1b71ea3e-a7a7-566b-bcda-d41844998434,el_68eeac3ec68f11000159768f
BETTER VISION,store,General Service,,89bf171a-c035-5cd5-bb12-eba362c6b17b,el_68eeac3ec68f110001597690
CAROLINA LEMKE,store,Fashion & Accessories,,9a8dafe9-55e7-572c-85d2-c2e8590407a8,el_68eeac3ec68f110001597691
FUJI JAPANESE RESTAURANT,store,Food & Beverage,,746c083b-3596-560b-9a3e-4eb4217f5293,el_68eeac3ec68f110001597692
POTATO CORNER,store,Food & Beverage,,e4c8eb0e-1309-5774-9768-f28165a08c1c,el_68eeac3ec68f110001597693
LEVI'S,store,Fashion & Accessories,,b9fc38bf-56dd-5bde-9824-a194f4b4f0a2,el_68eeac3ec68f110001597694
HAVAIANAS,store,Fashion & Accessories,,87f410b9-e41e-5e10-a31a-c2620b78f731,el_68eeac3ec68f110001597695
S&P SIMPLY DELICIOUS,store,Food & Beverage,,446ffe59-2544-54d5-90d1-5f6a059f349a,el_68eeac3ec68f110001597696
AIS,store,Technology,,cfaf7ecb-fa86-59d0-87ba-ca3fb7dba59d,el_68eeac3ec68f110001597697
ก๋วยเตี๋ยวเรือพระนคร,store,Food & Beverage,,2af5e36a-be29-5531-bc4f-f387614c1c8c,el_68eeac3ec68f110001597698
ADIDAS,store,Fashion & Accessories,,fea7fbbe-9b8e-5be2-91b4-4bb1c573120b,el_68eeac3ec68f11000159769a
MINISO,store,Home & Décor,,dc5dd515-045e-5a46-96ef-6b4e9caf8078,el_68eeac3ec68f11000159769b
AURORA,store,Fashion & Accessories,,1641b945-2ece-5ca4-b151-3b27819febcd,el_68eeac3ec68f11000159769d
WISH WELL PHARMACY,store,Health & Beauty,,776e7771-706c-57ce-8212-95553767afd8,el_68eeac3ec68f11000159769e
GIORDANO,store,Fashion & Accessories,,210d074d-9e27-5d60-81e0-023e2cd69dca,el_68eeac3ec68f11000159769f
BONCHON,store,Food & Beverage,,94c63318-43c3-53cb-92fb-8c2083ce478d,el_68eeac3ec68f1100015976a0
CROCS,store,Fashion & Accessories,,0d3f7aa4-6c57-53cc-b2c9-a7c3ffa88c1b,el_68eeac3ec68f1100015976a1
SWENSEN'S,store,Food & Beverage,,b651c28d-c9a1-560a-81d3-e754df1efac7,el_68eeac3ec68f1100015976a2
BEAUTRIUM,store,Health & Beauty,,b97de8c5-bc3c-52fe-b43a-d18cdd61488d,el_68eeac3ec68f1100015976a3
KKV,store,Home & Décor,,31a2f343-97a8-5cfc-b307-57be08daabb1,el_68eeac3ec68f1100015976a5
HAYAKO SUSHI,store,Food & Beverage,,33549765-900b-536f-b0df-9d918f3b8e83,el_68eeac3ec68f1100015976a6
HUAWEI,store,Technology,,ff6644ad-037c-585d-a713-d91c77c3bf3e,el_68eeac3ec68f1100015976a7
SABINA,store,Fashion & Accessories,,4ac2514e-1603-5d2a-846c-d1ce75606ecd,el_68eeac3ec68f1100015976a8
ROYAL SUPPERRICH KRABI,store,Bank & ATM,,21609d52-809e-518e-b894-b66fe5a74514,el_68eeac3ec68f1100015976a9
JAYMART,store,Technology,,59ee1300-a08f-5350-8ae0-ed0bd9769592,el_68eeac3ec68f1100015976aa
ฮะจิบัง ราเมน,store,Food & Beverage,,950fd03d-1bfd-5d53-8c30-77a2d87bde05,el_68eeac3ec68f1100015976ac
B2S,store,Book & Stationeries,,2a8c987c-7b1e-5a3e-b529-a9663b85d7ab,el_68eeac3ec68f1100015976ae
BANANA,store,Technology,,31049e31-0047-52b8-9bc2-b5f4d68582ef,el_68eeac3ec68f1100015976af
XIAOMI,store,Technology,,461443ad-05e9-514d-a375-5b6287864db0,el_68eeac3ec68f1100015976b0
JIM THOMPSON,store,Home & Décor,,3731071f-501b-5a6c-b557-0ed4049fee1b,el_68eeac3ec68f1100015976b1
VIVO,store,Technology,,feff6628-c69e-5b0a-875f-e363bb7407eb,el_68eeac3ec68f1100015976b2
LEE WRANGLER,store,Fashion & Accessories,,c35049cd-4186-54cf-8b79-2277ddf4ee38,el_68eeac3ec68f1100015976b3
ชาตรามือ,store,Food & Beverage,,5dfc8b99-235b-5ad1-85d5-c7cf886098c5,el_68eeac3ec68f1100015976b5
MARRY GEMS,store,Fashion & Accessories,,31725127-d21d-5c47-b906-8110c5b01c88,el_68eeac3ec68f1100015976b6
POWER BUY,store,Technology,,71ee6c79-0356-548e-9d4d-ecbb2c1e90a9,el_68eeac3ec68f1100015976b8
TOPS SUPERMARKET,store,Super Market,,1673227a-54fd-5778-9fed-3fc215c0a771,el_68eeac3ec68f1100015976b9
ธนาคารกสิกรไทย,store,Bank & ATM,,a218387d-9045-5658-ad2b-52723ed49de3,el_68eeac3ec68f1100015976ba
I STUDIO,store,Technology,,25103c4b-7919-50b1-8ac6-59c0c13c0f2d,el_68eeac3ec68f1100015976bb
ห้างทองเยาวราชกรุงเทพ,store,Fashion & Accessories,,dd675320-20f9-5a8b-b9c4-cb0fa6bc30bb,el_68eeac3ec68f1100015976bc
GAGA,store,Food & Beverage,,ac10a7e2-e68f-5994-ac98-36cae3693a8f,el_68eeac3ec68f1100015976be
YUEDPAO,store,Fashion & Accessories,,d02073b5-540c-5fff-b9dd-343cc6cce88d,el_68eeac3ec68f1100015976bf
ห้างทองหวังโต๊ะกังเยาวราช,store,Fashion & Accessories,,b345b6ec-71c4-5b7f-b236-eb500b1c23e4,el_68eeac3ec68f1100015976c0
BONAGE,store,Health & Beauty,,512183ab-98a0-5553-a8e5-50c2f38bf0f8,el_68eeac3ec68f1100015976c1
ลาวญวน,store,Food & Beverage,,0ece459c-7e0c-553f-b665-ba18fc7e2eae,el_68eeac3ec68f1100015976c2
WACOAL,store,Fashion & Accessories,,2f1aa028-9f17-57de-82ec-5e4507b17b94,el_68eeac3ec68f1100015976c3
BODY GLOVE,store,Fashion & Accessories,,ee11ca26-226f-5b14-a66e-86b9e8a522e3,el_68eeac3ec68f1100015976c4
OPPO,store,Technology,,a4ae6783-b4ce-5681-a115-caf2c46fdbd5,el_68eeac3ec68f1100015976c6
GANGNAM CLINIC,store,Health & Beauty,,18c83ccb-4008-564e-bc90-e92f51e80bba,el_68eeac3ec68f1100015976c7
OWNDAYS,store,General Service,,6fbb5688-89cd-5507-a72a-5da5dcd5e668,el_68eeac3ec68f1100015976c8
TG FONE,store,Technology,,c4f3dc8b-f70b-5083-8482-24f509f30def,el_68eeac3ec68f1100015976c9
MOSHI MOSHI,store,Home & Décor,,52f5be56-a13f-59f9-bd4f-d449dbf7b036,el_68eeac3ec68f1100015976ca
PRIME BURGER THAILAND,store,Food & Beverage,,0f7db7dc-d248-5533-9401-0dcbafe51c7f,el_68eeac3ec68f1100015976cb
JIB,store,Technology,,240cc32b-faee-52ce-b2c5-b2db18e9e6c2,el_68eeac3ec68f1100015976cc
SAMSUNG MOBILE,store,Technology,,0204ba60-1ac0-5fa9-b160-0713c72f69df,el_68eeac3ec68f1100015976cd
MK RESTAURANTS,store,Food & Beverage,,18138b44-3e60-55ee-8e68-12f9ea2fef8f,el_68eeac3ec68f1100015976ce
PHYLL KRABI,store,General Service,,b2aea54a-fe1f-589a-b6a3-d36902f6c3cb,el_68eeac3ec68f1100015976cf
AUTO 1,store,General Service,,6a5ef8bd-f09d-5d18-a45a-45420a7581fc,el_68eeac3ec68f1100015976d0
LUXOPTIC,store,General Service,,a759d17b-2afd-5d15-be21-db935e418ca9,el_68eeac3ec68f1100015976d1
ORIENTAL PRINCESS,store,Health & Beauty,,1927a0cc-bec6-53fe-ae8e-aba7a58c878c,el_68eeac3ec68f1100015976d2
WATSONS,store,Health & Beauty,,319a16a8-1b04-5552-af44-34882e34d8ca,el_68eeac3ec68f1100015976d4
BEARHOUSE,store,Food & Beverage,,3c10848e-8edf-56dc-a821-2220191357fe,el_68eeac3ec68f1100015976d5
QUIKSILVER,store,Fashion & Accessories,,352ff553-8e1d-5a28-8d7e-0588ebb240e5,el_68eeac3ec68f1100015976d6
KATSUYA,store,Food & Beverage,,ce2c5442-780e-5e64-b66b-dfcfa37f7504,el_68eeac3ec68f1100015976d7
SF CINEMA,store,Entertainment,,93499304-1af1-528f-bc90-d824bd04e25b,el_68eeac3ec68f1100015976d8
JETTS 24 HOUR FITNESS,store,Entertainment,,a18ef5b9-8c62-50a0-b0bd-fe7214f277e7,el_68eeac3ec68f1100015976d9
SUPERSPORTS,store,Fashion & Accessories,,4cab69a3-96d3-5b0b-a342-c64a644bb296,el_68eeac3ec68f1100015976da
AEON THANA SINSAP,store,Bank & ATM,,887dde67-ab8f-5ab7-8edd-2286709fa2bb,el_68eeac3ec68f1100015976dd
CAFE AMAZON,store,Food & Beverage,,3a6f08d2-0e3d-5957-a71d-6a489757db0b,el_68eeac3ec68f1100015976df
NUH,store,Fashion & Accessories,,4ba62c69-440e-516c-ac77-d610e0f7cf3c,el_68eeac3ec68f1100015976e0
PIZZA HUT,store,Food & Beverage,,cb8b2837-40c3-503b-bcce-93a183ffc9b4,el_68eeac3ec68f1100015976e1
SOURI,store,Food & Beverage,,8ecd2e27-978d-5c41-8dd5-59b2c237ea66,el_68eeac3ec68f1100015976e5
URTHE,store,Fashion & Accessories,,bf7e73fc-6bca-5d1f-b0d9-7e6a5b1a9e94,el_68eeac3ec68f1100015976e6
PEPPER LUNCH,store,Food & Beverage,,3a321e97-1a8d-52a6-80a3-dc466e8acce0,el_68eeac3ec68f1100015976e7
Have A Hug Studio,store,Others,,2169a899-2806-58db-af69-e14f71336325,el_6a3c00960f5eb90001a19b3b
ATM SIAM COMMERCIAL BANK,store,Bank & ATM,,7cba7f03-66b0-5ccb-b489-11077ea83af5,el_6a3c00960f5eb90001a19b3c
T-PARTNER,store,Lifestyle,,fcf0e11b-b9d4-5df3-ae2a-31d5ff3414bd,el_6a3c00960f5eb90001a19b3d
URANUS CLINIC,store,Health & Beauty,,ef1e1b06-d56c-5640-99fe-6c8f8b5ec015,el_6a3c00960f5eb90001a19b3e
Siamphuthai,store,Others,,06e8e27e-1549-5496-8af2-59ca09a8ff5c,el_6a3c00960f5eb90001a19b3f
NINLANON COLLECTIBLES,store,Others,,e7c74d9c-3102-5849-acfa-6e3ab631b139,el_6a3c00960f5eb90001a19b40
LUXORA'S PERFUME,store,Health & Beauty,,0fe325f4-7358-52cb-b57b-8697fcf55345,el_6a3c00960f5eb90001a19b41
TREE LINEN AND CRAFT,store,Fashion & Accessories,,dfd9d2d9-0f96-5c07-b132-d7311c155778,el_6a3c00960f5eb90001a19b42
SAISALANG,store,Health & Beauty,,7fd6a77f-0c46-54be-a53c-a8594f204013,el_6a3c00960f5eb90001a19b44
WAGASHI ขนมญี่ปุ่น,store,Food & Beverage,,3220f27d-5c0c-5778-9e6a-827aa2441793,el_6a3c00960f5eb90001a19b46
BABY MAI AR,store,Fashion & Accessories,,929ffec8-a557-5e47-8231-13a73768cbaa,el_6a3c00960f5eb90001a19b47
SKECHERS,store,Fashion & Accessories,,71690c0f-8c6d-5cb8-af66-477ddf153281,el_6a3c00960f5eb90001a19b48
Horoscarf,store,Fashion & Accessories,,e3eaa545-14a4-5fdd-872c-d89a72b6542e,el_6a3c00960f5eb90001a19b49
House of 15th.day,store,Fashion & Accessories,,767adf62-a000-5c78-81b0-49f9b1984092,el_6a3c00960f5eb90001a19b4a
NALANNS CRAFTS,store,Others,,aa4352d1-6bf6-5aff-a62f-e2d3becad2ca,el_6a3c00960f5eb90001a19b4b
VPADA SANDALS,store,Fashion & Accessories,,22f6bf23-eee4-5700-a374-f99128f98c37,el_6a3c00960f5eb90001a19b4c
CONVERSE,store,Fashion & Accessories,,60c134c8-bb12-5cde-8a32-3451532dd122,el_6a3c00960f5eb90001a19b4d
LOHM,store,Health & Beauty,,61291ffc-da8f-57b9-9e6a-5627e7350da2,el_6a3c00960f5eb90001a19b4f
NTM BRAND,store,Others,,8f6af019-6848-50c2-a901-acaab49ba603,el_6a3c00960f5eb90001a19b50
KRABI EXPRESS CENTER,store,General Service,,fd1d3fbe-5e1f-50d1-9a67-14780da31ae8,el_6a3c00960f5eb90001a19b51
Postcardcube,store,Home & Décor,,c2df1f41-123f-52ba-8954-e2ae70fcdfb0,el_6a3c00960f5eb90001a19b52
Feelfin Thailand,store,Health & Beauty,,ab291d04-a5bc-5a3c-bc1a-2f917ae678f1,el_6a3c00960f5eb90001a19b53
MILK KIDS' SALON&NAILS,store,Fashion & Accessories,,015e2d38-4d1e-5fee-8d1e-fdc8006aa2ac,el_6a3c00960f5eb90001a19b54
NAILLEZA,store,Health & Beauty,,8348556f-282d-5976-a640-acf2804d50f4,el_6a3c00960f5eb90001a19b55
ปิงมือถือ,store,Technology,,62edc382-b7ac-5af4-9208-667ffebbbff1,el_6a3c00960f5eb90001a19b56
WITH IT,store,Fashion & Accessories,,3cfbd9f2-d9c7-5d71-b3c3-d510dbcdc6b0,el_6a3c00960f5eb90001a19b57
KANDA SERVICE SHOP,store,Technology,,f7d8cac5-90f3-53e2-ab05-c51f16bfc862,el_6a3c00960f5eb90001a19b58
PINNARA,store,Health & Beauty,,440ed5ea-f5f6-50c7-b7eb-b9277b4ba779,el_6a3c00960f5eb90001a19b59
Zodia,store,Others,,229263b2-fc32-5a31-9160-220b8f00fe9d,el_6a3c00960f5eb90001a19b5a
BEACHE ATS,store,Food & Beverage,,83a15d98-887b-5d19-91a7-ea26c5f07f98,el_6a3c00960f5eb90001a19b5c
MARINA & MOM DESIGN,store,Fashion & Accessories,,a8ef2427-a415-54a0-a18f-a4635821c624,el_6a3c00960f5eb90001a19b5d
PAHKAHMAH THAILAND,store,Home & Décor,,11ba0f75-fd45-5faa-a1d5-c834f83dd4f4,el_6a3c00960f5eb90001a19b5e
PACHARA,store,Others,,293537d6-b06b-5a72-a747-0786c132514f,el_6a3c00960f5eb90001a19b5f
AMAXS,store,Home & Décor,,977c5b34-56fe-5575-adef-5f7a0026c845,el_6a3c00960f5eb90001a19b60
HUGELY,store,Fashion & Accessories,,24324f29-2561-5264-9b04-8ea4a44db5b2,el_6a3c00960f5eb90001a19b61
SRIWANNA,store,Food & Beverage,,e087ce25-9834-534d-b220-1a0ba0659ff8,el_6a3c00960f5eb90001a19b62
WATAPO,store,Health & Beauty,,edee6020-e450-5d19-8742-44598bc696ad,el_6a3c00960f5eb90001a19b63
A&YSHOP,store,Technology,,8bc8461d-c80e-5b2b-bdac-d2afdc335f21,el_6a3c00960f5eb90001a19b64
KFC,store,Food & Beverage,,e0dccc4e-77f8-554a-a478-c7523945e37e,el_6a3c00960f5eb90001a19b65
Troops,store,Fashion & Accessories,,a743a2b3-b70f-55ba-9be2-a80882da67a6,el_6a3c00960f5eb90001a19b66
SALAD FACTORY,store,Food & Beverage,,9b2e5e4f-4953-5745-a3e4-e5ff21a885a2,el_6a3c00960f5eb90001a19b67
Superb brandname,store,Fashion & Accessories,,d04421f6-8e8c-5598-ac85-3712162bb06c,el_6a3c00960f5eb90001a19b68
