name,type,categories,floors,external_id,location_id
ROBINSON DEPARTMENT STORE,store,Central Department Store,,21d40e4d-fc25-518a-80d0-0318a8bdc942,el_67efe912adece28afcbfd4a1
D'ARTE,store,Fashion & Accessories,,c2db82c7-7503-540a-a861-f68f104242b4,el_67efe912adece28afcbfd4ad
MK RESTAURANTS,store,Food & Beverage,,91577afa-eb0c-5f59-a4b7-c7877cb1f588,el_67efe912adece28afcbfd4ae
JOOM ZAP HUT/BAR B Q,store,Food & Beverage,,6c149ba4-a868-58c8-b3f4-878e30ca28fd,el_67efe912adece28afcbfd4b4
YAYOI,store,Food & Beverage,,389ef96d-34f9-519b-bc51-3a86da57cf4a,el_67efe913adece28afcbfd4c7
OPPO,store,Technology,,37e1debb-65c3-542e-aca3-c05cb19da681,el_67efe913adece28afcbfd4cd
G-SHOCK CASIO,store,Fashion & Accessories,,8feb279b-963f-52bf-a6a6-4aa475b10e81,el_67efe913adece28afcbfd4ce
STARBUCKS COFFEE,store,Food & Beverage,,2b3097b7-567d-524f-9c2c-d9a579764b54,el_67efe913adece28afcbfd4d1
ROBINSON DEPARTMENT STORE,store,Central Department Store,,527aa963-d1ba-55a6-8ee1-ff04082b065b,el_67efe913adece28afcbfd4d3
TELEWIZ PLUS+,store,Technology,,011a4c68-4e22-5ff3-9e5e-29c18ff19182,el_67efe913adece28afcbfd4d4
TOPS SUPERMARKET,store,Super Market,,49c5ae67-d834-514a-ac46-556007d95cbb,el_67efe913adece28afcbfd4d5
CUTE PRESS,store,Health & Beauty,,e688c069-9be3-5924-a25d-02859d51515e,el_67efe913adece28afcbfd4da
แหลมเจริญูซีฟู้ด,store,Food & Beverage,,48632fee-1964-5fc5-9ee3-341ce6139c53,el_67efe913adece28afcbfd4db
YAMAHA MUSIC SCHOOL,store,Edutainment,,8f3f3c7e-0532-5129-87d2-6f6bbf199ba8,el_67efe913adece28afcbfd4eb
LYN AROUND,store,Fashion & Accessories,,ac1ace72-f62f-5d9f-af3e-981d196024fd,el_67efe913adece28afcbfd4ec
S&P BAKERY,store,Food & Beverage,,c0e2535c-5f20-5516-a4bc-4c886b2b5228,el_67efe913adece28afcbfd4f2
SKECHERS,store,Fashion & Accessories,,9497693a-5a88-5495-b39c-83fe8ba0e9a6,el_67efe913adece28afcbfd4f5
AEON,store,Bank & ATM,,27e1d3f2-66b0-59a4-bed8-be2ede67192b,el_67efe913adece28afcbfd4f8
OPTICAL 88,store,General Service,,1f904cbd-c7db-525c-a6ce-d00188c83495,el_67efe913adece28afcbfd4fc
BONCHON,store,Food & Beverage,,234297bf-802a-5a61-9c2d-78e95a5f515c,el_67efe913adece28afcbfd4ff
WONDER PHOTO SHOP,store,General Service,,d3501519-088f-5d32-aefd-a58ce8674b63,el_67efe913adece28afcbfd50a
THE NORTH FACE,store,Fashion & Accessories,,a08f4f9c-a37f-5ab0-ad02-073116e22487,el_67efe913adece28afcbfd50c
ROBINSON DEPARTMENT STORE,store,Central Department Store,,d57ac125-3f1f-54ea-be16-623921cef8c1,el_67efe913adece28afcbfd50d
ฮะจิบัง ราเมน,store,Food & Beverage,,64ec5b27-126e-540a-a919-7af687cc98dc,el_67efe913adece28afcbfd50e
OPTIC SQUARE,store,General Service,,25e493e4-fa2c-535c-a4fd-f48a8ac9dd8f,el_67efe913adece28afcbfd52b
OOTOYA,store,Food & Beverage,,f85df9ca-d37a-573d-9090-2af2b5e90e9f,el_67efe913adece28afcbfd53d
THE PIZZA COMPANY,store,Food & Beverage,,979f9f3a-69b7-5c41-b96d-1a7194cdd3fa,el_67efe913adece28afcbfd53f
CHARLES & KEITH,store,Fashion & Accessories,,bd88fac8-fed7-52f9-ac5d-7a38f209d77d,el_67efe913adece28afcbfd543
ROBINSON DEPARTMENT STORE,store,Central Department Store,,37533204-d294-577f-bf70-a8359d7a9b1f,el_67efe913adece28afcbfd547
IT CITY,store,Technology,,d18fd89b-68c3-5110-97de-88abfd5f0632,el_67efe913adece28afcbfd548
ROBINSON DEPARTMENT STORE,store,Central Department Store,,cafe5385-9340-5c62-88a7-e3ffde255eb9,el_67efe913adece28afcbfd54b
WATSONS,store,Health & Beauty,,f1334ccd-c065-5bd7-b5fe-ce5962ee9054,el_67efe913adece28afcbfd54c
SHABUSHI / ชาบูชิ,store,Food & Beverage,,6795252a-4a79-55b2-8f74-2e5d36147cf6,el_67efe913adece28afcbfd555
FITNESS FIRST,store,Entertainment,,2d24d26b-bb75-52d3-9fe6-055203b17a02,el_67efe913adece28afcbfd55c
BEAUTRIUM,store,Health & Beauty,,a4df55bb-3f15-52c8-b36a-226a836b616a,el_67efe913adece28afcbfd55d
SF CINEMA,store,Entertainment,,d0d92a2d-485c-5f53-8050-a1e281aa6a5d,el_67efe913adece28afcbfd55f
OWNDAYS,store,General Service,,ed051250-0fda-5200-b60b-47f7af95b037,el_67efe913adece28afcbfd562
GANGNAM CLINIC,store,Health & Beauty,,5e49eb50-a1b9-5c0e-a1b6-c45ab9799d09,el_67efe913adece28afcbfd56c
LH BANK,store,Bank & ATM,,ffe278b7-2b9f-50a7-b8ed-f8a9e52d6577,el_67efe913adece28afcbfd56d
