name,type,categories,floors,external_id,location_id
IT CITY,store,Technology,,a8c0f2fe-514e-576e-92fa-344544bfb75b,el_699e152c98a97f00016c3e56
YOGURUTO,store,Food & Beverage,,ec5de909-f1c5-52b1-b9dc-484af6248429,el_699e152c98a97f00016c3e57
ธนาคารไทยพาณิชย์,store,Bank & ATM,,935a9c56-fcfd-58ac-a41f-22f38f7556ac,el_699e152c98a97f00016c3e58
Human Charger,store,Others,,9015f696-e59d-55f5-ac4f-916ec0824d2e,el_699e152c98a97f00016c3e59
KANE,store,Fashion & Accessories,,485574e9-faad-5c07-9097-0ef85abbca1a,el_699e152c98a97f00016c3e5a
DAIRY QUEEN,store,Food & Beverage,,5fb8c77a-e7b0-55ab-8ccf-a67b5e3c699c,el_699e152c98a97f00016c3e5b
ยำคลุก,store,Food & Beverage,,d06ab02b-465e-543a-8c3f-26229e73d0dc,el_699e152c98a97f00016c3e5c
SWENSEN'S,store,Food & Beverage,,63d37f2d-a3d5-5f88-8df7-7013c37887ed,el_699e152c98a97f00016c3e5d
ซ๊ะป๊ะขนส่ง,store,General Service,,07446c33-aa78-5cc1-ada3-0a260500aec5,el_699e152c98a97f00016c3e5e
ONE WATCH SERVICE,store,General Service,,76085c52-8adb-52ec-892a-fccfbfd58523,el_699e152c98a97f00016c3e5f
PRO CLEAN,store,General Service,,0ac08566-d9c1-580a-af49-2b1642940194,el_699e152c98a97f00016c3e60
HOMHUG,store,Home & Décor,,f3784373-c624-58ee-9a34-41a819f6b43b,el_699e152c98a97f00016c3e61
SE-ED BOOK CENTER,store,Book & Stationeries,,5bfc41e2-fb05-5abb-a5db-24a138a30b50,el_699e152c98a97f00016c3e62
FOCUS SHOP,store,Technology,,efdfe663-66cc-5b09-8413-22a7c22c8f35,el_699e152c98a97f00016c3e63
MOTTA SHOP,store,Fashion & Accessories,,75a38609-f3ad-54d1-9ef4-adb82d04fedc,el_699e152c98a97f00016c3e64
URANUS CLINIC,store,Health & Beauty,,a19cbaa4-a79d-5a52-9b75-bd8b44263eb3,el_699e152c98a97f00016c3e65
