name,type,categories,floors,external_id,location_id
YSL | Central Department Store,store,Central Department Store,,5228e877-9c13-5fe3-8297-500e87b10a9b,el_68767c49ddb71f0001a26785
JO MALONE | Central Department Store,store,Central Department Store,,ab74c358-6241-53ad-b791-d534b9372fa8,el_68767c49ddb71f0001a26786
ISSEY MIYAKE | Central Department Store,store,Central Department Store,,2cb47e6e-03ad-547a-9779-58b7de80c890,el_68767c49ddb71f0001a26787
TRIUMPH | Central Department Store,store,Central Department Store,,f90605eb-9a1d-5aae-a77a-f1a3d1d816e8,el_68767c49ddb71f0001a26788
PENGUIN | Central Department Store,store,Central Department Store,,ad288bda-cdfe-5cc5-9129-28d2c24d8ec4,el_68767c49ddb71f0001a26789
BODY GLOVE | Central Department Store,store,Central Department Store,,4feed9eb-94d9-55db-ac02-f1d84071f7bb,el_68767c49ddb71f0001a2678a
BERGHOFF | Central Department Store,store,Central Department Store,,2e4caa54-4fad-5b80-b5ed-a9c4b2b220a3,el_68767c49ddb71f0001a2678b
DIPTYQUE | Central Department Store,store,Central Department Store,,c99abefa-8195-5bb0-a868-67f68c41f656,el_68767c49ddb71f0001a2678c
MILAROSE | Central Department Store,store,Central Department Store,,af2e5aed-8937-514b-868b-bc76761a4ce1,el_68767c49ddb71f0001a2678d
RAINFLOWER | Central Department Store,store,Central Department Store,,40f7c241-b517-5a26-a271-ab434f8d8fa6,el_68767c49ddb71f0001a2678e
GIORDANO | Central Department Store,store,Central Department Store,,fb3c1c10-d999-55fa-a636-efb6f184ca06,el_68767c49ddb71f0001a2678f
TAKE TOYS | Central Department Store,store,Central Department Store,,78b59ed8-3ee6-5ba9-b5a6-f96105f1d3a2,el_68767c49ddb71f0001a26790
MASERATI | Central Department Store,store,Central Department Store,,4d3d30fd-72ce-5ad2-a7c2-ef3196a6e207,el_68767c49ddb71f0001a26791
SPODE | Central Department Store,store,Central Department Store,,5d7f90bf-d3b1-58e6-a59f-8b34e1d7f035,el_68767c49ddb71f0001a26792
POLO WORLD | Central Department Store,store,Central Department Store,,fa72c9bb-89f5-5979-bf9c-f096e95b1137,el_68767c49ddb71f0001a26793
FILA | Central Department Store,store,Central Department Store,,0b16a365-867a-5659-8550-ede728ce4841,el_68767c49ddb71f0001a26794
JACOB | Central Department Store,store,Central Department Store,,5a141f35-c1d0-591d-9ee4-aabe589e579a,el_68767c49ddb71f0001a26795
TORA | Central Department Store,store,Central Department Store,,5cbb6efc-ccc6-54d8-afea-a57ebbc750e1,el_68767c49ddb71f0001a26796
CLE DE PEAU BEAUTE | Central Department Store,store,Central Department Store,,4ea352a4-1830-5e8f-a8e1-7b5236facef3,el_68767c49ddb71f0001a26797
UNDERGEAR | Central Department Store,store,Central Department Store,,8e221f5c-57ec-5fe2-ba33-17436e7ca991,el_68767c49ddb71f0001a26798
GUCCI | Central Department Store,store,Central Department Store,,ec107ec0-faad-5736-bf2d-f3e37d8f9a93,el_68767c49ddb71f0001a26799
PUREEN | Central Department Store,store,Central Department Store,,a3ea0d35-c123-504c-b5e8-c41c86d46ff3,el_68767c49ddb71f0001a2679a
RALLY MOVEMENT | Central Department Store,store,Central Department Store,,5ec6bdad-65e8-5282-9e3b-c17a15502ffe,el_68767c49ddb71f0001a2679b
RALPH LAUREN | Central Department Store,store,Central Department Store,,93dc997e-3329-5a09-a3be-195771c1c905,el_68767c49ddb71f0001a2679c
FULICO | Central Department Store,store,Central Department Store,,7ba5bda8-b30c-54fe-a73e-18508f03afb9,el_68767c49ddb71f0001a2679d
ARCHIVEPKE | Central Department Store,store,Central Department Store,,67d0ed64-a3e0-5d50-b402-22d4b39fcc9a,el_68767c49ddb71f0001a2679e
EMPORIO ARMANI | Central Department Store,store,Central Department Store,,c0b9a08d-45fe-50a3-890e-d367536e4ced,el_68767c49ddb71f0001a2679f
DEFRY 01 | Central Department Store,store,Central Department Store,,51e2eaf8-a939-5cab-9a39-694810c940fb,el_68767c49ddb71f0001a267a0
FROLINA | Central Department Store,store,Central Department Store,,f5cf125b-ad52-50ee-bf2f-bf6dd52373a2,el_68767c49ddb71f0001a267a1
JUNG SEAM MOOL | Central Department Store,store,Central Department Store,,18c5151a-1bc1-588b-a3be-4a8c745abd39,el_68767c49ddb71f0001a267a2
LONGINES | Central Department Store,store,Central Department Store,,c8f1ebd5-b2d9-57cf-9af3-b18e16e27de1,el_68767c49ddb71f0001a267a3
CASIO | Central Department Store,store,Central Department Store,,1048af13-2506-5afe-b06e-97098ea98182,el_68767c49ddb71f0001a267a4
PUMA | Central Department Store,store,Central Department Store,,f92f4efb-b428-590f-8781-85dfab5564a6,el_68767c49ddb71f0001a267a5
CENTRAL LOVE THE EARTH | Central Department Store,store,Central Department Store,,aae87059-4c1a-5717-9593-cf65d13d0ea2,el_68767c49ddb71f0001a267a6
SCOOT AND RIDE | Central Department Store,store,Central Department Store,,445db850-318c-56ed-b1aa-dbf62b80e9cb,el_68767c49ddb71f0001a267a7
MARDI MERCREDI | Central Department Store,store,Central Department Store,,8307043d-6220-54b6-bc27-1ef387bfa9cd,el_68767c49ddb71f0001a267a8
MIMOSA | Central Department Store,store,Central Department Store,,289fdddc-4972-5eba-98bf-fa2d0a13b769,el_68767c49ddb71f0001a267a9
CHATUPORN | Central Department Store,store,Central Department Store,,65182661-ba71-5693-a26a-36d0e1cbff18,el_68767c49ddb71f0001a267aa
POLO WORLD | Central Department Store,store,Central Department Store,,5178bb25-629c-5038-bbc6-44e19397bb4c,el_68767c49ddb71f0001a267ab
B&O | Central Department Store,store,Central Department Store,,d0b767f1-b0ee-59b1-a874-94c01d00ea6e,el_68767c49ddb71f0001a267ac
BELLE & SOFA | Central Department Store,store,Central Department Store,,f83c4420-f85d-5902-afbe-79d6da0393a7,el_68767c49ddb71f0001a267ad
HELLO WD | Central Department Store,store,Central Department Store,,41afe9d7-9090-5a44-8e21-f7e9276719d0,el_68767c49ddb71f0001a267ae
