name,type,categories,floors,external_id,location_id
CASIO | Central Department Store,store,Central Department Store,,0f4e04b5-7b79-5769-bdbc-0738a161b1f2,el_688ce5cf5db3b1000156b039
HEGEN | Central Department Store,store,Central Department Store,,bf6013a8-4671-5642-9ce3-4c38973c341f,el_688ce5cf5db3b1000156b03a
LUIGINA | Central Department Store,store,Central Department Store,,6403fad8-dd42-54e0-b0b0-c1ca33284860,el_688ce5cf5db3b1000156b03c
PHILIPS | Central Department Store,store,Central Department Store,,c5e21988-ecdf-58d2-b64b-385888ab64dc,el_688ce5cf5db3b1000156b03d
HARA | Central Department Store,store,Central Department Store,,1ce299ce-09fc-57bc-bc4d-a1041b1b4dd4,el_688ce5cf5db3b1000156b03e
LAMER | Central Department Store,store,Central Department Store,,02c8fbdd-ade2-5a67-a4b5-f596bcb0357e,el_688ce5cf5db3b1000156b040
GUY LAROCHE | Central Department Store,store,Central Department Store,,7ab6c6de-7c15-596a-b17b-09a106231d31,el_688ce5cf5db3b1000156b041
DEFRY 01 | Central Department Store,store,Central Department Store,,4f2dcb91-55bd-589d-872f-2b296fd449ef,el_688ce5cf5db3b1000156b042
NIKE | Central Department Store,store,Central Department Store,,9dab4bdc-db76-584d-a557-5f7178a38a37,el_688ce5cf5db3b1000156b045
CENTRAL HOME | Central Department Store,store,Central Department Store,,352ca04f-16d1-5c63-b249-b2c6fa5a1d85,el_688ce5cf5db3b1000156b046
PASAYA | Central Department Store,store,Central Department Store,,0c60ae86-e2d2-5f26-b3f7-ff89fe5b16bb,el_688ce5cf5db3b1000156b047
RALPH LAUREN | Central Department Store,store,Central Department Store,,255dee54-4351-5d71-86fd-ad6a920d01ab,el_688ce5cf5db3b1000156b048
LEVIS | Central Department Store,store,Central Department Store,,e6160dfd-b952-51d9-9974-443fd096b654,el_688ce5cf5db3b1000156b04a
ARROW | Central Department Store,store,Central Department Store,,13106924-5834-599b-8e09-154df1e4ca5c,el_688ce5cf5db3b1000156b04b
MUUNIQUE | Central Department Store,store,Central Department Store,,ae3d5dec-ffb2-57bc-8cf9-fe73dad1a910,el_688ce5cf5db3b1000156b04e
CROCS | Central Department Store,store,Central Department Store,,52c26d55-bff5-54bf-81f8-ae78ca8ccea0,el_688ce5cf5db3b1000156b050
MAC | Central Department Store,store,Central Department Store,,e32bfd6a-ef0c-5b77-8793-1b5f18dd6c6c,el_688ce5cf5db3b1000156b051
JACOB | Central Department Store,store,Central Department Store,,3f008025-3909-56a8-9387-18c24b847503,el_688ce5cf5db3b1000156b052
TIME SERVICE | Central Department Store,store,Central Department Store,,b7263af2-2294-5bb5-a2b8-c351c6d2123c,el_688ce5cf5db3b1000156b055
PLAYBOY | Central Department Store,store,Central Department Store,,4599fad9-0c23-57d8-beaf-cccfe8f56ab5,el_688ce5cf5db3b1000156b056
TREND | Central Department Store,store,Central Department Store,,40cc9c9a-b124-55c4-be26-dd196d08223b,el_688ce5cf5db3b1000156b058
JINTANA | Central Department Store,store,Central Department Store,,c86e5b49-3f37-535a-84d1-0a5ca5cad578,el_688ce5cf5db3b1000156b05a
ANELLO | Central Department Store,store,Central Department Store,,174fc987-2ab9-596e-a961-2e23c3985df1,el_688ce5cf5db3b1000156b05e
NERF HASBRO KIDDO | Central Department Store,store,Central Department Store,,19ad29ac-8ef3-5084-97e6-b9ab07c49ddf,el_688ce5cf5db3b1000156b060
BODY GLOVE | Central Department Store,store,Central Department Store,,6c9f1149-3d61-58be-93ca-095aaaedf590,el_688ce5cf5db3b1000156b061
PIGEON | Central Department Store,store,Central Department Store,,9c5afd07-e208-5713-b1f2-52716da0dbc8,el_688ce5cf5db3b1000156b062
HELLO WD | Central Department Store,store,Central Department Store,,01dbf25b-294a-5a49-a36c-873b2c3d5183,el_688ce5cf5db3b1000156b065
BABY MOBY | Central Department Store,store,Central Department Store,,226e06a1-b8e6-5d13-a269-76a20df0a512,el_688ce5cf5db3b1000156b066
POLO WORLD | Central Department Store,store,Central Department Store,,cddbbe02-c725-5693-ab26-2fb739d616eb,el_688ce5cf5db3b1000156b067
PAW PATROL | Central Department Store,store,Central Department Store,,0a943544-5800-56fe-8263-2e42a0db705b,el_688ce5cf5db3b1000156b068
JESSICA | Central Department Store,store,Central Department Store,,9e49e18b-29a0-5f0d-b5e5-383495ed1083,el_688ce5cf5db3b1000156b06a
HATARI | Central Department Store,store,Central Department Store,,39e5cbfb-a5c4-591d-8591-7815b3f49319,el_688ce5cf5db3b1000156b06c
SCHOLL | Central Department Store,store,Central Department Store,,2b836012-cf61-535a-b020-eddf38f82b45,el_688ce5cf5db3b1000156b06d
