name,type,categories,floors,external_id,location_id
ธนาคารกรุงศรีอยุธยา,store,Bank & ATM,,6cddcaa0-8da2-5667-8388-e410289497ca,el_69727bb32536810001823d93
THE ESQUIRE BARBER CLUB,store,Health & Beauty,,5634287e-8baa-57fb-8155-5a6ef97569b6,el_69727bb32536810001823d94
BETTER VISION,store,General Service,,2752d38c-33eb-5093-bcf3-3bfc400ba4cd,el_69727bb32536810001823d97
CASE DUCK,store,Technology,,cecbe976-7933-5fc3-ac4f-4d3b149a453b,el_69727bb32536810001823d9a
888 SERVICE,store,Technology,,a378cde2-ff65-5d06-88cb-92cbc9f6eadb,el_69727bb32536810001823d9b
I-BRANDNAME,store,Fashion & Accessories,,547597fc-5fc0-5de0-85bb-422dac5d7e17,el_69727bb32536810001823d9c
JD SPORTS,store,Fashion & Accessories,,ff09f8ca-8085-5d6c-9c32-b5f5cfd5f6a5,el_69727bb32536810001823d9d
THE NEXT,store,General Service,,a2a79de1-2213-5ebe-a83e-347e391db2a1,el_69727bb32536810001823d9e
BIG CAMERA,store,Technology,,bcc610aa-a7dd-50a5-8180-5fa36aafea4d,el_69727bb32536810001823da2
UIH,store,Technology,,aa6026b1-5cbb-5e0c-b3c2-f9221f3d25b9,el_69727bb32536810001823da3
เคไท-ย่าโฟน,store,Technology,,39131c8e-16a7-5dd8-b481-6e99f1f14636,el_69727bb32536810001823da8
UNIQLO,store,Fashion & Accessories,,06111dbc-1175-5b66-8ad8-060e16a9b106,el_69727bb32536810001823dad
ธนาคารกรุงเทพ,store,Bank & ATM,,1cbc6040-0367-5083-a2f5-eccdd12e5c0f,el_69727bb32536810001823db0
PORNKASEM CLINIC,store,Health & Beauty,,ce3ce16b-2412-5138-b549-4fa52448e438,el_69727bb32536810001823db4
JONES' SALAD,store,Food & Beverage,,79d06ea6-2835-5b49-bb11-073a34f4af00,el_69727bb32536810001823db8
SIZZLER,store,Food & Beverage,,7ca90815-604a-543d-a8cc-cff1fe162cc0,el_69727bb32536810001823dbb
KRUNGSRI FIRST CHOICE,store,Bank & ATM,,b6f018b0-3c30-5f76-a2ff-6612cb04d523,el_69727bb32536810001823dbc
OWNDAYS,store,General Service,,2faa7003-a611-58d6-9347-4e2419d431b5,el_69727bb32536810001823dc0
GAGA,store,Food & Beverage,,ee44b6d2-9732-5ce6-84c6-91427a96a4fe,el_69727bb32536810001823dc2
K.ACCESSORIES,store,Technology,,15a621ab-da73-59c4-a11d-b90e3c1f7c34,el_69727bb32536810001823dc3
CPS COFFEE,store,Food & Beverage,,414682c0-4e99-54d7-bac4-89682a852bfd,el_69727bb32536810001823dc4
THE HAIR CARE'S,store,Health & Beauty,,f26118cc-3ebd-5729-b342-e360b602f618,el_69727bb32536810001823dc5
CROCS,store,Fashion & Accessories,,bab9c5e9-02fe-5b6e-ac03-f424ac27708a,el_69727bb32536810001823dc6
SUPERSPORTS,store,Fashion & Accessories,,b25d82b1-48f1-5e69-b56f-3e7649317868,el_69727bb32536810001823dc7
SWENSEN'S,store,Food & Beverage,,aad8567b-000f-5f11-9ac5-68a7bfbeedcf,el_69727bb32536810001823dc8
BAAN PASA,store,Edutainment,,b0fc96ff-b324-5fcb-a936-17af8dabd2ac,el_69727bb32536810001823dca
OPTIC SQUARE,store,General Service,,981fb213-9959-5a4d-8252-d238707fcb9a,el_69727bb32536810001823dcd
MAC,store,Health & Beauty,,c49fa741-845d-5c46-9e42-446a46c929a0,el_69727bb32536810001823dd1
WATAPO MASSAGE,store,Health & Beauty,,33fd66a2-5d6d-5db5-a362-c535b81d6ea1,el_69727bb32536810001823dd2
HATO PET WELLNESS CENTER,store,Pet Service,,c5b8c93f-5e7c-5a17-8975-81fb185b6f5d,el_69727bb32536810001823dd4
CUT & CURL,store,Health & Beauty,,1c2e9974-3294-5091-a127-dca0376e26bd,el_69727bb32536810001823dd7
NESPRESSO,store,Food & Beverage,,3af61bb0-61e3-58ab-b8d0-26c34e6aec08,el_69727bb32536810001823dda
BATH&BODY WORKS,store,Health & Beauty,,c6d642db-492b-5505-be5d-ac2bf5ac67ab,el_69727bb32536810001823ddb
SIAM LASER CLINIC,store,Health & Beauty,,f175be8c-ef62-54a7-af62-162944160338,el_69727bb32536810001823ddc
INTERLINK,store,Technology,,8598fba2-b240-5104-93bc-bd904af0f18e,el_69727bb32536810001823dde
เบิร์นบุษบา,store,Food & Beverage,,e4dcf58e-6ad6-5b17-96f4-ec31d96cce64,el_69727bb32536810001823de0
HASUL,store,Food & Beverage,,552a71c3-dd3d-5c7a-a538-28ffdb1e85ed,el_69727bb32536810001823de3
MORE PHONE,store,Technology,,5c443abf-309b-522d-8fcc-2af0da500621,el_69727bb32536810001823de4
CIMB THAI BANK,store,Bank & ATM,,7c5e47c8-8eba-5a41-9773-61a9af6eb7a3,el_69727bb32536810001823de6
DTAC HALL,store,Technology,,ed484b88-05c7-553b-a01d-c7cb4335bcf4,el_69727bb32536810001823de7
P&F PHARMACY,store,Health & Beauty,,4c340553-f0f2-5c99-b6dc-8d4919048257,el_69727bb32536810001823de8
GREYHOUND CAFE,store,Food & Beverage,,cc34ef1b-8c47-5089-8560-c2425a6c5d2c,el_69727bb32536810001823dec
KRUNG THAI BANK,store,Bank & ATM,,f9fe6271-69c5-56bc-a8ab-e6c4427bdaf6,el_69727bb32536810001823def
FIFTY NINE,store,Fashion & Accessories,,b06a39fe-9494-567b-98e6-d4dd403eb825,el_69727bb32536810001823df4
ธนาคารทหารไทยธนชาต,store,Bank & ATM,,7c0b2d82-9501-5cd4-92c2-e1f38fde67db,el_69727bb32536810001823dfa
