name,type,categories,floors,external_id,location_id
SUPERLINE | Central Department Store,store,Central Department Store,,1c9b3954-991f-53be-ad14-a1bd8772781c,el_68767c4bec1fc50001eda3ce
AGENT PROVOCATEUR | Central Department Store,store,Central Department Store,,164e6abe-149f-549b-ab20-62adb3e926a2,el_68767c4bec1fc50001eda3d0
SANDOZ | Central Department Store,store,Central Department Store,,c3ed0f52-2d58-5603-b39f-d57114003c6a,el_68767c4bec1fc50001eda3d2
KAWEETARA | Central Department Store,store,Central Department Store,,1705d8f0-c26b-5549-b515-b52987cbba71,el_68767c4bec1fc50001eda3d4
SUQQU | Central Department Store,store,Central Department Store,,65522a7b-b32d-53ee-a60a-e0df0b831e20,el_68767c4bec1fc50001eda3db
THAT | Central Department Store,store,Central Department Store,,48ab52c6-764e-5b5c-929d-8841d27630c7,el_68767c4bec1fc50001eda3df
RALPH LAUREN | Central Department Store,store,Central Department Store,,ce225e20-84f2-5d80-b683-a30be6f1cee5,el_68767c4bec1fc50001eda3e1
BEABA | Central Department Store,store,Central Department Store,,c9487283-f3e4-58bf-bdf4-cff31877463d,el_68767c4bec1fc50001eda3e2
BOUTON | Central Department Store,store,Central Department Store,,931bb209-d1a6-5b84-8bc6-958dfa3e4265,el_68767c4bec1fc50001eda3e4
RCR | Central Department Store,store,Central Department Store,,221efeca-039b-5a03-8c4e-a9af79698102,el_68767c4bec1fc50001eda3e5
GLUCKY MASK | Central Department Store,store,Central Department Store,,b71301f2-8079-5b5a-baea-a00371327883,el_68767c4bec1fc50001eda3e6
MAMAD | Central Department Store,store,Central Department Store,,6f421074-45fc-5d5a-a63e-1cdd4f0d9680,el_68767c4bec1fc50001eda3e8
CIRCULON | Central Department Store,store,Central Department Store,,dac07b83-f12f-5596-b6e7-32704a55e3a7,el_68767c4bec1fc50001eda3ec
RAFFAEL | Central Department Store,store,Central Department Store,,35e5883e-fa26-5208-a713-ea789718e846,el_68767c4bec1fc50001eda3ed
SUKONTA | Central Department Store,store,Central Department Store,,e9384be2-f7e6-5769-9a40-5104fa3f5bd4,el_68767c4bec1fc50001eda3ee
KANGKA BAM | Central Department Store,store,Central Department Store,,d4cadcb4-7b55-5e08-b169-3e9ed297a3ec,el_68767c4bec1fc50001eda3f0
BWELL | Central Department Store,store,Central Department Store,,7df14d9b-05f1-539b-a4a0-c1dfe64b9a95,el_68767c4bec1fc50001eda3f4
RICHARDSON SHEFFIELD | Central Department Store,store,Central Department Store,,395db1c3-85a0-591c-b655-acb0742449c4,el_68767c4bec1fc50001eda3f6
SKECHERS | Central Department Store,store,Central Department Store,,7647d17b-4f52-5e20-a102-7b64f03207e2,el_68767c4bec1fc50001eda3f7
MEGA BLOCKS WD | Central Department Store,store,Central Department Store,,cca639ce-1ab0-5a79-83a9-f65cec47ccfc,el_68767c4bec1fc50001eda3f8
SD TOY | Central Department Store,store,Central Department Store,,b896fc7a-c216-5161-b6a6-043f8e82450f,el_68767c4bec1fc50001eda3fc
MIDO | Central Department Store,store,Central Department Store,,8e5a99b9-479f-5402-b896-90693173002e,el_68767c4bec1fc50001eda3ff
ROOKIE | Central Department Store,store,Central Department Store,,57ccd6f3-536e-551b-bcfb-17b812786453,el_68767c4bec1fc50001eda400
PLAYDOH | Central Department Store,store,Central Department Store,,30e0f62b-c0b5-56f8-8068-2e0d78d9d250,el_68767c4bec1fc50001eda401
ENERGIZER | Central Department Store,store,Central Department Store,,2f05c01e-c0d4-57c8-bf97-8a0ffeec3247,el_68767c4bec1fc50001eda403
LONGINES | Central Department Store,store,Central Department Store,,5124c32c-0b29-5386-9b22-c8f65fed33f4,el_68767c4bec1fc50001eda404
BOSCH SM | Central Department Store,store,Central Department Store,,e33e02a6-5fc4-5c0d-9da7-8348211aa640,el_68767c4bec1fc50001eda405
CENTRAL DEPARTMENT STORE,store,Central Department Store,,bd211c49-17cf-5d07-8a1a-c3df5b7b63e0,el_68767c4bec1fc50001eda406
NT | Central Department Store,store,Central Department Store,,a9069a48-85a9-50eb-8c5a-5e978ede3f0e,el_68767c4bec1fc50001eda407
MATTEL | Central Department Store,store,Central Department Store,,9ac3008a-775c-5d7e-9439-921df622102b,el_68767c4bec1fc50001eda40a
TOSHIBA | Central Department Store,store,Central Department Store,,302a197b-9961-50e7-875b-00357e9c12c1,el_68767c4bec1fc50001eda40b
MELISSA & DOUG | Central Department Store,store,Central Department Store,,8eb9271f-04de-5b3e-bd82-f7f76b6c746d,el_68767c4bec1fc50001eda40d
PERMA FLORA | Central Department Store,store,Central Department Store,,2ae2f246-dc4e-5a44-b363-2b4944a2ee58,el_68767c4bec1fc50001eda410
HASBRO | Central Department Store,store,Central Department Store,,3cb1623f-d534-5aee-8b64-269a87209254,el_68767c4bec1fc50001eda412
OCEANA | Central Department Store,store,Central Department Store,,3052116a-849f-5159-a4fa-865f2a5d79fa,el_68767c4bec1fc50001eda415
DISNEY KIDDO | Central Department Store,store,Central Department Store,,78e3905c-188d-59da-8bc9-558a9f667341,el_68767c4bec1fc50001eda418
PEPPA PIG HASBRO | Central Department Store,store,Central Department Store,,aa70d2b2-d640-5e16-bd42-b9a373fa2a8a,el_68767c4bec1fc50001eda419
AKITO | Central Department Store,store,Central Department Store,,5c1f3e82-ddc1-595a-b493-b01ba4fceb52,el_68767c4bec1fc50001eda41a
INFANTINO | Central Department Store,store,Central Department Store,,056c3fb5-9902-52d5-bded-e7a7c9003207,el_68767c4bec1fc50001eda41c
NERF | Central Department Store,store,Central Department Store,,8f435ced-99d9-53a7-900a-7bf1e0c0054c,el_68767c4bec1fc50001eda41d
ADIDAS | Central Department Store,store,Central Department Store,,964a4f43-b0d0-5b52-81da-f73fadc708aa,el_68767c4bec1fc50001eda420
SARNFUN | Central Department Store,store,Central Department Store,,8f8b8172-b5d0-503e-850b-0c4e8b71c10b,el_68767c4bec1fc50001eda421
UMBRA | Central Department Store,store,Central Department Store,,afaab96b-2f16-5418-9e1a-69bd51dfdfa4,el_68767c4bec1fc50001eda423
BDUCK & FRIENDS | Central Department Store,store,Central Department Store,,3001ba4b-3e0f-545e-add4-7ac97a48d069,el_68767c4bec1fc50001eda424
IBILI | Central Department Store,store,Central Department Store,,45908cd3-e239-5204-b964-9bbff6d8ea19,el_68767c4bec1fc50001eda425
LITTLE ETOILE ORGANIC | Central Department Store,store,Central Department Store,,46380b95-530b-56d1-8523-eb31532ff1f5,el_68767c4bec1fc50001eda426
ANN&BRA | Central Department Store,store,Central Department Store,,48ca002a-d1a2-50e3-a731-a6847c20a494,el_68767c4bec1fc50001eda428
MRMEN LITTLE MISS | Central Department Store,store,Central Department Store,,b4b9ae12-332a-5dd8-a27f-801c43118916,el_68767c4bec1fc50001eda42a
TINY TIBO | Central Department Store,store,Central Department Store,,8b9144b9-d597-549f-ae6d-87d6dd974d67,el_68767c4bec1fc50001eda42b
ECCO | Central Department Store,store,Central Department Store,,a9ba18c1-ca3e-58d2-a6e2-584734e750d3,el_68767c4bec1fc50001eda42c
DRINK IN THE BOX | Central Department Store,store,Central Department Store,,8e84b86d-f634-539e-8049-7693af7bc34f,el_68767c4bec1fc50001eda42e
EXPRESSIONS | Central Department Store,store,Central Department Store,,b8472c85-e88e-56ee-96b4-e571d919bcde,el_68767c4bec1fc50001eda42f
AROMATE | Central Department Store,store,Central Department Store,,46b85d50-473b-5c0f-8a8b-c9ed115367ad,el_68767c4bec1fc50001eda430
COCORO HANAKO | Central Department Store,store,Central Department Store,,df5b3f50-9d8d-5708-b4a0-469fdf6daa60,el_68767c4bec1fc50001eda437
SO SMOOCHIE | Central Department Store,store,Central Department Store,,0b0c40c2-1731-5d90-825b-355ffc468e5a,el_68767c4bec1fc50001eda438
IWAKI | Central Department Store,store,Central Department Store,,31fe9d40-a1d3-5abc-9d11-08f3cd84aad1,el_68767c4bec1fc50001eda439
THE POWERPUFF GIRLS | Central Department Store,store,Central Department Store,,0e067d47-8c94-50ed-979f-21a65ac96d0f,el_68767c4bec1fc50001eda43a
GIAN FERRENTE | Central Department Store,store,Central Department Store,,64212d15-2ed9-56d4-85e9-59bf0e360c0d,el_68767c4bec1fc50001eda43b
NINTENDO | Central Department Store,store,Central Department Store,,5aee8427-697a-5643-9d8d-7bcd4b5a4122,el_68767c4bec1fc50001eda43c
BP WORLD | Central Department Store,store,Central Department Store,,da15fa6a-b38c-50cc-9307-b985818f3d6e,el_68767c4bec1fc50001eda43d
