name,type,categories,floors,external_id,location_id
BROOKLYN & BRIGHTON | Central Department Store,store,Central Department Store,,050f01ac-8b49-58e1-a1cb-ee40acc61110,el_68767c575c2cef00014dda50
LUXE SWIMSUIT | Central Department Store,store,Central Department Store,,e3033883-7332-505a-933f-b0741e800380,el_68767c575c2cef00014dda51
POLOTRAVEL CLUB | Central Department Store,store,Central Department Store,,2118e13c-ff97-5c57-85cb-2d3d151a7db8,el_68767c575c2cef00014dda52
JOURNAL | Central Department Store,store,Central Department Store,,5c250cf0-1088-54fa-878e-2e71fba30bea,el_68767c575c2cef00014dda53
ALUMNUS | Central Department Store,store,Central Department Store,,3c9d5c74-6cf0-569f-bec9-2286407b5df1,el_68767c575c2cef00014dda54
ORIGINS | Central Department Store,store,Central Department Store,,72642ff5-e0e6-5569-a274-289f831995d4,el_68767c575c2cef00014dda55
MONTBLANC | Central Department Store,store,Central Department Store,,51e1b116-77cb-527e-8c47-a014b9b87b48,el_68767c575c2cef00014dda56
MINT | Central Department Store,store,Central Department Store,,d8baeb7d-0f1b-512f-a7d6-b27d42475c06,el_68767c575c2cef00014dda57
GODMAMI | Central Department Store,store,Central Department Store,,3168bbb5-66b0-5e81-ac49-601913c2a82a,el_68767c575c2cef00014dda58
HAVEN | Central Department Store,store,Central Department Store,,962c366b-e4d4-5b9f-ba2a-4db0287bdb0d,el_68767c575c2cef00014dda59
ARTY | Central Department Store,store,Central Department Store,,58479b13-575c-5eed-896e-435edc021d6c,el_68767c575c2cef00014dda5a
PURLI | Central Department Store,store,Central Department Store,,4fa7dc54-49c3-5296-b1c5-30bfb0bcca8d,el_68767c575c2cef00014dda5b
LOLITA | Central Department Store,store,Central Department Store,,8902381f-05a7-5dad-878f-b5c4954511c4,el_68767c575c2cef00014dda5c
BOBO | Central Department Store,store,Central Department Store,,41157e63-e7bb-52a3-8dab-96fcd947e04d,el_68767c575c2cef00014dda5d
DORTMUEND | Central Department Store,store,Central Department Store,,3418c156-6a56-52fa-8cc4-e5cb09e33f91,el_68767c575c2cef00014dda5e
GEDA BABY | Central Department Store,store,Central Department Store,,2e93ec2d-5a7a-5fce-9fe5-5307bef69d04,el_68767c575c2cef00014dda5f
BSC COSMETOLOGY | Central Department Store,store,Central Department Store,,161a2ffb-c9d2-5a55-9209-c6a137a192be,el_68767c575c2cef00014dda60
VALENTINO RUDY | Central Department Store,store,Central Department Store,,2617232f-a3f6-5e5a-bd70-81b26bcbe596,el_68767c575c2cef00014dda61
PHILIPS LIGHTING | Central Department Store,store,Central Department Store,,21a02978-59b4-5830-b0de-82bef8f2cd47,el_68767c575c2cef00014dda62
NEEDLEWORLD | Central Department Store,store,Central Department Store,,03b93124-f1f7-5b60-ba6a-c59cd05db6ba,el_68767c575c2cef00014dda63
AMERICAN TOURISTER | Central Department Store,store,Central Department Store,,a7fe5513-10e2-5340-93f1-6223c72224b1,el_68767c575c2cef00014dda64
SKECHERS | Central Department Store,store,Central Department Store,,caad9fb6-b9cf-504e-a399-cdc1a02494c8,el_68767c575c2cef00014dda65
JOCKEY | Central Department Store,store,Central Department Store,,77f91994-0d19-59b3-8195-a0091ec15507,el_68767c575c2cef00014dda66
BSC | Central Department Store,store,Central Department Store,,1b9d2d96-f9e0-51f4-a991-a0a8f94764cd,el_68767c575c2cef00014dda67
KOMFY | Central Department Store,store,Central Department Store,,7a1b777d-0d2f-59b7-9f04-25544268364b,el_68767c575c2cef00014dda68
VERONIQA | Central Department Store,store,Central Department Store,,6f675b5a-ca14-5579-9aff-80314f189171,el_68767c575c2cef00014dda69
