name,type,categories,floors,external_id,location_id
VALERA | Central Department Store,store,Central Department Store,,3c348785-f9b8-5ba6-b31b-4726199147a2,el_68767c4836db5f00014f441f
ENFANT | Central Department Store,store,Central Department Store,,eb9b42bd-15ba-5b1d-a6bd-ad220ae7424b,el_68767c4836db5f00014f4420
PHILIPS | Central Department Store,store,Central Department Store,,b405dea0-fa5f-5cc5-9c25-c7f2fbedc486,el_68767c4836db5f00014f4421
SEIKO CLOCK | Central Department Store,store,Central Department Store,,9fd8f317-f489-58ea-8851-fd48b536374b,el_68767c4836db5f00014f4422
SAMSONITE | Central Department Store,store,Central Department Store,,c695c22d-62be-59c5-a750-0f44589db808,el_68767c4836db5f00014f4423
SURREAL OBJECTS | Central Department Store,store,Central Department Store,,65d8a696-db5a-5ac7-ac17-bde4cc75e095,el_68767c4836db5f00014f4424
SANTAS | Central Department Store,store,Central Department Store,,b03e1237-dd21-5f6a-b9fb-16ba2a6b4c10,el_68767c4836db5f00014f4425
HATARI | Central Department Store,store,Central Department Store,,c14163d1-8585-5c6c-9d61-b3c8e2494436,el_68767c4836db5f00014f4426
PROFESSIONAL WATCH SERVICE | Central Department Store,store,Central Department Store,,64c96d32-2d03-53f4-a626-ae9073ba26dd,el_68767c4836db5f00014f4427
GUY LAROCHE | Central Department Store,store,Central Department Store,,214346ab-c36b-5a6e-9d0d-bec3b971ee15,el_68767c4836db5f00014f4428
CHICCO | Central Department Store,store,Central Department Store,,a6b309df-1dde-5031-b48e-546b2fd5fb79,el_68767c4836db5f00014f4429
JOG | Central Department Store,store,Central Department Store,,fd8518cd-4aaa-561a-bb4b-11bb1a62d132,el_68767c4836db5f00014f442a
THAI TIME | Central Department Store,store,Central Department Store,,0e374efa-c836-56d4-991e-fab81c6fe23c,el_68767c4836db5f00014f442b
JELLYCAT | Central Department Store,store,Central Department Store,,67afe589-e909-5a96-b6e2-0df535573874,el_68767c4836db5f00014f442c
FONNEY | Central Department Store,store,Central Department Store,,d9c6ea94-7958-5abd-8239-0d3c002d1134,el_68767c4836db5f00014f442d
MERRIES | Central Department Store,store,Central Department Store,,6b5e2142-bb18-509f-a381-307001aab750,el_68767c4836db5f00014f442e
ISSEY MIYAKE | Central Department Store,store,Central Department Store,,c5671738-3883-54d2-be3e-b7cd06857560,el_68767c4836db5f00014f442f
ANUROJ | Central Department Store,store,Central Department Store,,d2d6a103-8fab-5d0d-82aa-c874d5e07dae,el_68767c4836db5f00014f4430
MINI MONO | Central Department Store,store,Central Department Store,,d233d032-77ce-5d71-9c40-125e45ef75de,el_68767c4836db5f00014f4431
RAINBO | Central Department Store,store,Central Department Store,,33cc714a-545c-5a1c-981e-de4887a1a6e7,el_68767c4836db5f00014f4432
ECCO | Central Department Store,store,Central Department Store,,020b8f3a-2528-5af5-bca4-5641b084bdb1,el_68767c4836db5f00014f4433
BIBS | Central Department Store,store,Central Department Store,,7cbbbae3-86af-57ad-9d27-ef9ec0b3acaf,el_68767c4836db5f00014f4434
PACIFIC UNION | Central Department Store,store,Central Department Store,,3cebc728-bfd5-5097-86ab-4ce6f3be2c70,el_68767c4836db5f00014f4435
VALENTINO | Central Department Store,store,Central Department Store,,adbf0329-7115-50ee-b911-dd16d54c42fd,el_68767c4836db5f00014f4436
LE PETIT PUMM | Central Department Store,store,Central Department Store,,8cf1bce9-2167-5515-9f6d-3a15b962307b,el_68767c4836db5f00014f4437
OLIVE | Central Department Store,store,Central Department Store,,c3627728-020f-513c-9539-e52ae3f36885,el_68767c4836db5f00014f4438
CHANEL | Central Department Store,store,Central Department Store,,18992a85-def7-5ca7-a721-7f3a4c1a4ef8,el_68767c4836db5f00014f4439
ROYAL BONE CHINA | Central Department Store,store,Central Department Store,,c1eecad3-b270-5efb-9caf-7818f4d84ccc,el_68767c4836db5f00014f443a
CROCS | Central Department Store,store,Central Department Store,,b50da89a-054d-58b5-a959-7bb17cfdf818,el_68767c4836db5f00014f443b
MATTEL | Central Department Store,store,Central Department Store,,108fc75d-9634-51ac-8d04-cba1b219499a,el_68767c4836db5f00014f443c
KIDDO | Central Department Store,store,Central Department Store,,37bd5f48-6760-5a0f-9084-c9bb836e9fcc,el_68767c4836db5f00014f443d
MIDO | Central Department Store,store,Central Department Store,,aa4769af-ba5c-53a1-a3f9-1218f24eb054,el_68767c4836db5f00014f443e
BAMBIES | Central Department Store,store,Central Department Store,,1dee7c55-ad5e-5057-b63d-31023f5d256f,el_68767c4836db5f00014f443f
ALBEDO | Central Department Store,store,Central Department Store,,05993fe6-60a2-5b35-84b7-29e205af54a1,el_68767c4836db5f00014f4440
RALPH LAUREN | Central Department Store,store,Central Department Store,,7919f409-d8eb-5350-9a8d-705ebec367cd,el_68767c4836db5f00014f4441
PIERRE CARDIN | Central Department Store,store,Central Department Store,,0372e3ad-8e14-50c1-a0c0-e9e85d5e583c,el_68767c4836db5f00014f4442
LAMER | Central Department Store,store,Central Department Store,,f105af42-8a71-57a5-81a2-ac7cf8720441,el_68767c4836db5f00014f4443
CHELSEE | Central Department Store,store,Central Department Store,,b3fff74b-8bb8-51b9-94b0-e32d0995b53c,el_68767c4836db5f00014f4444
FFASHION | Central Department Store,store,Central Department Store,,129605ff-ea8c-5fc3-8578-1486db0eedd0,el_68767c4836db5f00014f4445
HUGO BOSS | Central Department Store,store,Central Department Store,,f78edf0a-0ab9-58dc-8f8c-0614280c5694,el_68767c4836db5f00014f4446
EA7 | Central Department Store,store,Central Department Store,,d3c33fa4-5cc6-5c85-b8ed-476370d40496,el_68767c4836db5f00014f4447
BEVERLY HILLS POLO CLUB | Central Department Store,store,Central Department Store,,58c9ce56-b9ec-56d1-9300-5f1452b0324e,el_68767c4836db5f00014f4448
VILLAINS SF | Central Department Store,store,Central Department Store,,a7ca1b40-0c50-55c1-af1c-efa19ffdbad3,el_68767c4836db5f00014f4449
DISNEY TAKETOYS | Central Department Store,store,Central Department Store,,c64a9a7f-fb1f-526d-ba55-c6c7c38a1db9,el_68767c4836db5f00014f444a
BARREL | Central Department Store,store,Central Department Store,,7050540f-3085-5c15-bed2-795c7feb17f3,el_68767c4836db5f00014f444b
SULWHASOO | Central Department Store,store,Central Department Store,,8e42119e-94f3-5414-a633-61d682a92ec5,el_68767c4836db5f00014f444c
CBG DEVICES | Central Department Store,store,Central Department Store,,336b140f-38f6-599c-8cb2-fbc99ec2c100,el_68767c4836db5f00014f444d
HUROM | Central Department Store,store,Central Department Store,,db783b5d-26ae-5184-9c1e-deb15f4f0849,el_68767c4836db5f00014f444e
OK APPAREL | Central Department Store,store,Central Department Store,,5c653c27-6728-5e85-a5a7-c24af968aeb6,el_68767c4836db5f00014f444f
JOCKEY | Central Department Store,store,Central Department Store,,6f755e0f-2ade-5aa8-ae45-c641a1bb25a8,el_68767c4836db5f00014f4450
HELLO WD | Central Department Store,store,Central Department Store,,1234132a-4cbb-5d8a-85d5-f4a980c10a42,el_68767c4836db5f00014f4451
AVEDA | Central Department Store,store,Central Department Store,,9e627548-a993-55ee-b034-0836aa28b231,el_68767c4836db5f00014f4452
QUIKSILVER | Central Department Store,store,Central Department Store,,799dd792-3e9c-5fa4-b7bd-11eed49db491,el_68767c4836db5f00014f4453
VIDAL SASSOON | Central Department Store,store,Central Department Store,,2ac33c93-0e00-5669-9b85-b550796900d8,el_68767c4836db5f00014f4454
TORY BURCH | Central Department Store,store,Central Department Store,,1eb46710-a0ab-5d33-9a8c-76bd49ce760f,el_68767c4836db5f00014f4455
EVISU GENES | Central Department Store,store,Central Department Store,,fa40ffb5-c84b-58f3-8dd4-31a6f7dfa3c4,el_68767c4836db5f00014f4456
CAROLINA HERRERA | Central Department Store,store,Central Department Store,,e345b920-0347-5c48-90ea-4a872e4a2990,el_68767c4836db5f00014f4457
PUREEN | Central Department Store,store,Central Department Store,,a301133f-4a56-54db-a6a3-db7acdbbabf5,el_68767c4836db5f00014f4458
THAMES | Central Department Store,store,Central Department Store,,d1d74521-3ceb-55c7-b744-530a83721fc1,el_68767c4836db5f00014f4459
BRAUN SMALL | Central Department Store,store,Central Department Store,,95605ec1-7cbc-5188-bf06-fd2de6c8be94,el_68767c4836db5f00014f445a
HUGGIES | Central Department Store,store,Central Department Store,,060e98e5-cf74-5fcc-92bd-8559a62c1238,el_68767c4836db5f00014f445b
BOUTON | Central Department Store,store,Central Department Store,,6b68fa65-d3ec-5605-8dd1-93e12bd2ed85,el_68767c4836db5f00014f445c
OCEAN | Central Department Store,store,Central Department Store,,c5d3d84c-57d2-5b53-9b9f-ee396ee14cb8,el_68767c4836db5f00014f445d
RIP CURL | Central Department Store,store,Central Department Store,,bf746e75-b3dc-5ca8-a129-0d7336f09ee0,el_68767c4836db5f00014f445e
SABINA | Central Department Store,store,Central Department Store,,e23215f7-9836-570e-96ae-6374a7856fca,el_68767c4836db5f00014f445f
BOBBI BROWN | Central Department Store,store,Central Department Store,,4656229d-cfdd-546e-b660-8edef43598f0,el_68767c4836db5f00014f4460
MICRO | Central Department Store,store,Central Department Store,,e48d75ab-5b3a-5784-9dee-0b408e06a067,el_68767c4836db5f00014f4461
SKII | Central Department Store,store,Central Department Store,,c2426ba4-d2ac-5b2a-b841-9f430007e76a,el_68767c4836db5f00014f4462
LUXE SWIMSUIT | Central Department Store,store,Central Department Store,,f5fd1c09-00ef-5a3b-a895-0bba43d4fd79,el_68767c4836db5f00014f4463
CANNON | Central Department Store,store,Central Department Store,,31b88749-3159-5c74-89b8-999aeb6d1e74,el_68767c4836db5f00014f4464
SPEEDGEAR | Central Department Store,store,Central Department Store,,603b1af2-682f-59cb-993f-98a2b0852997,el_68767c4836db5f00014f4465
KANEBO | Central Department Store,store,Central Department Store,,26fbb14c-bc98-59df-a164-72a0fe2b3ceb,el_68767c4836db5f00014f4466
CROCS | Central Department Store,store,Central Department Store,,78f6c88c-4720-53cb-88d3-fb8a6fb70071,el_68767c4836db5f00014f4467
GC | Central Department Store,store,Central Department Store,,7302fb4b-f74d-5a36-bbe1-56c8aa22b079,el_68767c4836db5f00014f4468
RONA | Central Department Store,store,Central Department Store,,914117fb-61f6-5be7-ae44-1a0f83b3ed1e,el_68767c4836db5f00014f4469
ELECTROLUX | Central Department Store,store,Central Department Store,,28ddcb83-e644-50cd-8090-9ec998380143,el_68767c4836db5f00014f446a
MARCO POLO | Central Department Store,store,Central Department Store,,5f70652c-b62c-5c05-80a9-ca37233b08b3,el_68767c4836db5f00014f446b
FROLINA | Central Department Store,store,Central Department Store,,813ba547-f034-5cd5-bf26-cea52390e39d,el_68767c4836db5f00014f446c
SIKU | Central Department Store,store,Central Department Store,,d5dce22c-c4be-5a79-a46a-cf6800bb824e,el_68767c4836db5f00014f446d
BONBEBE | Central Department Store,store,Central Department Store,,6cedcf8f-1056-5d7f-b142-e7a0e408e631,el_68767c4836db5f00014f446e
SO SMOOCHIE | Central Department Store,store,Central Department Store,,0e1d0931-e779-50b8-92cb-2c29f56561ac,el_68767c4836db5f00014f446f
LANVIN | Central Department Store,store,Central Department Store,,723c3b1b-c992-5626-83d2-12346ef1948c,el_68767c4836db5f00014f4470
HAVEN | Central Department Store,store,Central Department Store,,b05872ed-4326-5626-85f2-599ae5260f14,el_68767c4836db5f00014f4471
HUSH PUPPIES | Central Department Store,store,Central Department Store,,1375f009-9988-50fc-ab10-3079e5727381,el_68767c4836db5f00014f4472
G2000 | Central Department Store,store,Central Department Store,,02ff0caa-db74-540d-b561-eff7512dbe39,el_68767c4836db5f00014f4473
DOLCE GABBANA | Central Department Store,store,Central Department Store,,72cfdca3-17d0-55bd-afe1-be4437bff313,el_68767c4836db5f00014f4474
SANRIO | Central Department Store,store,Central Department Store,,c3b3fc10-e54d-5c02-b783-9c5ee7b88652,el_68767c4836db5f00014f4475
HAMILTON | Central Department Store,store,Central Department Store,,3ece3414-a63b-5bef-a9f5-eff3c6895afc,el_68767c4836db5f00014f4476
ANGEL KIDS | Central Department Store,store,Central Department Store,,6a7b86da-f5ea-545f-84c7-5bdbe100e453,el_68767c4836db5f00014f4477
MUUNIQUE | Central Department Store,store,Central Department Store,,795449b6-8cf6-5805-9819-ed9db41a138a,el_68767c4836db5f00014f4478
DAKS | Central Department Store,store,Central Department Store,,85dfb960-d4b1-511d-b066-ae463877f86c,el_68767c4836db5f00014f4479
LONGINES | Central Department Store,store,Central Department Store,,4eb7c488-5546-52cc-b3ea-1a5b5c392190,el_68767c4836db5f00014f447a
BY NATURE | Central Department Store,store,Central Department Store,,ab94e624-a1dd-5e9b-8cc0-f371db55ff3f,el_68767c4836db5f00014f447b
