name,type,categories,floors,external_id,location_id
SOUVENIR,store,Home & Décor,,a1889b92-7071-5cb4-ae6d-4077952d6bbe,el_699e150bdf500b00014a8afd
LUXORA'S PERFUME,store,Health & Beauty,,c3ff5e5e-1fa7-5420-93f5-66075165c575,el_699e150bdf500b00014a8afe
YAYOI,store,Food & Beverage,,32cdb5d0-b434-5079-a3b1-1321ba68b116,el_699e150bdf500b00014a8aff
SP MOBILE,store,Technology,,583c5359-3087-580f-8a03-82b373992ce7,el_699e150bdf500b00014a8b00
HUG CRAFT,store,Home & Décor,,a48e4161-412b-5c5f-bb8c-26aed26551c1,el_699e150bdf500b00014a8b01
SIN CHON STREET FOOD,store,Food & Beverage,,861aa9b6-e8fd-546f-b16f-53d1ef6ed7b4,el_699e150bdf500b00014a8b02
Postcardcube,store,Home & Décor,,d07cfbf3-517a-51ad-ba69-459919b77e06,el_699e150bdf500b00014a8b03
NALANNS CRAFTS,store,Others,,0e048d1c-9562-5e90-a61a-9c9e8ab19ecb,el_699e150bdf500b00014a8b04
BAR-B-Q PLAZA,store,Food & Beverage,,70e12bda-ae40-55b2-9903-a335856f771c,el_699e150bdf500b00014a8b05
สุขเจริญ,store,Food & Beverage,,f2312e98-6eb2-5018-8426-7c4b4cf993e3,el_699e150bdf500b00014a8b06
Feelfin Thailand,store,Health & Beauty,,134d1372-982c-52d4-bdae-21745e62130d,el_699e150bdf500b00014a8b07
GQ,store,Fashion & Accessories,,27bdd5d2-f8cb-51d9-aa53-d5a979ad2dc2,el_699e150bdf500b00014a8b08
ฮะจิบัง ราเมน,store,Food & Beverage,,d70c851a-7229-5b74-b0cd-faf75fedbd90,el_699e150bdf500b00014a8b09
YOUNG DAILY,store,Food & Beverage,,0de83b0b-1cbc-5e15-8192-2a3dd7afe64a,el_699e150bdf500b00014a8b0a
NOBICHA,store,Food & Beverage,,0c8695a3-2c93-533a-95a8-100c13dcf657,el_699e150bdf500b00014a8b0b
SW PERFUME,store,Fashion & Accessories,,835736d2-c14a-51ad-941c-43179bacdbe9,el_699e150bdf500b00014a8b0c
AIS SHOP BY PARTNER,store,Technology,,a21f1d41-12cd-57d1-9e93-d68a219c257c,el_699e150bdf500b00014a8b0d
Hawaii88,store,Fashion & Accessories,,3f82fcde-f263-5e79-8237-eebb446fbbd1,el_699e150bdf500b00014a8b0e
SAWADEE,store,Health & Beauty,,adec6a11-8454-5a55-b6bb-338075e449e4,el_699e150bdf500b00014a8b0f
น้อง ซีน Aroma,store,Health & Beauty,,5daabaf4-7c5a-55bd-838f-56aa3ca30163,el_699e150bdf500b00014a8b10
PADTHAI,store,Food & Beverage,,fc09ea1e-7562-5944-8301-40df3a3da83e,el_699e150bdf500b00014a8b11
