name,type,categories,floors,external_id,location_id
MC JEANS | Central Department Store,store,Central Department Store,,b6f4bd04-d2d8-565e-8662-e9ef0ddfcb71,el_688ce5e89df9080001ddefec
PRIMA ART | Central Department Store,store,Central Department Store,,ada42b48-0162-5864-8a77-2632ce90ac1c,el_688ce5e89df9080001ddefed
ADIDAS ORIGINAL | Central Department Store,store,Central Department Store,,81e8fec5-a354-5c6c-ba9f-c8bed968ec8f,el_688ce5e89df9080001ddefee
UNGARO | Central Department Store,store,Central Department Store,,54f01883-f186-50d9-b63a-b3288bc24b7e,el_688ce5e89df9080001ddefef
DEFRY 01 | Central Department Store,store,Central Department Store,,3eb72e32-215c-518a-88c4-5594fb83c895,el_688ce5e89df9080001ddeff2
TRIUMPH | Central Department Store,store,Central Department Store,,5b2f45fc-538c-5e1c-99af-326ff93431b9,el_688ce5e89df9080001ddeff3
SANRIO LOCAL | Central Department Store,store,Central Department Store,,3818cd9d-1419-5ed4-94ac-a114d1c1ee2d,el_688ce5e89df9080001ddeff4
BOBBI BROWN | Central Department Store,store,Central Department Store,,73b3b611-ae39-5c3a-8862-f2006519b8f3,el_688ce5e89df9080001ddeff5
NIKE | Central Department Store,store,Central Department Store,,d1a4785a-5c4c-5331-bf83-befb8dff04dc,el_688ce5e89df9080001ddeff6
ARROW | Central Department Store,store,Central Department Store,,b17ee7a6-0339-5c0c-ac6f-3a50cf038a4b,el_688ce5e89df9080001ddeff7
ANGEL BABY | Central Department Store,store,Central Department Store,,f1f12b1a-59a1-591f-a0fd-c0b504cbb5fd,el_688ce5e89df9080001ddeff8
MAJORETE | Central Department Store,store,Central Department Store,,4b925665-f4c0-56da-8e23-70476033229c,el_688ce5e89df9080001ddeffa
SKECHERS | Central Department Store,store,Central Department Store,,a057a70f-c70f-5d15-9b65-a3d3ba0e0ddd,el_688ce5e89df9080001ddeffb
KEED | Central Department Store,store,Central Department Store,,96308b1e-8db0-5fae-a1c3-36d7e362d01f,el_688ce5e89df9080001ddeffc
EVERSINCE | Central Department Store,store,Central Department Store,,e66ad354-8633-5783-82d8-b090c7f9ca22,el_688ce5e89df9080001ddeffd
CASIO | Central Department Store,store,Central Department Store,,59d29a34-8276-50c3-9f7f-6514aeb4b6b5,el_688ce5e89df9080001ddeffe
PERICO | Central Department Store,store,Central Department Store,,524f181a-0476-5f2f-951b-3a8340b9c884,el_688ce5e89df9080001ddefff
THREE | Central Department Store,store,Central Department Store,,838277a5-6ac7-5ac5-8958-d4bc07ec6357,el_688ce5e89df9080001ddf000
TINY LOVE | Central Department Store,store,Central Department Store,,fdb7158a-e265-552a-988a-1b4126d849b7,el_688ce5e89df9080001ddf001
CALM OUTDOORS | Central Department Store,store,Central Department Store,,5da292a8-e2ea-5699-b026-52155198eacb,el_688ce5e89df9080001ddf002
STJAMES | Central Department Store,store,Central Department Store,,5afb0d6b-b18a-52d7-8696-b2db70aee53d,el_688ce5e89df9080001ddf004
REVLON | Central Department Store,store,Central Department Store,,866cdb80-e06d-54ed-8515-a3fa42c635be,el_688ce5e89df9080001ddf005
MATINO | Central Department Store,store,Central Department Store,,1d7d6c50-fb36-5686-893b-87b6dd7f1799,el_688ce5e89df9080001ddf006
DEFRY 01 | Central Department Store,store,Central Department Store,,ba8a41bb-364e-5f98-b8d0-54cc905c6e13,el_688ce5e89df9080001ddf007
EXPRESSIONS | Central Department Store,store,Central Department Store,,9fa46f02-80eb-5884-931a-d4348993e637,el_688ce5e89df9080001ddf008
OMAZZ | Central Department Store,store,Central Department Store,,5f2859a8-d650-54cb-93f1-94a79f44d154,el_688ce5e89df9080001ddf00b
MEYER | Central Department Store,store,Central Department Store,,7ef16181-05af-51e5-a8fc-36589cb0f07a,el_688ce5e89df9080001ddf00c
FOF | Central Department Store,store,Central Department Store,,11f90694-82ba-5a75-be40-8b2044d565f5,el_688ce5e89df9080001ddf00d
BSC COSMETOLOGY | Central Department Store,store,Central Department Store,,8db71ffb-daea-55cc-a959-94476ce9144b,el_688ce5e89df9080001ddf00f
LUIGI BATANI | Central Department Store,store,Central Department Store,,036fd92e-a99e-5b37-8cae-4781d830a8af,el_688ce5e89df9080001ddf010
CRUISE BY CHRISTIANA | Central Department Store,store,Central Department Store,,f8be1abd-0eb0-5fda-8b43-b2f8df73e0e6,el_688ce5e89df9080001ddf011
BABY STONE | Central Department Store,store,Central Department Store,,d9fea99d-fee0-55c2-aceb-4164b5b81a26,el_688ce5e89df9080001ddf012
REEBOK | Central Department Store,store,Central Department Store,,6d478763-6268-5a70-a9f5-c2b064df2364,el_688ce5e89df9080001ddf013
MARSHALL | Central Department Store,store,Central Department Store,,3cdb9874-3f30-575b-9e92-276c777ffae2,el_688ce5e89df9080001ddf014
ZOJIRUSHI | Central Department Store,store,Central Department Store,,6d0647b2-0122-5066-bc21-7fd65d3ce91d,el_688ce5e89df9080001ddf015
PANA OBJECTS | Central Department Store,store,Central Department Store,,7187db3a-b543-575f-a726-297d41e01c4e,el_688ce5e89df9080001ddf016
KHAKI BROS | Central Department Store,store,Central Department Store,,0bcaa889-ddbe-5e7e-a140-c523b0426f61,el_688ce5e89df9080001ddf017
MAMYPOKO | Central Department Store,store,Central Department Store,,5edd7f1f-0fe1-5775-a23c-5f2983086002,el_688ce5e89df9080001ddf018
KEEP | Central Department Store,store,Central Department Store,,ec352b8c-ab11-52c5-b9b2-015af3132e4a,el_688ce5e89df9080001ddf019
PIGEON | Central Department Store,store,Central Department Store,,4198c790-6a52-5145-8271-b846c9dbdcdd,el_688ce5e89df9080001ddf01a
BRUSTA | Central Department Store,store,Central Department Store,,4e4370ad-70d1-5f44-8762-d38e86d92fe9,el_688ce5e89df9080001ddf01b
GUESS | Central Department Store,store,Central Department Store,,aea3e81b-566f-57f5-876a-a4f509fd83f6,el_688ce5e89df9080001ddf01c
HARA | Central Department Store,store,Central Department Store,,aed08572-8974-5535-a5e9-f4cce843d0b6,el_688ce5e89df9080001ddf01d
RED EAR | Central Department Store,store,Central Department Store,,3a9f15ea-b8b5-5441-9237-4de48fd9fe74,el_688ce5e89df9080001ddf01e
DYSON | Central Department Store,store,Central Department Store,,f5fdc05c-b550-5e0b-9131-4bae1c0b73be,el_688ce5e89df9080001ddf01f
MINI MONO | Central Department Store,store,Central Department Store,,2814ab59-5b82-5d5c-8760-092a6384d03c,el_688ce5e89df9080001ddf020
HOTWHEELS | Central Department Store,store,Central Department Store,,b912b7b1-0811-5482-8260-08eccceb0eb0,el_688ce5e89df9080001ddf022
CHERILON | Central Department Store,store,Central Department Store,,ef9cfc30-e629-5239-92a3-4d4be5b2ca81,el_688ce5e89df9080001ddf023
HATCHIMALS | Central Department Store,store,Central Department Store,,83a70e3c-ea0e-54ae-9c98-bed0de71003e,el_688ce5e89df9080001ddf024
LITTLE LIVE PETS PACIFIC | Central Department Store,store,Central Department Store,,9b0efa2a-e67e-5992-b3d9-6a899f76fac6,el_688ce5e89df9080001ddf025
KANEBO | Central Department Store,store,Central Department Store,,ebf57875-c506-5240-95e9-4f1726139206,el_688ce5e89df9080001ddf026
SIRENA | Central Department Store,store,Central Department Store,,d08cac76-c261-5d0a-9727-07a854a0da99,el_688ce5e89df9080001ddf027
MARVEL HASBRO KIDDO | Central Department Store,store,Central Department Store,,571eddae-5b9f-5146-9f09-6b38a5496a61,el_688ce5e89df9080001ddf02a
SISLEY | Central Department Store,store,Central Department Store,,bf9d4943-d47d-5ed9-80fa-2d60a7178b85,el_688ce5e89df9080001ddf02b
BP WORLD | Central Department Store,store,Central Department Store,,3646bae1-6bc3-55bc-8653-fe9f5c1965a8,el_688ce5e89df9080001ddf02d
JUBILEE | Central Department Store,store,Central Department Store,,1b505a6c-9505-565a-a307-b8ce5d22d5d5,el_688ce5e89df9080001ddf02e
THAMES | Central Department Store,store,Central Department Store,,13ab15e4-22e7-534e-889c-b4a301f4b8fc,el_688ce5e89df9080001ddf030
HUSH PUPPIES | Central Department Store,store,Central Department Store,,20e9c5ac-ae3e-537a-97e0-2c1f7c6ccacb,el_688ce5e89df9080001ddf032
JESSICA | Central Department Store,store,Central Department Store,,bd9d3169-a2cb-5031-b95d-a05db3e10280,el_688ce5e89df9080001ddf034
UNDER ME | Central Department Store,store,Central Department Store,,d232b1af-0048-5087-b1b3-8647078d031a,el_688ce5e89df9080001ddf035
MIAMILY | Central Department Store,store,Central Department Store,,90b66dd9-ff65-5bba-93c5-c96168ece7b6,el_688ce5e89df9080001ddf036
GUCCI | Central Department Store,store,Central Department Store,,3de133bd-68bf-54e5-93db-fb3b30f2ffe5,el_688ce5e89df9080001ddf037
VING | Central Department Store,store,Central Department Store,,d29e3fa5-552a-5151-bd0e-24dcfe3fead4,el_688ce5e89df9080001ddf038
CARE BEARS | Central Department Store,store,Central Department Store,,0bdfb158-e016-52c2-8e10-a522a8522a03,el_688ce5e89df9080001ddf039
COVERMARK | Central Department Store,store,Central Department Store,,83090bd2-393f-5d5f-8c24-f1a0a9371974,el_688ce5e89df9080001ddf03a
HUSH PUPPIES | Central Department Store,store,Central Department Store,,eb0e6345-1e36-593b-8d96-b2439c4f6af5,el_688ce5e89df9080001ddf03b
TEFAL | Central Department Store,store,Central Department Store,,e2888d03-52c4-5c86-8600-c9c949e9ed83,el_688ce5e89df9080001ddf03c
LANCOME | Central Department Store,store,Central Department Store,,02e6c532-fbb8-5b60-9db6-2743467878f2,el_688ce5e89df9080001ddf03d
SULWHASOO | Central Department Store,store,Central Department Store,,f848db88-9505-5388-a35c-ab4a4fa5cea8,el_688ce5e89df9080001ddf03e
VALENTINO RUDY | Central Department Store,store,Central Department Store,,3756c23a-ef47-51d3-bbc1-568ef27f1a81,el_688ce5e89df9080001ddf042
CLE DE PEAU BEAUTE | Central Department Store,store,Central Department Store,,3fa899eb-c6de-56ee-b0c5-96f930888669,el_688ce5e89df9080001ddf045
SUPERWARE | Central Department Store,store,Central Department Store,,dce3bdc3-7441-5c65-ae5e-44e5ca08a6c9,el_688ce5e89df9080001ddf047
FROLINA | Central Department Store,store,Central Department Store,,9d0be63d-5477-5c60-86ef-5df652470f62,el_688ce5e89df9080001ddf048
OK BABY | Central Department Store,store,Central Department Store,,6a373456-70f3-5b11-ba96-f42b51f14c6f,el_688ce5e89df9080001ddf049
LOJEL | Central Department Store,store,Central Department Store,,a24e7f5a-60cd-59fd-a0f5-b0238d1df665,el_688ce5e89df9080001ddf04b
FONNEY | Central Department Store,store,Central Department Store,,1085c14f-0ec3-5c8c-9bbf-61b5eea81907,el_688ce5e89df9080001ddf04c
TREND | Central Department Store,store,Central Department Store,,520dfcf4-4690-5b5a-ad1e-9509d636605a,el_688ce5e89df9080001ddf04d
CALVIN KLEIN | Central Department Store,store,Central Department Store,,d2d5b6b0-d150-5134-8434-09b075e502ca,el_688ce5e89df9080001ddf04e
SYLVANIAN FAMILIES | Central Department Store,store,Central Department Store,,75743c70-0211-51aa-b827-0ce44b450f53,el_688ce5e89df9080001ddf04f
VALERA | Central Department Store,store,Central Department Store,,3d677512-1b10-5462-98c3-fe73beaecc94,el_688ce5e89df9080001ddf050
SMIGGLE | Central Department Store,store,Central Department Store,,575801bb-fe05-5b01-ab02-8e9c1d67a07d,el_688ce5e89df9080001ddf052
JOHN LANGFORD | Central Department Store,store,Central Department Store,,b2f4c5b8-794e-5590-bbab-fd9d73a5ae34,el_688ce5e89df9080001ddf053
HENNEY BEAR | Central Department Store,store,Central Department Store,,88ebf9f6-dbac-5fd7-84d8-171ff91701ed,el_688ce5e89df9080001ddf054
GIORDANO | Central Department Store,store,Central Department Store,,29395a1d-6eb1-5d19-ab14-7487ca17544b,el_688ce5e89df9080001ddf055
PASAYA | Central Department Store,store,Central Department Store,,1c35e535-929e-5b79-ad0b-d16c7e26963b,el_688ce5e89df9080001ddf056
TOSHINO | Central Department Store,store,Central Department Store,,ebac2284-0308-5c60-a8bb-4b5a30b9c9c3,el_688ce5e89df9080001ddf057
JOHN HENRY | Central Department Store,store,Central Department Store,,2fd07664-83c2-54a5-bb66-75c9043f768f,el_688ce5e89df9080001ddf059
LAURA MERCIER | Central Department Store,store,Central Department Store,,e3a190cc-d1a6-5ff8-9727-4cb3c0ceec45,el_688ce5e89df9080001ddf05a
JOLI SNOB | Central Department Store,store,Central Department Store,,bdfd1ae4-fc53-5948-a5ab-eb092ba7ef20,el_688ce5e89df9080001ddf05c
ABSORBA | Central Department Store,store,Central Department Store,,f5ce1cdf-1702-50a4-ade2-e24cb81ba6d3,el_688ce5e89df9080001ddf05d
DNEE | Central Department Store,store,Central Department Store,,d2015fb6-0208-5918-9c7c-8287970d4d51,el_688ce5e89df9080001ddf05e
GASOLINE & GARAGE | Central Department Store,store,Central Department Store,,568168f1-af63-5c0b-a2b9-6d8ab0859910,el_688ce5e89df9080001ddf05f
PIERRE CARDIN | Central Department Store,store,Central Department Store,,c7b40b50-3e73-5367-892b-fbe133d94570,el_688ce5e89df9080001ddf060
ELLE | Central Department Store,store,Central Department Store,,e8a66fb9-f3a7-50ea-9567-b131cc9cd673,el_688ce5e89df9080001ddf062
