name,type,categories,floors,external_id,location_id
TOSHINO | Central Department Store,store,Central Department Store,,edc4775a-3083-5824-9f9e-2c916b979558,el_6877cdc45a23030001c63315
MAC | Central Department Store,store,Central Department Store,,8b9afd83-9935-5e9e-97cb-4705e4f84865,el_6877cdc45a23030001c63316
GUESS | Central Department Store,store,Central Department Store,,8bd74850-6af5-5ddb-831b-24aa81ebefe7,el_6877cdc45a23030001c63317
DEVY | Central Department Store,store,Central Department Store,,e4ed1e6f-1550-5668-bfc4-33340ec2a4b7,el_6877cdc45a23030001c63318
LTD | Central Department Store,store,Central Department Store,,728c2da2-3cea-54b3-85f3-3fbb0fa81806,el_6877cdc45a23030001c6331a
JACOB | Central Department Store,store,Central Department Store,,21544f7e-b4f6-5f61-98ef-f950a5cd8069,el_6877cdc45a23030001c6331b
DEFRY 01 | Central Department Store,store,Central Department Store,,308bd5f7-dada-54ff-bfc4-00a5d331091e,el_6877cdc45a23030001c6331c
PIGEON | Central Department Store,store,Central Department Store,,ac779a76-cfff-5231-8eee-6119386e3680,el_6877cdc45a23030001c6331d
MARCO SPADE | Central Department Store,store,Central Department Store,,3e595fd3-820b-555e-ac7d-70f12f725a80,el_6877cdc45a23030001c6331e
SANRIO LOCAL | Central Department Store,store,Central Department Store,,32497a8a-8e07-560e-b563-f4415393c32b,el_6877cdc45a23030001c6331f
ELECTROLUX | Central Department Store,store,Central Department Store,,710527a5-95ba-568d-a8d6-232990230836,el_6877cdc45a23030001c63320
GQ SOCKS | Central Department Store,store,Central Department Store,,235d94fb-4f5f-5a47-b1ce-a970005b7bef,el_6877cdc45a23030001c63321
PRETTY OVO | Central Department Store,store,Central Department Store,,8dcaf580-e4e3-5a85-9b4a-7bd623f1c015,el_6877cdc45a23030001c63322
ZEBRA | Central Department Store,store,Central Department Store,,c3368ca5-1730-5121-8f46-4c1c175d963c,el_6877cdc45a23030001c63323
CENTRAL HOME | Central Department Store,store,Central Department Store,,4a4ff31b-4f9a-5eed-92cc-b67c3617b4f6,el_6877cdc45a23030001c63324
SIMPLICITY | Central Department Store,store,Central Department Store,,fdaa3b01-2883-550c-ab4d-f35bd6218d6a,el_6877cdc45a23030001c63325
BSC COSMETOLOGY | Central Department Store,store,Central Department Store,,7be8524e-610d-5c6d-9776-43f6ab5d4567,el_6877cdc45a23030001c63326
MARVEL VISION | Central Department Store,store,Central Department Store,,79554622-faf4-5478-8e7b-0c38a2560bd9,el_6877cdc45a23030001c63327
BURBERRY | Central Department Store,store,Central Department Store,,1aaeddad-dee1-5bbc-bec7-c2585c2aaafc,el_6877cdc45a23030001c63328
EASY PIECES | Central Department Store,store,Central Department Store,,0ec69138-41dc-55c3-a196-ca4dea30e3e9,el_6877cdc45a23030001c63329
CARE BEARS | Central Department Store,store,Central Department Store,,332adf3c-a82a-5134-9de2-0537a2149a91,el_6877cdc45a23030001c6332b
ARROW | Central Department Store,store,Central Department Store,,305a2eb6-1fcf-5e4a-a936-1a04dce9104f,el_6877cdc45a23030001c6332c
GQ JEANS | Central Department Store,store,Central Department Store,,3622d0d2-2690-5361-92d6-1a7b24ff04fe,el_6877cdc45a23030001c6332d
CUIZIMATE | Central Department Store,store,Central Department Store,,79949f20-1372-5982-8595-361bc1d1528a,el_6877cdc45a23030001c6332e
ELEMENTS | Central Department Store,store,Central Department Store,,8aaaa616-006f-5a31-adca-d584e9b42c70,el_6877cdc45a23030001c6332f
FILA | Central Department Store,store,Central Department Store,,60065436-3c63-565f-bcc8-31b3d6c2edea,el_6877cdc45a23030001c63330
PACIFIC UNION | Central Department Store,store,Central Department Store,,e9876688-ab12-59c1-9801-1d3363753aff,el_6877cdc45a23030001c63331
HUSH PUPPIES | Central Department Store,store,Central Department Store,,d0bae125-f5cf-561c-b720-9c25f73f5b24,el_6877cdc45a23030001c63332
PASAYA | Central Department Store,store,Central Department Store,,76ab7811-4b49-5464-8b73-41d2cf03f338,el_6877cdc45a23030001c63333
CLAUDIAS ROMANCE | Central Department Store,store,Central Department Store,,c5220c94-442c-5173-a2d4-34c86ef0c361,el_6877cdc45a23030001c63334
WISHER TOY | Central Department Store,store,Central Department Store,,8be8e293-724f-5ae3-b7c8-3c184d514ed5,el_6877cdc45a23030001c63335
PULCINELLA | Central Department Store,store,Central Department Store,,3740f4bc-4bc5-58a7-8b8f-cbc150913ca7,el_6877cdc45a23030001c63336
REEBOK | Central Department Store,store,Central Department Store,,a2dc816f-1106-5ef0-88cd-24eb656d254b,el_6877cdc45a23030001c63337
CLAUDIA KLEID WEEKEND | Central Department Store,store,Central Department Store,,fc39e28a-b546-5f25-8686-3059ae866864,el_6877cdc45a23030001c63338
CALVIN KLEIN | Central Department Store,store,Central Department Store,,241a1cc6-dd30-54e6-80d5-d595c67074ee,el_6877cdc45a23030001c63339
LOTUS | Central Department Store,store,Central Department Store,,fef388e1-76ae-5609-862c-be6399bdade8,el_6877cdc45a23030001c6333a
ANGEL BABY | Central Department Store,store,Central Department Store,,0edf2121-aa98-5c7c-8407-912d70de6384,el_6877cdc45a23030001c6333b
AKEMI | Central Department Store,store,Central Department Store,,a4c299c3-35fa-5754-8f47-30e90087dace,el_6877cdc45a23030001c6333c
ABSORBA | Central Department Store,store,Central Department Store,,51f309e4-d1d4-5f88-ad18-5544523c3c9c,el_6877cdc45a23030001c6333d
SIRENA | Central Department Store,store,Central Department Store,,201a9fc0-4b15-5883-ba25-89edf56d8ec8,el_6877cdc45a23030001c6333e
TREND | Central Department Store,store,Central Department Store,,f9cc1dee-d3ce-5fe5-950f-5c7b3591dfb2,el_6877cdc45a23030001c6333f
LEE | Central Department Store,store,Central Department Store,,34a3ab33-3718-5975-8176-df2b647f6d65,el_6877cdc45a23030001c63340
PHILIPS | Central Department Store,store,Central Department Store,,d33b6fe3-e7ad-5999-9fc7-b0ff6966cac9,el_6877cdc45a23030001c63341
ESTEE LAUDER | Central Department Store,store,Central Department Store,,a56f2b5b-5b16-5bf9-af64-c91a81fd97a9,el_6877cdc45a23030001c63342
ANGEL KIDS | Central Department Store,store,Central Department Store,,58973c52-11b0-5b11-b2ad-2222a969272b,el_6877cdc45a23030001c63343
G2000 | Central Department Store,store,Central Department Store,,1142b5d2-242e-538c-8af4-f037aa71e20c,el_6877cdc45a23030001c63344
LEVIS | Central Department Store,store,Central Department Store,,59a96c0f-1a5c-551c-80bc-eef308512e38,el_6877cdc45a23030001c63345
LOUIS FONTAINE | Central Department Store,store,Central Department Store,,095e5120-c512-5626-8908-5b3f6ac36e7d,el_6877cdc45a23030001c63346
HENNEY BEAR | Central Department Store,store,Central Department Store,,952d123f-ea25-510b-9d81-86233cb65371,el_6877cdc45a23030001c63347
ESPADA | Central Department Store,store,Central Department Store,,4e6a773d-22f5-5287-8f54-6841a1788565,el_6877cdc45a23030001c63348
MIX ME | Central Department Store,store,Central Department Store,,87d635fc-b6d7-5c3a-b7a9-0ba45628d4ae,el_6877cdc45a23030001c63349
CLAUDIA KLEID BLACK&WHITE | Central Department Store,store,Central Department Store,,6913026e-e1d0-5036-9e56-733cdfa87c38,el_6877cdc45a23030001c6334a
FITFLOP | Central Department Store,store,Central Department Store,,4efc93c4-66fe-5177-9e02-349cec267598,el_6877cdc45a23030001c6334b
LEGO | Central Department Store,store,Central Department Store,,5f4b786b-992d-5db8-9f59-6c158bcc2c04,el_6877cdc45a23030001c6334c
JOHN HENRY | Central Department Store,store,Central Department Store,,3064c85a-791d-57a6-a8d7-9fd4a9ad4cec,el_6877cdc45a23030001c6334d
FROLINA | Central Department Store,store,Central Department Store,,1d51a050-19bf-5fd1-9330-debed70b8874,el_6877cdc45a23030001c6334e
HARA | Central Department Store,store,Central Department Store,,fc145940-110b-5363-b2eb-b75cb29733f5,el_6877cdc45a23030001c6334f
ENFANT | Central Department Store,store,Central Department Store,,54cc2117-6452-5303-91ea-fa0795e2100d,el_6877cdc45a23030001c63350
WACOAL | Central Department Store,store,Central Department Store,,fa4bf8d0-4871-5c9e-a567-affc242e8d9c,el_6877cdc45a23030001c63351
JAGUAR | Central Department Store,store,Central Department Store,,7ae1bd24-e7fa-57aa-8df8-c8c804eedb55,el_6877cdc45a23030001c63352
JOCKEY | Central Department Store,store,Central Department Store,,0ab5e1c3-545b-5363-9cff-31b44ce1e8e1,el_6877cdc45a23030001c63353
FULICO | Central Department Store,store,Central Department Store,,6fee09bf-a43a-58fd-9b31-4478c5e14758,el_6877cdc45a23030001c63354
WARRIX | Central Department Store,store,Central Department Store,,ff88d0b9-adf7-5b96-9f4c-afcb1d81e227,el_6877cdc45a23030001c63355
GQ | Central Department Store,store,Central Department Store,,532df613-fdd8-5693-8088-cec2c7d77a8b,el_6877cdc45a23030001c63356
GILI | Central Department Store,store,Central Department Store,,51a93622-ac90-5f76-92ac-823c41bb8b8d,el_6877cdc45a23030001c63357
GUY LAROCHE | Central Department Store,store,Central Department Store,,0b509673-7418-5a2e-8cf7-fc25d05fca71,el_6877cdc45a23030001c63358
TEFAL | Central Department Store,store,Central Department Store,,d56c87a4-8b76-55d4-a5da-53a58761fe6a,el_6877cdc45a23030001c63359
CLAUDIA KLEID | Central Department Store,store,Central Department Store,,aae74a70-4f8a-5c75-95dc-1bed041e6d9c,el_6877cdc45a23030001c6335a
PAJARA | Central Department Store,store,Central Department Store,,6fc6c0a7-3af6-505b-bcf8-3d2993caa8a9,el_6877cdc45a23030001c6335b
PIERRE CARDIN | Central Department Store,store,Central Department Store,,513b5432-ff2b-530e-a4d9-3045769af82d,el_6877cdc45a23030001c6335c
POLO CLUB | Central Department Store,store,Central Department Store,,4dd77073-2f3c-547c-9a88-22d9aa88ab27,el_6877cdc45a23030001c6335d
JOHN LANGFORD | Central Department Store,store,Central Department Store,,d4957f81-7c09-51d4-857a-9ddf6ea2a1d4,el_6877cdc45a23030001c6335e
SUPERWARE | Central Department Store,store,Central Department Store,,5c111288-99fd-5531-867c-22f1c0e5d3d5,el_6877cdc45a23030001c6335f
GURU | Central Department Store,store,Central Department Store,,363b1b00-8277-5afd-8897-d81b95bdd8a2,el_6877cdc45a23030001c63360
TORA | Central Department Store,store,Central Department Store,,4cef7bd5-2367-5b4a-a971-0ad627c1199f,el_6877cdc45a23030001c63361
LOCKNLOCK | Central Department Store,store,Central Department Store,,a5541449-3c3f-584f-8419-ee9936fa3fba,el_6877cdc45a23030001c63362
DELSEY | Central Department Store,store,Central Department Store,,2e77a7da-7b37-5780-9f8a-b1d34650518d,el_6877cdc45a23030001c63363
PUMA | Central Department Store,store,Central Department Store,,cecaca30-17b3-59ea-90b7-d52ee1b901d3,el_6877cdc45a23030001c63364
TOSHIBA | Central Department Store,store,Central Department Store,,1a7897b2-3294-51f7-873a-2b708931f6c9,el_6877cdc45a23030001c63365
PHILIPS LIGHTING | Central Department Store,store,Central Department Store,,668744ed-1343-52f6-b16a-a9e446ad6553,el_6877cdc45a23030001c63366
CHERILON | Central Department Store,store,Central Department Store,,27c86d3a-caf5-516c-8779-147b7d10822f,el_6877cdc45a23030001c63367
ADIDAS KIDS | Central Department Store,store,Central Department Store,,68c2804c-bb64-5f0b-86a6-20735c15a50c,el_6877cdc45a23030001c63368
PUREEN | Central Department Store,store,Central Department Store,,375c3c7a-024c-5ab4-8c3d-114608316e4d,el_6877cdc45a23030001c63369
MOSHI AVA | Central Department Store,store,Central Department Store,,5ac0cd4e-36ef-5247-9139-9bce18e78138,el_6877cdc45a23030001c6336a
DNEE | Central Department Store,store,Central Department Store,,419f9ed0-e0a9-54f8-8d74-b6ec174da2c6,el_6877cdc45a23030001c6336b
SABINA | Central Department Store,store,Central Department Store,,ba18f31d-693c-578d-8116-82ca6fbc805e,el_6877cdc45a23030001c6336c
NIKE | Central Department Store,store,Central Department Store,,5045dc20-36d3-5d00-b35b-e6f4d56bc179,el_6877cdc45a23030001c6336d
SCHOLL | Central Department Store,store,Central Department Store,,dcbf5f9a-80ab-5e47-a23b-442e594b01c7,el_6877cdc45a23030001c6336e
EXPRESSIONS | Central Department Store,store,Central Department Store,,f41e7735-cc5b-54f7-aa83-0b25d4904411,el_6877cdc45a23030001c6336f
ROVING FOX | Central Department Store,store,Central Department Store,,dadbbc68-0e4b-5626-91b9-50e4d0f72694,el_6877cdc45a23030001c63370
SHEER BLISS | Central Department Store,store,Central Department Store,,cdebfb11-bff8-5f1d-ae9d-be9755343756,el_6877cdc45a23030001c63371
EP | Central Department Store,store,Central Department Store,,a37b5bfb-8158-5738-813c-a4045b39ee65,el_6877cdc45a23030001c63372
HOTWHEELS | Central Department Store,store,Central Department Store,,89e62e21-6009-5ee6-8dab-e364dda11556,el_6877cdc45a23030001c63373
MEYER | Central Department Store,store,Central Department Store,,e840749c-bdad-5b89-9ce9-ef2d345544d6,el_6877cdc45a23030001c63374
EAZY CLEAN LOCAL | Central Department Store,store,Central Department Store,,f411aff1-466e-592b-abab-e87ccd37a116,el_6877cdc45a23030001c63376
TRIUMPH | Central Department Store,store,Central Department Store,,788b5ec1-4503-5add-a0a7-c09ffa41bf34,el_6877cdc45a23030001c63377
ESQUIRE | Central Department Store,store,Central Department Store,,8da11e5d-2d80-51ce-8801-c078081199f1,el_6877cdc45a23030001c63378
OMAZZ | Central Department Store,store,Central Department Store,,49a12c27-62b6-5aae-9f63-5e3d72dde64f,el_6877cdc45a23030001c63379
FERRENI BLACK | Central Department Store,store,Central Department Store,,f77dfa39-9f32-5115-a4ec-71c964c0bcb5,el_6877cdc45a23030001c6337b
STJAMES | Central Department Store,store,Central Department Store,,91287d36-6007-58b4-9a42-993a8bc95d3e,el_6877cdc45a23030001c6337c
TEFAL | Central Department Store,store,Central Department Store,,3880765d-c447-59e1-a399-c56469366fac,el_6877cdc45a23030001c6337d
MARCO POLO | Central Department Store,store,Central Department Store,,b56fa5d9-4987-55a4-a5b6-fde81f28d107,el_6877cdc45a23030001c6337e
LUIGINA | Central Department Store,store,Central Department Store,,bdf98197-7305-5950-9c22-b67061bfae45,el_6877cdc45a23030001c6337f
SANRIO | Central Department Store,store,Central Department Store,,0c8daecf-76af-59ec-8fe7-879ea74758e4,el_6877cdc45a23030001c63380
WRANGLER | Central Department Store,store,Central Department Store,,8370f1c8-59fb-5c87-9b33-9ba93987bcb0,el_6877cdc45a23030001c63381
REVLON | Central Department Store,store,Central Department Store,,85f4da69-a85b-5a7e-80dc-dce19e3819a8,el_6877cdc45a23030001c63382
FREEWOOD | Central Department Store,store,Central Department Store,,8bfb77f9-487d-5e4f-8f7a-d5df2c0e2753,el_6877cdc45a23030001c63383
WELB BABY MAT | Central Department Store,store,Central Department Store,,bf4733c5-9b8e-5ac7-830a-8d8beed622a2,el_6877cdc45a23030001c63384
NIKE | Central Department Store,store,Central Department Store,,4ce53ac8-ab5a-5495-9715-d09a088f30f2,el_6877cdc45a23030001c63385
COVERMARK | Central Department Store,store,Central Department Store,,bc325d31-83a7-578c-9a3c-6fe03e9b122a,el_6877cdc45a23030001c63386
TAKE TOYS | Central Department Store,store,Central Department Store,,c043f965-8e51-56af-8a5a-b5d705a62dd6,el_6877cdc45a23030001c63387
LESASHA | Central Department Store,store,Central Department Store,,aa5490d1-babd-5a22-aa92-a19395dc22e9,el_6877cdc45a23030001c63388
NIYOM JEANS | Central Department Store,store,Central Department Store,,662a0992-02a5-51e7-b7bb-37c6f23fc1b4,el_6877cdc45a23030001c63389
