name,type,categories,floors,external_id,location_id
LEGO | Central Department Store,store,Central Department Store,,75056ec6-6e69-5591-b6e6-b54ae4f2ecc8,el_6877cdbfd84798000176151e
EASY PIECES | Central Department Store,store,Central Department Store,,c6e4e2de-f3fa-554b-8339-d7479d1b0901,el_6877cdbfd84798000176151f
SCHOLL | Central Department Store,store,Central Department Store,,adc931bd-13c3-518d-b201-fe9b9a82787f,el_6877cdbfd847980001761520
HATARI | Central Department Store,store,Central Department Store,,84aaafad-3ead-5a0c-ba36-48e9597c9264,el_6877cdbfd847980001761521
URBANSNAPS | Central Department Store,store,Central Department Store,,6347c004-e3ca-5e27-a140-44d6170267d4,el_6877cdbfd847980001761522
DISNEY BABIES | Central Department Store,store,Central Department Store,,58811843-c7b6-5ea6-9686-df3074c95d61,el_6877cdbfd847980001761523
GAABOR | Central Department Store,store,Central Department Store,,ae90daad-398b-543f-acd7-ad128a9fb752,el_6877cdbfd847980001761524
ANGEL BABY | Central Department Store,store,Central Department Store,,953238fd-8afa-58f0-81e0-baad09f2f300,el_6877cdbfd847980001761525
OLIYA | Central Department Store,store,Central Department Store,,9c268578-c186-50f3-9478-a84222f44c9e,el_6877cdbfd847980001761526
KANEBO | Central Department Store,store,Central Department Store,,0bcdc5f7-779b-5424-b8a6-899403db54d0,el_6877cdbfd847980001761527
PIERRE CARDIN | Central Department Store,store,Central Department Store,,bf07445d-7b96-5ec9-bc20-c45641de5c83,el_6877cdbfd847980001761528
TWIN FISH | Central Department Store,store,Central Department Store,,5e9f8af0-3306-5316-9777-20837a2db3bd,el_6877cdbfd847980001761529
PANDORA | Central Department Store,store,Central Department Store,,3030d5a7-c62f-5e8d-a253-bfc36e25c526,el_6877cdbfd84798000176152a
DELONGHI | Central Department Store,store,Central Department Store,,04870745-9fa0-51d3-a0a9-2f3c94d4306f,el_6877cdbfd84798000176152b
KIPLING | Central Department Store,store,Central Department Store,,9b4ba1c5-c163-55d5-b7bd-0ab65cb45227,el_6877cdbfd84798000176152c
LAZBOY | Central Department Store,store,Central Department Store,,2f22732a-08ff-580d-bf50-266cb35e4ca2,el_6877cdbfd84798000176152d
LTD | Central Department Store,store,Central Department Store,,4ae1131f-ee2f-5092-bcdf-02b056981c5f,el_6877cdbfd84798000176152e
LAMOON | Central Department Store,store,Central Department Store,,be7f65ae-16f6-587f-85bc-abb063971e7a,el_6877cdbfd84798000176152f
NIYOM JEANS | Central Department Store,store,Central Department Store,,decbf969-ee6d-599c-ba9d-f97a68001b0e,el_6877cdbfd847980001761530
PAZZION | Central Department Store,store,Central Department Store,,f88ba7d0-7be8-5c5f-9e01-5ff848dbf515,el_6877cdbfd847980001761532
DNEE | Central Department Store,store,Central Department Store,,aa23a6a4-f32f-5e96-80b5-541febd2b8ca,el_6877cdbfd847980001761533
PORTLAND | Central Department Store,store,Central Department Store,,07c895a2-167a-51d1-bd0b-df3b10344e86,el_6877cdbfd847980001761534
JOLI SNOB | Central Department Store,store,Central Department Store,,752c32a1-51e2-5d8f-b01c-ded6e688145e,el_6877cdbfd847980001761535
GUND KIDDO | Central Department Store,store,Central Department Store,,d8e0292e-c067-5bee-8558-f3b9a33ac993,el_6877cdbfd847980001761536
ROVING FOX | Central Department Store,store,Central Department Store,,8908752d-b2c0-5be7-bd75-b37604589469,el_6877cdbfd847980001761537
MAJORETE | Central Department Store,store,Central Department Store,,68e38e83-47f8-5d73-bcfc-1935bc6237f0,el_6877cdbfd847980001761538
ROYAL YACHT CLUB | Central Department Store,store,Central Department Store,,4b05efd0-8ea2-53d9-ada8-e9067f986a10,el_6877cdbfd847980001761539
FOF | Central Department Store,store,Central Department Store,,6e2f454c-d358-5ecc-85c0-ae7e833e457c,el_6877cdbfd84798000176153a
MUUNIQUE | Central Department Store,store,Central Department Store,,66d619cc-cb18-556d-9461-abc058608f23,el_6877cdbfd84798000176153b
KENWOOD SMALL | Central Department Store,store,Central Department Store,,34810d26-6078-5b4e-86f2-145fbfe8a510,el_6877cdbfd84798000176153c
KS KIDS | Central Department Store,store,Central Department Store,,898281c1-ed27-5e1a-ba77-230a28e365a2,el_6877cdbfd84798000176153d
HAFELE | Central Department Store,store,Central Department Store,,996264e3-a131-58b3-b3c4-8b2e500822da,el_6877cdbfd84798000176153e
ELLE DECOR | Central Department Store,store,Central Department Store,,04d4a7ad-7ae2-53e0-a792-8981c70cf492,el_6877cdbfd84798000176153f
MINIMEX | Central Department Store,store,Central Department Store,,23c8b1c4-74dc-516a-889a-66054842a48e,el_6877cdbfd847980001761540
TOMICA | Central Department Store,store,Central Department Store,,54c3013f-47d5-5ddf-9634-4e0d9069e093,el_6877cdbfd847980001761541
CENTRAL HOME LOCAL | Central Department Store,store,Central Department Store,,708460db-8fc3-5158-bdb2-e84179ee5664,el_6877cdbfd847980001761542
LUNA | Central Department Store,store,Central Department Store,,8216da73-1800-5eb0-a51e-60311b4fea5d,el_6877cdbfd847980001761543
CRAZY STEP | Central Department Store,store,Central Department Store,,1f935a27-0274-5e31-8903-84fa3b13a090,el_6877cdbfd847980001761544
JOHN HENRY | Central Department Store,store,Central Department Store,,f7fa69b5-9c45-5544-a834-72414d741cc9,el_6877cdbfd847980001761545
ANDREW BROWN | Central Department Store,store,Central Department Store,,885bce12-f6d8-557a-8c21-6b2e7cb877eb,el_6877cdbfd847980001761546
PRETTY FIT | Central Department Store,store,Central Department Store,,1d6ddc56-bf64-59b1-9672-08801332a39b,el_6877cdbfd847980001761547
HANABISHI | Central Department Store,store,Central Department Store,,e7916242-d53d-59c0-b070-fe2f7a9a551a,el_6877cdbfd847980001761548
BAOJI | Central Department Store,store,Central Department Store,,792dca4c-ca38-58b7-a1f6-879d812e364c,el_6877cdbfd847980001761549
TOYOX | Central Department Store,store,Central Department Store,,c29b6030-7354-565e-82fd-6a47ee56e520,el_6877cdbfd84798000176154a
CROCODILE | Central Department Store,store,Central Department Store,,c967d9c2-2df5-54e7-bfae-95cb6d6299ba,el_6877cdbfd84798000176154b
TINY LOVE | Central Department Store,store,Central Department Store,,bfb81582-1912-581f-add8-55948dde9366,el_6877cdbfd84798000176154c
EAZY CLEAN LOCAL | Central Department Store,store,Central Department Store,,bf7d151b-d48a-5b45-b79d-343754596e34,el_6877cdbfd84798000176154d
NUM NOMS | Central Department Store,store,Central Department Store,,06f85d6e-7b99-5df0-866a-1796805630d5,el_6877cdbfd84798000176154e
PHILIPS | Central Department Store,store,Central Department Store,,017c8205-adab-51d9-bb65-72e9fc03b6d9,el_6877cdbfd84798000176154f
NERF HASBRO KIDDO | Central Department Store,store,Central Department Store,,fa2b55d6-993b-577b-9003-67c720b79ff7,el_6877cdbfd847980001761550
FROLINA | Central Department Store,store,Central Department Store,,baac006b-c507-59d3-b731-0009cec33e65,el_6877cdbfd847980001761551
WSP | Central Department Store,store,Central Department Store,,4607e0a0-2079-5565-b50c-6e655ec81887,el_6877cdbfd847980001761552
RAINFLOWER | Central Department Store,store,Central Department Store,,8d12098c-3997-5ec8-bda4-00932ab7f345,el_6877cdbfd847980001761553
CROCS | Central Department Store,store,Central Department Store,,8134dd37-0f63-5004-b8ff-2ae9fda544ee,el_6877cdbfd847980001761554
BRITA | Central Department Store,store,Central Department Store,,e34d44cd-6cdb-5d58-9398-e4b32826bff8,el_6877cdbfd847980001761555
NARS | Central Department Store,store,Central Department Store,,dcede53a-b8f2-55e6-b4e3-a50ddb91e396,el_6877cdbfd847980001761556
TEMPUR PEDIC | Central Department Store,store,Central Department Store,,82c33f3f-3d8f-5bcf-8465-6cd2f42bc93d,el_6877cdbfd847980001761557
SEIKO | Central Department Store,store,Central Department Store,,c64a0371-1469-562e-9916-358687ce98a1,el_6877cdbfd847980001761558
GUY LAROCHE | Central Department Store,store,Central Department Store,,2cad11ff-3906-5816-bf7d-47a8bdbbc0dd,el_6877cdbfd847980001761559
BABY EINSTEIN | Central Department Store,store,Central Department Store,,401df5d8-36d7-52aa-aa65-811215cd42bb,el_6877cdbfd84798000176155a
DISNEY | Central Department Store,store,Central Department Store,,0d769c25-39c8-5055-a5fe-3c71b4f04c19,el_6877cdbfd84798000176155b
GODMAMI | Central Department Store,store,Central Department Store,,c9409f08-2764-585a-9f54-a6061e7cfae9,el_6877cdbfd84798000176155c
LACOSTE | Central Department Store,store,Central Department Store,,3a1874f9-d6ee-5450-8695-ed749a7b5947,el_6877cdbfd84798000176155d
KEED | Central Department Store,store,Central Department Store,,0e859478-3425-541f-bc96-985181a2eec1,el_6877cdbfd84798000176155e
KOSE | Central Department Store,store,Central Department Store,,760219ab-69b3-5770-b2ca-f22181db8d0c,el_6877cdbfd84798000176155f
ENFANT | Central Department Store,store,Central Department Store,,ebfa86ae-187e-57de-b904-2eb5c1df9fe9,el_6877cdbfd847980001761560
G2000 | Central Department Store,store,Central Department Store,,b90844a7-fe9a-5985-b91f-18c14dc67c9a,el_6877cdbfd847980001761561
DISNEY PRINCESS | Central Department Store,store,Central Department Store,,7c7be762-a728-5456-8b1f-b3d2d49f942e,el_6877cdbfd847980001761562
BARBIE | Central Department Store,store,Central Department Store,,7d8065e0-60ba-5d9e-86a7-b1a33bf5c33e,el_6877cdbfd847980001761563
GAZE | Central Department Store,store,Central Department Store,,c36fec7e-c90e-50f8-96bd-35353929980d,el_6877cdbfd847980001761564
SKECHERS | Central Department Store,store,Central Department Store,,13455778-7e86-5f1c-89e4-53e30ff03061,el_6877cdbfd847980001761565
PERICO | Central Department Store,store,Central Department Store,,63acea68-91ad-5408-8fbe-dfd091794a82,el_6877cdbfd847980001761566
LEVIS | Central Department Store,store,Central Department Store,,5e758374-0a52-5108-8aeb-222a05bba49e,el_6877cdbfd847980001761567
DEVY | Central Department Store,store,Central Department Store,,db4647b7-bbf1-574e-b066-545e0e5a2c44,el_6877cdbfd847980001761568
AETREX | Central Department Store,store,Central Department Store,,d34e475e-2e1f-5ce9-ae07-8b7f9777e386,el_6877cdbfd847980001761569
SKECHERS FOAMIES | Central Department Store,store,Central Department Store,,e41ea6a5-e44d-54bd-92c7-8849a30bc5d2,el_6877cdbfd84798000176156a
SUNGLASS HUT | Central Department Store,store,Central Department Store,,2ebbd714-c7e2-55b2-998e-dc5242778f77,el_6877cdbfd84798000176156b
GUY LAROCHE | Central Department Store,store,Central Department Store,,9306d00f-a809-5e16-8a6b-e7e7a4b9bd41,el_6877cdbfd84798000176156c
CIERA | Central Department Store,store,Central Department Store,,c7ed7010-6060-5b45-8367-7b4f99d852d3,el_6877cdbfd84798000176156d
REVLON | Central Department Store,store,Central Department Store,,afe162f9-46fc-5a6a-81aa-863ebf53e374,el_6877cdbfd84798000176156e
BUCK OFF DENIM | Central Department Store,store,Central Department Store,,7fca1e34-5e22-57fd-98aa-dba23026f392,el_6877cdbfd84798000176156f
TEFAL | Central Department Store,store,Central Department Store,,485b2214-420c-515a-9a03-491b4c2476c9,el_6877cdbfd847980001761570
