name,type,categories,floors,external_id,location_id
Beneunder,store,Fashion & Accessories,,ec2e04ca-becf-52e2-b6ad-193d556fe2b6,el_686d7becd0159243cb541ac6
WILSON,store,Fashion & Accessories,,45a7d29e-fcda-567b-a7f6-aafcb92cd283,el_686d7becd0159243cb541ac7
THE KLINIQUE WELLNESS CENTER,store,Health & Beauty,,af73b63d-c7fb-5936-91f8-8a3d5bf39b98,el_686d7becd0159243cb541ac9
CRASH BAGGAGE,store,Fashion & Accessories,,27381485-9947-560a-abd3-510630615261,el_686d7becd0159243cb541aca
BONAVENTURA,store,Fashion & Accessories,,e8104adb-9c15-5f23-b6e9-8763f7eac701,el_686d7becd0159243cb541acb
BIG CAMERA GALLERIA,store,Technology,,9d7ec6b1-1c6a-58b2-9967-ed3019de958c,el_686d7becd0159243cb541acc
SOLSOT,store,Food & Beverage,,11677711-0fd4-5e08-a08e-bc6b4c1709f4,el_686d7becd0159243cb541ace
JUNG SAEM MOOL,store,Health & Beauty,,958b6ad7-2e7a-5cd7-85c4-771bb2e8dab6,el_686d7becd0159243cb541acf
GOOD GOODS,store,Fashion & Accessories,,cdcad4d0-ea15-5088-8b90-e564c12db552,el_686d7becd0159243cb541ad0
UNATOTO,store,Food & Beverage,,ed0309c9-291b-5673-9df4-2b09f17f23cf,el_686d7becd0159243cb541ad1
ACMÉ DE LA VIE,store,Fashion & Accessories,,33c457c6-4cef-504a-85d7-6410cd13f22c,el_686d7becd0159243cb541ad2
HUAWEI,store,Technology,,0bdee167-2ea5-54ac-9e35-7f25e72918fb,el_686d7becd0159243cb541ad3
CONTAINER,store,Fashion & Accessories,,c323f1af-8e06-5a36-8cba-03b41fa95e48,el_686d7becd0159243cb541ad4
NEW BALANCE,store,Fashion & Accessories,,b7dd397b-9778-56b2-bb0a-9e0dd3c2dc06,el_686d7becd0159243cb541ad5
M-SO CLINIC,store,Health & Beauty,,5bb77035-fb2f-5d59-a24c-097fb5daf541,el_686d7becd0159243cb541ad6
TORY BURCH,store,Fashion & Accessories,,6c56b88b-3f78-5d78-af4a-3756afcefa87,el_686d7becd0159243cb541ad7
STUDIO7,store,Technology,,e92e79e6-0c65-5712-b404-2e084cf8821e,el_686d7becd0159243cb541ada
SAEMAEUL EXPRESS,store,Food & Beverage,,90a5f4f8-2510-5548-82df-c5fcba44e798,el_686d7becd0159243cb541adc
BOOST JUICE BAR,store,Food & Beverage,,9802d125-e24a-5811-b94d-70fd1ed4343c,el_686d7becd0159243cb541add
NAPHA CHEF,store,Food & Beverage,,63952fc2-81f9-5aa8-a7b4-d6afd3af99c8,el_686d7becd0159243cb541ade
LACOSTE,store,Fashion & Accessories,,bb261dd7-c934-5ada-8154-1b35f78647b7,el_686d7becd0159243cb541adf
GARMIN,store,Fashion & Accessories,,1e30ae3f-ae1f-562b-8e63-a926d84fcf69,el_686d7becd0159243cb541ae0
KATSU MIDORI,store,Food & Beverage,,13793938-d597-53f6-80ff-30fa4c8d960d,el_686d7becd0159243cb541ae1
OMAKASE DON BY TEPPEN,store,Food & Beverage,,c881784f-51a7-547c-a541-12b6d2afdff4,el_686d7becd0159243cb541ae4
MLAB,store,Fashion & Accessories,,41056795-59e7-5b30-891c-d393650a66fa,el_686d7becd0159243cb541ae5
VIVAIA,store,Fashion & Accessories,,89399ca0-bbfb-540b-b1d9-107477aec260,el_686d7becd0159243cb541ae6
SKINLAB,store,Health & Beauty,,9a9aabda-0846-57e9-a16d-4e23d93e9dcc,el_686d7becd0159243cb541ae7
TROPICFEEL,store,Fashion & Accessories,,30af7f77-ce97-5468-ab0c-51cd92f8d5a9,el_686d7becd0159243cb541ae9
True / True Sphere,store,Technology,,a29cbac8-bced-566d-8257-d84ba2ea455d,el_686d7becd0159243cb541aea
CALVIN KLEIN,store,Fashion & Accessories,,7b7004f0-26d3-51e9-ac9f-809aaf0b184a,el_686d7becd0159243cb541aeb
THULE,store,Fashion & Accessories,,c015565d-ed85-5859-919f-add7b849456c,el_686d7becd0159243cb541aec
ANANTA,store,Fashion & Accessories,,c6d283fe-77bd-541b-b76c-c6fec888cb4a,el_686d7becd0159243cb541aed
Anker,store,Technology,,638076f4-78d4-5d81-9a97-12a58d3a3018,el_686d7becd0159243cb541af0
MATSUKIYO,store,Health & Beauty,,5f16aa85-0320-5fa0-b90c-3a99c9ccd24c,el_686d7becd0159243cb541af3
THE RECRAFTING,store,General Service,,07c46221-097a-5c75-b398-e48fe54fbd84,el_686d7becd0159243cb541af7
FELLOW,store,Home & Décor,,edfd3eec-2be7-5ea7-bc16-936f085a6543,el_686d7becd0159243cb541af8
