name,type,categories,floors,external_id,location_id
AUTHORIZED SERVICE CENTER,store,Technology,,4e129181-00a1-5cf0-9b99-47475a1ad7a5,el_69c6a3cd1fd68800016882df
AUTHORIZED SERVICE CENTER,store,Technology,,4fef438f-9c66-5a58-959a-b396cbe9caae,el_69c6a3cd1fd6880001688302
AUTHORIZED SERVICE CENTER,store,Technology,,297a0c14-01d5-5821-81f3-449f6c3151ec,el_69c6a3cd1fd6880001688312
AUTHORIZED SERVICE CENTER,store,Technology,,b7454693-3a2a-5c20-a821-80293e546ef8,el_69c6a3cd1fd688000168832c
CUTE PRESS,store,Health & Beauty,,1de3ba14-aed5-52c8-a4d4-fee24c2dff3f,el_6a3c010bc58427000170016f
B SA B,store,Health & Beauty,,da833a86-b38b-51de-9175-d94c0bc9fe1b,el_6a3c010bc584270001700170
THE LAB,store,Fashion & Accessories,,06809d69-1ecd-5cd8-b335-5874ac191bbf,el_6a3c010bc584270001700171
OFFICE MATE,store,Book & Stationeries,,4ef0315d-40ae-53df-be83-410de5b7c2fc,el_6a3c010bc584270001700172
ฮะจิบัง ราเมน,store,Food & Beverage,,b77bf38e-2544-52ed-9522-f350ba043f3d,el_6a3c010bc584270001700174
KAMU TEA,store,Food & Beverage,,e5fc49b2-d0fc-563f-a3df-099dd608dc14,el_6a3c010bc584270001700175
Smile IT Service,store,Technology,,bbfd6583-9e9e-54c3-af93-be8d90f379c1,el_6a3c010bc584270001700176
BELUGA,store,Food & Beverage,,25ffe4ea-16fd-52a3-90ac-e454c51d228e,el_6a3c010bc584270001700177
CHILLICHIC,store,Fashion & Accessories,,7ebc91e2-ae63-53fd-a780-c9b764a27fa1,el_6a3c010bc584270001700179
UP LOOK EYELASH EXTENSION,store,Health & Beauty,,84006991-0ce8-5b51-8a02-680b28f13270,el_6a3c010bc58427000170017a
MLAB,store,Fashion & Accessories,,b9ceca92-daaa-5220-9297-e10e25c5886f,el_6a3c010bc58427000170017b
Junenycandy,store,Food & Beverage,,15f229fc-bc87-52ec-b3f7-ce4a4ee970b7,el_6a3c010bc58427000170017c
ห้างทองหวังโต๊ะกังเยาวราช,store,Fashion & Accessories,,11037083-9638-506f-9d20-211a0c7d8379,el_6a3c010bc58427000170017d
SHABU BARU MINI,store,Food & Beverage,,470870ca-f9ea-5176-80f1-5c797ba665dc,el_6a3c010bc58427000170017e
HEALTH UP,store,Health & Beauty,,3296baff-70a0-5a7b-b928-e0868a6b0f72,el_6a3c010bc584270001700180
SATHANG PHONE,store,Technology,,84353df8-aa83-5002-957f-98ec153b82d8,el_6a3c010bc584270001700181
GAGA,store,Food & Beverage,,3272f735-c038-579a-b3be-9332a7c41bda,el_6a3c010bc584270001700182
JAPARA,store,Health & Beauty,,150be53e-5cea-5a46-a6fa-29d57fcb3c97,el_6a3c010bc584270001700183
MK RESTAURANTS,store,Food & Beverage,,61648df3-3e29-54c2-a389-b68b2dcfec6f,el_6a3c010bc584270001700184
BONJOUR,store,Food & Beverage,,d3fdf22c-2ae1-5e47-b1a1-5ce5b9ecee53,el_6a3c010bc584270001700185
SUDJAI,store,Food & Beverage,,484e8b34-cd5f-55c9-b290-4a8c81a47751,el_6a3c010bc584270001700186
JAY MART,store,Technology,,242decf6-2b3d-5050-8d40-4970aa1c1c80,el_6a3c010bc584270001700187
AURORA,store,Fashion & Accessories,,1ff94035-c915-57fe-abc2-45a958a20852,el_6a3c010bc584270001700188
ORIK STREETWEAR,store,Fashion & Accessories,,071e22b2-b837-53f2-aa15-e1c0eadd4a86,el_6a3c010bc584270001700189
เพชรพลอยเจมส์,store,Fashion & Accessories,,8638c6bb-10b2-5f73-a5e3-a9b8cd1807df,el_6a3c010bc58427000170018c
OWNDAYS,store,General Service,,987960a1-341e-5008-b51d-bec679cbb256,el_6a3c010bc58427000170018d
KOI THE',store,Food & Beverage,,1261a3e3-ed86-53d3-9a7c-d92ab4384b1b,el_6a3c010bc58427000170018e
ก๋วยเตี๋ยวเรือพระนคร,store,Food & Beverage,,f9c30a27-e07c-52c7-88bf-8b0d7f8738cb,el_6a3c010bc58427000170018f
SOOD's,store,Food & Beverage,,4fe352f7-a97e-535d-bafa-109717cf36ee,el_6a3c010bc584270001700190
ธนาคารออมสิน,store,Bank & ATM,,abc71e41-bdd2-59c5-aea8-0d63117f4f0a,el_6a3c010bc584270001700191
TAYWIN ORIGINAL STYLE,store,Fashion & Accessories,,6ba147d6-d885-5321-9d76-e7b00755c8d9,el_6a3c010bc584270001700192
SUPER RICH,store,Bank & ATM,,cf3012e3-ce97-507b-8f42-892fd26232da,el_6a3c010bc584270001700193
T.TIME,store,General Service,,7e017ca1-f074-5a74-a2ca-c49d92b4cc48,el_6a3c010bc584270001700194
BETTER VISION,store,General Service,,1dc4c757-40b5-525f-b2b3-5ecb82f69a9f,el_6a3c010bc584270001700195
REMAX,store,Technology,,23a6c30f-9676-5c03-b7d2-a1c245c100bd,el_6a3c010bc584270001700196
BEANS Coffee Roaster,store,Food & Beverage,,883f49f7-2387-5c2c-a51c-34e45d8b5cd8,el_6a3c010bc584270001700197
SAMSUNG MOBILE,store,Technology,,341ea297-fc52-5501-a59f-67a369146001,el_6a3c010bc584270001700198
WRANGLER,store,Fashion & Accessories,,9100c770-1a84-5279-874b-7da3811b46a3,el_6a3c010bc584270001700199
FLEX REHAB CLINIC,store,Health & Beauty,,6e234738-6608-573e-a2d3-0f0a8cb2c273,el_6a3c010bc58427000170019a
SOLSOT,store,Food & Beverage,,9ad1c437-bf60-5c8e-8f35-59445e1659ed,el_6a3c010bc58427000170019b
OPTICANA,store,General Service,,e7ab95b6-fe4f-5512-bf7b-23ffba23a91c,el_6a3c010bc58427000170019c
THE PIZZA COMPANY,store,Food & Beverage,,cb9bbdcc-f65b-519e-914d-923c740c20ff,el_6a3c010bc58427000170019d
KIDZOOONA,store,Entertainment,,705b232c-2adf-5f39-bf61-dbd186a4c1c7,el_6a3c010bc58427000170019e
ลืมต้น,store,Food & Beverage,,a7a5b560-4e44-50b4-b0f3-2e2bea49132b,el_6a3c010bc58427000170019f
C SAR MOBILE,store,Technology,,78abd9d5-9f38-5ebd-9557-4d522db7f2eb,el_6a3c010bc5842700017001a0
DUANG DEE PHONE,store,Technology,,e6f05087-ede0-51ee-8b8f-011cf68697b5,el_6a3c010bc5842700017001a1
KAEW BOUTIQUE,store,Food & Beverage,,99f27422-1408-57ac-8f39-a38e66b75a81,el_6a3c010bc5842700017001a2
COMMY Battery Service Center,store,Technology,,bcd7167e-21f1-5eeb-a95a-408ffb88ec02,el_6a3c010bc5842700017001a3
JAIYEN PHONE,store,Technology,,b1d6becd-b51c-55bc-a91f-ddcdbc20ba81,el_6a3c010bc5842700017001a4
KIPLING,store,Fashion & Accessories,,824de055-1ef6-5a8c-af29-abafcf93a976,el_6a3c010bc5842700017001a5
POMELO,store,Fashion & Accessories,,235511a2-4c0b-50a7-89cc-c9ff7d6143c9,el_6a3c010bc5842700017001a6
keychron,store,Technology,,b1ea130a-60ce-5b4a-96f2-a0510d27cfd0,el_6a3c010bc5842700017001a7
JONES' SALAD,store,Food & Beverage,,04e4997d-425f-5bec-853b-6d318ddfbaf3,el_6a3c010bc5842700017001a8
FUJI JAPANESE RESTAURANT,store,Food & Beverage,,bcdc3f97-2228-59ca-9d5e-ff5c9a737a75,el_6a3c010bc5842700017001a9
PEPPER LUNCH,store,Food & Beverage,,aa6a8b4b-fccb-534b-9edd-a6dc9fa4dbd6,el_6a3c010bc5842700017001aa
THE RITZ CLINIC,store,Health & Beauty,,77aa78c4-d5fa-5147-8e6d-4d78477c6e66,el_6a3c010bc5842700017001ab
KARMART,store,Health & Beauty,,61007010-e759-5536-9bce-c418728af021,el_6a3c010bc5842700017001ac
BARON'S BAR BY THE CHEESE BARON,store,Food & Beverage,,4a21a1ce-15a4-599d-8b2f-ec7c6f20be13,el_6a3c010bc5842700017001ad
VIVO,store,Technology,,694422ea-6759-5caf-b702-89cca138f1fe,el_6a3c010bc5842700017001ae
I-KLEAN,store,General Service,,c093ce0c-f253-5550-85ab-e19adbbac4bb,el_6a3c010bc5842700017001af
THE PRINCESS CLINIC,store,Health & Beauty,,e998ac2d-03ac-5e50-9285-84859a7219d3,el_6a3c010bc5842700017001b0
LEMBIC,store,Health & Beauty,,756da515-e6dd-58fa-a017-46a0e7ce5a3d,el_6a3c010bc5842700017001b1
Anker,store,Technology,,0af1b9d1-c4ba-53dc-bbeb-d068ce08b964,el_6a3c010bc5842700017001b2
