name,type,categories,floors,external_id,location_id
YAMAHA MUSIC SCHOOL,store,Edutainment,,f1835458-0a5e-5612-868a-f98506538c7d,el_69542a5a4c384c00011f2537
SAMSUNG MOBILE,store,Technology,,6685dc24-9182-50d6-a75d-d2a75e9a36a0,el_69542a5a4c384c00011f253a
ธนาคารยูโอบีจำกัด (มหาชน),store,Bank & ATM,,c5a959bd-a1e9-5ba0-bed2-89b4ee08d0ad,el_69542a5a4c384c00011f253b
CAFE AMAZON,store,Food & Beverage,,672c36bf-bd66-5747-ba8c-3c519f5a7ecb,el_69542a5a4c384c00011f253c
OWNDAYS,store,General Service,,5d870550-3bfd-58cb-adde-34c270884ff2,el_69542a5a4c384c00011f253f
JELLY BUNNY,store,Fashion & Accessories,,d33f6bcd-e62e-5632-b237-fd8803f32cef,el_69542a5a4c384c00011f2543
PROMISE,store,Bank & ATM,,e4ee7887-0c04-5e41-acf5-7e121875e752,el_69542a5a4c384c00011f2544
ธนาคารกรุงเทพ,store,Bank & ATM,,392876a2-d9f5-5b5e-b4db-b7a042047f31,el_69542a5a4c384c00011f2545
QUEEN BEAUTY,store,Health & Beauty,,097a7e5b-6812-5c3b-a099-db00e5815b77,el_69542a5a4c384c00011f2547
HI SHIELD,store,Technology,,469107b0-2593-5469-88a4-a40be1b2eaae,el_69542a5a4c384c00011f254e
OFFICE MATE,store,Book & Stationeries,,1f4f8fcf-3a7f-5467-afc5-a229e7f77246,el_69542a5a4c384c00011f2550
TOPS SUPERMARKET,store,Super Market,,5449e6c5-ef42-5657-832a-c26c60ee0a0a,el_69542a5a4c384c00011f2552
KKV,store,Home & Décor,,5e138c83-173a-58a5-85c2-6c88ce3ba682,el_69542a5a4c384c00011f2553
KPN MUSIC ACADEMY,store,Edutainment,,c5311bff-fabe-5a3b-872e-83fa261e419d,el_69542a5a4c384c00011f2555
CROCS,store,Fashion & Accessories,,c836a375-305d-51e9-8148-5ba32a99d5a3,el_69542a5a4c384c00011f2557
OPPO,store,Technology,,d1b3c3e7-195b-587c-aac4-e312d6f63bb0,el_69542a5a4c384c00011f255a
JASPAL,store,Fashion & Accessories,,bcfa5735-ef9b-5d80-a6cd-bb2bdfedec76,el_69542a5a4c384c00011f255c
HIT GALLERIA,store,Edutainment,,f6e166a8-2dd6-5ee1-81eb-db20f414fe0c,el_69542a5a4c384c00011f255e
CENTRAL DEPARTMENT STORE,store,Central Department Store,,3057ffd7-93b1-54a2-af3b-f11f77c5d727,el_69542a5a4c384c00011f255f
BEARHOUSE,store,Food & Beverage,,66b41a7c-0a32-5814-9470-531cbf3be22a,el_69542a5a4c384c00011f2560
REALME,store,Technology,,326f3f95-7a48-5aed-816a-0b3f2f0353bc,el_69542a5a4c384c00011f2561
UNIQLO,store,Fashion & Accessories,,d034c63c-df2d-5cdd-a488-75854db76cb5,el_69542a5a4c384c00011f2562
AIS,store,Technology,,3a783f0c-926c-5319-8e78-977bd402abf4,el_69542a5a4c384c00011f2563
MERIDA EXCLUSIVE SPA,store,Health & Beauty,,096b7714-37a9-5a9e-9a8f-b624b0c333c6,el_69542a5a4c384c00011f2565
JIB,store,Technology,,875501dd-e6b1-55c9-89b7-0f924c1c63d1,el_69542a5a4c384c00011f2566
OPTIC SQUARE,store,General Service,,64949077-8158-5b40-94ba-6143c2b965aa,el_69542a5a4c384c00011f2569
CENTRAL DEPARTMENT STORE,store,Central Department Store,,c0947171-126e-5638-bdf4-0065c95dc480,el_69542a5a4c384c00011f256b
YVES ROCHER,store,Health & Beauty,,1db2c12c-20d3-5a40-ba19-945d71f6cca3,el_69542a5a4c384c00011f256d
OOTOYA,store,Food & Beverage,,57cda69d-ca93-5abc-b985-3a3e2da49858,el_69542a5a4c384c00011f256e
อิงธารนวดไทย,store,Health & Beauty,,a400f99e-4e1f-5ba1-9d82-866420f267fc,el_69542a5a4c384c00011f2570
MIXUE,store,Food & Beverage,,9b49949e-2346-5cf2-9c99-2b1f5ba1ad9d,el_69542a5a4c384c00011f2579
GAGA,store,Food & Beverage,,8d2e8864-2774-5f1f-9c9b-7d2ad7b86b69,el_69542a5a4c384c00011f257a
KAREN,store,Fashion & Accessories,,68881148-8d98-5d27-b973-19cd95cd7505,el_69542a5a4c384c00011f257c
ฮะจิบัง ราเมน,store,Food & Beverage,,0abca2b3-9547-5b64-b9b8-0ca8b3cbe0e8,el_69542a5a4c384c00011f257f
ON THE TABLE,store,Food & Beverage,,88cf709d-4048-5171-81af-2f4d18ce3089,el_69542a5a4c384c00011f2580
BAR-B-Q PLAZA,store,Food & Beverage,,d83caf14-52bb-59ca-9063-2b035487a338,el_69542a5a4c384c00011f2583
BANANA MOBILE,store,Technology,,0436f06c-708a-530e-8d49-be914ae8d990,el_69542a5a4c384c00011f2585
STUDIO 7,store,Technology,,3923ef5d-530b-5970-b4d0-490fafc720eb,el_69542a5a4c384c00011f2586
ธนาคารออมสิน,store,Bank & ATM,,6afa8857-0b73-5a97-8982-cf3546ea6ee5,el_69542a5a4c384c00011f2587
ช่างคอมใจดี,store,General Service,,288f1900-5f20-5ca0-9e95-c6c9ec0eb64d,el_69542a5a4c384c00011f2588
FUKU MATCHA CROSS 2,store,Food & Beverage,,5fe27a5f-23a2-5584-8232-0fe0932161a6,el_69542a5a4c384c00011f258a
ห้างทองหวังโต๊ะกังเยาวราช,store,Fashion & Accessories,,13c7c6c9-0b46-551b-abdd-fad74d5b7903,el_69542a5a4c384c00011f258b
WARAPORN SALAPAO,store,Food & Beverage,,6dc7d5f3-a8d5-5ffa-b285-e72dfb20d890,el_69542a5a4c384c00011f258c
CPS CHAPS,store,Fashion & Accessories,,4888e4e4-1b6c-5cb2-bc77-27bf6fc478c2,el_69542a5a4c384c00011f258d
TO B 1 HAIR STATION,store,Health & Beauty,,26a803fb-43ad-5184-aa44-35f07e9a0658,el_69542a5a4c384c00011f258e
DTAC HALL,store,Technology,,14dda625-47bb-59b0-b139-bf6647485554,el_69542a5a4c384c00011f2591
BATA,store,Fashion & Accessories,,13c0b4b7-0a1c-504e-83bd-da064af16ea3,el_69542a5a4c384c00011f2592
CC-OO,store,Fashion & Accessories,,ed188cc7-70c5-5a24-a89e-75a8d8e5d2cf,el_69542a5a4c384c00011f2593
GOVERNMENT CENTER,store,Others,,047b2f03-a235-59d7-b1a0-160c1564dd51,el_69542a5a4c384c00011f2595
OKLS,store,Edutainment,,54343787-d4b4-50f6-8612-3be4c7ec5b75,el_69542a5a4c384c00011f2596
JIB,store,Technology,,b26dfd70-ff54-5161-8915-babd9703728e,el_69542a5a4c384c00011f2598
LEMONY,store,Home & Décor,,47bd6a4d-7d11-5061-bb17-939d346a6a2e,el_69542a5a4c384c00011f259b
S&P SIMPLY DELICIOUS,store,Food & Beverage,,ba44599e-827d-54fd-a571-fe22634c0d0d,el_69542a5a4c384c00011f259c
ร้านไปรษณีย์ไทย,store,General Service,,25110733-b5e5-53fa-9988-f7cf0142cbf4,el_69542a5a4c384c00011f259e
FUJI JAPANESE RESTAURANT,store,Food & Beverage,,35470bd3-e1e0-533e-a48a-86f975e574ec,el_69542a5a4c384c00011f259f
ZEN,store,Food & Beverage,,08a9c2e4-00af-5061-82fb-1b08c0f36699,el_69542a5a4c384c00011f25a1
HUAWEI,store,Technology,,50624cbe-21ea-50ad-a96a-0a16e646f56a,el_69542a5a4c384c00011f25a6
YONEX,store,Entertainment,,7afb0ac3-1754-5fdc-b0e6-a0882bedcc3b,el_69542a5a4c384c00011f25a8
PA. PHONE,store,Technology,,786d06e8-63da-5748-a320-9a4ae1175cb8,el_69542a5a4c384c00011f25a9
HONOR,store,Technology,,4ddf1c08-eda4-5111-a842-2250d9aee1b3,el_69542a5a4c384c00011f25ab
itgo,store,Technology,,0eccfdb0-8037-5a2b-a1d5-5ff802106d55,el_69542a5a4c384c00011f25ac
SUPERSPORTS,store,Fashion & Accessories,,c7df29a1-0bbd-5d86-a2ad-dc71af25e25c,el_69542a5a4c384c00011f25ad
AURORA,store,Fashion & Accessories,,5b6fbae8-6410-5b11-b4f9-b51a7f7d19ff,el_69542a5a4c384c00011f25ae
PAN KHAM HOM CAFE,store,Food & Beverage,,ed351113-7c90-5069-b44d-ec1d5c957126,el_69542a5a4c384c00011f25b0
โรงเรียนพัฒนาทักษะภาษาอังกฤษไอแคนรีด เซ็นทร#,store,Edutainment,,e099940b-4b1d-5c18-a5e2-61ce41e54da9,el_69542a5a4c384c00011f25b1
BANGKOK GOLDS,store,Fashion & Accessories,,e53f45f4-c4f2-5ed4-8120-3b1e459089dd,el_69542a5a4c384c00011f25b2
GIORDANO,store,Fashion & Accessories,,19c627b0-ffca-5c31-b801-a8488cf214ea,el_69542a5a4c384c00011f25b5
PORNKASEM CLINIC,store,Health & Beauty,,0a880b49-9193-5e8f-a4f4-511901f0c549,el_69542a5a4c384c00011f25b8
KWANG THONG SPECIAL,store,Food & Beverage,,7e58744d-94f4-5f70-adff-13d4c6b220ec,el_69542a5a4c384c00011f25b9
ธนาคารอาคารสงเคราะห์,store,Bank & ATM,,d0654b5f-af6f-5ce0-897c-4198db44e9a4,el_69542a5a4c384c00011f25bb
KOI THE',store,Food & Beverage,,2afff3ac-cdf7-5118-b5cc-1a87e3727102,el_69542a5a4c384c00011f25bc
KOO HOO DIARY,store,Fashion & Accessories,,1b75df92-a591-5b0b-9fa2-582d6d19c292,el_69542a5a4c384c00011f25bd
UMAY PLUS,store,Bank & ATM,,83ebc8f8-fab3-5d0c-8348-578d7e654715,el_69542a5a4c384c00011f25c0
POWER BUY,store,Technology,,71b8ea62-8ed7-5094-b771-1d2fa84e7262,el_69542a5a4c384c00011f25c5
