name,type,categories,floors,external_id,location_id
LACOSTE | Central Department Store,store,Central Department Store,,81967b36-249a-5ac6-89d2-3b3e049cdca4,el_688ce5e0a701750001ab3c47
AFTER HOURS OFFICIAL | Central Department Store,store,Central Department Store,,30399d47-b3b0-5c2c-9856-37bae6bdb5fc,el_688ce5e0a701750001ab3c48
EVISU GENES | Central Department Store,store,Central Department Store,,05c8ef39-fa5c-5da4-ba12-cfedb1ebb262,el_688ce5e0a701750001ab3c4a
SESAME STREET | Central Department Store,store,Central Department Store,,205de273-21a2-5e5c-af11-7428c2cfe00f,el_688ce5e0a701750001ab3c4c
PRETTY FIT | Central Department Store,store,Central Department Store,,29b17fc8-1bbd-51b6-9d5e-3e17b56d57af,el_688ce5e0a701750001ab3c4d
PAUL FRANK | Central Department Store,store,Central Department Store,,04a79548-1ee4-5556-b9ef-1c0e81dfc174,el_688ce5e0a701750001ab3c4e
AKALIKO | Central Department Store,store,Central Department Store,,f0b3ad40-c352-5ec6-80c6-5106957b62ef,el_688ce5e0a701750001ab3c4f
QUIKSILVER | Central Department Store,store,Central Department Store,,4c4d68d5-c57c-5da3-b984-446957fc128c,el_688ce5e0a701750001ab3c50
BANGKOK BOOTERY | Central Department Store,store,Central Department Store,,9c06fddb-754e-5007-b463-33ec333b7bb6,el_688ce5e0a701750001ab3c51
CAROLINA HERRERA | Central Department Store,store,Central Department Store,,6e4d694e-2517-519a-af5c-401c16fa4b6b,el_688ce5e0a701750001ab3c52
CBG DEVICES | Central Department Store,store,Central Department Store,,968ab388-dd92-5272-b71f-c92a592c4622,el_688ce5e0a701750001ab3c54
EASY PIECES | Central Department Store,store,Central Department Store,,f4ab6330-96df-5698-a653-58b718809ddd,el_688ce5e0a701750001ab3c55
ROOKIE | Central Department Store,store,Central Department Store,,29ccbb38-48f5-5416-8476-dd8114ca9a41,el_688ce5e0a701750001ab3c56
BEYBLADE | Central Department Store,store,Central Department Store,,b84cfd33-1795-58b6-9e08-4c7282680e5e,el_688ce5e0a701750001ab3c57
MARKS & SPENCER | Central Department Store,store,Central Department Store,,f5e88508-80c1-5fbe-bf14-c3d98648de0d,el_688ce5e0a701750001ab3c58
REMENT DEES SUPREME | Central Department Store,store,Central Department Store,,60e037d5-0473-5df7-9e33-93f6abf77804,el_688ce5e0a701750001ab3c59
SIMPLICITY | Central Department Store,store,Central Department Store,,4cd6c05a-ef70-5f8e-bd68-fb5e96f65b81,el_688ce5e0a701750001ab3c5a
MAJORETE | Central Department Store,store,Central Department Store,,3c8cfe7f-a310-5154-add4-0765c707e9fb,el_688ce5e0a701750001ab3c5b
GUY LAROCHE | Central Department Store,store,Central Department Store,,02ec1ecd-69ab-5b81-bb92-4866ce162bbb,el_688ce5e0a701750001ab3c5c
MIDO | Central Department Store,store,Central Department Store,,259790b6-0f35-5a17-9973-3ec3aec19347,el_688ce5e0a701750001ab3c5d
CHICCO | Central Department Store,store,Central Department Store,,72c8fae4-a373-5c7b-b7bf-4cb98e24844d,el_688ce5e0a701750001ab3c5e
BURBERRY | Central Department Store,store,Central Department Store,,a8f53702-f111-5adf-8bdd-f276e65e2717,el_688ce5e0a701750001ab3c5f
